model,metric,n,p50,p5,p95,min,max
M2_radial_common_U0_5mm_outward,ols_b0_mm,1000,65.46215698373251,63.70345448458348,67.32628537752878,63.469462896698204,67.59386170289802
M2_radial_common_U0_5mm_outward,ols_b1_mm_per_m,1000,19.01666368485381,17.245091314425892,20.68969566685772,16.990947569062165,20.91241035360667
M2_radial_common_U0_5mm_outward,delta_C_mm,1000,42.43533883584335,40.97977807530155,43.80613159147783,40.770626925734916,43.988334447492534
M2_radial_common_U0_5mm_outward,delta_D_mm,1000,70.51526434844675,69.05264054004724,71.89271663614385,68.84247519468747,72.07580523481263
M2_radial_common_U0_5mm_outward,static_t4_mean_median_mm,1000,72.68962552500986,72.6879956108794,72.69116237315419,72.68776157315116,72.69136678355204
M3_vertical_common_plus5mm,rigid_anchor_median_mm,1,92.77084899701543,92.77084899701543,92.77084899701543,92.77084899701543,92.77084899701543
M3_vertical_common_plus5mm,rigid_anchor_rmse_mm,1,105.41990950811795,105.41990950811795,105.41990950811795,105.41990950811795,105.41990950811795
M3_vertical_common_plus5mm,sim3_scale_autopos_to_vicon,1,0.9582672713308588,0.9582672713308588,0.9582672713308588,0.9582672713308588,0.9582672713308588
M3_vertical_common_plus5mm,mean_delta_mm,1,120.53003459009854,120.53003459009854,120.53003459009854,120.53003459009854,120.53003459009854
M3_vertical_common_plus5mm,ols_b0_mm,1,63.46386867944242,63.46386867944242,63.46386867944242,63.46386867944242,63.46386867944242
M3_vertical_common_plus5mm,ols_b1_mm_per_m,1,20.917735315021133,20.917735315021133,20.917735315021133,20.917735315021133,20.917735315021133
M3_vertical_common_plus5mm,delta_C_mm,1,43.99269000098205,43.99269000098205,43.99269000098205,43.99269000098205,43.99269000098205
M3_vertical_common_plus5mm,delta_D_mm,1,72.08018196359585,72.08018196359585,72.08018196359585,72.08018196359585,72.08018196359585
M3_vertical_common_plus5mm,static_t4_mean_median_mm,1,70.29504425055546,70.29504425055546,70.29504425055546,70.29504425055546,70.29504425055546
M3_vertical_common_minus5mm,rigid_anchor_median_mm,1,92.77084899701543,92.77084899701543,92.77084899701543,92.77084899701543,92.77084899701543
M3_vertical_common_minus5mm,rigid_anchor_rmse_mm,1,105.41990950811795,105.41990950811795,105.41990950811795,105.41990950811795,105.41990950811795
M3_vertical_common_minus5mm,sim3_scale_autopos_to_vicon,1,0.9582672713308588,0.9582672713308588,0.9582672713308588,0.9582672713308588,0.9582672713308588
M3_vertical_common_minus5mm,mean_delta_mm,1,120.53003459009854,120.53003459009854,120.53003459009854,120.53003459009854,120.53003459009854
M3_vertical_common_minus5mm,ols_b0_mm,1,63.46386867944242,63.46386867944242,63.46386867944242,63.46386867944242,63.46386867944242
M3_vertical_common_minus5mm,ols_b1_mm_per_m,1,20.917735315021133,20.917735315021133,20.917735315021133,20.917735315021133,20.917735315021133
M3_vertical_common_minus5mm,delta_C_mm,1,43.99269000098205,43.99269000098205,43.99269000098205,43.99269000098205,43.99269000098205
M3_vertical_common_minus5mm,delta_D_mm,1,72.08018196359585,72.08018196359585,72.08018196359585,72.08018196359585,72.08018196359585
M3_vertical_common_minus5mm,static_t4_mean_median_mm,1,75.29588457624718,75.29588457624718,75.29588457624718,75.29588457624718,75.29588457624718
