host_elapsed_s,host_epoch_s,ver,listener_id,near_anchor_id,good_frames,accepted_polls,ignored_nonpoll,ignored_poll_mask,bad_header,too_long,rx_errors,cir_captures,last_status,last_src,last_dst,last_code,ring_drops,self_recover,rx_enable_failures,fps
602.473026,1784055640.755362,1,255,255,335941,143233,192707,0,1,0,1908,14323,0x00800002,0xa106,0xb104,0xe1,0,781,0,0
607.473055,1784055645.755391,1,255,255,335941,143233,192707,0,1,0,1908,14323,0x00800002,0xa106,0xb104,0xe1,0,781,0,0
612.681738,1784055650.964074,1,255,255,335960,143240,192719,0,1,0,1908,14324,0x00800002,0xb103,0xffff,0xe0,0,781,0,3
617.912492,1784055656.194828,1,255,255,336162,143310,192851,0,1,0,1908,14331,0x00806f02,0xa106,0xb104,0xe1,0,781,0,40
622.968299,1784055661.250635,1,255,255,336361,143380,192980,0,1,0,1908,14338,0x00806f02,0xa105,0xb102,0xe1,0,781,0,39
627.962519,1784055666.244856,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,781,0,30
632.962070,1784055671.244406,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,781,0,0
637.961725,1784055676.244061,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,781,0,0
642.961326,1784055681.243663,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,782,0,0
647.961007,1784055686.243344,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,782,0,0
652.960683,1784055691.243019,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,782,0,0
657.960322,1784055696.242658,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,783,0,0
662.960227,1784055701.242563,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,783,0,0
667.960005,1784055706.242341,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,783,0,0
672.959300,1784055711.241636,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,784,0,0
677.959855,1784055716.242191,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,784,0,0
