chunk_id,stage,rows,row_count,max_tracks,max_frames,estimated_cost,status,attempts,gpu_device,message,started_utc,child_run_id,wall_time_s,log_path,finished_utc
partial_raw_0024,partial_raw,"['R2:L14:I0:T6', 'R2:L14:I0:T8', 'R2:L14:I1:T6', 'R2:L14:I1:T8', 'R2:L14:I3:T6', 'R2:L14:I3:T8', 'R2:L14:I4:T6', 'R2:L14:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:08.415949+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0024_cuda0,5.998218550999809,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0024_cuda0.log,2026-06-07T00:12:14.415178+00:00
partial_raw_0025,partial_raw,"['R2:L14:I7:T6', 'R2:L14:I7:T8', 'R2:L14:I8:T6', 'R2:L14:I8:T8', 'R2:L14:I1+I3+I7:T6', 'R2:L14:I1+I3+I7:T8', 'R2:L14:I1+I2+I3+I8:T6', 'R2:L14:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:08.941836+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0025_cuda0,4.878876808001223,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0025_cuda0.log,2026-06-07T00:12:13.823726+00:00
partial_raw_0026,partial_raw,"['R2:L15:I0:T6', 'R2:L15:I0:T8', 'R2:L15:I1:T6', 'R2:L15:I1:T8', 'R2:L15:I3:T6', 'R2:L15:I3:T8', 'R2:L15:I4:T6', 'R2:L15:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:09.006595+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0026_cuda0,5.586262479000652,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0026_cuda0.log,2026-06-07T00:12:14.597415+00:00
partial_raw_0027,partial_raw,"['R2:L15:I7:T6', 'R2:L15:I7:T8', 'R2:L15:I8:T6', 'R2:L15:I8:T8', 'R2:L15:I1+I3+I7:T6', 'R2:L15:I1+I3+I7:T8', 'R2:L15:I1+I2+I3+I8:T6', 'R2:L15:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:09.018401+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0027_cuda0,5.345110416999887,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0027_cuda0.log,2026-06-07T00:12:14.364358+00:00
partial_raw_0028,partial_raw,"['R2:L16:I0:T6', 'R2:L16:I0:T8', 'R2:L16:I1:T6', 'R2:L16:I1:T8', 'R2:L16:I3:T6', 'R2:L16:I3:T8', 'R2:L16:I4:T6', 'R2:L16:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:09.028079+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0028_cuda0,4.634302248001404,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0028_cuda0.log,2026-06-07T00:12:13.663494+00:00
partial_raw_0029,partial_raw,"['R2:L16:I7:T6', 'R2:L16:I7:T8', 'R2:L16:I8:T6', 'R2:L16:I8:T8', 'R2:L16:I1+I3+I7:T6', 'R2:L16:I1+I3+I7:T8', 'R2:L16:I1+I2+I3+I8:T6', 'R2:L16:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:09.041438+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0029_cuda0,5.685986190999756,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0029_cuda0.log,2026-06-07T00:12:14.728481+00:00
partial_raw_0030,partial_raw,"['R2:L17:I0:T6', 'R2:L17:I0:T8', 'R2:L17:I1:T6', 'R2:L17:I1:T8', 'R2:L17:I3:T6', 'R2:L17:I3:T8', 'R2:L17:I4:T6', 'R2:L17:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:09.172233+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0030_cuda0,5.1318722249998245,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0030_cuda0.log,2026-06-07T00:12:14.306947+00:00
partial_raw_0031,partial_raw,"['R2:L17:I7:T6', 'R2:L17:I7:T8', 'R2:L17:I8:T6', 'R2:L17:I8:T8', 'R2:L17:I1+I3+I7:T6', 'R2:L17:I1+I3+I7:T8', 'R2:L17:I1+I2+I3+I8:T6', 'R2:L17:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:09.218945+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0031_cuda0,4.831242635998933,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0031_cuda0.log,2026-06-07T00:12:14.051196+00:00
partial_raw_0032,partial_raw,"['R2:L18:I0:T6', 'R2:L18:I0:T8', 'R2:L18:I1:T6', 'R2:L18:I1:T8', 'R2:L18:I3:T6', 'R2:L18:I3:T8', 'R2:L18:I4:T6', 'R2:L18:I4:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:09.393804+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0032_cuda0,5.129978856999514,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0032_cuda0.log,2026-06-07T00:12:14.526751+00:00
partial_raw_0033,partial_raw,"['R2:L18:I7:T6', 'R2:L18:I7:T8', 'R2:L18:I8:T6', 'R2:L18:I8:T8', 'R2:L18:I1+I3+I7:T6', 'R2:L18:I1+I3+I7:T8', 'R2:L18:I1+I2+I3+I8:T6', 'R2:L18:I1+I2+I3+I8:T8']",8,0,0,64,failed,1,cuda:0,returncode=1,2026-06-07T00:12:09.476392+00:00,phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z_partial_raw_0033_cuda0,5.545546760999059,runs/phase4_algorithm_factory/phase4_BALANCE_CUDA_R3_S02_5090D_20260606T221157Z/logs/partial_raw_0033_cuda0.log,2026-06-07T00:12:15.025429+00:00
