dataset,ID,capture,peer,version,N,value_mm,x_std,y_std,z_std,rms_3d,radius_mm,radial_std,z_plane_std
static,ID11,ID11_static_cdhg_mid_20260504_201411,BSF66F,V4-interonly,601,79.25847841450734,21.311562278491117,20.02652536104029,73.66588081192357,,,,
static,ID12,ID12_static_cdhg_high_20260504_202045,BSF66F,V3-lite,601,53.757034723305715,24.315208340182767,29.774063757279535,37.577846572064985,,,,
static,ID12,ID12_static_cdhg_high_20260504_202045,BSF66F,V4-interonly,601,53.97618178678724,24.2083324466462,29.75127106931984,37.97692339030126,,,,
static,ID13,ID13_static_adhe_low_20260504_202835,BSF66F,V3-lite,601,91.01426482351177,40.3117556742359,40.70033257377932,70.72511353266816,,,,
static,ID13,ID13_static_adhe_low_20260504_202835,BSF66F,V4-interonly,601,88.05690929647078,37.977776426383826,39.22821621363782,69.0858511219958,,,,
static,ID14,ID14_static_adhe_mid_20260504_203438,BSF66F,V3-lite,540,88.41121292943721,18.317150413216986,39.95555193724201,76.71100600164378,,,,
static,ID14,ID14_static_adhe_mid_20260504_203438,BSF66F,V4-interonly,540,87.07419030218962,18.205546722016148,40.53093501684808,74.88468462906457,,,,
static,ID15,ID15_static_adhe_high_20260504_203935,BSF66F,V3-lite,600,56.54655082439824,30.506378579859913,31.081798787616457,36.06653657068616,,,,
static,ID15,ID15_static_adhe_high_20260504_203935,BSF66F,V4-interonly,600,54.67677696730187,28.225821011875247,30.328298425054466,35.679788149293884,,,,
static,ID16,ID16_static_center_mid_abef_20260504_205152,BSF66F,V3-lite,601,39.581668308395926,12.800782810700632,19.782016648844937,31.804406028315746,,,,
static,ID16,ID16_static_center_mid_abef_20260504_205152,BSF66F,V4-interonly,601,38.799681034413084,12.535592073014213,19.974112289764854,30.8108587674385,,,,
static,ID17,ID17_static_center_mid_bcgf_20260504_205705,BSF66F,V3-lite,524,51.94080383680815,17.444296154118266,26.184603846671404,41.326869664832834,,,,
static,ID17,ID17_static_center_mid_bcgf_20260504_205705,BSF66F,V4-interonly,524,51.49836346026847,17.39534239860248,26.965907130278413,40.2780753582206,,,,
static,ID18,ID18_static_center_mid_cdhg_20260504_210127,BSF66F,V3-lite,601,54.15364185893341,18.36083353991851,32.19278256658801,39.485712212462566,,,,
static,ID18,ID18_static_center_mid_cdhg_20260504_210127,BSF66F,V4-interonly,601,52.939942500711815,18.170648963887544,31.801502696031676,38.224723079234145,,,,
static,ID19,ID19_static_center_mid_adhe_20260504_210657,BSF66F,V3-lite,601,43.93265378462019,16.85213609110487,22.007766534630672,34.084333496246835,,,,
static,ID19,ID19_static_center_mid_adhe_20260504_210657,BSF66F,V4-interonly,601,43.94954659981279,17.031082542446644,22.92794628717953,33.40380446616366,,,,
static,ID20,ID20_static_center_low_abef_20260504_212236,BSF66F,V3-lite,601,61.715829309975156,18.87518907988095,28.5434561908801,51.35992536303027,,,,
static,ID20,ID20_static_center_low_abef_20260504_212236,BSF66F,V4-interonly,601,71.66288635595852,19.71993204066859,32.004045214290514,61.01175830198706,,,,
static,ID21,ID21_static_center_low_bcgf_20260504_211632,BSF66F,V3-lite,601,49.418402877857254,13.560703381749056,20.395576632133892,42.92209594874397,,,,
static,ID21,ID21_static_center_low_bcgf_20260504_211632,BSF66F,V4-interonly,601,54.77354691548595,14.270897878956129,22.681329714415384,47.77070438895919,,,,
static,ID22,ID22_static_center_low_cdhg_20260504_212804,BSF66F,V3-lite,601,57.953732150438356,17.509801833951848,26.34676012253385,48.55811096970463,,,,
static,ID22,ID22_static_center_low_cdhg_20260504_212804,BSF66F,V4-interonly,601,63.649567474592246,17.378362833893465,28.16734061642684,54.36782934341238,,,,
static,ID23,ID23_static_center_low_adhe_20260504_213240,BSF66F,V3-lite,601,188.09201659688335,25.93083897023146,31.62216704763731,183.59258386164046,,,,
static,ID23,ID23_static_center_low_adhe_20260504_213240,BSF66F,V4-interonly,601,186.71225902088005,27.514273079046312,40.24159131967425,180.23608621381067,,,,
static,ID24,ID24_static_center_high_abef_20260504_213644,BSF66F,V3-lite,601,45.23459155793631,15.382049538562695,23.315600084222833,35.580101434918845,,,,
static,ID24,ID24_static_center_high_abef_20260504_213644,BSF66F,V4-interonly,601,42.77004920354309,14.70156037229759,23.055623327490597,32.887375457370524,,,,
static,ID25,ID25_static_center_high_bcgf_20260504_214158,BSF66F,V3-lite,601,41.117083038954924,17.12223124654086,24.580725000083643,28.16436885929734,,,,
static,ID25,ID25_static_center_high_bcgf_20260504_214158,BSF66F,V4-interonly,601,41.35863396395242,17.195812071340423,25.43707639503445,27.709128370349774,,,,
static,ID26,ID26_static_center_high_cdhg_20260504_214543,BSF66F,V3-lite,600,50.76517908115411,19.05728907224521,27.417013003159134,38.23912313773857,,,,
static,ID26,ID26_static_center_high_cdhg_20260504_214543,BSF66F,V4-interonly,600,48.44354070531669,17.94147337089037,26.400475027592606,36.44029483506914,,,,
static,ID27,ID27_static_center_high_adhe_20260504_214918,BSF66F,V3-lite,600,44.20537763293303,16.625098809562363,26.728437188776084,31.037270284098046,,,,
static,ID27,ID27_static_center_high_adhe_20260504_214918,BSF66F,V4-interonly,600,43.31733731670606,16.367866410861,26.572128911551115,30.040083662889707,,,,
roto,ID28,ID28_roto_small_abef_2roto_20260504_215544,BSDC91,V3-lite,241,101.77619693326695,,,,168.41752974649543,614.9788777408459,89.06537935737099,143.2066537543264
roto,ID28,ID28_roto_small_abef_2roto_20260504_215544,BS2DCE,V3-lite,240,99.80516818071133,,,,168.0930217618136,468.80934754489965,90.71821352156454,141.65277012867733
roto,ID28,ID28_roto_small_abef_2roto_20260504_215544,BSDC91,V4-interonly,241,99.79586754462169,,,,166.1800169544587,618.3651804752865,89.6652131004805,140.17303846646666
roto,ID28,ID28_roto_small_abef_2roto_20260504_215544,BS2DCE,V4-interonly,240,108.28529489021408,,,,177.5744035804409,474.8626950293225,98.78947004510214,147.64064635221337
roto,ID29,ID29_roto_small_bcgf_2roto_20260504_220009,BSDC91,V3-lite,240,118.46375596701094,,,,170.28988620953274,599.1246919596422,65.39097160774753,157.5793208278076
roto,ID29,ID29_roto_small_bcgf_2roto_20260504_220009,BS2DCE,V3-lite,240,89.55844215794299,,,,168.2220110227097,492.59520434798566,79.70726010561206,148.39757439048722
roto,ID29,ID29_roto_small_bcgf_2roto_20260504_220009,BSDC91,V4-interonly,240,118.37097105868206,,,,170.88906743680255,599.9335883519493,65.61080778704451,158.13787942106856
roto,ID29,ID29_roto_small_bcgf_2roto_20260504_220009,BS2DCE,V4-interonly,240,92.39348226220615,,,,172.9218814772152,489.9550496681304,82.11588695898566,152.43439680164872
roto,ID30,ID30_roto_small_cdhg_2roto_20260504_220550,BSDC91,V3-lite,240,98.53868277434562,,,,165.7625164907218,581.3632674591462,70.68188230110027,150.25887400713364
roto,ID30,ID30_roto_small_cdhg_2roto_20260504_220550,BS2DCE,V3-lite,240,96.30012060035054,,,,167.08021444656305,446.16953567904113,68.46879023415568,152.69843853050136
roto,ID30,ID30_roto_small_cdhg_2roto_20260504_220550,BSDC91,V4-interonly,240,94.95108948389499,,,,162.27130888786695,583.0334483020031,72.25936452093936,145.60431387436387
roto,ID30,ID30_roto_small_cdhg_2roto_20260504_220550,BS2DCE,V4-interonly,240,92.31783629134726,,,,161.4399319118098,446.09340239438035,70.01021684015461,145.73963469048752
roto,ID31,ID31_roto_small_adhe_2roto_20260504_221028,BSDC91,V3-lite,241,63.86417262651241,,,,129.09726445002192,583.5601465233144,71.9286646116774,107.43414000691025
roto,ID31,ID31_roto_small_adhe_2roto_20260504_221028,BS2DCE,V3-lite,240,80.75135691333287,,,,154.96284280134125,477.45734122692625,87.92920780560362,127.73411499740781
roto,ID31,ID31_roto_small_adhe_2roto_20260504_221028,BSDC91,V4-interonly,241,64.05945870059718,,,,130.16652812977782,593.1243510244027,75.99984357134747,105.89684195151256
roto,ID31,ID31_roto_small_adhe_2roto_20260504_221028,BS2DCE,V4-interonly,240,92.22249084013824,,,,161.20102382711326,483.1366830468607,91.64785899301347,132.73486081033198
