listener,azimuth_deg,excess_delay_ns,bistatic_range_m,power_dB
LF,12.0,20.032,6.005,-3.87
LF,16.5,20.032,6.005,-1.52
LF,20.0,20.032,6.005,-3.38
LF,28.0,20.032,6.005,-2.1
LF,35.5,20.032,6.005,-2.57
LF,41.0,20.032,6.005,-3.1
LF,47.0,20.032,6.005,-2.94
LF,52.0,20.032,6.005,-2.73
LF,56.5,20.032,6.005,-2.96
LF,61.5,20.032,6.005,-3.14
LF,66.0,20.032,6.005,-3.64
LF,70.0,20.032,6.005,-4.56
LF,74.0,20.032,6.005,-4.58
LF,78.0,20.032,6.005,-3.95
LF,82.0,20.032,6.005,-5.51
LF,86.0,20.032,6.005,-4.48
LF,94.0,20.032,6.005,-4.99
LF,110.0,20.032,6.005,-5.83
LF,114.5,20.032,6.005,-5.92
LF,-82.0,21.034,6.306,-5.62
LF,-65.5,21.034,6.306,-5.48
LF,-61.5,21.034,6.306,-5.43
LF,-46.5,21.034,6.306,-5.03
LF,-41.5,21.034,6.306,-5.64
LF,-34.5,21.034,6.306,-4.51
LF,-27.0,21.034,6.306,-4.36
LF,-15.5,21.034,6.306,-3.97
LF,12.0,21.034,6.306,-5.57
LF,16.0,21.034,6.306,-3.38
LF,28.0,21.034,6.306,-3.97
LF,35.5,21.034,6.306,-4.95
LF,40.5,21.034,6.306,-4.14
LF,52.0,21.034,6.306,-5.21
LF,57.0,21.034,6.306,-4.93
LF,61.5,21.034,6.306,-5.37
LF,-158.0,23.037,6.906,-5.37
LF,-141.5,23.037,6.906,-5.57
LF,-59.5,24.038,7.207,-5.99
LF,-55.0,24.038,7.207,-5.56
LF,-50.0,24.038,7.207,-5.13
LF,-44.5,24.038,7.207,-5.43
LF,-38.5,24.038,7.207,-5.44
LF,-32.0,24.038,7.207,-5.37
LF,-9.5,24.038,7.207,-4.19
LF,-5.0,24.038,7.207,-4.19
LF,-0.5,24.038,7.207,-4.44
LF,4.0,24.038,7.207,-3.99
LF,8.5,24.038,7.207,-3.49
LF,13.0,24.038,7.207,-5.19
LF,21.0,24.038,7.207,-5.46
LF,25.0,24.038,7.207,-5.52
LF,32.5,24.038,7.207,-5.41
LF,38.0,24.038,7.207,-5.59
LF,45.0,24.038,7.207,-5.1
LF,50.0,24.038,7.207,-4.41
LF,55.0,24.038,7.207,-4.69
LF,59.5,24.038,7.207,-4.85
LF,64.0,24.038,7.207,-4.97
LF,68.5,24.038,7.207,-5.68
