node,event,elapsed_s,wall,detail
BSFC2CC,DISCONNECT,27654.6186117,2026-08-12T09:17:50.863+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=15 malformed=0
BSFC2CC,RECONNECT,27661.2243879,2026-08-12T09:17:57.469+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=256 active=1
BSFC2CC,DISCONNECT,27666.7303419,2026-08-12T09:18:02.975+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=20 malformed=0
BSFC2CC,RECONNECT,27673.5831785,2026-08-12T09:18:09.828+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=257 active=1
BSFC2CC,DISCONNECT,27678.9841492,2026-08-12T09:18:15.229+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=16 malformed=0
BSFC2CC,RECONNECT,27685.8475474,2026-08-12T09:18:22.092+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=258 active=1
BSFC2CC,DISCONNECT,27691.3588361,2026-08-12T09:18:27.603+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=19 malformed=0
BSFC2CC,RECONNECT,27698.6205241,2026-08-12T09:18:34.865+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=259 active=1
BSFC2CC,DISCONNECT,27703.441969,2026-08-12T09:18:39.686+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27711.3367886,2026-08-12T09:18:47.581+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=260 active=1
BSFC2CC,DISCONNECT,27716.0391908,2026-08-12T09:18:52.284+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27723.9384319,2026-08-12T09:19:00.183+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=261 active=1
BSFC2CC,DISCONNECT,27729.4450031,2026-08-12T09:19:05.689+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=19 malformed=0
BSFC2CC,RECONNECT,27737.3207934,2026-08-12T09:19:13.565+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=262 active=1
BSFC2CC,DISCONNECT,27742.2389954,2026-08-12T09:19:18.483+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=9 malformed=0
BSFC2CC,RECONNECT,27750.5060322,2026-08-12T09:19:26.750+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=263 active=1
BSFC2CC,DISCONNECT,27750.7584662,2026-08-12T09:19:27.003+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x3e packets=0 malformed=0
BSFC2CC,RECONNECT,27750.9323114,2026-08-12T09:19:27.177+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=264 active=1
BSFC2CC,DISCONNECT,27755.2842309,2026-08-12T09:19:31.529+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27763.8745985,2026-08-12T09:19:40.119+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=265 active=1
BSFC2CC,DISCONNECT,27768.8416132,2026-08-12T09:19:45.086+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=12 malformed=0
BSFC2CC,RECONNECT,27777.7631669,2026-08-12T09:19:54.008+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=266 active=1
BSFC2CC,DISCONNECT,27782.5160803,2026-08-12T09:19:58.760+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27791.4071556,2026-08-12T09:20:07.652+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=267 active=1
BSFC2CC,DISCONNECT,27796.0596151,2026-08-12T09:20:12.304+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27805.2700159,2026-08-12T09:20:21.514+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=268 active=1
BSFC2CC,DISCONNECT,27810.2237633,2026-08-12T09:20:26.468+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=11 malformed=0
BSFC2CC,RECONNECT,27819.9466386,2026-08-12T09:20:36.191+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=269 active=1
BSFC2CC,DISCONNECT,27824.9090203,2026-08-12T09:20:41.153+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=10 malformed=0
BSFC2CC,RECONNECT,27834.8182378,2026-08-12T09:20:51.063+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=270 active=1
BSFC2CC,DISCONNECT,27839.170077,2026-08-12T09:20:55.414+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27849.4406712,2026-08-12T09:21:05.685+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=271 active=1
BSFC2CC,DISCONNECT,27854.0570935,2026-08-12T09:21:10.301+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27864.497952,2026-08-12T09:21:20.742+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=272 active=1
BSFC2CC,DISCONNECT,27864.7501548,2026-08-12T09:21:20.995+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x3e packets=0 malformed=0
BSFC2CC,RECONNECT,27879.643532,2026-08-12T09:21:35.888+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=273 active=1
BSFC2CC,DISCONNECT,27884.1566702,2026-08-12T09:21:40.401+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27895.1981493,2026-08-12T09:21:51.443+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=274 active=1
BSFC2CC,DISCONNECT,27899.5008483,2026-08-12T09:21:55.745+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27910.843848,2026-08-12T09:22:07.088+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=275 active=1
BSFC2CC,DISCONNECT,27915.4959254,2026-08-12T09:22:11.740+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27927.3671699,2026-08-12T09:22:23.612+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=276 active=1
BSFC2CC,DISCONNECT,27931.7840008,2026-08-12T09:22:28.028+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27943.7828558,2026-08-12T09:22:40.027+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=277 active=1
BSFC2CC,DISCONNECT,27947.9994431,2026-08-12T09:22:44.244+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27977.5903474,2026-08-12T09:23:13.835+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=278 active=1
BSFC2CC,DISCONNECT,27982.2123051,2026-08-12T09:23:18.457+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,27995.1585699,2026-08-12T09:23:31.403+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=279 active=1
BSFC2CC,DISCONNECT,27999.4655638,2026-08-12T09:23:35.710+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28012.9092991,2026-08-12T09:23:49.154+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=280 active=1
BSFC2CC,DISCONNECT,28017.1158854,2026-08-12T09:23:53.360+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28030.6732168,2026-08-12T09:24:06.918+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=281 active=1
BSFC2CC,DISCONNECT,28034.7758858,2026-08-12T09:24:11.020+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28048.5250506,2026-08-12T09:24:24.769+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=282 active=1
BSFC2CC,DISCONNECT,28053.0868937,2026-08-12T09:24:29.331+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28067.1260338,2026-08-12T09:24:43.370+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=283 active=1
BSFC2CC,DISCONNECT,28071.6326674,2026-08-12T09:24:47.877+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28085.7932297,2026-08-12T09:25:02.038+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=284 active=1
BSFC2CC,DISCONNECT,28090.2098853,2026-08-12T09:25:06.454+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28105.1442449,2026-08-12T09:25:21.389+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=285 active=1
BSFC2CC,DISCONNECT,28109.5109591,2026-08-12T09:25:25.755+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28124.555498,2026-08-12T09:25:40.800+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=286 active=1
BSFC2CC,DISCONNECT,28128.8074878,2026-08-12T09:25:45.052+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28144.098432,2026-08-12T09:26:00.343+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=287 active=1
BSFC2CC,DISCONNECT,28148.3047936,2026-08-12T09:26:04.549+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28163.7026054,2026-08-12T09:26:19.947+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=288 active=1
BSFC2CC,DISCONNECT,28168.1126318,2026-08-12T09:26:24.357+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28184.1394892,2026-08-12T09:26:40.384+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=289 active=1
BSFC2CC,DISCONNECT,28188.7065604,2026-08-12T09:26:44.951+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28245.4932907,2026-08-12T09:27:41.738+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=290 active=1
BSFC2CC,DISCONNECT,28249.5547433,2026-08-12T09:27:45.799+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28266.5333533,2026-08-12T09:28:02.778+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=291 active=1
BSFC2CC,DISCONNECT,28270.7894448,2026-08-12T09:28:07.034+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28309.9684227,2026-08-12T09:28:46.213+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=292 active=1
BSFC2CC,DISCONNECT,28314.2208119,2026-08-12T09:28:50.465+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28333.3557742,2026-08-12T09:29:09.600+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=293 active=1
BSFC2CC,DISCONNECT,28337.3577916,2026-08-12T09:29:13.602+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28402.7088524,2026-08-12T09:30:18.953+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=294 active=1
BSFC2CC,DISCONNECT,28406.7602388,2026-08-12T09:30:23.005+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28426.7373375,2026-08-12T09:30:42.982+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=295 active=1
BSFC2CC,DISCONNECT,28430.9082561,2026-08-12T09:30:47.153+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28547.9369661,2026-08-12T09:32:44.181+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=296 active=1
BSFC2CC,DISCONNECT,28551.9899186,2026-08-12T09:32:48.234+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28574.2589182,2026-08-12T09:33:10.503+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=297 active=1
BSFC2CC,DISCONNECT,28578.6254951,2026-08-12T09:33:14.870+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSF3C79,RECONNECT,28596.4859315,2026-08-12T09:33:32.730+02:00,FUSION_CONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) node_connection=1 connections_total=298 active=1
BSF3C79,UPTIME_RESET,28598.2896606,,before=66808 after=3771
BSFC2CC,RECONNECT,28630.8672994,2026-08-12T09:34:07.112+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=299 active=2
BSFC2CC,DISCONNECT,28634.9950724,2026-08-12T09:34:11.239+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSF3C79,DISCONNECT,28659.9388389,2026-08-12T09:34:36.183+02:00,FUSION_DISCONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) reason=0x08 packets=1841 malformed=0
BSFC2CC,RECONNECT,28691.1172951,2026-08-12T09:35:07.362+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=300 active=1
BSFC2CC,DISCONNECT,28695.2189227,2026-08-12T09:35:11.463+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28811.1237235,2026-08-12T09:37:07.368+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=301 active=1
BSFC2CC,DISCONNECT,28815.1363666,2026-08-12T09:37:11.381+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28845.4411576,2026-08-12T09:37:41.686+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=302 active=1
BSFC2CC,DISCONNECT,28849.4436675,2026-08-12T09:37:45.688+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28881.4278665,2026-08-12T09:38:17.672+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=303 active=1
BSFC2CC,DISCONNECT,28885.4294265,2026-08-12T09:38:21.674+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSFC2CC,RECONNECT,28955.8660086,2026-08-12T09:39:32.110+02:00,FUSION_CONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) node_connection=1 connections_total=304 active=1
BSFC2CC,DISCONNECT,28960.0829549,2026-08-12T09:39:36.327+02:00,FUSION_DISCONNECTED name=BSFC2CC addr=CD:E7:4A:7A:D8:1C (random) reason=0x08 packets=0 malformed=0
BSF3C79,RECONNECT,30226.3794237,2026-08-12T10:00:42.624+02:00,FUSION_CONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) node_connection=1 connections_total=305 active=1
BSF3C79,UPTIME_RESET,30227.9823681,,before=60804 after=3771
BSF3C79,DISCONNECT,30286.690722,2026-08-12T10:01:42.935+02:00,FUSION_DISCONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) reason=0x08 packets=1742 malformed=0
BSF3C79,RECONNECT,33292.7523236,2026-08-12T10:51:48.997+02:00,FUSION_CONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) node_connection=1 connections_total=306 active=1
BSF3C79,UPTIME_RESET,33294.4569749,,before=57803 after=3771
BSF3C79,DISCONNECT,33353.4551576,2026-08-12T10:52:49.700+02:00,FUSION_DISCONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) reason=0x08 packets=1756 malformed=0
BSF3C79,RECONNECT,37842.7450762,2026-08-12T12:07:38.989+02:00,FUSION_CONNECTED name=BSF3C79 addr=DB:38:76:DA:EC:E3 (random) node_connection=1 connections_total=307 active=1
BSF3C79,UPTIME_RESET,37844.6487265,,before=57803 after=3771
