version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T4+F5,external_position_filter,all8,24,ABEF,6,110.2254143783659,223.78122871484078,141.67589391739548
v1-old,T4+F5,external_position_filter,all8,24,ADHE,6,166.56264968862968,196.49465538035284,161.25974557700835
v1-old,T4+F5,external_position_filter,all8,24,BCGF,6,124.65256639788089,292.6754347560887,180.97371609222708
v1-old,T4+F5,external_position_filter,all8,24,CDHG,6,138.29532169486535,213.2146327163397,156.27919083683022
v1-old,T4+F5,external_position_filter,noG,24,ABEF,6,81.39729103854226,219.31165641887642,130.50613132709603
v1-old,T4+F5,external_position_filter,noG,24,ADHE,6,186.33890042637108,313.99889856176145,212.2803315621456
v1-old,T4+F5,external_position_filter,noG,24,BCGF,6,142.43430765000693,340.72262604675984,203.91088374799736
v1-old,T4+F5,external_position_filter,noG,24,CDHG,6,159.7540735230743,275.16681811530333,180.06824987814696
v1-old,T5a,native_range_filter,all8,24,ABEF,6,157.6611335765291,306.07697038383117,189.9552114351003
v1-old,T5a,native_range_filter,all8,24,ADHE,6,191.83075244717662,294.1056082218522,198.14704893103777
v1-old,T5a,native_range_filter,all8,24,BCGF,6,230.25181219774493,279.8858190689865,207.44426306870932
v1-old,T5a,native_range_filter,all8,24,CDHG,6,218.93374412000946,292.1904209118206,218.35223863810043
v1-old,T5a,native_range_filter,noG,24,ABEF,6,149.03203891513664,299.1038724817958,188.76706836465877
v1-old,T5a,native_range_filter,noG,24,ADHE,6,213.26195559663444,306.81939403558636,221.40073932171705
v1-old,T5a,native_range_filter,noG,24,BCGF,6,229.0419368623604,355.9844020249164,246.67460265937265
v1-old,T5a,native_range_filter,noG,24,CDHG,6,192.05500769365216,237.36314819107096,189.42115239367925
v1-old,T5b,native_range_filter,all8,24,ABEF,6,130.4916995965988,344.7387560146376,196.56033287106717
v1-old,T5b,native_range_filter,all8,24,ADHE,6,152.67928468620073,194.92123855633784,155.70134877363918
v1-old,T5b,native_range_filter,all8,24,BCGF,6,125.1746456403977,280.17933311220276,175.74020696734578
v1-old,T5b,native_range_filter,all8,24,CDHG,6,123.98313232057163,238.68285042074265,159.75858491253547
