s,d_tag,range_residual_rms,position_median_3d,position_rmse_3d
0.92,86.0,223.60158018096263,252.88436889648438,242.31851295092994
0.92,87.0,223.60158018096263,251.27149963378906,240.85390897544096
0.92,88.0,223.60158018096263,249.66152954101562,239.39243572270615
0.92,89.0,223.60158018096263,248.0543975830078,237.93413446529692
0.92,90.0,223.60158018096263,246.45022583007812,236.47896477541084
0.92,91.0,223.60158018096263,244.84896850585938,235.02693495905953
0.92,92.0,223.60158018096263,243.25050354003906,233.57805340239054
0.92,93.0,223.60158018096263,241.65499877929688,232.13230333152686
0.92,94.0,223.60158018096263,240.06224060058594,230.68972668933483
0.92,95.0,223.60158018096263,238.4723358154297,229.2502470691144
0.92,96.0,223.60158018096263,236.88543701171875,227.81397461799835
0.92,97.0,223.60158018096263,235.30142211914062,226.38082371029134
0.92,98.0,223.60158018096263,233.72018432617188,224.95085400760317
0.92,99.0,223.60158018096263,232.141845703125,223.52404792326038
0.92,100.0,223.60158018096263,230.56622314453125,222.10040487074758
0.92,101.0,223.60158018096263,228.9934539794922,220.67995951433832
0.92,102.0,223.60158018096263,227.42352294921875,219.26268492381462
0.92,103.0,223.60158018096263,225.85665893554688,217.8486429840682
0.92,104.0,223.60158018096263,224.29229736328125,216.43780681468292
0.92,105.0,223.60158018096263,222.73092651367188,215.03019410073554
0.92,106.0,223.60158018096263,221.1724853515625,213.62584113351082
0.92,107.0,223.60158018096263,219.61654663085938,212.2247205941146
0.92,108.0,223.60158018096263,218.06369018554688,210.8268691367398
0.92,109.0,223.60158018096263,216.51358032226562,209.43229626480726
0.92,110.0,223.60158018096263,214.96624755859375,208.04103035819642
0.92,111.0,223.60158018096263,213.42169189453125,206.6530436958285
0.92,112.0,223.60158018096263,211.87994384765625,205.2684694034863
0.92,113.0,223.60158018096263,210.34103393554688,203.88718541144266
0.92,114.0,223.60158018096263,208.8048858642578,202.50926869220086
0.92,115.0,223.60158018096263,207.2715301513672,201.13479816095972
0.92,116.0,223.60158018096263,205.74099731445312,199.76371784873749
0.92,117.0,223.60158018096263,204.2132568359375,198.39606850943392
0.92,118.0,223.60158018096263,202.688232421875,197.03190176339464
0.92,119.0,223.60158018096263,201.16598510742188,195.67123055970697
0.92,120.0,223.60158018096263,199.64654541015625,194.3140077136746
0.922,0.0,218.01154067643856,393.66015625,376.2135156729487
0.922,1.0,218.01154067643856,391.839111328125,374.4020232317128
0.922,2.0,218.01154067643856,390.0216979980469,372.59640111654323
0.922,3.0,218.01154067643856,388.20782470703125,370.7965665294111
0.922,4.0,218.01154067643856,386.3978576660156,369.00251946971855
0.922,5.0,218.01154067643856,384.59136962890625,367.2142383881649
0.922,6.0,218.01154067643856,382.7886962890625,365.43165828236613
0.922,7.0,218.01154067643856,380.98968505859375,363.65473408853074
0.922,8.0,218.01154067643856,379.1943054199219,361.8834411796152
0.922,9.0,218.01154067643856,377.40277099609375,360.1176999433657
0.922,10.0,218.01154067643856,375.61480712890625,358.35753794220653
0.922,11.0,218.01154067643856,373.83074951171875,356.602840618944
0.922,12.0,218.01154067643856,372.05023193359375,354.8535899670454
0.922,13.0,218.01154067643856,370.27362060546875,353.10974524572384
0.922,14.0,218.01154067643856,368.5005798339844,351.37124242032104
0.922,15.0,218.01154067643856,366.7314758300781,349.6380717971085
0.922,16.0,218.01154067643856,364.9659729003906,347.91011096618047
0.922,17.0,218.01154067643856,363.20416259765625,346.18737023828584
0.922,18.0,218.01154067643856,361.4461669921875,344.46982587376215
0.922,19.0,218.01154067643856,359.69195556640625,342.7573508511524
0.922,20.0,218.01154067643856,357.9414367675781,341.04992990396585
0.922,21.0,218.01154067643856,356.2481384277344,339.3475932764221
0.922,22.0,218.01154067643856,354.5633850097656,337.65019806006336
0.922,23.0,218.01154067643856,352.878662109375,335.9576796264672
0.922,24.0,218.01154067643856,351.1942138671875,334.27006531022187
0.922,25.0,218.01154067643856,349.50970458984375,332.58725358918974
0.922,26.0,218.01154067643856,347.8254089355469,330.90917607781745
0.922,27.0,218.01154067643856,346.1413269042969,329.23589330068495
0.922,28.0,218.01154067643856,344.457275390625,327.5672044596345
0.922,29.0,218.01154067643856,342.7734375,325.90316813434015
0.922,30.0,218.01154067643856,341.0898132324219,324.2437475303109
0.922,31.0,218.01154067643856,339.4064636230469,322.58878380610196
0.922,32.0,218.01154067643856,337.72332763671875,320.9383702519847
0.922,33.0,218.01154067643856,336.04046630859375,319.2923816817432
0.922,34.0,218.01154067643856,334.3577880859375,317.6507393152108
0.922,35.0,218.01154067643856,332.6754150390625,316.01348616396103
0.922,36.0,218.01154067643856,330.9933776855469,314.3805417006593
0.922,37.0,218.01154067643856,329.31170654296875,312.7518110459155
0.922,38.0,218.01154067643856,327.6303405761719,311.1273854870381
0.922,39.0,218.01154067643856,325.9493103027344,309.50702990804587
0.922,40.0,218.01154067643856,324.26873779296875,307.890846628314
0.922,41.0,218.01154067643856,322.5883483886719,306.2787614045414
0.922,42.0,218.01154067643856,320.9086608886719,304.67072389712797
0.922,43.0,218.01154067643856,319.2293701171875,303.06668253455376
0.922,44.0,218.01154067643856,317.5504150390625,301.4666622323271
0.922,45.0,218.01154067643856,315.87200927734375,299.87054498566545
0.922,46.0,218.01154067643856,314.194091796875,298.2782886835715
0.922,47.0,218.01154067643856,312.5166931152344,296.6899291558444
0.922,48.0,218.01154067643856,310.83978271484375,295.1054101926971
0.922,49.0,218.01154067643856,309.16351318359375,293.5246342941253
0.922,50.0,218.01154067643856,307.4150390625,291.94762212167444
0.922,51.0,218.01154067643856,305.6632385253906,290.37436773499826
0.922,52.0,218.01154067643856,303.91131591796875,288.8047702384779
0.922,53.0,218.01154067643856,302.159423828125,287.2388351833714
0.922,54.0,218.01154067643856,300.407470703125,285.67656810193586
0.922,55.0,218.01154067643856,298.6556396484375,284.1178645166474
0.922,56.0,218.01154067643856,296.9038391113281,282.5627281020977
0.922,57.0,218.01154067643856,295.195068359375,281.0111207763849
0.922,58.0,218.01154067643856,293.5060729980469,279.46305938799856
0.922,59.0,218.01154067643856,291.820068359375,277.91844858249334
0.922,60.0,218.01154067643856,290.13720703125,276.3773320797131
0.922,61.0,218.01154067643856,288.4571533203125,274.8396549581228
0.922,62.0,218.01154067643856,286.7803649902344,273.30540380680367
0.922,63.0,218.01154067643856,285.106689453125,271.7745360358472
0.922,64.0,218.01154067643856,283.43585205078125,270.2470368708971
0.922,65.0,218.01154067643856,281.7681579589844,268.7229056109657
0.922,66.0,218.01154067643856,280.1034240722656,267.2020975544541
0.922,67.0,218.01154067643856,278.4416809082031,265.6845962555978
0.922,68.0,218.01154067643856,276.78302001953125,264.1703995530158
0.922,69.0,218.01154067643856,275.127197265625,262.65949023878807
0.922,70.0,218.01154067643856,273.47467041015625,261.15188049772877
0.922,71.0,218.01154067643856,271.8247375488281,259.64743222781925
0.922,72.0,218.01154067643856,270.17791748046875,258.1462914947646
0.922,73.0,218.01154067643856,268.5342712402344,256.64834891345004
0.922,74.0,218.01154067643856,266.8934326171875,255.15359957288473
0.922,75.0,218.01154067643856,265.255615234375,253.66206142474283
0.922,76.0,218.01154067643856,263.6207275390625,252.17373723288475
0.922,77.0,218.01154067643856,261.9887390136719,250.68857516598158
0.922,78.0,218.01154067643856,260.3598327636719,249.2065533849381
0.922,79.0,218.01154067643856,258.733642578125,247.72773613384513
0.922,80.0,218.01154067643856,257.1105651855469,246.25207010551202
0.922,81.0,218.01154067643856,255.49012756347656,244.77951654243864
0.922,82.0,218.01154067643856,253.87290954589844,243.31013998341706
0.922,83.0,218.01154067643856,252.25863647460938,241.8439175765022
0.922,84.0,218.01154067643856,250.647216796875,240.38079328692217
0.922,85.0,218.01154067643856,249.0384521484375,238.92077498357065
0.922,86.0,218.01154067643856,247.43283081054688,237.46395285653358
0.922,87.0,218.01154067643856,245.83001708984375,236.0102205811223
0.922,88.0,218.01154067643856,244.23004150390625,234.559635607344
0.922,89.0,218.01154067643856,242.63314819335938,233.11218966143747
0.922,90.0,218.01154067643856,241.03900146484375,231.6678572736192
0.922,91.0,218.01154067643856,239.44772338867188,230.2266800758548
0.922,92.0,218.01154067643856,237.85926818847656,228.7886323252316
0.922,93.0,218.01154067643856,236.27377319335938,227.35373904171885
0.922,94.0,218.01154067643856,234.69114685058594,225.92203439461144
0.922,95.0,218.01154067643856,233.1112518310547,224.49343148798363
0.922,96.0,218.01154067643856,231.5343017578125,223.06799867136925
0.922,97.0,218.01154067643856,229.9600830078125,221.64575304695103
0.922,98.0,218.01154067643856,228.38885498046875,220.2266854147108
0.922,99.0,218.01154067643856,226.8203125,218.810777271139
0.922,100.0,218.01154067643856,225.25474548339844,217.39810831743685
0.922,101.0,218.01154067643856,223.69189453125,215.98864264122778
0.922,102.0,218.01154067643856,222.13204956054688,214.58240695592917
0.922,103.0,218.01154067643856,220.57473754882812,213.17938272438542
0.922,104.0,218.01154067643856,219.0203857421875,211.77966144084752
0.922,105.0,218.01154067643856,217.46884155273438,210.38314192503637
0.922,106.0,218.01154067643856,215.92019653320312,208.98996312622288
0.922,107.0,218.01154067643856,214.374267578125,207.60008881260143
0.922,108.0,218.01154067643856,212.83111572265625,206.2134910869073
0.922,109.0,218.01154067643856,211.290771484375,204.83023649171037
0.922,110.0,218.01154067643856,209.75332641601562,203.4503740166137
0.922,111.0,218.01154067643856,208.21853637695312,202.07386683153763
0.922,112.0,218.01154067643856,206.68663024902344,200.70076451025292
0.922,113.0,218.01154067643856,205.15744018554688,199.33106882771688
0.922,114.0,218.01154067643856,203.63116455078125,197.96484062832977
0.922,115.0,218.01154067643856,202.10760498046875,196.60210252881325
0.922,116.0,218.01154067643856,200.58676147460938,195.2428275731275
0.922,117.0,218.01154067643856,199.06866455078125,193.8870785244597
0.922,118.0,218.01154067643856,197.553466796875,192.53487914531226
0.922,119.0,218.01154067643856,196.04098510742188,191.18626388943323
0.922,120.0,218.01154067643856,194.531494140625,189.8412782760904
0.924,0.0,212.42150117191449,387.42608642578125,370.09532133627414
0.924,1.0,212.42150117191449,385.61761474609375,368.30598267608957
0.924,2.0,212.42150117191449,383.81292724609375,366.5223603342639
0.924,3.0,212.42150117191449,382.01171875,364.74440965558335
0.924,4.0,212.42150117191449,380.2143859863281,362.97202027153554
0.924,5.0,212.42150117191449,378.42071533203125,361.20530649133605
0.924,6.0,212.42150117191449,376.63079833984375,359.4440259797066
0.924,7.0,212.42150117191449,374.8446044921875,357.68823715632584
0.924,8.0,212.42150117191449,373.06207275390625,355.93796641760485
0.924,9.0,212.42150117191449,371.2833557128906,354.19300882428496
0.924,10.0,212.42150117191449,369.5120544433594,352.45342112469274
0.924,11.0,212.42150117191449,367.82513427734375,350.71916070768077
0.924,12.0,212.42150117191449,366.13818359375,348.9901502908069
0.924,13.0,212.42150117191449,364.4512939453125,347.26628831488955
0.924,14.0,212.42150117191449,362.764404296875,345.5475840061684
0.924,15.0,212.42150117191449,361.0774841308594,343.83402382181436
0.924,16.0,212.42150117191449,359.390625,342.1254909569002
0.924,17.0,212.42150117191449,357.70379638671875,340.4220152068606
0.924,18.0,212.42150117191449,356.0171813964844,338.72343069235706
0.924,19.0,212.42150117191449,354.3304443359375,337.0297997766666
0.924,20.0,212.42150117191449,352.643798828125,335.3409994878348
0.924,21.0,212.42150117191449,350.95733642578125,333.65704463940216
0.924,22.0,212.42150117191449,349.2710266113281,331.9777854013729
0.924,23.0,212.42150117191449,347.58489990234375,330.30332886984354
0.924,24.0,212.42150117191449,345.8988342285156,328.63348695773533
0.924,25.0,212.42150117191449,344.2130126953125,326.96827063187646
0.924,26.0,212.42150117191449,342.5274353027344,325.30758281586367
0.924,27.0,212.42150117191449,340.8419189453125,323.6514690797803
0.924,28.0,212.42150117191449,339.1568603515625,321.9998180317809
0.924,29.0,212.42150117191449,337.4718017578125,320.35260114832846
0.924,30.0,212.42150117191449,335.7872009277344,318.70976461743373
0.924,31.0,212.42150117191449,334.102783203125,317.07126564859203
0.924,32.0,212.42150117191449,332.418701171875,315.43706038209905
0.924,33.0,212.42150117191449,330.7349853515625,313.8071038671687
0.924,34.0,212.42150117191449,329.05145263671875,312.18138757779906
0.924,35.0,212.42150117191449,327.36846923828125,310.5597894327274
0.924,36.0,212.42150117191449,325.685791015625,308.94238692270767
0.924,37.0,212.42150117191449,324.00347900390625,307.3289539524384
0.924,38.0,212.42150117191449,322.3216552734375,305.7196428102061
0.924,39.0,212.42150117191449,320.6401672363281,304.11432626152293
0.924,40.0,212.42150117191449,318.959228515625,302.51295168554356
0.924,41.0,212.42150117191449,317.2786865234375,300.915478166212
0.924,42.0,212.42150117191449,315.5902099609375,299.32195511271806
0.924,43.0,212.42150117191449,313.8427734375,297.732249156016
0.924,44.0,212.42150117191449,312.1012268066406,296.14639538579564
0.924,45.0,212.42150117191449,310.3653259277344,294.56425710275846
0.924,46.0,212.42150117191449,308.6351623535156,292.98589449835293
0.924,47.0,212.42150117191449,306.9106750488281,291.4113018999092
0.924,48.0,212.42150117191449,305.1919250488281,289.8403116372876
0.924,49.0,212.42150117191449,303.47869873046875,288.27300970607706
0.924,50.0,212.42150117191449,301.7711181640625,286.70930672459866
0.924,51.0,212.42150117191449,300.0690002441406,285.14923450274244
0.924,52.0,212.42150117191449,298.372314453125,283.5927152184978
0.924,53.0,212.42150117191449,296.63006591796875,282.03966919566477
0.924,54.0,212.42150117191449,294.87628173828125,280.49020983360543
0.924,55.0,212.42150117191449,293.12255859375,278.9441728419864
0.924,56.0,212.42150117191449,291.36907958984375,277.40160136073473
0.924,57.0,212.42150117191449,289.61566162109375,275.86249688477045
0.924,58.0,212.42150117191449,287.86248779296875,274.3268323323477
0.924,59.0,212.42150117191449,286.12298583984375,272.7944939647793
0.924,60.0,212.42150117191449,284.4504699707031,271.2654949491365
0.924,61.0,212.42150117191449,282.78118896484375,269.7398775904297
0.924,62.0,212.42150117191449,281.1148681640625,268.21759764694787
0.924,63.0,212.42150117191449,279.4514465332031,266.69862438715353
0.924,64.0,212.42150117191449,277.79132080078125,265.18294098131577
0.924,65.0,212.42150117191449,276.13397216796875,263.6704708295944
0.924,66.0,212.42150117191449,274.4796447753906,262.1613142465913
0.924,67.0,212.42150117191449,272.8282470703125,260.6553789249322
0.924,68.0,212.42150117191449,271.1799621582031,259.1526758013507
0.924,69.0,212.42150117191449,269.53472900390625,257.65320078547444
0.924,70.0,212.42150117191449,267.89239501953125,256.156934319569
0.924,71.0,212.42150117191449,266.25286865234375,254.66378723966625
0.924,72.0,212.42150117191449,264.61639404296875,253.17391502680525
0.924,73.0,212.42150117191449,262.9828796386719,251.68712751400298
0.924,74.0,212.42150117191449,261.35247802734375,250.2035421411935
0.924,75.0,212.42150117191449,259.724853515625,248.72311412492405
0.924,76.0,212.42150117191449,258.1001892089844,247.24583698466998
0.924,77.0,212.42150117191449,256.47845458984375,245.77168012201895
0.924,78.0,212.42150117191449,254.85960388183594,244.30066004822828
0.924,79.0,212.42150117191449,253.24380493164062,242.83278551042073
0.924,80.0,212.42150117191449,251.6308135986328,241.3680006105822
0.924,81.0,212.42150117191449,250.0207977294922,239.90638636507782
0.924,82.0,212.42150117191449,248.41354370117188,238.44784545053034
0.924,83.0,212.42150117191449,246.80931091308594,236.99244285156016
0.924,84.0,212.42150117191449,245.20794677734375,235.54017869834863
0.924,85.0,212.42150117191449,243.60952758789062,234.0910363111967
0.924,86.0,212.42150117191449,242.01385498046875,232.6449816780925
0.924,87.0,212.42150117191449,240.42111206054688,231.20208118386392
0.924,88.0,212.42150117191449,238.83126831054688,229.76230074524847
0.924,89.0,212.42150117191449,237.2442626953125,228.32565661517324
0.924,90.0,212.42150117191449,235.66009521484375,226.8921481122694
0.924,91.0,212.42150117191449,234.0789031982422,225.46180905809746
0.924,92.0,212.42150117191449,232.50054931640625,224.03460426070345
0.924,93.0,212.42150117191449,230.9248504638672,222.6105501346466
0.924,94.0,212.42150117191449,229.35227966308594,221.18968104321684
0.924,95.0,212.42150117191449,227.78225708007812,219.77197877857404
0.924,96.0,212.42150117191449,226.2152099609375,218.35746030019217
0.924,97.0,212.42150117191449,224.65109252929688,216.94614287018334
0.924,98.0,212.42150117191449,223.08961486816406,215.53807124554586
0.924,99.0,212.42150117191449,221.53103637695312,214.13318176137486
0.924,100.0,212.42150117191449,219.97540283203125,212.73155582505854
0.924,101.0,212.42150117191449,218.42242431640625,211.33312898419405
0.924,102.0,212.42150117191449,216.8721923828125,209.93803959442414
0.924,103.0,212.42150117191449,215.32504272460938,208.54622351831262
0.924,104.0,212.42150117191449,213.78054809570312,207.15767130678506
0.924,105.0,212.42150117191449,212.23878479003906,205.7725059835497
0.924,106.0,212.42150117191449,210.69989013671875,204.39065307029085
0.924,107.0,212.42150117191449,209.16387939453125,203.01213210360115
0.924,108.0,212.42150117191449,207.63055419921875,201.6370404805377
0.924,109.0,212.42150117191449,206.1000213623047,200.26533181007642
0.924,110.0,212.42150117191449,204.57223510742188,198.89704662525787
0.924,111.0,212.42150117191449,203.0474395751953,197.5322758437213
0.924,112.0,212.42150117191449,201.5253448486328,196.17088373405468
0.924,113.0,212.42150117191449,200.00587463378906,194.81305141083337
0.924,114.0,212.42150117191449,198.4892578125,193.45876296707266
0.924,115.0,212.42150117191449,196.9754638671875,192.10799168371418
0.924,116.0,212.42150117191449,195.46450805664062,190.76083275269062
0.924,117.0,212.42150117191449,193.9561767578125,189.41730138110404
0.924,118.0,212.42150117191449,192.4508056640625,188.0774337706414
0.924,119.0,212.42150117191449,190.94815063476562,186.74121465279163
0.924,120.0,212.42150117191449,189.44815063476562,185.40875451283307
0.926,0.0,206.83146166739036,381.2322692871094,364.05912552084175
0.926,1.0,206.83146166739036,379.43658447265625,362.2913192446101
0.926,2.0,206.83146166739036,377.7342529296875,360.52902752413706
0.926,3.0,206.83146166739036,376.04541015625,358.7721574167929
0.926,4.0,206.83146166739036,374.3567199707031,357.02079990177043
0.926,5.0,206.83146166739036,372.66790771484375,355.2747726232472
0.926,6.0,206.83146166739036,370.9790344238281,353.534110359241
0.926,7.0,206.83146166739036,369.29022216796875,351.79877060615206
0.926,8.0,206.83146166739036,367.6011962890625,350.0685981882694
0.926,9.0,206.83146166739036,365.9122619628906,348.34367010181194
0.926,10.0,206.83146166739036,364.2235107421875,346.62386179041397
0.926,11.0,206.83146166739036,362.53460693359375,344.9091932125034
0.926,12.0,206.83146166739036,360.845703125,343.1995934401729
0.926,13.0,206.83146166739036,359.1568603515625,341.49488694927777
0.926,14.0,206.83146166739036,357.46826171875,339.7952623455777
0.926,15.0,206.83146166739036,355.7794189453125,338.1004034491825
0.926,16.0,206.83146166739036,354.0907897949219,336.4104984055938
0.926,17.0,206.83146166739036,352.40252685546875,334.7253888450949
0.926,18.0,206.83146166739036,350.7141418457031,333.0449833543511
0.926,19.0,206.83146166739036,349.0260009765625,331.369329921313
0.926,20.0,206.83146166739036,347.337890625,329.6982877381986
0.926,21.0,206.83146166739036,345.65020751953125,328.0319272761418
0.926,22.0,206.83146166739036,343.9624328613281,326.37003299552487
0.926,23.0,206.83146166739036,342.2750244140625,324.7127215901773
0.926,24.0,206.83146166739036,340.58782958984375,323.05988221999957
0.926,25.0,206.83146166739036,338.9008483886719,321.41142588199943
0.926,26.0,206.83146166739036,337.21405029296875,319.76734706658215
0.926,27.0,206.83146166739036,335.5278015136719,318.12766452715175
0.926,28.0,206.83146166739036,333.84161376953125,316.49216271892107
0.926,29.0,206.83146166739036,332.1557922363281,314.8609936344926
0.926,30.0,206.83146166739036,330.4703369140625,313.2339506064118
0.926,31.0,206.83146166739036,328.78515625,311.6111358729017
0.926,32.0,206.83146166739036,327.1004638671875,309.9924394239318
0.926,33.0,206.83146166739036,325.41607666015625,308.3777487716972
0.926,34.0,206.83146166739036,323.7099609375,306.76715263779465
0.926,35.0,206.83146166739036,321.9353332519531,305.16054944487826
0.926,36.0,206.83146166739036,320.16656494140625,303.55786104135075
0.926,37.0,206.83146166739036,318.4039611816406,301.95912388931055
0.926,38.0,206.83146166739036,316.6473388671875,300.3642580268165
0.926,39.0,206.83146166739036,314.89642333984375,298.77320778058396
0.926,40.0,206.83146166739036,313.15142822265625,297.1859687131948
0.926,41.0,206.83146166739036,311.412353515625,295.60254935893227
0.926,42.0,206.83146166739036,309.678955078125,294.02283871750507
0.926,43.0,206.83146166739036,307.95135498046875,292.44684346048257
0.926,44.0,206.83146166739036,306.2293701171875,290.8745165445058
0.926,45.0,206.83146166739036,304.51300048828125,289.3058367670794
0.926,46.0,206.83146166739036,302.80218505859375,287.7407551729508
0.926,47.0,206.83146166739036,301.09686279296875,286.1792625479701
0.926,48.0,206.83146166739036,299.39715576171875,284.62133561541026
0.926,49.0,206.83146166739036,297.702880859375,283.06693665103313
0.926,50.0,206.83146166739036,296.0140380859375,281.51602696383026
0.926,51.0,206.83146166739036,294.33050537109375,279.96859477895015
0.926,52.0,206.83146166739036,292.65234375,278.4245998695158
0.926,53.0,206.83146166739036,290.9794616699219,276.8840433060381
0.926,54.0,206.83146166739036,289.31182861328125,275.3468834942571
0.926,55.0,206.83146166739036,287.5718688964844,273.81310631067316
0.926,56.0,206.83146166739036,285.81671142578125,272.2826684945261
0.926,57.0,206.83146166739036,284.0618896484375,270.75559781840155
0.926,58.0,206.83146166739036,282.307373046875,269.2318209972588
0.926,59.0,206.83146166739036,280.55316162109375,267.7113650930793
0.926,60.0,206.83146166739036,278.7989807128906,266.1941402670239
0.926,61.0,206.83146166739036,277.1385498046875,264.68021684194684
0.926,62.0,206.83146166739036,275.4826965332031,263.1695033623767
0.926,63.0,206.83146166739036,273.82977294921875,261.6620852836727
0.926,64.0,206.83146166739036,272.17987060546875,260.1578547247805
0.926,65.0,206.83146166739036,270.53302001953125,258.6568219910312
0.926,66.0,206.83146166739036,268.8890380859375,257.158997509323
0.926,67.0,206.83146166739036,267.2481994628906,255.66433071509996
0.926,68.0,206.83146166739036,265.6102294921875,254.1728542621143
0.926,69.0,206.83146166739036,263.9752502441406,252.68448551256566
0.926,70.0,206.83146166739036,262.3431396484375,251.199365233573
0.926,71.0,206.83146166739036,260.7140197753906,249.7172854574749
0.926,72.0,206.83146166739036,259.0878601074219,248.23842653032185
0.926,73.0,206.83146166739036,257.4645690917969,246.76265640033543
0.926,74.0,206.83146166739036,255.84432983398438,245.29003081811132
