variant,naive_all_data_median,naive_rmse
Vicon_Ccm|p10|uniform|range_residual_LOO_on_train,99.83196331201691,120.73821220416052
Vicon_Ccm|p10|uniform|fixed_0,113.20120337064563,130.22769966905344
Vicon_Ccm|p10|inverse_rms|range_residual_LOO_on_train,99.38965235359171,116.34768441571299
Vicon_Ccm|p10|inverse_rms|fixed_0,111.60346830947478,124.9896999198544
Vicon_Ccm|p20|uniform|range_residual_LOO_on_train,99.48790246166223,121.6660450021204
Vicon_Ccm|p20|uniform|fixed_0,129.24303479436543,143.87878339922085
Vicon_Ccm|p20|inverse_rms|range_residual_LOO_on_train,100.39735425737825,117.16566928328231
Vicon_Ccm|p20|inverse_rms|fixed_0,128.75410867057263,137.6858799101488
Vicon_Ccm|p25|uniform|range_residual_LOO_on_train,99.80754966302244,122.1075059514705
Vicon_Ccm|p25|uniform|fixed_0,136.42125553800975,149.49104255095352
Vicon_Ccm|p25|inverse_rms|range_residual_LOO_on_train,100.41854289707932,117.54761825963773
Vicon_Ccm|p25|inverse_rms|fixed_0,135.39673180782376,143.00391777853974
Vicon_Ccm|p30|uniform|range_residual_LOO_on_train,101.66457679739122,123.9487581929867
Vicon_Ccm|p30|uniform|fixed_0,142.78063206648312,154.91950789420298
Vicon_Ccm|p30|inverse_rms|range_residual_LOO_on_train,102.02220598751896,119.27335977274515
Vicon_Ccm|p30|inverse_rms|fixed_0,141.41416964010176,148.231188913107
Vicon_Ccm|p40|uniform|range_residual_LOO_on_train,98.71217217701087,122.52968032331023
Vicon_Ccm|p40|uniform|fixed_0,155.76868743082218,164.88690414605566
Vicon_Ccm|p40|inverse_rms|range_residual_LOO_on_train,98.70210186632403,117.96715208941657
Vicon_Ccm|p40|inverse_rms|fixed_0,151.15116396471393,157.84168743692862
Vicon_Ccm|p50|uniform|range_residual_LOO_on_train,89.80412357984042,117.85618184535065
Vicon_Ccm|p50|uniform|fixed_0,168.09164132556484,174.83445127026545
Vicon_Ccm|p50|inverse_rms|range_residual_LOO_on_train,90.16874823293946,113.80768717021635
Vicon_Ccm|p50|inverse_rms|fixed_0,161.12656398488872,167.64464724222148
