row_type,layout,method,d_tag_mm,capture_id,tag,n_points,frames_input,frames_solved,true_radius_mm,source_tr_all,alignment,status,n,radius_mm,radius_error_mm,radius_error_percent,center_x_mm,center_y_mm,center_z_mm,normal_x,normal_y,normal_z,in_plane_radial_rms_mm,in_plane_radial_p95_abs_mm,out_of_plane_rms_mm,out_of_plane_p95_abs_mm,n_tracks,radius_mm_median,radius_mm_mean,radius_mm_p25,radius_mm_p75,radius_error_mm_median,radius_error_percent_median,in_plane_radial_rms_mm_median,out_of_plane_rms_mm_median,note,radius_delta_mm,radius_delta_error_mm,radius_delta_error_percent,radius_BS2DCE_mm,radius_BSDC91_mm,n_pairs,radius_delta_mm_median,radius_delta_mm_mean,radius_delta_mm_p25,radius_delta_mm_p75,radius_delta_error_mm_median,radius_delta_error_percent_median
track,v4-io,T4,49.6,R11,BS2DCE,1201,1201,1201,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R11_BS2DCE_BSDC91_120s_20260528_132910/tag_capture_20260528_132910/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1201,429.8601979381142,309.8601979381142,258.21683161509515,1798.222716422372,1204.4724235812946,-766.3664928189213,-0.9529327506213566,0.00023524853496020848,0.3031816575113706,47.633670552423155,96.19207057198128,38.65891114195514,75.2171378794401,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R11,BSDC91,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R11_BS2DCE_BSDC91_120s_20260528_132910/tag_capture_20260528_132910/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,536.2089029334977,416.2089029334977,346.84075244458137,1793.0139252402053,1180.7159949502227,-779.498722586518,0.9446260624421123,0.04907625686759565,-0.32445819941400206,50.01465029630081,96.55387946482574,29.799364987869744,58.693125957372224,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R12,BS2DCE,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R12_BS2DCE_BSDC91_120s_20260528_133222/tag_capture_20260528_133222/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,457.51901446426376,337.51901446426376,281.26584538688644,1551.0666731042238,1323.1316403054677,-786.3126160351447,-0.06680346712880574,0.9645060593602254,-0.2554708559444302,57.35848680470015,114.50874585551306,52.631618123639136,103.54700769156993,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R12,BSDC91,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R12_BS2DCE_BSDC91_120s_20260528_133222/tag_capture_20260528_133222/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,570.8488305287597,450.84883052875966,375.7073587739664,1565.2397594253837,1310.744474100683,-818.2462659424058,-0.060379768009582245,0.9518366167995708,-0.3006016276314163,64.21291524904225,124.91777094903638,50.15717961356342,100.57237213300512,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R13,BS2DCE,1201,1201,1201,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R13_BS2DCE_BSDC91_120s_20260528_133559/tag_capture_20260528_133559/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1201,441.4972961321072,321.4972961321072,267.91441344342263,1393.1005663178728,1111.093805564433,-766.5004000629798,-0.9437858878990758,-0.06300017716779888,-0.32449834433996516,55.61494040195462,107.62139218038641,32.61674903086217,65.65264026915536,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R13,BSDC91,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R13_BS2DCE_BSDC91_120s_20260528_133559/tag_capture_20260528_133559/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,548.4859687812029,428.4859687812029,357.0716406510025,1405.8832528458236,1111.8999245373664,-755.6458716574151,0.9532911874436348,0.044715527290117074,0.29872467852769,49.28114489585119,98.26160554110642,38.49127521508381,74.65151591092452,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R14,BS2DCE,1201,1201,1201,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R14_BS2DCE_BSDC91_120s_20260528_134048/tag_capture_20260528_134048/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1201,448.55065807726305,328.55065807726305,273.7922150643859,1359.0281441713028,1057.9103845771617,-735.3921539472855,0.12144895309025219,-0.9924927360516886,0.01443331832652317,50.377081784368464,102.19186731469,41.45337774315805,82.95320546447158,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R14,BSDC91,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R14_BS2DCE_BSDC91_120s_20260528_134048/tag_capture_20260528_134048/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,563.2916605221857,443.2916605221857,369.4097171018214,1356.3038298597382,1050.5377719003318,-735.1927148994977,-0.1320062290968296,0.9908607863115996,-0.02773549403911335,48.99266118926597,93.55382800511025,41.374483935398914,79.73187193668296,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R15,BS2DCE,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R15_BS2DCE_BSDC91_120s_20260528_134410/tag_capture_20260528_134410/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,414.1023746711007,294.1023746711007,245.08531222591725,1554.3399206495358,1315.33137783145,-725.641056273279,-0.9993620940774757,-0.035379025838449166,0.004871288515868857,49.960408720375625,100.22417199263577,32.528532082720425,60.91018633999143,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R15,BSDC91,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R15_BS2DCE_BSDC91_120s_20260528_134410/tag_capture_20260528_134410/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,527.7646128491212,407.76461284912125,339.80384404093434,1555.375938135443,1284.5704600849665,-733.958068493379,-0.9984544490653414,-0.05465588969900152,0.010072083341419832,48.922024407359224,97.47543087116748,36.07878258324664,69.55936260212522,,,,,,,,,,,,,,,,,,,,,,
