script,physical_cores,logical_cores,workers,elapsed_s,cpu_percent_mean_live,cpu_percent_max_live,n_jobs,n_dynamic_tracks,n_dynamic_rho_rows,n_static_rho_rows,v4_layout,v5_layout,time_offsets,wand_mapping,anchor_rigid_rms_mm,completed,total,dataset,layout,d_tag_mm,capture_id,tag,frames_input,frames_solved,live_cpu_percent
,,,,,,,,,,,,,,,,19,160,dynamic,v4-io,49.6,R11,BS2DCE,1201,1201,89.5
,,,,,,,,,,,,,,,,20,160,dynamic,v4-io,49.6,R10,BS2DCE,1200,1200,91.5
,,,,,,,,,,,,,,,,21,160,dynamic,v4-io,49.6,R10,BSDC91,1200,1200,94.1
,,,,,,,,,,,,,,,,22,160,dynamic,v4-io,49.6,R11,BSDC91,1200,1200,85.8
,,,,,,,,,,,,,,,,23,160,dynamic,v4-io,49.6,R12,BS2DCE,1200,1200,76.8
,,,,,,,,,,,,,,,,24,160,dynamic,v4-io,49.6,R12,BSDC91,1200,1200,89.8
,,,,,,,,,,,,,,,,25,160,dynamic,v4-io,49.6,R13,BS2DCE,1201,1201,84.8
,,,,,,,,,,,,,,,,26,160,dynamic,v4-io,49.6,R13,BSDC91,1200,1200,87.0
,,,,,,,,,,,,,,,,27,160,dynamic,v4-io,49.6,R14,BS2DCE,1201,1201,90.5
,,,,,,,,,,,,,,,,28,160,dynamic,v4-io,49.6,R14,BSDC91,1200,1200,80.6
,,,,,,,,,,,,,,,,29,160,dynamic,v4-io,49.6,R16,BS2DCE,1201,1201,82.1
,,,,,,,,,,,,,,,,30,160,dynamic,v4-io,49.6,R15,BS2DCE,1200,1200,86.1
,,,,,,,,,,,,,,,,31,160,dynamic,v4-io,49.6,R16,BSDC91,1200,1200,84.8
,,,,,,,,,,,,,,,,32,160,dynamic,v4-io,49.6,R15,BSDC91,1200,1200,90.0
,,,,,,,,,,,,,,,,33,160,dynamic,v4-io,49.6,R17,BS2DCE,1201,1201,90.3
,,,,,,,,,,,,,,,,34,160,dynamic,v4-io,49.6,R17,BSDC91,1200,1200,90.0
,,,,,,,,,,,,,,,,35,160,dynamic,v4-io,75.0,R01,BS2DCE,1201,1201,82.8
,,,,,,,,,,,,,,,,36,160,dynamic,v4-io,75.0,R01,BSDC91,1200,1200,88.0
,,,,,,,,,,,,,,,,37,160,dynamic,v4-io,75.0,R02,BS2DCE,1201,1201,83.1
,,,,,,,,,,,,,,,,38,160,dynamic,v4-io,75.0,R02,BSDC91,1200,1200,87.4
,,,,,,,,,,,,,,,,39,160,dynamic,v4-io,75.0,R03,BSDC91,1200,1200,87.6
,,,,,,,,,,,,,,,,40,160,dynamic,v4-io,75.0,R03,BS2DCE,1200,1200,91.7
,,,,,,,,,,,,,,,,41,160,dynamic,v4-io,75.0,R04,BS2DCE,1200,1200,93.7
,,,,,,,,,,,,,,,,42,160,dynamic,v4-io,75.0,R04,BSDC91,1200,1200,85.3
,,,,,,,,,,,,,,,,43,160,dynamic,v4-io,75.0,R05,BS2DCE,1200,1200,93.4
,,,,,,,,,,,,,,,,44,160,dynamic,v4-io,75.0,R05,BSDC91,1201,1201,93.7
,,,,,,,,,,,,,,,,45,160,dynamic,v4-io,75.0,R06,BS2DCE,1200,1200,88.8
,,,,,,,,,,,,,,,,46,160,dynamic,v4-io,75.0,R06,BSDC91,1201,1201,91.3
,,,,,,,,,,,,,,,,47,160,dynamic,v4-io,75.0,R07,BS2DCE,1200,1200,85.4
,,,,,,,,,,,,,,,,48,160,dynamic,v4-io,75.0,R07,BSDC91,1201,1201,75.9
,,,,,,,,,,,,,,,,49,160,dynamic,v4-io,75.0,R08,BS2DCE,1201,1201,88.2
,,,,,,,,,,,,,,,,50,160,dynamic,v4-io,75.0,R08,BSDC91,1200,1200,93.3
,,,,,,,,,,,,,,,,51,160,dynamic,v4-io,75.0,R09,BSDC91,1200,1200,84.0
,,,,,,,,,,,,,,,,52,160,dynamic,v4-io,75.0,R09,BS2DCE,1200,1200,86.6
,,,,,,,,,,,,,,,,53,160,dynamic,v4-io,75.0,R10,BS2DCE,1200,1200,84.0
,,,,,,,,,,,,,,,,54,160,dynamic,v4-io,75.0,R10,BSDC91,1200,1200,66.5
,,,,,,,,,,,,,,,,55,160,dynamic,v4-io,75.0,R11,BS2DCE,1201,1201,32.8
,,,,,,,,,,,,,,,,56,160,dynamic,v4-io,75.0,R11,BSDC91,1200,1200,41.1
,,,,,,,,,,,,,,,,57,160,dynamic,v4-io,75.0,R12,BS2DCE,1200,1200,34.0
,,,,,,,,,,,,,,,,58,160,dynamic,v4-io,75.0,R12,BSDC91,1200,1200,28.2
,,,,,,,,,,,,,,,,59,160,dynamic,v4-io,75.0,R14,BSDC91,1200,1200,34.3
,,,,,,,,,,,,,,,,60,160,dynamic,v4-io,75.0,R13,BS2DCE,1201,1201,31.3
,,,,,,,,,,,,,,,,61,160,dynamic,v4-io,75.0,R13,BSDC91,1200,1200,34.0
,,,,,,,,,,,,,,,,62,160,dynamic,v4-io,75.0,R14,BS2DCE,1201,1201,34.3
,,,,,,,,,,,,,,,,63,160,dynamic,v4-io,75.0,R15,BS2DCE,1200,1200,26.2
,,,,,,,,,,,,,,,,64,160,dynamic,v4-io,75.0,R15,BSDC91,1200,1200,26.9
,,,,,,,,,,,,,,,,65,160,dynamic,v4-io,75.0,R16,BSDC91,1200,1200,31.1
,,,,,,,,,,,,,,,,66,160,dynamic,v4-io,75.0,R17,BS2DCE,1201,1201,26.2
,,,,,,,,,,,,,,,,67,160,dynamic,v4-io,75.0,R16,BS2DCE,1201,1201,26.3
,,,,,,,,,,,,,,,,68,160,dynamic,v4-io,75.0,R17,BSDC91,1200,1200,27.4
,,,,,,,,,,,,,,,,69,160,dynamic,v5-commonmode,49.6,R01,BS2DCE,1201,1201,47.5
,,,,,,,,,,,,,,,,70,160,dynamic,v5-commonmode,49.6,R02,BS2DCE,1201,1201,29.5
,,,,,,,,,,,,,,,,71,160,dynamic,v5-commonmode,49.6,R01,BSDC91,1200,1200,25.0
,,,,,,,,,,,,,,,,72,160,dynamic,v5-commonmode,49.6,R03,BS2DCE,1200,1200,30.0
,,,,,,,,,,,,,,,,73,160,dynamic,v5-commonmode,49.6,R02,BSDC91,1200,1200,29.8
,,,,,,,,,,,,,,,,74,160,dynamic,v5-commonmode,49.6,R03,BSDC91,1200,1200,26.8
,,,,,,,,,,,,,,,,75,160,dynamic,v5-commonmode,49.6,R04,BSDC91,1200,1200,26.9
,,,,,,,,,,,,,,,,76,160,dynamic,v5-commonmode,49.6,R05,BS2DCE,1200,1200,28.0
,,,,,,,,,,,,,,,,77,160,dynamic,v5-commonmode,49.6,R04,BS2DCE,1200,1200,25.2
,,,,,,,,,,,,,,,,78,160,dynamic,v5-commonmode,49.6,R05,BSDC91,1201,1201,25.3
,,,,,,,,,,,,,,,,79,160,dynamic,v5-commonmode,49.6,R06,BS2DCE,1200,1200,29.9
,,,,,,,,,,,,,,,,80,160,dynamic,v5-commonmode,49.6,R06,BSDC91,1201,1201,27.5
,,,,,,,,,,,,,,,,81,160,dynamic,v5-commonmode,49.6,R07,BS2DCE,1200,1200,46.2
,,,,,,,,,,,,,,,,82,160,dynamic,v5-commonmode,49.6,R07,BSDC91,1201,1201,35.2
,,,,,,,,,,,,,,,,83,160,dynamic,v5-commonmode,49.6,R08,BSDC91,1200,1200,35.2
,,,,,,,,,,,,,,,,84,160,dynamic,v5-commonmode,49.6,R08,BS2DCE,1201,1201,32.0
,,,,,,,,,,,,,,,,85,160,dynamic,v5-commonmode,49.6,R09,BS2DCE,1200,1200,29.0
,,,,,,,,,,,,,,,,86,160,dynamic,v5-commonmode,49.6,R09,BSDC91,1200,1200,44.4
,,,,,,,,,,,,,,,,87,160,dynamic,v5-commonmode,49.6,R10,BS2DCE,1200,1200,45.6
,,,,,,,,,,,,,,,,88,160,dynamic,v5-commonmode,49.6,R11,BS2DCE,1201,1201,23.0
,,,,,,,,,,,,,,,,89,160,dynamic,v5-commonmode,49.6,R10,BSDC91,1200,1200,25.7
,,,,,,,,,,,,,,,,90,160,dynamic,v5-commonmode,49.6,R11,BSDC91,1200,1200,33.7
,,,,,,,,,,,,,,,,91,160,dynamic,v5-commonmode,49.6,R12,BS2DCE,1200,1200,27.1
,,,,,,,,,,,,,,,,92,160,dynamic,v5-commonmode,49.6,R12,BSDC91,1200,1200,34.4
,,,,,,,,,,,,,,,,93,160,dynamic,v5-commonmode,49.6,R13,BSDC91,1200,1200,26.7
,,,,,,,,,,,,,,,,94,160,dynamic,v5-commonmode,49.6,R13,BS2DCE,1201,1201,27.5
,,,,,,,,,,,,,,,,95,160,dynamic,v5-commonmode,49.6,R14,BS2DCE,1201,1201,26.5
,,,,,,,,,,,,,,,,96,160,dynamic,v5-commonmode,49.6,R14,BSDC91,1200,1200,29.1
,,,,,,,,,,,,,,,,97,160,dynamic,v5-commonmode,49.6,R15,BS2DCE,1200,1200,24.9
,,,,,,,,,,,,,,,,98,160,dynamic,v5-commonmode,49.6,R15,BSDC91,1200,1200,27.3
,,,,,,,,,,,,,,,,99,160,dynamic,v5-commonmode,49.6,R16,BS2DCE,1201,1201,26.0
,,,,,,,,,,,,,,,,100,160,dynamic,v5-commonmode,49.6,R16,BSDC91,1200,1200,27.0
,,,,,,,,,,,,,,,,101,160,dynamic,v5-commonmode,75.0,R01,BS2DCE,1201,1201,27.9
,,,,,,,,,,,,,,,,102,160,dynamic,v5-commonmode,75.0,R01,BSDC91,1200,1200,22.8
,,,,,,,,,,,,,,,,103,160,dynamic,v5-commonmode,49.6,R17,BSDC91,1200,1200,30.6
,,,,,,,,,,,,,,,,104,160,dynamic,v5-commonmode,49.6,R17,BS2DCE,1201,1201,23.8
,,,,,,,,,,,,,,,,105,160,dynamic,v5-commonmode,75.0,R03,BS2DCE,1200,1200,22.6
,,,,,,,,,,,,,,,,106,160,dynamic,v5-commonmode,75.0,R02,BSDC91,1200,1200,22.6
,,,,,,,,,,,,,,,,107,160,dynamic,v5-commonmode,75.0,R02,BS2DCE,1201,1201,25.1
,,,,,,,,,,,,,,,,108,160,dynamic,v5-commonmode,75.0,R03,BSDC91,1200,1200,22.6
,,,,,,,,,,,,,,,,109,160,dynamic,v5-commonmode,75.0,R04,BS2DCE,1200,1200,23.0
,,,,,,,,,,,,,,,,110,160,dynamic,v5-commonmode,75.0,R04,BSDC91,1200,1200,29.8
,,,,,,,,,,,,,,,,111,160,dynamic,v5-commonmode,75.0,R05,BS2DCE,1200,1200,22.6
,,,,,,,,,,,,,,,,112,160,dynamic,v5-commonmode,75.0,R05,BSDC91,1201,1201,23.6
,,,,,,,,,,,,,,,,113,160,dynamic,v5-commonmode,75.0,R06,BSDC91,1201,1201,22.7
,,,,,,,,,,,,,,,,114,160,dynamic,v5-commonmode,75.0,R06,BS2DCE,1200,1200,22.6
,,,,,,,,,,,,,,,,115,160,dynamic,v5-commonmode,75.0,R07,BS2DCE,1200,1200,38.2
,,,,,,,,,,,,,,,,116,160,dynamic,v5-commonmode,75.0,R07,BSDC91,1201,1201,22.6
,,,,,,,,,,,,,,,,117,160,dynamic,v5-commonmode,75.0,R08,BS2DCE,1201,1201,21.9
,,,,,,,,,,,,,,,,118,160,dynamic,v5-commonmode,75.0,R08,BSDC91,1200,1200,24.8
,,,,,,,,,,,,,,,,119,160,dynamic,v5-commonmode,75.0,R09,BS2DCE,1200,1200,31.0
,,,,,,,,,,,,,,,,120,160,dynamic,v5-commonmode,75.0,R09,BSDC91,1200,1200,27.7
,,,,,,,,,,,,,,,,121,160,dynamic,v5-commonmode,75.0,R10,BS2DCE,1200,1200,27.8
,,,,,,,,,,,,,,,,122,160,dynamic,v5-commonmode,75.0,R10,BSDC91,1200,1200,31.8
,,,,,,,,,,,,,,,,123,160,dynamic,v5-commonmode,75.0,R11,BSDC91,1200,1200,32.1
,,,,,,,,,,,,,,,,124,160,dynamic,v5-commonmode,75.0,R11,BS2DCE,1201,1201,38.1
,,,,,,,,,,,,,,,,125,160,dynamic,v5-commonmode,75.0,R12,BS2DCE,1200,1200,35.3
,,,,,,,,,,,,,,,,126,160,dynamic,v5-commonmode,75.0,R12,BSDC91,1200,1200,23.3
,,,,,,,,,,,,,,,,127,160,dynamic,v5-commonmode,75.0,R13,BS2DCE,1201,1201,23.4
,,,,,,,,,,,,,,,,128,160,dynamic,v5-commonmode,75.0,R14,BSDC91,1200,1200,23.5
,,,,,,,,,,,,,,,,129,160,dynamic,v5-commonmode,75.0,R13,BSDC91,1200,1200,27.3
,,,,,,,,,,,,,,,,130,160,dynamic,v5-commonmode,75.0,R14,BS2DCE,1201,1201,39.8
,,,,,,,,,,,,,,,,131,160,dynamic,v5-commonmode,75.0,R15,BS2DCE,1200,1200,26.2
,,,,,,,,,,,,,,,,132,160,dynamic,v5-commonmode,75.0,R15,BSDC91,1200,1200,28.3
,,,,,,,,,,,,,,,,133,160,dynamic,v5-commonmode,75.0,R16,BS2DCE,1201,1201,25.5
,,,,,,,,,,,,,,,,134,160,dynamic,v5-commonmode,75.0,R16,BSDC91,1200,1200,28.1
,,,,,,,,,,,,,,,,135,160,dynamic,v5-commonmode,75.0,R17,BS2DCE,1201,1201,33.1
,,,,,,,,,,,,,,,,136,160,dynamic,v5-commonmode,75.0,R17,BSDC91,1200,1200,25.2
,,,,,,,,,,,,,,,,137,160,static,v5-commonmode,49.6,ID02,BSF66F,1201,1201,24.8
,,,,,,,,,,,,,,,,138,160,static,v5-commonmode,49.6,ID01,BSF66F,1201,1201,30.0
,,,,,,,,,,,,,,,,139,160,static,v5-commonmode,49.6,ID03,BSF66F,1201,1201,28.9
,,,,,,,,,,,,,,,,140,160,static,v5-commonmode,49.6,ID04,BSF66F,1201,1201,30.4
,,,,,,,,,,,,,,,,141,160,static,v5-commonmode,49.6,ID05,BSF66F,1200,1200,31.5
,,,,,,,,,,,,,,,,142,160,static,v5-commonmode,49.6,ID06,BSF66F,1201,1201,28.6
,,,,,,,,,,,,,,,,143,160,static,v5-commonmode,49.6,ID07,BSF66F,1201,1201,29.9
,,,,,,,,,,,,,,,,144,160,static,v5-commonmode,49.6,ID08,BSF66F,1201,1201,28.9
,,,,,,,,,,,,,,,,145,160,static,v5-commonmode,49.6,ID09,BSF66F,1201,1201,34.4
,,,,,,,,,,,,,,,,146,160,static,v5-commonmode,49.6,ID11,BSF66F,1201,1201,32.8
,,,,,,,,,,,,,,,,147,160,static,v5-commonmode,49.6,ID12,BSF66F,1201,1201,24.5
,,,,,,,,,,,,,,,,148,160,static,v5-commonmode,49.6,ID10,BSF66F,1201,1201,24.8
,,,,,,,,,,,,,,,,149,160,static,v5-commonmode,49.6,ID13,BSF66F,1200,1200,30.7
,,,,,,,,,,,,,,,,150,160,static,v5-commonmode,49.6,ID15,BSF66F,1201,1201,37.0
,,,,,,,,,,,,,,,,151,160,static,v5-commonmode,49.6,ID14,BSF66F,1201,1201,32.8
,,,,,,,,,,,,,,,,152,160,static,v5-commonmode,49.6,ID16,BSF66F,1201,1201,41.3
,,,,,,,,,,,,,,,,153,160,static,v5-commonmode,49.6,ID18,BSF66F,1199,1199,41.1
,,,,,,,,,,,,,,,,154,160,static,v5-commonmode,49.6,ID17,BSF66F,1199,1199,36.8
,,,,,,,,,,,,,,,,155,160,static,v5-commonmode,49.6,ID19,BSF66F,1201,1201,34.1
,,,,,,,,,,,,,,,,156,160,static,v5-commonmode,49.6,ID20,BSF66F,1201,1201,25.0
,,,,,,,,,,,,,,,,157,160,static,v5-commonmode,49.6,ID21,BSF66F,1201,1201,26.7
,,,,,,,,,,,,,,,,158,160,static,v5-commonmode,49.6,ID23,BSF66F,1201,1201,25.8
,,,,,,,,,,,,,,,,159,160,static,v5-commonmode,49.6,ID22,BSF66F,1201,1201,27.2
,,,,,,,,,,,,,,,,160,160,static,v5-commonmode,49.6,ID24,BSF66F,1201,1201,28.8
