d_tag_mm,n_positions,frames_input_total,frames_solved_total,median_3d_mm,p95_3d_mm,rmse_3d_mm,median_abs_vertical_mm,signed_vertical_slope_mm_per_m,signed_vertical_r2,wall_s
50.0,24,28818,28818,68.04692158649715,152.95476644283644,82.54616474190911,58.98303676667018,76.12653262657957,0.40813386596882706,5.3587007590103894
52.0,24,28818,28818,69.10773451116125,149.40471743460512,81.2755131777916,58.00055884078584,71.84333131466352,0.380116577311983,5.251961849979125
54.0,24,28818,28818,67.98280804803129,145.92450826661027,80.1091708960955,58.03841563060929,67.59884949851492,0.3512586837098659,5.701695213996572
56.0,24,28818,28818,66.40493157757993,142.52004883938912,79.04885524279649,56.981353635171175,63.39259637192361,0.3217450247693855,5.580274437990738
58.0,24,28818,28818,64.6343882645026,139.20242063833768,78.09515654835573,54.85969966726863,59.22791301525416,0.2918310612052156,6.174477832013508
60.0,24,28818,28818,63.51051673425066,135.96995229262754,77.25203213147361,52.47828244220017,55.10275210752694,0.2617622231179849,5.5750534090038855
62.0,24,28818,28818,62.64242848224242,132.81180231407805,76.51841444837163,49.37426389828396,51.01933856034361,0.231883659926705,5.455371921998449
64.0,24,28818,28818,60.09946574030981,129.72611258634075,75.89558781256562,48.95710583514949,46.97659657549998,0.20251535694474732,4.774772228003712
66.0,24,28818,28818,58.229179852212404,126.71934932211678,75.38443652273126,48.581911688597074,42.97239806065521,0.1739876740574674,4.897573443013243
68.0,24,28818,28818,58.7187334362195,123.79903091639032,74.98492796548436,46.069028324345396,39.00330007359512,0.14664196198235768,6.183265461004339
70.0,24,28818,28818,59.43855384696427,121.80104986011794,74.69461711461875,44.78539369444904,35.06874543104926,0.1208629551383803,5.784271051001269
72.0,24,28818,28818,58.669311376880174,123.64889976737483,74.51507562130097,44.971512543788975,31.166801263232205,0.09696760620371525,6.019341450999491
74.0,24,28818,28818,57.55575016839912,125.89735655127734,74.4456707714998,46.273941555475176,27.294576385479754,0.07525979533058758,6.649147902004188
76.0,24,28818,28818,56.61920830126448,128.05436599617215,74.48425619296654,46.702391426321014,23.4541034511672,0.05602499549583362,5.865539269987494
78.0,24,28818,28818,57.65700275197459,130.09532296474552,74.62617477513275,46.636706464171425,19.6469978440845,0.039489078431200864,6.188515588990413
80.0,24,28818,28818,60.065426857740505,131.97801789069533,74.86438880779039,45.80015711600993,15.86885339116122,0.02578999072361632,6.133265794022009
82.0,24,28818,28818,59.24197386664973,133.90458433491145,75.20045071744393,45.71302495592988,12.11891382352956,0.015005650558250205,6.630052443011664
84.0,24,28818,28818,59.30355451749663,136.18515126489152,75.62982721237596,45.80863891573392,8.39787687102069,0.0071648643397603795,7.023822952003684
86.0,24,28818,28818,58.878267988359696,138.31955224100668,76.1495532296863,45.07836249768354,4.705214912796435,0.0022295246076675657,6.652801239019027
88.0,24,28818,28818,58.60276105051939,140.30362592928083,76.75531512147026,43.222260334318094,1.041319418785215,0.00010792932787351273,6.7840256780036725
90.0,24,28818,28818,58.4849613141654,142.17970604650003,77.4455278455784,43.455907987950226,-2.5957857124824475,0.0006609819595339017,5.760800114017911
92.0,24,28818,28818,58.788957902297426,143.91492126279314,78.21651428533862,44.5947249144954,-6.209629213217058,0.003718168733638616,5.7027026299911086
94.0,24,28818,28818,59.90151936151419,145.50920475741128,79.06483410003607,46.744935135684614,-9.799596013897562,0.009081032583241888,6.601564732001862
96.0,24,28818,28818,61.57762000928273,145.9040018412997,79.98764491343117,48.86069309438062,-13.363558403811771,0.016525481184427315,6.4823371630045585
98.0,24,28818,28818,63.26316643912508,146.2152240844853,80.982752547855,50.944384225410346,-16.90527345878659,0.025827595409501525,5.957016015978297
100.0,24,28818,28818,64.9633984469081,146.55529985018563,82.04468665222068,52.99752033488963,-20.426081003067385,0.036761576857249456,6.493031921010697
102.0,24,28818,28818,66.67690827440629,146.92498413139148,83.17323574271846,52.53893832923151,-23.923698349334778,0.04908685578705729,6.565900168003282
104.0,24,28818,28818,68.40405522395434,147.32710085743662,84.3694000159491,51.77910281876521,-27.40167922023181,0.06258649577980568,5.487155939015793
106.0,24,28818,28818,70.14644473984627,149.34139633363907,85.62776979887234,50.991406655856125,-30.859877985576635,0.07705046028305607,5.833623899990926
108.0,24,28818,28818,71.62054651621699,151.70744638292183,86.94540487088271,52.015101327027196,-34.29787481078929,0.09227849215590112,6.701118906988995
110.0,24,28818,28818,73.15193166829293,153.0960237224964,88.31934467678887,53.18473492877706,-37.715186199891804,0.1080912560272479,6.4640729050152
112.0,24,28818,28818,74.74306448199773,153.42443849206794,89.7449927266204,53.138623982531705,-41.11448369683693,0.12435408103431211,5.77508031699108
114.0,24,28818,28818,76.39477180791877,153.71713260271642,91.21930540224105,52.153874348026164,-44.49375285614294,0.140908725269549,6.560060165007599
116.0,24,28818,28818,77.02201198860675,153.98401490442382,92.74441496454119,51.17623995431721,-47.85349534770604,0.15761101224652074,6.258945615001721
118.0,24,28818,28818,78.67715589126956,154.22715849319843,94.31313915710139,50.2026590722912,-51.192945672069484,0.17436331212272826,4.502613824006403
120.0,24,28818,28818,80.4940704467285,154.4525138358736,95.92279798770822,50.63565509037922,-54.51188916966332,0.1910709166741701,4.329494347999571
