layout_id,capture_id,source_group,solver_version,layout_variant,source_path,anchor_count,mask,mask_anchor_count,grid_mm,n_points,n_valid,xdop_mean,xdop_median,xdop_p90,xdop_p95,xdop_max,ydop_mean,ydop_median,ydop_p90,ydop_p95,ydop_max,vdop_mean,vdop_median,vdop_p90,vdop_p95,vdop_max,hdop_mean,hdop_median,hdop_p90,hdop_p95,hdop_max,gdop_mean,gdop_median,gdop_p90,gdop_p95,gdop_max,cond_mean,cond_median,cond_p90,cond_p95,cond_max,axis_imbalance_p95,axis_dop_score,status,gpu_device
a06d00f4a02fdc1a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,8,dropD,7,25,612720,612720,0.581995726,0.569800019,0.644407213,0.676250041,0.817119658,0.675375938,0.66510725,0.749726892,0.786281943,0.975940466,0.903560281,0.880549192,1.05702794,1.13146341,1.44114733,0.893603504,0.882884443,0.946623147,0.977059245,1.16943777,1.27400053,1.25532413,1.37143958,1.43585825,1.73504591,4.65432119,4.38626575,5.87908745,6.77110147,11.7972803,1.67314357,1.07946874,ok,0
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,8,dropD,7,25,612720,612720,0.581914425,0.569716811,0.64432472,0.676157653,0.81694299,0.675174475,0.66491884,0.749520063,0.786033928,0.975817144,0.904274583,0.881235719,1.05804205,1.1325748,1.44264448,0.893397689,0.882685602,0.946392238,0.976795137,1.16877639,1.27437019,1.25564575,1.3720907,1.43661416,1.73597956,4.65907574,4.39025164,5.8877902,6.78139687,11.8140287,1.67501587,1.08000406,ok,1
48d29ef0f4d28d2d,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,8,dropD,7,25,565656,565656,0.579163969,0.566578031,0.64274323,0.674250007,0.804438114,0.674027801,0.66320765,0.748842716,0.785691261,0.979584813,0.911265671,0.886949956,1.07226503,1.14919424,1.46003234,0.890693545,0.879168987,0.944262505,0.975429773,1.1692307,1.27774417,1.25817919,1.37897801,1.4444685,1.7326597,4.70291471,4.42133713,5.98133564,6.89540768,11.7393932,1.70440375,1.08776912,ok,1
b952c7b1e8e1266a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v1-old,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,dropD,7,25,585858,585858,0.578204513,0.566961884,0.640024185,0.670351386,0.810766399,0.673608005,0.664166451,0.748340011,0.784198046,0.97275281,0.932254076,0.908442438,1.09647596,1.17406678,1.49655104,0.889837205,0.87969327,0.942178607,0.971750855,1.16195238,1.29211175,1.27197087,1.40235603,1.47137332,1.78005838,4.88965034,4.59170628,6.30425167,7.28548622,12.6286926,1.75141994,1.1048981,ok,0
db81b403f22247cb,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-full,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,8,dropD,7,25,599720,599720,0.572554052,0.55976212,0.640862286,0.667378187,0.786016762,0.675007701,0.662898064,0.755076289,0.793601453,0.987404108,0.922059894,0.893810034,1.10808182,1.19601011,1.61317813,0.887244582,0.875689089,0.94357568,0.976550043,1.16924465,1.2841382,1.26312506,1.39855778,1.47185111,1.8883884,4.79147196,4.48197842,6.2507925,7.29805422,14.92206,1.79210249,1.11409658,ok,1
a06d00f4a02fdc1a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,8,dropE,7,25,612720,612720,0.57490319,0.563685298,0.638986826,0.666158438,0.78401494,0.674825966,0.664743721,0.750962138,0.787679732,0.962217927,0.890860617,0.870160937,1.03390539,1.10527432,1.40939093,0.888546169,0.877615511,0.94115442,0.971133828,1.15132272,1.26136899,1.24424338,1.34655082,1.40633798,1.70387304,4.49154997,4.25146103,5.54657221,6.35878658,11.2535057,1.65917634,1.05913338,ok,1
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,8,dropE,7,25,612720,612720,0.57483834,0.563612401,0.638958275,0.666100979,0.783763945,0.674681246,0.66457969,0.750871181,0.787617564,0.962058961,0.891439736,0.870728374,1.03467453,1.10610437,1.41050601,0.888395607,0.877456427,0.941013038,0.970999777,1.15108573,1.26167881,1.24454629,1.34704185,1.40687263,1.70446587,4.49544001,4.25496483,5.55306482,6.36630201,11.2636909,1.6605656,1.05955508,ok,0
48d29ef0f4d28d2d,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,8,dropE,7,25,565656,565656,0.573825896,0.562060416,0.638174832,0.666626275,0.794838965,0.673407376,0.66247642,0.750871241,0.785984397,0.952146649,0.900581241,0.880311489,1.05051684,1.12434292,1.43809378,0.886748493,0.875531912,0.940766454,0.970802546,1.14836645,1.26728618,1.24992931,1.35681605,1.41859269,1.72684002,4.56774092,4.32018471,5.68371773,6.53161764,11.6828794,1.68661657,1.06932539,ok,0
b952c7b1e8e1266a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v1-old,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,dropE,7,25,585858,585858,0.568621814,0.557888865,0.633382916,0.659818292,0.773014605,0.673578441,0.66393292,0.751155972,0.787747145,0.96236676,0.926954269,0.904021859,1.08998406,1.1680733,1.4930445,0.883623242,0.873235345,0.9365955,0.966772854,1.15773869,1.28427064,1.26376033,1.38792324,1.45529497,1.77720284,4.78768635,4.48960876,6.10541582,7.05393505,12.6013165,1.77029542,1.09630172,ok,1
db81b403f22247cb,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-full,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,8,dropE,7,25,599720,599720,0.573911369,0.560015202,0.64046371,0.671138942,0.809832871,0.67542392,0.664747119,0.755036354,0.788509011,0.970306337,0.941827834,0.919937372,1.12265873,1.20916307,1.580374,0.888422489,0.87774229,0.946469247,0.975831985,1.17480958,1.29901707,1.27804422,1.41594923,1.4886632,1.85349309,4.99137831,4.66729927,6.50351048,7.54029131,14.0567293,1.80165834,1.12376038,ok,0
