version,eval_set,strata_type,strata_value,n,err_3d_mm_median,err_3d_mm_p75,err_3d_mm_p95,err_3d_mm_rms,err_3d_mm_max,err_horizontal_mm_median,err_horizontal_mm_p75,err_horizontal_mm_p95,err_horizontal_mm_rms,err_horizontal_mm_max,err_vertical_mm_median,err_vertical_mm_p75,err_vertical_mm_p95,err_vertical_mm_rms,err_vertical_mm_max,pct_ge8_median,distance_to_centroid_median_mm
v1-old,all8,height,high,8,216.897598,266.156892,373.229099,243.049448,417.30032,46.0759866,68.4070104,75.0053904,51.8162804,75.4376932,206.272637,263.265845,368.840113,237.461802,415.897438,92.6311407,728.322253
v1-old,all8,height,low,8,195.787555,230.482971,288.675101,202.282673,318.920525,51.5853317,72.93541,76.312252,54.3740062,77.504634,181.261582,225.625512,281.826417,194.837746,309.359553,91.5903414,844.459512
v1-old,all8,height,mid,8,94.3068649,108.678275,156.460164,100.934845,167.255373,56.961293,79.5774335,99.5208518,64.0850268,102.262606,55.1961625,101.775841,125.993993,77.9804612,132.350743,91.7533999,328.237092
v1-old,all8,location,center,12,115.004457,220.186803,258.999911,164.115067,291.382545,36.5535421,60.9180993,73.8483274,47.0200865,75.4376932,114.078632,208.990708,253.53297,157.235068,281.447938,92.208571,652.707816
v1-old,all8,location,edge,12,170.245002,236.793799,363.191433,215.682674,417.30032,70.2864973,75.3463366,97.9541348,65.4829104,102.262606,153.591488,232.253436,357.301601,205.501836,415.897438,91.7985012,867.310782
v1-old,all8,location_height,center/high,4,196.854671,242.139968,281.53403,211.938454,291.382545,42.0212639,62.3317562,72.8165058,50.2639347,75.4376932,192.05182,233.979609,271.954273,205.891829,281.447938,92.6311407,652.707816
v1-old,all8,location_height,center/low,4,161.730239,221.881616,230.380345,172.826321,232.505028,40.2585877,56.7991928,69.3981883,46.9871592,72.5479372,155.357378,212.124863,226.979733,166.316398,230.69345,91.9587791,760.072736
v1-old,all8,location_height,center/mid,4,79.3831005,95.4663629,98.6402538,77.5526933,99.4337265,32.3389693,50.5504066,65.9365341,43.5707395,69.7830659,55.1961625,71.8045744,92.4715186,64.1561447,97.6382546,91.7950319,197.365033
v1-old,all8,location_height,edge/high,4,232.908881,297.636336,393.367523,270.607022,417.30032,50.3320145,68.4070104,73.043436,53.3234535,74.2025424,225.796795,296.87822,392.093595,265.301281,415.897438,92.5478768,898.520172
v1-old,all8,location_height,edge/low,4,201.521791,252.086845,305.553789,227.964081,318.920525,62.8594402,74.9495297,76.9936131,60.8709453,77.504634,190.262015,245.292038,296.54605,219.686937,309.359553,91.2989176,977.058782
v1-old,all8,location_height,edge/mid,4,115.44087,144.122782,162.628855,119.838499,167.255373,84.5279629,96.3874178,101.087569,79.4693148,102.262606,77.2196088,118.729137,129.626422,89.6989061,132.350743,91.6700666,628.611412
v1-old,all8,overall,all,24,160.011252,226.74657,314.789828,191.641294,417.30032,51.5853317,74.1240068,91.8903634,57.0039476,102.262606,141.472944,219.601674,305.17281,182.967034,415.897438,91.8817652,757.049097
v1-old,noG,facing,ABEF,6,137.535959,159.135402,345.830699,200.260479,407.87012,28.1333114,37.7718047,48.8531412,31.998754,52.2039485,134.784503,156.822464,345.379508,197.687478,407.756816,92.0066611,693.825236
v1-old,noG,facing,ADHE,6,189.807331,206.613715,237.278678,185.996564,247.03293,50.3013268,71.5259848,77.6295761,56.0428428,79.4371354,176.053282,201.580318,235.821544,177.352535,245.847405,91.3821815,736.787345
v1-old,noG,facing,BCGF,6,124.76087,209.066531,313.229007,187.735492,339.296446,46.6038106,65.2309294,89.3187715,58.4140555,95.6574684,99.9729835,203.247785,307.518149,178.416404,331.933143,92.7560366,848.59433
v1-old,noG,facing,CDHG,6,167.503738,249.624606,272.160343,193.629368,277.97457,73.8863929,76.2421735,92.6501129,74.9657296,98.0667887,149.278872,241.746332,263.485489,178.52863,268.486937,92.131557,786.118933
v1-old,noG,facing_height,ABEF/high,2,282.637208,345.253664,395.346829,309.139246,407.87012,24.2069735,31.5038463,37.3413445,28.2657916,38.8007191,280.151956,343.954386,394.99633,307.844309,407.756816,91.7985012,810.726308
v1-old,noG,facing_height,ABEF/low,2,138.690029,149.201233,157.610196,140.274252,159.712437,16.9459014,19.2637312,21.117995,17.5685205,21.581561,137.634748,147.941167,156.186303,139.169727,158.247587,92.125307,693.825236
v1-old,noG,facing_height,ABEF/mid,2,70.4574357,75.5708587,79.6615971,71.1957768,80.6842817,43.4445051,47.8242268,51.3280042,44.3187644,52.2039485,55.3804334,58.4501788,60.9059751,55.7197071,61.5199242,93.6684707,388.638499
v1-old,noG,facing_height,ADHE/high,2,205.211512,206.613715,207.735478,205.230673,208.015919,51.433533,61.8202156,70.1295616,55.4701813,72.2068981,197.416678,201.580318,204.911231,197.592227,205.743959,91.9650291,863.905714
v1-old,noG,facing_height,ADHE/low,2,212.120244,229.576587,243.541662,214.974169,247.03293,46.8279986,58.1556218,67.2177203,52.0203964,69.4832449,204.432287,225.139846,241.705894,208.585167,245.847405,91.0907577,783.675085
v1-old,noG,facing_height,ADHE/mid,2,120.314788,135.927238,148.417197,124.300614,151.539687,55.278272,67.3577037,77.0212491,60.3269263,79.4371354,106.264267,117.657358,126.77183,108.679826,129.050449,90.7993339,508.135316
v1-old,noG,facing_height,BCGF/high,2,176.681186,205.853937,229.192138,186.065685,235.026689,30.9984668,37.0952061,41.9725976,33.3104468,43.1919454,172.222402,203.247785,228.06809,183.059698,234.273167,92.7560366,998.520878
v1-old,noG,facing_height,BCGF/low,2,214.593878,276.945162,326.826189,248.196017,339.296446,60.1591782,65.2309294,69.2883304,61.0083385,70.3026806,203.312521,267.622832,319.071081,240.581058,331.933143,93.3746135,888.482137
v1-old,noG,facing_height,BCGF/mid,2,86.8915284,109.038793,126.756604,97.5302157,131.186057,68.1981569,81.9278127,92.9115373,73.5187214,95.6574684,51.1091193,70.4417245,85.9078087,64.0869766,89.7743297,91.7116986,643.9865
v1-old,noG,facing_height,CDHG/high,2,182.876789,230.42568,268.464792,206.124981,277.97457,73.8863929,74.8274153,75.5802332,73.9103588,75.7684376,156.40367,212.445304,257.27861,192.418208,268.486937,93.5886761,913.213582
v1-old,noG,facing_height,CDHG/low,2,244.531551,249.624606,253.69905,244.743613,254.717661,66.2099005,71.304993,75.381067,66.9894827,76.4000855,235.011521,241.746332,247.13418,235.397208,248.481143,90.3413822,854.924406
v1-old,noG,facing_height,CDHG/mid,2,100.449028,100.555531,100.640734,100.449254,100.662035,81.4425164,89.7546526,96.4043615,83.1218979,98.0667887,48.8781303,62.946988,74.2020741,56.398605,77.0158457,92.9225645,582.734832
v1-old,noG,height,high,8,205.211512,245.763659,362.406678,231.729719,407.87012,40.9963323,72.0549856,74.5218988,51.1082748,75.7684376,197.416678,242.82661,359.012358,226.023465,407.756816,92.6311407,811.098147
v1-old,noG,height,low,8,205.776499,248.954113,309.693871,216.443675,339.296446,53.0176956,69.6881039,74.2659938,52.9725936,76.4000855,192.279533,246.50584,302.724943,209.861309,331.933143,91.5903414,724.713163
v1-old,noG,height,mid,8,94.6629551,108.29304,144.415917,100.15198,151.539687,58.5110963,83.4922187,97.2235266,66.9285874,98.0667887,69.2678849,85.0521467,115.303807,74.5049218,129.050449,91.7533999,388.951057
v1-old,noG,location,center,12,118.001652,214.598299,260.956668,164.211097,277.97457,41.9653955,55.3575224,73.9824299,48.4121584,76.4000855,113.596773,209.693444,256.035195,156.912547,268.486937,92.208571,680.992746
v1-old,noG,location,edge,12,168.459997,239.949432,370.154599,216.22368,407.87012,69.8929628,76.6856121,96.7416626,65.2277119,98.0667887,160.632377,237.825161,366.053796,206.150492,407.756816,91.7985012,897.057492
v1-old,noG,location_height,center/high,4,182.710107,225.505582,267.480772,199.574504,277.97457,40.9963323,50.3950461,67.6824877,48.722972,72.0043481,179.145527,221.429703,259.07549,193.535667,268.486937,92.6311407,777.093842
v1-old,noG,location_height,center/low,4,176.006532,237.517314,245.129807,185.653691,247.03293,37.094214,56.6117782,72.442424,47.6298354,76.4000855,169.281904,227.618275,242.201579,179.439939,245.847405,91.9587791,680.992746
v1-old,noG,location_height,center/mid,4,84.8870855,91.9829257,98.926213,81.2316308,100.662035,46.471397,55.3575224,62.9260998,48.8741448,64.8182441,69.2678849,78.6314057,82.5087497,64.8837098,83.4780857,91.7950319,367.627916
v1-old,noG,location_height,edge/high,4,218.716897,278.237546,381.943605,259.937189,407.87012,45.5059432,73.097283,75.2342067,53.3871099,75.7684376,211.681282,277.644079,381.734268,254.395674,407.756816,92.5478768,999.653616
v1-old,noG,location_height,edge/low,4,215.962609,275.862357,326.609628,243.368931,339.296446,62.7514802,69.6881039,70.1797653,57.8237852,70.3026806,205.749155,269.344143,319.415343,236.39976,331.933143,91.2989176,935.937183
v1-old,noG,location_height,edge/mid,4,115.711039,136.274464,148.486643,116.026982,151.539687,87.5473019,96.2597985,97.7053907,81.0567059,98.0667887,69.5076362,99.5933594,123.159031,83.0184976,129.050449,91.6700666,722.929673
v1-old,noG,overall,all,24,154.471991,234.515753,330.098165,191.986932,407.87012,51.1098121,72.0549856,93.2244185,57.4386259,98.0667887,140.798772,224.724716,322.416212,183.193303,407.756816,91.8817652,775.518422
v2,all8,facing,ABEF,6,70.288658,90.1668734,310.990051,169.033564,382.855677,32.6473024,35.0692856,41.4757621,33.3798821,43.4106485,62.2283593,84.1428123,307.783561,165.704946,380.386626,92.0066611,704.465226
v2,all8,facing,ADHE,6,95.6796842,133.537016,147.321493,105.504782,148.788486,51.299362,64.8796247,82.6112931,55.9352329,87.4354884,80.7476684,112.748669,134.299398,89.4567427,138.936837,91.3821815,760.862076
v2,all8,facing,BCGF,6,51.1140776,133.702357,222.860678,123.770976,244.429065,32.9319407,40.5144058,74.3739148,44.1343996,85.2171092,27.5077343,131.653465,211.310072,115.63481,229.093021,92.7560366,738.260476
v2,all8,facing,CDHG,6,113.693986,150.080548,165.019871,121.520409,168.953787,60.6493048,72.6593088,74.9620278,63.1352797,75.3214464,96.1697272,131.318085,154.286446,103.832299,160.972811,92.131557,707.378072
v2,all8,facing_height,ABEF/high,2,219.383999,301.119838,366.508509,273.591536,382.855677,39.5408757,41.4757621,43.0236712,39.7297872,43.4106485,211.72097,296.053798,363.52006,270.691471,380.386626,91.7985012,726.121779
v2,all8,facing_height,ABEF/low,2,73.7412637,84.5672189,93.227983,76.8542724,95.393174,25.7394117,28.7163992,31.0979891,26.4190676,31.6933866,69.0799071,79.5271375,87.8849219,72.1707147,89.974368,92.125307,838.138963
v2,all8,facing_height,ABEF/mid,2,70.288658,72.3883148,74.0680403,70.4139878,74.4879716,32.6473024,32.9555681,33.2021806,32.6531234,33.2638338,62.2283593,64.4382524,66.2061668,62.3851201,66.6481454,93.6684707,328.237092
v2,all8,facing_height,ADHE/high,2,117.380668,133.084577,145.647704,121.509968,148.788486,67.4659181,77.4507032,85.4385313,70.3593195,87.4354884,96.02449,108.205785,117.950821,99.0668383,120.38708,91.9650291,815.553614
v2,all8,facing_height,ADHE/low,2,124.153516,133.537016,141.043815,125.563911,142.920515,44.3055072,49.7039418,54.0226894,45.6020871,55.1023763,114.385137,126.660987,136.481667,116.990365,138.936837,91.0907577,895.649575
v2,all8,facing_height,ADHE/mid,2,42.0167536,58.5802794,71.8311,53.5052253,75.1438052,38.2421771,53.1904423,65.1490544,48.541391,68.1387074,17.3717683,24.5265597,30.2503928,22.5064989,31.681351,90.7993339,474.58869
v2,all8,facing_height,BCGF/high,2,89.3476438,123.751579,151.274727,112.772002,158.155514,14.13989,17.2913646,19.8125443,15.4810742,20.4428392,79.9771844,118.969205,150.162822,111.704346,157.961226,92.7560366,829.923269
v2,all8,facing_height,BCGF/low,2,140.512559,192.470812,234.037415,174.763897,244.429065,60.8708686,73.0439889,82.7824852,65.5591495,85.2171092,115.689154,172.391088,217.752634,162.001288,229.093021,93.3746135,915.717732
v2,all8,facing_height,BCGF/mid,2,51.1140776,55.7284815,59.4200047,51.9405412,60.3428855,35.5917926,38.7180622,41.2190778,36.1368226,41.8443317,27.2907946,40.0104881,50.1862428,37.3088445,52.7301815,91.7116986,450.644019
v2,all8,facing_height,CDHG/high,2,99.2436098,119.955716,136.525401,107.541896,140.667822,60.6493048,64.8176117,68.1522572,61.2195827,68.9859186,73.6084009,98.0993454,117.692101,88.416187,122.59029,93.5886761,735.674374
v2,all8,facing_height,CDHG/low,2,161.085955,165.019871,168.167004,161.277982,168.953787,62.5989333,68.2413527,72.7552883,63.6079715,73.8837722,147.60008,154.286446,159.635538,148.204634,160.972811,90.3413822,839.333821
v2,all8,facing_height,CDHG/mid,2,81.8671523,84.2936507,86.2348494,82.0108664,86.7201491,63.4261957,69.373821,74.1319213,64.5320021,75.3214464,42.90359,56.3263773,67.0646071,50.6103044,69.7491646,92.9225645,375.332427
v2,all8,height,high,8,113.320336,151.130243,304.21062,168.745211,382.855677,45.4534982,56.480998,80.9781389,51.2747277,87.4354884,96.02449,131.433024,302.537736,160.766441,380.386626,92.6311407,728.322253
v2,all8,height,low,8,124.153516,157.152039,218.012718,139.844451,244.429065,43.9193612,59.7977253,81.2504413,52.7292462,85.2171092,112.100859,144.445831,205.250948,129.522574,229.093021,91.5903414,844.459512
v2,all8,height,mid,8,70.288658,75.6113928,83.3230513,65.6592355,86.7201491,37.5540827,55.6828856,72.8074878,47.150669,75.3214464,42.2057663,60.0184663,68.6638079,45.6940874,69.7491646,91.7533999,328.237092
v2,all8,location,center,12,67.4154286,100.207067,147.554439,89.1957624,153.218123,34.5898705,48.5049971,71.1899527,42.5292178,73.8837722,59.6891634,84.3939978,136.346619,78.4037605,138.936837,92.208571,652.707816
v2,all8,location,edge,12,100.389846,160.855082,306.721041,164.131504,382.855677,51.8133927,69.9343922,86.2153798,57.268695,87.4354884,89.9039022,158.714122,297.175143,153.816277,380.386626,91.7985012,867.310782
v2,all8,location_height,center/high,4,70.9425855,99.6465934,132.463576,87.6453607,140.667822,41.5837254,52.8687405,65.762483,46.6510913,68.9859186,57.3586069,84.3939978,114.951031,74.1982812,122.59029,92.6311407,652.707816
v2,all8,location_height,center/low,4,97.5049341,145.494917,151.673482,109.492738,153.218123,35.0166331,45.8644141,68.2799006,45.5717911,73.8837722,91.2063979,135.404722,138.230414,99.5583822,138.936837,91.9587791,760.072736
v2,all8,location_height,center/mid,4,67.4154286,77.546016,84.8853225,64.786443,86.7201491,31.3015436,37.8306116,48.7908783,34.2504107,51.530945,59.6891634,67.4234002,69.2840117,54.9926592,69.7491646,91.7950319,197.365033
v2,all8,location_height,edge/high,4,153.472,214.330555,349.150653,221.964374,382.855677,47.8616698,61.0933904,82.1670688,55.5146024,87.4354884,139.174153,213.567576,347.022816,214.910009,380.386626,92.5478768,898.520172
v2,all8,location_height,edge/low,4,137.170152,187.822606,233.107774,164.69451,244.429065,53.2082353,62.6310595,80.6998993,59.025068,85.2171092,125.473589,178.002863,218.87499,153.754099,229.093021,91.2989176,977.058782
v2,all8,location_height,edge/mid,4,70.6165748,75.6113928,76.7336029,66.5205774,77.0141555,54.9915196,69.9343922,74.2440355,57.2125907,75.3214464,23.8696832,38.2131566,53.88949,33.9368042,57.8085733,91.6700666,628.611412
v2,all8,overall,all,24,81.493503,144.387508,233.107774,132.089051,382.855677,42.6274901,58.3614591,83.7327598,50.4402507,87.4354884,68.198655,125.499555,218.87499,122.079066,380.386626,91.8817652,757.049097
v2,noG,facing,ABEF,6,80.2257682,94.7359481,309.302866,170.037368,379.623421,39.3641597,43.8194927,46.8167098,37.9400245,47.6400099,65.5706546,86.3017388,307.074149,165.750599,378.992067,92.0066611,693.825236
v2,noG,facing,ADHE,6,88.0969789,137.556905,149.186791,103.804962,149.291058,43.6093846,50.6175196,78.7054215,50.8541317,87.9469306,79.1258612,113.026022,138.176889,90.4949022,144.023695,91.3821815,736.787345
v2,noG,facing,BCGF,6,66.2857632,131.719866,228.165315,127.690392,253.835778,37.2586229,55.4309124,80.2959954,50.9644073,87.5167096,32.5944665,125.801576,215.857438,117.078886,238.271752,92.7560366,848.59433
v2,noG,facing,CDHG,6,110.830058,154.556443,175.918986,125.776987,180.673389,59.7189483,72.6618391,80.2583205,65.1453951,81.4105925,96.4804475,134.460933,162.940714,107.591487,170.700964,92.131557,786.118933
v2,noG,facing_height,ABEF/high,2,218.534699,299.07906,363.514549,271.490315,379.623421,32.0612927,37.1494175,41.2199173,33.6375169,42.2375423,208.96415,293.978109,361.989275,269.39842,378.992067,91.7985012,810.726308
v2,noG,facing_height,ABEF/low,2,78.7155701,88.5283851,96.3786371,81.1252509,98.3412001,32.4397608,34.4652689,36.0856755,32.6917239,36.4907771,71.5720692,81.4462328,89.3455638,74.2465994,91.3203965,92.125307,693.825236
v2,noG,facing_height,ABEF/mid,2,80.2257682,82.0729802,83.5507497,80.3107879,83.9201921,45.9934097,46.8167098,47.4753499,46.0228751,47.6400099,65.5706546,68.4082101,70.6782546,65.8157855,71.2457657,93.6684707,388.638499
v2,noG,facing_height,ADHE/high,2,110.93968,130.115369,145.455921,117.381603,149.291058,56.595872,72.2714013,84.8118248,64.6991623,87.9469306,94.3467547,107.491612,118.007497,97.9411005,120.636468,91.9650291,863.905714
v2,noG,facing_height,ADHE/low,2,126.239823,137.556905,146.610572,128.252868,148.873988,44.3361335,47.6585137,50.3164179,44.8313013,50.980894,117.109188,130.566442,141.332245,120.162193,144.023695,91.0907577,783.675085
v2,noG,facing_height,ADHE/mid,2,42.6668428,51.0141721,57.6920355,45.816712,59.3615013,37.7274837,43.62744,48.3474051,39.5297478,49.5273964,17.1225554,24.9230078,31.1633698,23.1639836,32.7234603,90.7993339,508.135316
v2,noG,facing_height,BCGF/high,2,89.9558625,120.554895,145.03412,108.799174,151.153927,28.1428776,28.4190161,28.6399269,28.148296,28.6951546,75.2558089,111.935152,141.278627,105.094879,148.614496,92.7560366,998.520878
v2,noG,facing_height,BCGF/low,2,141.34496,197.590369,242.586696,180.644905,253.835778,57.9252573,72.7209834,84.5575643,65.0460566,87.5167096,121.863375,180.067563,226.630914,168.52772,238.271752,93.3746135,888.482137
v2,noG,facing_height,BCGF/mid,2,66.2857632,69.8517247,72.7044938,66.6683338,73.4176861,52.227972,55.4309124,57.9932648,52.6193535,58.6338529,32.5944665,44.978641,54.8859806,40.9373956,57.3628156,91.7116986,643.9865
v2,noG,facing_height,CDHG/high,2,100.62329,116.940865,129.994925,105.783267,133.25844,59.6156702,59.9292569,60.1801262,59.6189691,60.2428436,76.3341696,97.5990031,114.61087,87.3823668,118.863837,93.5886761,913.213582
v2,noG,facing_height,CDHG/low,2,171.164583,175.918986,179.722508,171.428504,180.673389,70.3028228,75.8567077,80.2998156,71.1749215,81.4105925,155.180464,162.940714,169.148914,155.954681,170.700964,90.3413822,854.924406
v2,noG,facing_height,CDHG/mid,2,82.76437,85.5830225,87.8379446,82.9561339,88.4016751,62.5071938,69.654349,75.3720732,64.1207968,76.8015043,40.5880585,57.3425584,70.7461583,52.6331033,74.0970583,92.9225645,582.734832
v2,noG,height,high,8,102.923371,149.756775,299.659098,166.217321,379.623421,35.4663485,59.3020835,78.2505002,49.1533626,87.9469306,93.4604389,127.630975,298.359917,158.783327,378.992067,92.6311407,811.098147
v2,noG,height,low,8,126.239823,166.41018,228.228942,145.817024,253.835778,44.3361335,64.748938,85.3795686,55.6225074,87.5167096,115.490181,150.693012,214.621976,134.791473,238.271752,91.5903414,724.713163
v2,noG,height,mid,8,74.9745152,78.8253467,86.833156,70.4900359,88.4016751,47.9264466,51.8040105,70.4428263,51.3833119,76.8015043,45.0431379,62.733099,73.0991059,48.255574,74.0970583,91.7533999,388.951057
v2,noG,location,center,12,73.0029936,99.6158663,154.625793,91.6043702,161.655777,39.9644576,46.4197891,69.7683306,44.3414749,81.4105925,62.7099283,85.2887529,141.623644,80.1573094,144.023695,92.208571,680.992746
v2,noG,location,edge,12,100.973428,158.533792,310.440217,165.876674,379.623421,54.8073734,63.5966659,87.710309,58.883566,87.9469306,90.757539,154.136113,301.595894,155.073521,378.992067,91.7985012,897.057492
v2,noG,location_height,center/high,4,65.0171391,87.7558358,124.157919,82.3922396,133.25844,35.4663485,46.7388676,57.5420484,41.4545615,60.2428436,53.4966376,80.75874,111.242817,71.2039358,118.863837,92.6311407,777.093842
v2,noG,location_height,center/low,4,103.981964,152.069436,159.738509,114.695507,161.655777,33.0400587,48.6211778,74.8527096,49.135144,81.4105925,95.7418534,140.750898,143.369136,103.637816,144.023695,91.9587791,680.992746
v2,noG,location_height,center/mid,4,78.6689391,85.0405629,87.7294526,72.3224823,88.4016751,45.0844503,46.4197891,47.8542644,42.0209013,48.2128832,64.3042906,71.9585888,73.6693644,58.8624269,74.0970583,91.7950319,367.627916
v2,noG,location_height,edge/high,4,150.222493,208.2713,345.352997,220.154297,379.623421,43.2895487,66.2281053,83.6031656,55.7998694,87.9469306,134.625482,206.208888,344.435431,212.965465,378.992067,92.5478768,999.653616
v2,noG,location_height,edge/low,4,142.139523,198.963986,242.86142,171.377215,253.835778,55.0879735,66.2754672,83.2684611,61.4285299,87.5167096,131.01068,187.593661,228.136134,159.989642,238.271752,91.2989176,935.937183
v2,noG,location_height,edge/mid,4,67.9464228,76.6802745,77.0377068,68.6086647,77.1270649,54.0806246,63.1757657,74.0763566,59.2851864,76.8015043,20.2747888,39.516481,55.8197309,34.5313704,59.8955434,91.6700666,722.929673
v2,noG,overall,all,24,80.5236285,148.978256,242.86142,133.989611,379.623421,46.7310505,59.0401359,86.600792,52.1221678,87.9469306,69.6514034,125.392343,228.136134,123.4362,378.992067,91.8817652,775.518422
v3-full,all8,facing,ABEF,6,114.947349,123.956183,306.638087,175.634312,367.263138,31.7879748,38.9725161,57.8433254,37.8524338,63.9054022,103.997361,117.121396,304.942546,171.506865,366.442061,92.0066611,704.465226
v3-full,all8,facing,ADHE,6,168.560961,177.608673,196.396028,153.272941,202.280179,64.6162506,79.9122069,109.116365,74.1241378,117.196228,137.553168,165.358366,186.950418,134.157395,193.767615,91.3821815,760.862076
v3-full,all8,facing,BCGF,6,107.247184,201.481383,274.000109,165.087471,289.18359,47.9701571,78.5658099,106.762818,66.6844158,113.200446,80.6396153,191.179641,256.388841,151.02007,266.10676,92.7560366,738.260476
v3-full,all8,facing,CDHG,6,110.547279,168.485875,213.543612,139.699093,224.183683,51.6623358,60.2881075,84.6628357,57.1028549,91.94394,93.7921906,158.547256,207.246481,127.495492,218.391494,92.131557,707.378072
v3-full,all8,facing_height,ABEF/high,2,244.399535,305.831337,354.976778,273.544508,367.263138,20.3997128,22.4720688,24.1299537,20.8165059,24.5444249,243.443032,304.942546,354.142158,272.751299,366.442061,91.7985012,726.121779
v3-full,all8,facing_height,ABEF/low,2,116.560849,120.66189,123.942724,116.849072,124.762932,51.7812486,57.8433254,62.6929868,53.1816962,63.9054022,103.997361,105.575469,106.837955,104.045244,107.153576,92.125307,838.138963
v3-full,all8,facing_height,ABEF/mid,2,63.1364476,67.4873137,70.9680066,63.7332814,71.8381798,31.7879748,34.353377,36.4056988,32.1993866,36.9187792,53.3554947,60.0323548,65.3738428,55.0011878,66.7092149,93.6684707,328.237092
v3-full,all8,facing_height,ADHE/high,2,190.511877,196.396028,201.103349,190.875006,202.280179,61.5410544,63.279778,64.6707569,61.6392246,65.0185016,180.133221,186.950418,192.404175,180.648482,193.767615,91.9650291,815.553614
v3-full,all8,facing_height,ADHE/low,2,168.560961,171.382466,173.63967,168.655392,174.203971,90.7051136,103.950671,114.547116,94.4944271,117.196228,137.553168,149.745074,159.4986,139.697689,161.936981,91.0907577,895.649575
