source_group,group_decision,deploy_class,recommendation,reason,layout_id,capture_id,solver_version,layout_variant,source_path,all8_score,drop4_score,score_ratio,worst_drop4_mask,surviving_labels,abs_worst_axis,ratio_worst_axis,xdop_p95,ydop_p95,vdop_p95,xdop_ratio,ydop_ratio,vdop_ratio,surviving_xy_area_ratio,surviving_z_span_ratio
Garage_Test/solver/outputs/v1_to_v4_io_field_check,推荐,A,可部署候选,drop4 最坏几何仍相对可控；仍建议保留运行时组合监控。,d0329b8b5bd6d38d,Garage_Test,v3-lite,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,1.17688412,11.5672934,9.82874457,dropABGH,CDEF,Z,Z,1.4576546,4.91145468,15.6287289,2.49906968,7.78424187,11.2876181,0.956901432,0.764363341
Garage_Test/solver/outputs/v1_to_v4_io_field_check,备选/不优先,A,可部署候选,drop4 最坏几何仍相对可控；仍建议保留运行时组合监控。,b9edbb4d294b8a82,Garage_Test,v2,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,1.17820231,11.8801354,10.0832729,dropABGH,CDEF,Z,Z,1.47287631,5.07405996,16.0840263,2.52634603,8.04805732,11.5964446,0.956088617,0.768300625
Garage_Test/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Y 轴会放大；只剩高风险组合时应降低置信度。,d4b700dfdb554506,Garage_Test,v4-io,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,1.17920008,12.898491,10.9383397,dropBDFH,ACEG,Y,Y,12.5406332,14.9080048,2.86023569,21.2542314,23.5545969,2.06549028,0.0388793901,0.701568244
Garage_Test/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,83427cf136699830,Garage_Test,v1-old,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,1.11945456,12.9837292,11.5982637,dropADFG,BCEH,Z,Z,7.16121769,1.2122246,16.4947014,12.3098629,1.93065304,12.6776556,0.92947544,1
Garage_Test/solver/outputs/v1_to_v4_io_field_check,组内最差,B,可用但要降级策略,drop4 进入中等风险，Y 轴会放大；只剩高风险组合时应降低置信度。,d0ee95053a894332,Garage_Test,v3-full,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,1.16180178,13.792592,11.8717257,dropBDFH,ACEG,Y,Y,13.6413708,14.8947964,4.51786709,22.5962036,22.9127779,3.36240987,0.0883542069,0.627542091
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,推荐,A,可部署候选,drop4 最坏几何仍相对可控；仍建议保留运行时组合监控。,2eb8a6fdb7b789b6,Garage_test_2,v1-old,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,1.1007646,11.2186172,10.1916588,dropABGH,CDEF,Z,Z,1.26206136,5.38080883,14.6361885,2.16155156,8.50988862,11.5310588,0.954478968,0.805823393
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,A,可部署候选,drop4 最坏几何仍相对可控；仍建议保留运行时组合监控。,0cccbfd84eee33e7,Garage_test_2,v2,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,1.16428576,11.3219191,9.72434731,dropBDFH,ACEG,Y,Y,10.5164566,12.9646626,2.73857093,17.9930851,20.4862971,2.00716059,0.0445833578,0.751807601
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,A,可部署候选,drop4 最坏几何仍相对可控；仍建议保留运行时组合监控。,6b01d25e57bd2355,Garage_test_2,v3-lite,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,1.16259003,11.4080753,9.81263817,dropBDFH,ACEG,Y,Y,10.6125736,13.0661106,2.76307774,18.1349566,20.6127279,2.03024774,0.0468417321,0.743011008
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,A,可部署候选,drop4 最坏几何仍相对可控；仍建议保留运行时组合监控。,41d7fe018de24848,Garage_test_2,v1-old,us_height,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v1-old/layout_us_height.json,1.10142346,11.4227398,10.3708884,dropACEG,BDFH,Y,Y,11.4487066,12.8735905,2.39257407,19.4954623,20.1246042,1.89136703,0.0213205142,0.714541375
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,A,可部署候选,drop4 最坏几何仍相对可控；仍建议保留运行时组合监控。,c5d2c7a4673b4533,Garage_test_2,v2,us_height,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v2/layout_us_height.json,1.16495423,11.4606393,9.83784513,dropACEG,BDFH,Y,Y,11.5448675,12.7675714,2.59655643,19.7442941,20.2175202,1.89993258,0.0190897602,0.734453363
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,A,可部署候选,drop4 最坏几何仍相对可控；仍建议保留运行时组合监控。,526c5cfba000a235,Garage_test_2,v3-lite,us_height,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout_us_height.json,1.16331388,11.6264397,9.99424137,dropACEG,BDFH,Y,Y,11.7159233,12.9924793,2.60587692,20.012219,20.5370763,1.91151514,0.0181493997,0.724806742
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Y 轴会放大；只剩高风险组合时应降低置信度。,9d1956ebc0dabee6,Garage_test_2,v3-full,us_height,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v3-full/layout_us_height.json,1.14100337,12.0326811,10.5457016,dropACEG,BDFH,Y,Y,10.6614904,13.7682028,3.50303268,17.2236656,20.1603221,2.71950426,0.0740521303,0.55946663
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Y 轴会放大；只剩高风险组合时应降低置信度。,c88f9a385f6f8a28,Garage_test_2,v3-full,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,1.13819888,12.8321164,11.2740547,dropBDFH,ACEG,Y,X,13.0637093,13.8069391,3.75309587,21.5811389,21.2841869,2.86596654,0.0730697021,0.626504935
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Y 轴会放大；只剩高风险组合时应降低置信度。,1ecc66f642af77a7,Garage_test_2,v4-io,us_height,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v4-io/layout_us_height.json,1.15929353,13.4566704,11.6076473,dropACEG,BDFH,Y,Y,13.5153627,15.2858019,3.11360955,22.7260199,23.8504519,2.30884637,0.049856941,0.643736161
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,组内最差,B,可用但要降级策略,drop4 进入中等风险，Y 轴会放大；只剩高风险组合时应降低置信度。,ce231d425384c5ce,Garage_test_2,v4-io,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,1.15912457,13.7663342,11.8764924,dropBDFH,ACEG,Y,Y,13.4639711,15.8180389,3.30063081,22.5581116,24.5901889,2.45206848,0.056050644,0.648902468
Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check,推荐,B,可用但要降级策略,drop4 进入中等风险，Y 轴会放大；只剩高风险组合时应降低置信度。,c54a70bd62780086,Garage_test_nah_2,v3-full,default,Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,1.14470636,12.3601959,10.7977,dropBDFH,ACEG,Y,Y,9.89975071,15.1100874,3.0275352,17.8541624,21.4503961,2.33925918,0.0731085786,0.773942053
Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,aad717661a728eef,Garage_test_nah_2,v3-lite,default,Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,1.13470658,13.8744849,12.2273768,dropABGH,CDEF,Z,Z,1.19988012,7.86557102,17.5867043,2.17843102,11.1380926,13.7619887,0.968090864,0.821756774
Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,15baddb603d871a2,Garage_test_nah_2,v2,default,Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,1.1359178,14.1371034,12.4455338,dropABGH,CDEF,Z,Z,1.20973718,8.0291872,17.9459076,2.19674934,11.3792092,14.0185969,0.968195744,0.824033417
Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 15.4x all8；可做分析候选，不适合高可靠冗余。,9b541380fd15fbb5,Garage_test_nah_2,v1-old,default,Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,1.1052993,17.0520329,15.4275253,dropADFG,BCEH,Z,Z,9.18730068,1.11624646,22.4878941,16.7251629,1.58233825,18.2420071,0.939911178,1
Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check,组内最差,D,淘汰或需重布点,drop4 critical，约 21.1x all8；几何冗余不达标。,d301a2d612bc1d18,Garage_test_nah_2,v4-io,default,Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,1.14429204,24.1017455,21.0625825,dropCDEF,ABGH,Z,Z,0.792665064,15.4825735,30.4543629,1.44371846,22.596475,23.3200105,0.96999167,0.990114915
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,推荐,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,be443b0fa3a15759,Outdoor_LOS,v1-old,us_height,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v1-old/layout_us_height.json,1.15810118,13.1737226,11.3752778,dropCDEF,ABGH,Z,Z,1.17307961,4.56464243,18.9182701,1.6582211,8.13246678,14.413547,0.990200966,0.520678607
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,0d3513b55bcb0d9e,Outdoor_LOS,v1-old,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,1.16085083,13.5442878,11.6675523,dropCDEF,ABGH,Z,Z,1.18949735,5.00478077,19.2683678,1.67834744,8.93954716,14.6428253,0.984500943,0.591086874
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,959530dd2fe8fe5a,Outdoor_LOS,v3-lite,us_height,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout_us_height.json,1.17381227,14.0915009,12.0049017,dropBCEH,ADFG,Z,Z,7.24894524,1.48706281,18.4846268,10.4145307,2.66758313,13.7651515,0.985237894,0.745092987
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,bda2d0e51cf32bc2,Outdoor_LOS,v2,us_height,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v2/layout_us_height.json,1.17444434,14.2553115,12.13792,dropBCEH,ADFG,Z,Z,7.35458279,1.49656773,18.703104,10.5712497,2.685321,13.9158199,0.985172027,0.747735882
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,4aea05fc3e1d10d6,Outdoor_LOS,v3-lite,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,1.17567288,14.3804116,12.2316436,dropBCEH,ADFG,Z,X,9.48999023,1.34021008,17.1151428,13.5332697,2.40349862,12.7506245,0.942738015,0.975950599
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,922a7045c2bcb065,Outdoor_LOS,v2,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,1.17631034,14.5490674,12.368392,dropBCEH,ADFG,Z,X,9.5850935,1.33002317,17.3567791,13.6827965,2.38665885,12.9167415,0.944459779,0.977829837
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,备选/不优先,D,淘汰或需重布点,drop4 critical，约 17.5x all8；几何冗余不达标。,1af0932d019d6010,Outdoor_LOS,v4-io,us_height,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v4-io/layout_us_height.json,1.18658631,20.8124012,17.5397281,dropBCEH,ADFG,Z,Z,11.6765223,1.59226418,27.4505062,17.1697804,2.87331024,20.0057893,0.981956604,0.845252795
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,备选/不优先,D,淘汰或需重布点,drop4 critical，约 17.8x all8；几何冗余不达标。,f0347383d2e45b5d,Outdoor_LOS,v3-full,us_height,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v3-full/layout_us_height.json,1.1806866,20.9844054,17.7730529,dropCDEF,ABGH,Z,Z,1.07099354,8.46186256,30.3995419,1.58582989,15.2426309,22.2605706,0.979771821,0.768408437
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,备选/不优先,D,淘汰或需重布点,drop4 critical，约 17.9x all8；几何冗余不达标。,60af45be2893ac48,Outdoor_LOS,v4-io,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,1.18682597,21.2387984,17.8954615,dropBCEH,ADFG,Z,Z,12.9355831,0.997084439,27.2143707,19.1349043,1.80632102,19.7876566,0.986916925,0.993566175
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,组内最差,D,淘汰或需重布点,drop4 critical，约 19.6x all8；几何冗余不达标。,da054d9035b0d65b,Outdoor_LOS,v3-full,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,1.18219048,23.1687183,19.5981263,dropCDEF,ABGH,Z,Z,1.10074162,10.9196968,32.5239563,1.6414836,19.7522471,23.727363,0.976645073,0.994253842
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,推荐,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,b5d368d15c9d301e,Outdoor_LOS_2,v2,us_height,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v2/layout_us_height.json,1.00777372,15.9147979,15.792035,dropCDEF,ABGH,Z,Z,1.59179175,7.86021709,21.4003639,2.26598787,13.563198,19.8394255,0.953136058,0.777345045
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,1ce4bc0b1a8b43a9,Outdoor_LOS_2,v3-lite,us_height,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout_us_height.json,1.00670747,15.9728219,15.8663985,dropCDEF,ABGH,Z,Z,1.57436132,7.88716698,21.4890671,2.24170174,13.6052222,19.9529996,0.953982905,0.774701028
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 16.6x all8；可做分析候选，不适合高可靠冗余。,5484092f61ff25fc,Outdoor_LOS_2,v2,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,1.00312297,16.6028029,16.5511143,dropCDEF,ABGH,Z,Z,1.12413359,8.93495369,21.8601856,1.62121079,15.5505226,20.2746773,0.989139331,0.826514788
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 16.6x all8；可做分析候选，不适合高可靠冗余。,12888496e298b4ec,Outdoor_LOS_2,v3-lite,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,1.00213026,16.6642346,16.6288109,dropCDEF,ABGH,Z,Z,1.12226641,8.97907734,21.9365292,1.61864917,15.6235543,20.3766683,0.988863482,0.826455707
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 15.9x all8；可做分析候选，不适合高可靠冗余。,9b125fc84ecb0d4d,Outdoor_LOS_2,v1-old,us_height,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v1-old/layout_us_height.json,1.06415539,16.8692343,15.8522284,dropCDEF,ABGH,Z,Z,1.21440101,7.72045755,23.3352699,1.75792272,13.5043388,19.8165454,0.975468361,0.747314183
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 15.9x all8；可做分析候选，不适合高可靠冗余。,6b676497df3bfb40,Outdoor_LOS_2,v3-full,us_height,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-full/layout_us_height.json,1.06869904,16.9651888,15.8746178,dropADFG,BCEH,Z,X,12.0664797,1.5825094,19.7447548,17.6786796,2.76355893,16.5920156,0.916735263,1
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 16.2x all8；可做分析候选，不适合高可靠冗余。,fbb5ac35d7225b7a,Outdoor_LOS_2,v1-old,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,1.06228689,17.2330079,16.2225554,dropCDEF,ABGH,Z,Z,1.13928628,8.45553112,23.4323273,1.65938697,14.8582797,19.8892023,0.983206059,0.802835785
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 16.9x all8；可做分析候选，不适合高可靠冗余。,ee4335423ad1a73e,Outdoor_LOS_2,v3-full,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,1.06958592,18.0717737,16.8960467,dropADFG,BCEH,Z,Z,11.9571991,2.44383073,21.9034958,17.7669497,4.26973892,18.3077594,0.945762358,0.938879339
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 17.4x all8；可做分析候选，不适合高可靠冗余。,b7ec9554ec6c8102,Outdoor_LOS_2,v4-io,us_height,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v4-io/layout_us_height.json,1.04364452,18.1346811,17.3763008,dropADFG,BCEH,Z,X,12.9098568,1.18664503,21.2675877,18.8000394,2.08557536,18.5386751,0.937356432,0.991318323
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,组内最差,C,不建议高可靠部署,drop4 高风险，约 18.3x all8；可做分析候选，不适合高可靠冗余。,493249c966b80ad2,Outdoor_LOS_2,v4-io,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,1.04237426,19.1223712,18.3450148,dropADFG,BCEH,Z,Z,12.5841722,1.66920292,23.4383087,18.5351945,2.94370155,20.3768273,0.973049744,0.915202156
Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,组内最好但仍需优化,C,不建议高可靠部署,drop4 高风险，约 16.7x all8；可做分析候选，不适合高可靠冗余。,172b3b835dda9c0d,Outdoor_LOS_3,v3-lite,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,1.00669907,16.7738951,16.6622734,dropCDEF,ABGH,Z,Z,1.12205505,8.98575497,22.1379929,1.61628081,15.6644582,20.4309913,0.991507646,0.829417228
Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 16.6x all8；可做分析候选，不适合高可靠冗余。,291c54b10f65d118,Outdoor_LOS_3,v2,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,1.00866071,16.7939713,16.6497724,dropCDEF,ABGH,Z,Z,1.12422788,9.00562668,22.158432,1.61939387,15.6991323,20.3882353,0.991461125,0.832748664
Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 17.3x all8；可做分析候选，不适合高可靠冗余。,2b38dcbd8cbe88a3,Outdoor_LOS_3,v1-old,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,1.0626016,18.3461041,17.2652705,dropCDEF,ABGH,Z,Z,1.09314406,9.17111111,24.9348679,1.59114483,16.1555444,21.1567093,0.99336839,0.831124849
Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 17.4x all8；可做分析候选，不适合高可靠冗余。,6d4f1bbc4dda2c76,Outdoor_LOS_3,v3-full,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,1.06332068,18.5002887,17.3985977,dropADFG,BCEH,Z,Z,12.2715473,1.73464704,22.5177307,18.1335965,3.05474838,18.9972982,0.982617975,0.958655174
Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,组内最差,C,不建议高可靠部署,drop4 高风险，约 18.3x all8；可做分析候选，不适合高可靠冗余。,e0b44fd5cac62866,Outdoor_LOS_3,v4-io,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,1.04607402,19.1546349,18.3109747,dropADFG,BCEH,Z,Z,12.5932274,1.63455427,23.4956837,18.5182426,2.88762386,20.336541,0.966403999,0.906336256
outdoor_20260513/FULL-COMPARE,组内最好但仍需优化,C,不建议高可靠部署,drop4 高风险，约 15.6x all8；可做分析候选，不适合高可靠冗余。,554f4e554b20b5b2,outdoor_20260513,v1,default,outdoor_20260513/FULL-COMPARE/v1/layout.json,1.14239013,17.8781821,15.6498044,dropCDEF,ABGH,Z,Z,1.13640285,7.779531,25.1660538,1.61122438,14.2615365,19.4924999,0.960632234,0.854055231
outdoor_20260513/FULL-COMPARE,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 17.0x all8；可做分析候选，不适合高可靠冗余。,a46dcba7a6dc6a8d,outdoor_20260513,v3-lite,default,outdoor_20260513/FULL-COMPARE/v3lite/layout.json,1.1406416,19.3366735,16.9524533,dropABGH,CDEF,Z,Z,1.10666776,8.81506443,27.0627193,1.57332037,16.1616062,20.978659,0.928541618,0.874319299
