layout_id,capture_id,source_group,solver_version,layout_variant,source_path,worst_drop4_mask,dropped_labels,surviving_labels,risk_level,all8_score,drop4_score,score_ratio,abs_worst_axis,ratio_worst_axis,drop4_xdop_p95,drop4_ydop_p95,drop4_vdop_p95,xdop_ratio,ydop_ratio,vdop_ratio,drop4_hdop_p95,drop4_gdop_p95,drop4_axis_imbalance_p95,all_x_span_mm,all_y_span_mm,all_z_span_mm,all_xy_hull_area_m2,surviving_x_span_mm,surviving_y_span_mm,surviving_z_span_mm,surviving_xy_hull_area_m2,surviving_x_span_ratio,surviving_y_span_ratio,surviving_z_span_ratio,surviving_xy_area_ratio
175c6752d9dd2ac4,outdoor_20260513,outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000,v4-io-roto,us_height,outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000/v4-io-roto/layout_us_height.json,dropADFG,ADFG,BCEH,critical,1.14962839,22.353435,19.4440527,Z,X,15.2012472,1.10691381,27.3376999,21.5441064,2.03716807,21.0092402,15.2395592,31.2961044,24.6972255,3123.01536,4754.69107,1788.95881,14.365796,3013.39284,4703.81465,1788.95881,13.5180299,0.964898501,0.989299743,1,0.940987183
1af0932d019d6010,Outdoor_LOS,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,v4-io,us_height,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v4-io/layout_us_height.json,dropBCEH,BCEH,ADFG,critical,1.18658631,20.8124012,17.5397281,Z,Z,11.6765223,1.59226418,27.4505062,17.1697804,2.87331024,20.0057893,11.7845497,29.8754444,17.2399195,4000.0023,5186.93877,1937.86277,17.7976313,4000.0023,5186.93877,1637.98392,17.4765016,1,1,0.845252795,0.981956604
1ce4bc0b1a8b43a9,Outdoor_LOS_2,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,v3-lite,us_height,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout_us_height.json,dropCDEF,CDEF,ABGH,medium,1.00670747,15.9728219,15.8663985,Z,Z,1.57436132,7.88716698,21.4890671,2.24170174,13.6052222,19.9529996,8.03127098,22.9470901,13.6493871,3550.6794,4371.15607,2138.94737,12.4750621,3310.99056,4371.15607,1657.04472,11.900996,0.932494936,1,0.774701028,0.953982905
1e9a31611a4bc5c2,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v4-io,consensus,outdoor_20260513/FULL-COMPARE-500+500/v4-io/layout_consensus.json,dropABGH,ABGH,CDEF,critical,1.14932485,20.3037158,17.6657764,Z,Z,1.10237432,9.10160351,28.6389294,1.56321462,16.7080852,21.998544,9.15115547,30.0662613,25.9793148,3168.63218,4774.59553,1748.18272,14.3610054,3064.13592,4752.6635,1518.07662,13.3345559,0.96702165,0.995406516,0.86837411,0.928525232
1ecc66f642af77a7,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v4-io,us_height,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v4-io/layout_us_height.json,dropACEG,ACEG,BDFH,medium,1.15929353,13.4566704,11.6076473,Y,Y,13.5153627,15.2858019,3.11360955,22.7260199,23.8504519,2.30884637,20.3987312,20.599884,4.90935091,5078.00588,4344.25068,2588.79075,21.7183649,4942.9315,4338.53598,1666.49822,1.08281124,0.973400113,0.998684536,0.643736161,0.049856941
21d850e593ebb432,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v4-io-roto,default,outdoor_20260513/FULL-COMPARE-1000/v4-io-roto/layout.json,dropADFG,ADFG,BCEH,critical,1.1492527,22.6465995,19.7055004,Z,Z,14.4060183,0.891704857,28.6197662,20.5429168,1.6394697,21.951217,14.4321442,32.0533524,32.0955594,3135.33932,4785.98879,1702.66508,14.4612872,3080.98452,4702.6252,1569.86175,13.8222449,0.982663822,0.982581741,0.92200267,0.955810134
291c54b10f65d118,Outdoor_LOS_3,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,v2,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,dropCDEF,CDEF,ABGH,high,1.00866071,16.7939713,16.6497724,Z,Z,1.12422788,9.00562668,22.158432,1.61939387,15.6991323,20.3882353,9.05549335,23.9379959,19.7099115,3444.39575,4307.46494,2119.44412,11.7927361,3405.62002,4307.46494,1764.96426,11.6920394,0.988742371,1,0.832748664,0.991461125
2b2f48a609fa2cd5,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v4-io-wand,default,outdoor_20260513/FULL-COMPARE-1000/v4-io-wand/layout.json,dropABGH,ABGH,CDEF,high,1.14975908,19.2418445,16.7355447,Z,Z,1.13791013,8.80864525,26.8910465,1.61127753,16.1676164,20.6539549,8.87098503,28.3161469,23.6319599,3137.86578,4789.53059,1784.22371,14.4056972,3028.04861,4739.49524,1581.97633,13.2038324,0.965002592,0.989553183,0.886646846,0.916570177
2b38dcbd8cbe88a3,Outdoor_LOS_3,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,v1-old,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,dropCDEF,CDEF,ABGH,high,1.0626016,18.3461041,17.2652705,Z,Z,1.09314406,9.17111111,24.9348679,1.59114483,16.1555444,21.1567093,9.21769714,26.5857506,22.8102304,3392.72794,4295.3321,1894.30272,11.759863,3365.28347,4295.3321,1574.40206,11.6818762,0.991910796,1,0.831124849,0.99336839
2b64302132c7dbdf,outdoor_20260513,outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000,v3-lite,us_height,outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000/v3-lite/layout_us_height.json,dropABGH,ABGH,CDEF,high,1.14090504,18.1538065,15.9117594,Z,Z,2.19498563,9.3648653,24.3055305,3.07396456,17.1076073,18.9608149,9.61768436,26.1355228,11.0732071,3156.78456,4786.01927,1974.36371,14.2935445,3048.37009,4660.39664,1974.36371,13.2348267,0.965656678,0.973752169,1,0.925930355
2e0235507a0539fa,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v2,last500_aligned,outdoor_20260513/FULL-COMPARE-500+500/v2/layout_last500_aligned.json,dropABGH,ABGH,CDEF,high,1.14131358,19.5798768,17.1555628,Z,Z,1.10895824,8.91978836,27.4336586,1.57756351,16.3534238,21.2450639,8.97532082,28.8669872,24.738225,3193.8844,4763.07588,1795.71055,14.5619768,3100.67831,4746.69803,1569.74182,13.5134349,0.970817326,0.996561498,0.874161941,0.927994532
2eb8a6fdb7b789b6,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v1-old,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,dropABGH,ABGH,CDEF,acceptable,1.1007646,11.2186172,10.1916588,Z,Z,1.26206136,5.38080883,14.6361885,2.16155156,8.50988862,11.5310588,5.53540421,15.6542339,11.5970499,5256.33047,4313.83462,2341.17531,21.6824013,4931.65216,4256.34633,1886.57384,20.695396,0.938230992,0.986673506,0.805823393,0.954478968
34560462b40941aa,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v5,first500,outdoor_20260513/FULL-COMPARE-500+500/v5/layout_first500.json,dropABGH,ABGH,CDEF,critical,1.1497744,20.1626479,17.5361774,Z,Z,1.09989393,9.02710247,28.4334602,1.55869515,16.5702245,21.8341022,9.0763998,29.8530579,25.851093,3171.57956,4778.9078,1753.79134,14.3702599,3065.08367,4757.77568,1524.88115,13.342977,0.966421813,0.995578042,0.86947695,0.928513267
4007f54f3d3bcdd3,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v3-lite,default,outdoor_20260513/FULL-COMPARE-1000/v3-lite/layout.json,dropABGH,ABGH,CDEF,high,1.1406416,19.3366735,16.9524533,Z,Z,1.10666776,8.81506443,27.0627193,1.57332037,16.1616062,20.978659,8.87120056,28.4854317,24.4542404,3195.15999,4764.5459,1802.26601,14.5638882,3099.05581,4748.36141,1575.75595,13.5231763,0.96992195,0.996603141,0.874319299,0.928541618
41d7fe018de24848,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v1-old,us_height,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v1-old/layout_us_height.json,dropACEG,ACEG,BDFH,acceptable,1.10142346,11.4227398,10.3708884,Y,Y,11.4487066,12.8735905,2.39257407,19.4954623,20.1246042,1.89136703,17.2233791,17.3170128,5.38064448,5137.02958,4307.11168,2498.13474,21.2729859,4836.1839,4294.52358,1785.02063,0.453550997,0.941435866,0.997077368,0.714541375,0.0213205142
438122a22497ded6,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v1-old,first500,outdoor_20260513/FULL-COMPARE-500+500/v1-old/layout_first500.json,dropCDEF,CDEF,ABGH,high,1.1435573,17.1328505,14.9820656,Z,Z,1.15875852,7.43395376,24.0450745,1.64199505,13.6317049,18.60118,7.52281237,25.1986904,20.7507207,3179.62744,4779.82908,1791.13384,14.4371522,2987.86201,4741.81127,1534.24353,13.8647074,0.93968934,0.992046199,0.85657671,0.960349188
43a8b149d8ea5545,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v4-io,default,outdoor_20260513/FULL-COMPARE-500/v4-io/layout.json,dropABGH,ABGH,CDEF,critical,1.1497744,20.1626479,17.5361774,Z,Z,1.09989393,9.02710247,28.4334602,1.55869515,16.5702245,21.8341022,9.0763998,29.8530579,25.851093,3171.57956,4778.9078,1753.79134,14.3702599,3065.08367,4757.77568,1524.88115,13.342977,0.966421813,0.995578042,0.86947695,0.928513267
48d29ef0f4d28d2d,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,dropBCEH,BCEH,ADFG,high,0.88493651,17.9821184,20.3202356,Z,Z,11.7587709,1.03591669,22.0378399,19.9847176,1.58792995,24.5943335,11.794734,24.9920158,21.273757,2930.29673,2425.94274,1559.32551,6.84203787,2907.29979,2363.60142,1532.12257,6.50174873,0.992152008,0.974302231,0.982554674,0.950264944
493249c966b80ad2,Outdoor_LOS_2,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,v4-io,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,dropADFG,ADFG,BCEH,high,1.04237426,19.1223712,18.3450148,Z,Z,12.5841722,1.66920292,23.4383087,18.5351945,2.94370155,20.3768273,12.6952076,26.6568451,14.0416173,3460.78112,4302.2866,1753.50335,11.8099964,3433.72694,4302.2866,1604.81004,11.4917139,0.992182638,1,0.915202156,0.973049744
4a8f068eef5935ee,outdoor_20260513,outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000,v4-io,us_height,outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000/v4-io/layout_us_height.json,dropABGH,ABGH,CDEF,high,1.14927231,19.0464636,16.572629,Z,Z,2.20750237,9.6829567,25.7221527,3.09028122,17.726912,19.8665458,9.92804337,27.5670624,11.6521518,3137.20694,4781.40254,1925.90172,14.1880644,2971.87886,4668.74375,1925.90172,13.0651797,0.947300868,0.976438127,1,0.920857092
4aea05fc3e1d10d6,Outdoor_LOS,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,dropBCEH,BCEH,ADFG,medium,1.17567288,14.3804116,12.2316436,Z,X,9.48999023,1.34021008,17.1151428,13.5332697,2.40349862,12.7506245,9.58597279,19.6207027,12.7704925,4004.56875,5210.06672,2234.25073,17.6697786,3724.87319,5210.06672,2180.51834,16.657972,0.930155884,1,0.975950599,0.942738015
4fb9ef3d2e648d58,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v2,first500,outdoor_20260513/FULL-COMPARE-500+500/v2/layout_first500.json,dropABGH,ABGH,CDEF,high,1.14151519,19.3994415,16.9944664,Z,Z,1.10557902,8.83356476,27.1674767,1.57175736,16.1995292,21.0380623,8.88994217,28.5847015,24.5730755,3196.71987,4765.23067,1801.08004,14.5801908,3102.38995,4752.49216,1574.27176,13.5400022,0.970491654,0.997326779,0.874070964,0.928657407
526c5cfba000a235,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v3-lite,us_height,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout_us_height.json,dropACEG,ACEG,BDFH,acceptable,1.16331388,11.6264397,9.99424137,Y,Y,11.7159233,12.9924793,2.60587692,20.012219,20.5370763,1.91151514,17.4913826,17.5901127,4.98583767,5169.9172,4350.40526,2335.91649,21.4326106,4820.18987,4350.40526,1693.08802,0.388989016,0.9323534,1,0.724806742,0.0181493997
53f9b6a2d65f0db4,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v2,consensus,outdoor_20260513/FULL-COMPARE-500+500/v2/layout_consensus.json,dropABGH,ABGH,CDEF,high,1.14140898,19.4947479,17.0795466,Z,Z,1.10715091,8.88063049,27.3095627,1.57448503,16.2835701,21.1486692,8.93710518,28.729454,24.6665223,3195.30213,4764.15328,1798.39529,14.5710822,3101.53413,4749.5951,1572.00679,13.5267155,0.970654418,0.996944225,0.874116385,0.928326074
5484092f61ff25fc,Outdoor_LOS_2,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,v2,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,dropCDEF,CDEF,ABGH,high,1.00312297,16.6028029,16.5511143,Z,Z,1.12413359,8.93495369,21.8601856,1.62121079,15.5505226,20.2746773,8.98383236,23.6309509,19.4462525,3452.5827,4307.69686,2147.01841,11.8787528,3408.22719,4307.69686,1774.54247,11.7497416,0.987152947,1,0.826514788,0.989139331
554f4e554b20b5b2,outdoor_20260513,outdoor_20260513/FULL-COMPARE,v1,default,outdoor_20260513/FULL-COMPARE/v1/layout.json,dropCDEF,CDEF,ABGH,high,1.14239013,17.8781821,15.6498044,Z,Z,1.13640285,7.779531,25.1660538,1.61122438,14.2615365,19.4924999,7.85730934,26.3598976,22.1453632,3175.54394,4779.68678,1783.4088,14.4327174,2988.37233,4739.3494,1523.12961,13.8645336,0.941058412,0.991560665,0.854055231,0.960632234
5bf668bcf4c8a159,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v4-io-td,last500_aligned,outdoor_20260513/FULL-COMPARE-500+500/v4-io-td/layout_last500_aligned.json,dropABGH,ABGH,CDEF,critical,1.14884934,20.4797285,17.8262961,Z,Z,1.10416913,9.18659019,28.8982353,1.56677996,16.8653046,22.2053811,9.23648739,30.3398876,26.1719283,3165.6848,4770.28325,1742.57411,14.3517705,3063.18817,4747.55133,1511.27209,13.3261323,0.967622603,0.99523468,0.867264172,0.928535773
5cfb884f33a3b279,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v4-io,default,outdoor_20260513/FULL-COMPARE-1000/v4-io/layout.json,dropABGH,ABGH,CDEF,critical,1.14930654,20.4098492,17.7584034,Z,Z,1.09847319,9.1283741,28.8115444,1.55795918,16.7558097,22.1308172,9.17732811,30.2466564,26.2287188,3167.24855,4775.80225,1744.35668,14.3579245,3060.44784,4754.14475,1512.34255,13.3420027,0.966279653,0.99546516,0.866991581,0.929243128
60199a8d9263348f,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v4-io-td,first500,outdoor_20260513/FULL-COMPARE-500+500/v4-io-td/layout_first500.json,dropABGH,ABGH,CDEF,critical,1.1497744,20.1626479,17.5361774,Z,Z,1.09989393,9.02710247,28.4334602,1.55869515,16.5702245,21.8341022,9.0763998,29.8530579,25.851093,3171.57956,4778.9078,1753.79134,14.3702599,3065.08367,4757.77568,1524.88115,13.342977,0.966421813,0.995578042,0.86947695,0.928513267
60af45be2893ac48,Outdoor_LOS,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,v4-io,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,dropBCEH,BCEH,ADFG,critical,1.18682597,21.2387984,17.8954615,Z,Z,12.9355831,0.997084439,27.2143707,19.1349043,1.80632102,19.7876566,12.9730139,30.1581879,27.2939479,3929.04777,5146.25252,1824.21796,17.3914307,3926.92965,5146.25252,1812.48127,17.1638973,0.999460908,1,0.993566175,0.986916925
6b01d25e57bd2355,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,dropBDFH,BDFH,ACEG,acceptable,1.16259003,11.4080753,9.81263817,Y,Y,10.6125736,13.0661106,2.76307774,18.1349566,20.6127279,2.03024774,16.8318481,17.0114632,4.72882483,5316.19706,4344.56252,2331.85825,21.9488842,5316.19706,4229.19532,1732.59635,1.02812375,1,0.973445612,0.743011008,0.0468417321
6b676497df3bfb40,Outdoor_LOS_2,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,v3-full,us_height,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-full/layout_us_height.json,dropADFG,ADFG,BCEH,high,1.06869904,16.9651888,15.8746178,Z,X,12.0664797,1.5825094,19.7447548,17.6786796,2.76355893,16.5920156,12.1687193,23.1921864,12.4768642,3622.21071,4443.35651,1904.5517,12.3932205,3553.75236,4318.79884,1904.5517,11.3613023,0.981100398,0.971967662,1,0.916735263
6b6a0714d7d56ce0,outdoor_20260513,outdoor_20260513/FULL-COMPARE,v3-full,default,outdoor_20260513/FULL-COMPARE/v3full/layout.json,dropADFG,ADFG,BCEH,critical,1.136178,20.0069849,17.6090233,Z,Z,13.3705664,1.02548432,24.4760399,18.8426483,1.86345184,19.1604777,13.408246,27.9077549,23.8677855,3284.52916,5069.04667,1744.95816,14.5675181,3260.37576,5024.89718,1634.03619,14.196183,0.99264631,0.991290376,0.936432878,0.974509376
6cd2e6cef6adf989,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v1-old,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,dropBCEH,BCEH,ADFG,medium,0.939314559,15.9745827,17.006638,Z,Z,9.24837303,1.63949311,20.3517265,16.0651777,2.41192686,20.8199503,9.39342308,22.4124966,12.4134261,3452.76592,2647.85887,1744.01176,8.5907841,3328.78236,2563.8964,1649.19792,8.03645684,0.964091524,0.968290428,0.94563463,0.935474195
6d4f1bbc4dda2c76,Outdoor_LOS_3,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,v3-full,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,dropADFG,ADFG,BCEH,high,1.06332068,18.5002887,17.3985977,Z,Z,12.2715473,1.73464704,22.5177307,18.1335965,3.05474838,18.9972982,12.3913984,25.7038307,12.98116,3548.06421,4361.90856,1725.85631,12.0179159,3535.75607,4303.929,1654.50108,11.8090202,0.996531025,0.986707755,0.958655174,0.982617975
70c3a0630e953979,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v2,default,outdoor_20260513/FULL-COMPARE-1000/v2/layout.json,dropABGH,ABGH,CDEF,high,1.14148369,19.4927523,17.0766805,Z,Z,1.10505426,8.86355782,27.3150692,1.57164258,16.2517611,21.1509653,8.91985798,28.738905,24.7183059,3194.39165,4765.2243,1796.2519,14.5690376,3098.55708,4750.93034,1569.09901,13.5308715,0.969999115,0.99700036,0.873540624,0.92874161
71be847711797af2,outdoor_v4_20260504,outdoor_v4_20260504/FULL-COMPARE,v4,default,outdoor_v4_20260504/FULL-COMPARE/v4/layout.json,dropCDEF,CDEF,ABGH,critical,1.09641711,20.1979625,18.421787,Z,Z,0.78848201,12.7090597,25.4436188,1.43510226,18.2261372,20.7650388,12.72754,28.4520397,32.2691177,4534.03253,3042.92026,1872.4556,13.5479385,4517.66736,2900.08235,1471.59766,12.9874201,0.996390592,0.953058939,0.785918589,0.958627034
76f5afe080a70214,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v5,default,outdoor_20260513/FULL-COMPARE-500/v5/layout.json,dropABGH,ABGH,CDEF,critical,1.1497744,20.1626479,17.5361774,Z,Z,1.09989393,9.02710247,28.4334602,1.55869515,16.5702245,21.8341022,9.0763998,29.8530579,25.851093,3171.57956,4778.9078,1753.79134,14.3702599,3065.08367,4757.77568,1524.88115,13.342977,0.966421813,0.995578042,0.86947695,0.928513267
