layout_id,group_rank,score_group,capture_id,source_group,solver_version,solver_family,layout_variant,final_score,eval_score,geometry_score,split_stability_score,score_confidence,score_basis,top_reason,eval_autopos_rms_mm,eval_autopos_p95_mm,eval_static_p95_mm,eval_roto_abs_deltaR_p95_mm,eval_roto_turn_center_p95_mm,extra_split_align_rms_mm,xy_hull_coverage_ratio,nearest_neighbor_min_mm,z_span_mm,risk_flags,source_path
b8d7b47c1daf30d4,2,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v2,v2,default,25.730263,26.846,9.736,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=40.6mm; static_p95=72.0mm; roto_p95=51.1mm,40.5636654,80.4547277,71.9501513,51.1028183,29.9711444,,0.9571383101831666,1436.614513743949,1801.0800360417404,,outdoor_20260513/FULL-COMPARE-500/v2/layout.json
a880c88dbf7036a1,3,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v3-lite,v3-lite,default,26.271791,27.512,8.493,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=41.0mm; static_p95=71.9mm; roto_p95=51.2mm,41.0286309,81.7864376,71.93879,51.1574338,29.9555164,,0.9563355527666056,1437.8042336769643,1809.7300499499447,,outdoor_20260513/FULL-COMPARE-500/v3-lite/layout.json
b022bebf946d2d28,4,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v4-io-wand,v4-io,default,32.759843,34.089,13.714,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=44.3mm; static_p95=79.1mm; roto_p95=50.5mm,44.3480486,87.3762884,79.1153679,50.542844,29.8691688,,0.9576216570267984,1428.5773501148128,1789.681263108121,,outdoor_20260513/FULL-COMPARE-500/v4-io-wand/layout.json
891e606dde9b7a57,5,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v4-io-td,v4-io,default,33.558896,33.884,28.899,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=44.7mm; static_p95=82.3mm; roto_p95=49.7mm,44.6911993,89.1665904,82.258194,49.7111625,29.1106866,,0.9481135674178072,1418.3446087336933,1753.7913404057197,,outdoor_20260513/FULL-COMPARE-500/v4-io-td/layout.json
43a8b149d8ea5545,6,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v4-io,v4-io,default,41.687303,42.580,28.899,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=44.7mm; static_p95=80.9mm; roto_p95=51.4mm,44.6911993,89.1665904,80.8636619,51.3836134,30.5409356,,0.9481135674178072,1418.3446087336933,1753.7913404057197,,outdoor_20260513/FULL-COMPARE-500/v4-io/layout.json
76f5afe080a70214,7,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v5,v5,default,41.687303,42.580,28.899,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=44.7mm; static_p95=80.9mm; roto_p95=51.4mm,44.6911993,89.1665904,80.8636619,51.3836134,30.5409356,,0.9481135674178072,1418.3446087336933,1753.7913404057197,,outdoor_20260513/FULL-COMPARE-500/v5/layout.json
c46f703d261789cb,8,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v1-old,v1-old,default,72.987361,76.810,18.203,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=63.3mm; static_p95=76.1mm; roto_p95=55.3mm,63.2725663,143.744238,76.0941483,55.3128115,32.5486748,,0.9499329049684949,1429.6240601477846,1791.1338424345508,,outdoor_20260513/FULL-COMPARE-500/v1-old/layout.json
8a83c9a6e6976cc7,9,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v3-full,v3-full,default,78.143048,77.101,93.081,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=61.8mm; static_p95=90.8mm; roto_p95=50.0mm,61.8447573,178.314527,90.7729366,50.0330103,30.3163025,,0.8881292458406727,1338.6280384827048,1749.8521747952404,,outdoor_20260513/FULL-COMPARE-500/v3-full/layout.json
c154e86f58c62fcf,1,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v4-io-roto,v4-io,consensus,23.606640,25.909,17.762,3.238,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|extra_split_align_rms_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=57.5mm; static_p95=75.1mm; roto_p95=46.0mm; split_align=8.3mm,57.5332508,133.710201,75.0997429,46.0299342,27.5283005,8.29643506,0.9648779406579207,1445.2695537789164,1706.0507461480142,,outdoor_20260513/FULL-COMPARE-500+500/v4-io-roto/layout_consensus.json
53f9b6a2d65f0db4,2,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v2,v2,consensus,25.168206,28.489,11.123,0.000,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|extra_split_align_rms_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=40.4mm; static_p95=72.2mm; roto_p95=51.5mm; split_align=5.5mm,40.428759,80.4262351,72.2127969,51.4879919,30.2342975,5.45905609,0.9571811860149472,1435.2488822650087,1798.3952914162307,,outdoor_20260513/FULL-COMPARE-500+500/v2/layout_consensus.json
