level,capture_id,version,eval_set,grid_mm,x_feature,y_error,n,pearson_r,spearman_r,x_min,x_max,y_min,y_max
session,28052026_Erlangen_Official,v4-io,all8,25.0,hdop,err_horizontal_mm,72,0.090868,0.054268,0.779092,0.873742,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,25.0,hdop,err_vertical_mm,72,0.727892,0.636056,0.779092,0.873742,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,25.0,vdop,err_3d_mm,72,0.001299,-0.249807,0.683999,1.31867,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,25.0,vdop,err_horizontal_mm,72,-0.028781,-0.059772,0.683999,1.31867,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,25.0,vdop,err_vertical_mm,72,0.008622,-0.222576,0.683999,1.31867,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,25.0,cond,err_3d_mm,72,0.191400,-0.245655,1.60302,21.6151,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,25.0,cond,err_horizontal_mm,72,0.017635,-0.067690,1.60302,21.6151,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,25.0,cond,err_vertical_mm,72,0.198319,-0.234453,1.60302,21.6151,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,25.0,dop_radial_p95_mm,err_3d_mm,72,0.366634,0.600000,70.247,217.462,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,25.0,dop_radial_p95_mm,err_horizontal_mm,72,0.073245,0.106087,70.247,217.462,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,25.0,dop_radial_p95_mm,err_vertical_mm,72,0.376874,0.548696,70.247,217.462,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,25.0,pct_ge8,err_3d_mm,72,0.024037,-0.100457,89.7585,95.6703,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,25.0,pct_ge8,err_horizontal_mm,72,-0.031251,-0.086975,89.7585,95.6703,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,25.0,pct_ge8,err_vertical_mm,72,0.039555,-0.036095,89.7585,95.6703,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,25.0,distance_to_array_centroid_mm,err_3d_mm,72,0.509860,0.557391,182.354,1059.6,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,25.0,distance_to_array_centroid_mm,err_horizontal_mm,72,0.365626,0.326087,182.354,1059.6,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,25.0,distance_to_array_centroid_mm,err_vertical_mm,72,0.457046,0.459130,182.354,1059.6,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,50.0,gdop,err_3d_mm,24,-0.646621,-0.773913,1.08043,1.2007,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,50.0,gdop,err_horizontal_mm,24,-0.209017,-0.175652,1.08043,1.2007,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,50.0,gdop,err_vertical_mm,24,-0.648356,-0.751304,1.08043,1.2007,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,50.0,hdop,err_3d_mm,24,0.733790,0.640000,0.778808,0.850102,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,50.0,hdop,err_horizontal_mm,24,0.040537,0.002609,0.778808,0.850102,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,50.0,hdop,err_vertical_mm,24,0.763507,0.701739,0.778808,0.850102,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,50.0,vdop,err_3d_mm,24,-0.710009,-0.770435,0.683999,0.907871,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,50.0,vdop,err_horizontal_mm,24,-0.169313,-0.133043,0.683999,0.907871,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,50.0,vdop,err_vertical_mm,24,-0.720040,-0.758261,0.683999,0.907871,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,50.0,cond,err_3d_mm,24,-0.651172,-0.768696,1.60302,3.40687,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,50.0,cond,err_horizontal_mm,24,-0.242925,-0.184348,1.60302,3.40687,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,50.0,cond,err_vertical_mm,24,-0.644275,-0.747826,1.60302,3.40687,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,50.0,dop_radial_p95_mm,err_3d_mm,24,0.366634,0.600000,70.247,217.462,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,50.0,dop_radial_p95_mm,err_horizontal_mm,24,0.073245,0.106087,70.247,217.462,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,50.0,dop_radial_p95_mm,err_vertical_mm,24,0.376874,0.548696,70.247,217.462,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,50.0,pct_ge8,err_3d_mm,24,0.024037,-0.100457,89.7585,95.6703,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,50.0,pct_ge8,err_horizontal_mm,24,-0.031251,-0.086975,89.7585,95.6703,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,50.0,pct_ge8,err_vertical_mm,24,0.039555,-0.036095,89.7585,95.6703,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,50.0,distance_to_array_centroid_mm,err_3d_mm,24,0.509860,0.557391,182.354,1059.6,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,50.0,distance_to_array_centroid_mm,err_horizontal_mm,24,0.365626,0.326087,182.354,1059.6,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,50.0,distance_to_array_centroid_mm,err_vertical_mm,24,0.457046,0.459130,182.354,1059.6,5.591,368.282
session,28052026_Erlangen_Official,v4-io,noG,100.0,gdop,err_3d_mm,24,-0.257179,-0.296362,1.18386,1.35019,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,100.0,gdop,err_horizontal_mm,24,-0.058903,0.058401,1.18386,1.35019,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,100.0,gdop,err_vertical_mm,24,-0.232999,-0.325998,1.18386,1.35019,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,100.0,hdop,err_3d_mm,24,0.720998,0.509916,0.848929,0.963201,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,100.0,hdop,err_horizontal_mm,24,-0.377230,-0.263239,0.848929,0.963201,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,100.0,hdop,err_vertical_mm,24,0.771251,0.651124,0.848929,0.963201,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,100.0,vdop,err_3d_mm,24,-0.459890,-0.308565,0.701779,1.00542,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,100.0,vdop,err_horizontal_mm,24,0.093074,0.116801,0.701779,1.00542,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,100.0,vdop,err_vertical_mm,24,-0.456680,-0.347789,0.701779,1.00542,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,100.0,cond,err_3d_mm,24,-0.272412,-0.283287,2.03426,4.14908,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,100.0,cond,err_horizontal_mm,24,-0.063508,0.040968,2.03426,4.14908,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,100.0,cond,err_vertical_mm,24,-0.248806,-0.304207,2.03426,4.14908,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,100.0,dop_radial_p95_mm,err_3d_mm,24,0.376392,0.615652,70.247,217.462,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,100.0,dop_radial_p95_mm,err_horizontal_mm,24,0.057183,0.097391,70.247,217.462,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,100.0,dop_radial_p95_mm,err_vertical_mm,24,0.381085,0.492174,70.247,217.462,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,100.0,pct_ge8,err_3d_mm,24,0.022863,-0.120461,89.7585,95.6703,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,100.0,pct_ge8,err_horizontal_mm,24,-0.034498,-0.070015,89.7585,95.6703,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,100.0,pct_ge8,err_vertical_mm,24,0.044615,-0.018700,89.7585,95.6703,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,100.0,distance_to_array_centroid_mm,err_3d_mm,24,0.495841,0.548696,365.075,1222.75,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,100.0,distance_to_array_centroid_mm,err_horizontal_mm,24,0.289103,0.329565,365.075,1222.75,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,100.0,distance_to_array_centroid_mm,err_vertical_mm,24,0.414910,0.342609,365.075,1222.75,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,25.0,gdop,err_3d_mm,24,-0.256736,-0.293913,1.18364,1.33645,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,25.0,gdop,err_horizontal_mm,24,-0.058625,0.001739,1.18364,1.33645,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,25.0,gdop,err_vertical_mm,24,-0.241345,-0.334783,1.18364,1.33645,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,25.0,hdop,err_3d_mm,24,0.748166,0.518261,0.848278,0.967457,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,25.0,hdop,err_horizontal_mm,24,-0.371403,-0.280870,0.848278,0.967457,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,25.0,hdop,err_vertical_mm,24,0.801364,0.687826,0.848278,0.967457,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,25.0,vdop,err_3d_mm,24,-0.473057,-0.341739,0.704261,0.981588,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,25.0,vdop,err_horizontal_mm,24,0.089934,0.099130,0.704261,0.981588,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,25.0,vdop,err_vertical_mm,24,-0.477293,-0.399130,0.704261,0.981588,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,25.0,cond,err_3d_mm,24,-0.268584,-0.266087,2.01887,3.97214,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,25.0,cond,err_horizontal_mm,24,-0.069034,0.000870,2.01887,3.97214,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,25.0,cond,err_vertical_mm,24,-0.252252,-0.320870,2.01887,3.97214,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,25.0,dop_radial_p95_mm,err_3d_mm,24,0.376392,0.615652,70.247,217.462,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,25.0,dop_radial_p95_mm,err_horizontal_mm,24,0.057183,0.097391,70.247,217.462,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,25.0,dop_radial_p95_mm,err_vertical_mm,24,0.381085,0.492174,70.247,217.462,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,25.0,pct_ge8,err_3d_mm,24,0.022863,-0.120461,89.7585,95.6703,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,25.0,pct_ge8,err_horizontal_mm,24,-0.034498,-0.070015,89.7585,95.6703,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,25.0,pct_ge8,err_vertical_mm,24,0.044615,-0.018700,89.7585,95.6703,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,25.0,distance_to_array_centroid_mm,err_3d_mm,24,0.495841,0.548696,365.075,1222.75,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,25.0,distance_to_array_centroid_mm,err_horizontal_mm,24,0.289103,0.329565,365.075,1222.75,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,25.0,distance_to_array_centroid_mm,err_vertical_mm,24,0.414910,0.342609,365.075,1222.75,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,50.0,gdop,err_3d_mm,24,-0.274664,-0.306087,1.18393,1.32938,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,50.0,gdop,err_horizontal_mm,24,-0.072978,-0.034783,1.18393,1.32938,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,50.0,gdop,err_vertical_mm,24,-0.257304,-0.334783,1.18393,1.32938,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,50.0,hdop,err_3d_mm,24,0.745117,0.529565,0.847928,0.967457,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,50.0,hdop,err_horizontal_mm,24,-0.353112,-0.270435,0.847928,0.967457,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,50.0,hdop,err_vertical_mm,24,0.796215,0.693043,0.847928,0.967457,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,50.0,vdop,err_3d_mm,24,-0.483464,-0.331304,0.704261,0.972776,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,50.0,vdop,err_horizontal_mm,24,0.070944,0.100870,0.704261,0.972776,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,50.0,vdop,err_vertical_mm,24,-0.485261,-0.386087,0.704261,0.972776,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,50.0,cond,err_3d_mm,24,-0.285573,-0.307826,2.01444,3.88493,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,50.0,cond,err_horizontal_mm,24,-0.084518,-0.020870,2.01444,3.88493,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,50.0,cond,err_vertical_mm,24,-0.267047,-0.345217,2.01444,3.88493,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,50.0,dop_radial_p95_mm,err_3d_mm,24,0.376392,0.615652,70.247,217.462,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,50.0,dop_radial_p95_mm,err_horizontal_mm,24,0.057183,0.097391,70.247,217.462,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,50.0,dop_radial_p95_mm,err_vertical_mm,24,0.381085,0.492174,70.247,217.462,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,50.0,pct_ge8,err_3d_mm,24,0.022863,-0.120461,89.7585,95.6703,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,50.0,pct_ge8,err_horizontal_mm,24,-0.034498,-0.070015,89.7585,95.6703,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,50.0,pct_ge8,err_vertical_mm,24,0.044615,-0.018700,89.7585,95.6703,1.4008,365.649
session,28052026_Erlangen_Official,v4-io,noG,50.0,distance_to_array_centroid_mm,err_3d_mm,24,0.495841,0.548696,365.075,1222.75,25.9715,365.73
session,28052026_Erlangen_Official,v4-io,noG,50.0,distance_to_array_centroid_mm,err_horizontal_mm,24,0.289103,0.329565,365.075,1222.75,7.66326,105.264
session,28052026_Erlangen_Official,v4-io,noG,50.0,distance_to_array_centroid_mm,err_vertical_mm,24,0.414910,0.342609,365.075,1222.75,1.4008,365.649
