version,eval_set,grid_mm,strata_type,strata_value,x_feature,y_error,n,pearson_r,spearman_r,x_min,x_max,y_min,y_max
v4-io,all8,100.0,facing,ABEF,dop_radial_p95_mm,err_vertical_mm,6,0.156240,0.371429,97.7028,129.353,41.0296,368.282
v4-io,all8,100.0,facing,ABEF,pct_ge8,err_3d_mm,6,-0.161651,-0.428571,91.3405,95.6703,47.3123,369.568
v4-io,all8,100.0,facing,ABEF,pct_ge8,err_horizontal_mm,6,0.003793,-0.257143,91.3405,95.6703,22.8236,34.4918
v4-io,all8,100.0,facing,ABEF,pct_ge8,err_vertical_mm,6,-0.170410,-0.485714,91.3405,95.6703,41.0296,368.282
v4-io,all8,100.0,facing,ABEF,distance_to_array_centroid_mm,err_3d_mm,6,0.365631,0.542857,198.467,917.081,47.3123,369.568
v4-io,all8,100.0,facing,ABEF,distance_to_array_centroid_mm,err_horizontal_mm,6,0.014359,0.200000,198.467,917.081,22.8236,34.4918
v4-io,all8,100.0,facing,ABEF,distance_to_array_centroid_mm,err_vertical_mm,6,0.371167,0.657143,198.467,917.081,41.0296,368.282
v4-io,all8,100.0,facing,ADHE,gdop,err_3d_mm,6,-0.911625,-0.942857,1.09623,1.19973,22.0543,175.808
v4-io,all8,100.0,facing,ADHE,gdop,err_horizontal_mm,6,-0.541703,-0.314286,1.09623,1.19973,6.35512,97.5829
v4-io,all8,100.0,facing,ADHE,gdop,err_vertical_mm,6,-0.878797,-0.885714,1.09623,1.19973,19.6063,169.457
v4-io,all8,100.0,facing,ADHE,hdop,err_3d_mm,6,0.766645,0.714286,0.779423,0.83256,22.0543,175.808
v4-io,all8,100.0,facing,ADHE,hdop,err_horizontal_mm,6,0.037880,-0.257143,0.779423,0.83256,6.35512,97.5829
v4-io,all8,100.0,facing,ADHE,hdop,err_vertical_mm,6,0.910669,0.771429,0.779423,0.83256,19.6063,169.457
v4-io,all8,100.0,facing,ADHE,vdop,err_3d_mm,6,-0.906564,-0.942857,0.71313,0.907871,22.0543,175.808
v4-io,all8,100.0,facing,ADHE,vdop,err_horizontal_mm,6,-0.405503,-0.314286,0.71313,0.907871,6.35512,97.5829
v4-io,all8,100.0,facing,ADHE,vdop,err_vertical_mm,6,-0.926463,-0.885714,0.71313,0.907871,19.6063,169.457
v4-io,all8,100.0,facing,ADHE,cond,err_3d_mm,6,-0.921602,-0.942857,1.85647,3.3677,22.0543,175.808
v4-io,all8,100.0,facing,ADHE,cond,err_horizontal_mm,6,-0.618519,-0.314286,1.85647,3.3677,6.35512,97.5829
v4-io,all8,100.0,facing,ADHE,cond,err_vertical_mm,6,-0.848223,-0.885714,1.85647,3.3677,19.6063,169.457
v4-io,all8,100.0,facing,ADHE,dop_radial_p95_mm,err_3d_mm,6,0.577361,0.600000,73.1756,185.927,22.0543,175.808
v4-io,all8,100.0,facing,ADHE,dop_radial_p95_mm,err_horizontal_mm,6,-0.146415,-0.085714,73.1756,185.927,6.35512,97.5829
v4-io,all8,100.0,facing,ADHE,dop_radial_p95_mm,err_vertical_mm,6,0.704012,0.485714,73.1756,185.927,19.6063,169.457
v4-io,all8,100.0,facing,ADHE,pct_ge8,err_3d_mm,6,0.292301,0.142857,89.7585,92.5895,22.0543,175.808
v4-io,all8,100.0,facing,ADHE,pct_ge8,err_horizontal_mm,6,0.396718,0.142857,89.7585,92.5895,6.35512,97.5829
v4-io,all8,100.0,facing,ADHE,pct_ge8,err_vertical_mm,6,0.158266,-0.085714,89.7585,92.5895,19.6063,169.457
v4-io,all8,100.0,facing,ADHE,distance_to_array_centroid_mm,err_3d_mm,6,0.744592,0.485714,182.354,1036.4,22.0543,175.808
v4-io,all8,100.0,facing,ADHE,distance_to_array_centroid_mm,err_horizontal_mm,6,0.867531,0.828571,182.354,1036.4,6.35512,97.5829
v4-io,all8,100.0,facing,ADHE,distance_to_array_centroid_mm,err_vertical_mm,6,0.552535,0.314286,182.354,1036.4,19.6063,169.457
v4-io,all8,100.0,facing,BCGF,gdop,err_3d_mm,6,-0.796431,-0.542857,1.08035,1.19973,28.0719,283.925
v4-io,all8,100.0,facing,BCGF,gdop,err_horizontal_mm,6,-0.246528,-0.142857,1.08035,1.19973,3.89039,84.3352
v4-io,all8,100.0,facing,BCGF,gdop,err_vertical_mm,6,-0.770595,-0.657143,1.08035,1.19973,5.591,271.111
v4-io,all8,100.0,facing,BCGF,hdop,err_3d_mm,6,0.792155,0.485714,0.780274,0.836275,28.0719,283.925
v4-io,all8,100.0,facing,BCGF,hdop,err_horizontal_mm,6,0.270861,0.028571,0.780274,0.836275,3.89039,84.3352
v4-io,all8,100.0,facing,BCGF,hdop,err_vertical_mm,6,0.796815,0.828571,0.780274,0.836275,5.591,271.111
v4-io,all8,100.0,facing,BCGF,vdop,err_3d_mm,6,-0.825581,-0.542857,0.683967,0.907871,28.0719,283.925
v4-io,all8,100.0,facing,BCGF,vdop,err_horizontal_mm,6,-0.268707,-0.142857,0.683967,0.907871,3.89039,84.3352
v4-io,all8,100.0,facing,BCGF,vdop,err_vertical_mm,6,-0.807821,-0.657143,0.683967,0.907871,5.591,271.111
v4-io,all8,100.0,facing,BCGF,cond,err_3d_mm,6,-0.819214,-0.542857,1.60151,3.3677,28.0719,283.925
v4-io,all8,100.0,facing,BCGF,cond,err_horizontal_mm,6,-0.279983,-0.142857,1.60151,3.3677,3.89039,84.3352
v4-io,all8,100.0,facing,BCGF,cond,err_vertical_mm,6,-0.786271,-0.657143,1.60151,3.3677,5.591,271.111
v4-io,all8,100.0,facing,BCGF,dop_radial_p95_mm,err_3d_mm,6,0.733486,0.885714,70.247,149.01,28.0719,283.925
v4-io,all8,100.0,facing,BCGF,dop_radial_p95_mm,err_horizontal_mm,6,-0.184256,0.142857,70.247,149.01,3.89039,84.3352
v4-io,all8,100.0,facing,BCGF,dop_radial_p95_mm,err_vertical_mm,6,0.739451,0.542857,70.247,149.01,5.591,271.111
v4-io,all8,100.0,facing,BCGF,pct_ge8,err_3d_mm,6,0.729329,0.314286,91.5,93.8385,28.0719,283.925
v4-io,all8,100.0,facing,BCGF,pct_ge8,err_horizontal_mm,6,0.358270,0.200000,91.5,93.8385,3.89039,84.3352
v4-io,all8,100.0,facing,BCGF,pct_ge8,err_vertical_mm,6,0.739854,0.714286,91.5,93.8385,5.591,271.111
v4-io,all8,100.0,facing,BCGF,distance_to_array_centroid_mm,err_3d_mm,6,0.732100,0.714286,196.605,1059.6,28.0719,283.925
v4-io,all8,100.0,facing,BCGF,distance_to_array_centroid_mm,err_horizontal_mm,6,0.299044,0.314286,196.605,1059.6,3.89039,84.3352
v4-io,all8,100.0,facing,BCGF,distance_to_array_centroid_mm,err_vertical_mm,6,0.680528,0.600000,196.605,1059.6,5.591,271.111
v4-io,all8,100.0,facing,CDHG,gdop,err_3d_mm,6,-0.774740,-0.657143,1.10699,1.19973,45.48,159.681
v4-io,all8,100.0,facing,CDHG,gdop,err_horizontal_mm,6,0.159566,0.200000,1.10699,1.19973,40.4567,74.2908
v4-io,all8,100.0,facing,CDHG,gdop,err_vertical_mm,6,-0.794108,-0.600000,1.10699,1.19973,12.035,154.471
v4-io,all8,100.0,facing,CDHG,hdop,err_3d_mm,6,0.616697,0.542857,0.784291,0.829609,45.48,159.681
v4-io,all8,100.0,facing,CDHG,hdop,err_horizontal_mm,6,-0.392501,-0.542857,0.784291,0.829609,40.4567,74.2908
v4-io,all8,100.0,facing,CDHG,hdop,err_vertical_mm,6,0.639513,0.485714,0.784291,0.829609,12.035,154.471
v4-io,all8,100.0,facing,CDHG,vdop,err_3d_mm,6,-0.756560,-0.657143,0.743237,0.907871,45.48,159.681
v4-io,all8,100.0,facing,CDHG,vdop,err_horizontal_mm,6,0.220830,0.200000,0.743237,0.907871,40.4567,74.2908
v4-io,all8,100.0,facing,CDHG,vdop,err_vertical_mm,6,-0.777748,-0.600000,0.743237,0.907871,12.035,154.471
v4-io,all8,100.0,facing,CDHG,cond,err_3d_mm,6,-0.779894,-0.657143,2.05132,3.3677,45.48,159.681
v4-io,all8,100.0,facing,CDHG,cond,err_horizontal_mm,6,0.164481,0.200000,2.05132,3.3677,40.4567,74.2908
v4-io,all8,100.0,facing,CDHG,cond,err_vertical_mm,6,-0.802456,-0.600000,2.05132,3.3677,12.035,154.471
v4-io,all8,100.0,facing,CDHG,dop_radial_p95_mm,err_3d_mm,6,0.543781,0.485714,91.7971,217.462,45.48,159.681
v4-io,all8,100.0,facing,CDHG,dop_radial_p95_mm,err_horizontal_mm,6,0.336349,0.371429,91.7971,217.462,40.4567,74.2908
v4-io,all8,100.0,facing,CDHG,dop_radial_p95_mm,err_vertical_mm,6,0.452215,0.257143,91.7971,217.462,12.035,154.471
v4-io,all8,100.0,facing,CDHG,pct_ge8,err_3d_mm,6,-0.367979,-0.257143,89.8418,95.587,45.48,159.681
v4-io,all8,100.0,facing,CDHG,pct_ge8,err_horizontal_mm,6,-0.247969,-0.200000,89.8418,95.587,40.4567,74.2908
v4-io,all8,100.0,facing,CDHG,pct_ge8,err_vertical_mm,6,-0.226450,-0.028571,89.8418,95.587,12.035,154.471
v4-io,all8,100.0,facing,CDHG,distance_to_array_centroid_mm,err_3d_mm,6,0.404863,0.371429,198.125,917.719,45.48,159.681
v4-io,all8,100.0,facing,CDHG,distance_to_array_centroid_mm,err_horizontal_mm,6,-0.265073,-0.657143,198.125,917.719,40.4567,74.2908
v4-io,all8,100.0,facing,CDHG,distance_to_array_centroid_mm,err_vertical_mm,6,0.378528,0.314286,198.125,917.719,12.035,154.471
v4-io,all8,100.0,height,high,gdop,err_3d_mm,8,-0.777383,-0.910196,1.08965,1.15557,28.0719,369.568
v4-io,all8,100.0,height,high,gdop,err_horizontal_mm,8,0.273381,0.335335,1.08965,1.15557,3.89039,97.5829
v4-io,all8,100.0,height,high,gdop,err_vertical_mm,8,-0.810917,-0.850315,1.08965,1.15557,11.3148,368.282
v4-io,all8,100.0,height,high,hdop,err_3d_mm,8,0.859691,0.455098,0.801015,0.848046,28.0719,369.568
v4-io,all8,100.0,height,high,hdop,err_horizontal_mm,8,-0.396937,-0.311383,0.801015,0.848046,3.89039,97.5829
v4-io,all8,100.0,height,high,hdop,err_vertical_mm,8,0.876396,0.538932,0.801015,0.848046,11.3148,368.282
v4-io,all8,100.0,height,high,vdop,err_3d_mm,8,-0.898640,-0.886243,0.701456,0.820935,28.0719,369.568
v4-io,all8,100.0,height,high,vdop,err_horizontal_mm,8,0.353759,0.407193,0.701456,0.820935,3.89039,97.5829
v4-io,all8,100.0,height,high,vdop,err_vertical_mm,8,-0.928990,-0.850315,0.701456,0.820935,11.3148,368.282
v4-io,all8,100.0,height,high,cond,err_3d_mm,8,-0.770263,-0.910196,1.76089,2.77595,28.0719,369.568
v4-io,all8,100.0,height,high,cond,err_horizontal_mm,8,0.209483,0.335335,1.76089,2.77595,3.89039,97.5829
v4-io,all8,100.0,height,high,cond,err_vertical_mm,8,-0.795855,-0.850315,1.76089,2.77595,11.3148,368.282
v4-io,all8,100.0,height,high,dop_radial_p95_mm,err_3d_mm,8,0.392907,0.476190,70.247,149.01,28.0719,369.568
v4-io,all8,100.0,height,high,dop_radial_p95_mm,err_horizontal_mm,8,-0.351369,-0.142857,70.247,149.01,3.89039,97.5829
v4-io,all8,100.0,height,high,dop_radial_p95_mm,err_vertical_mm,8,0.436070,0.595238,70.247,149.01,11.3148,368.282
v4-io,all8,100.0,height,high,pct_ge8,err_3d_mm,8,-0.116651,-0.239525,91.3405,93.7552,28.0719,369.568
v4-io,all8,100.0,height,high,pct_ge8,err_horizontal_mm,8,-0.128255,0.095810,91.3405,93.7552,3.89039,97.5829
v4-io,all8,100.0,height,high,pct_ge8,err_vertical_mm,8,-0.118359,-0.083834,91.3405,93.7552,11.3148,368.282
v4-io,all8,100.0,height,high,distance_to_array_centroid_mm,err_3d_mm,8,0.383344,0.404762,649.733,1005.71,28.0719,369.568
v4-io,all8,100.0,height,high,distance_to_array_centroid_mm,err_horizontal_mm,8,0.119518,0.071429,649.733,1005.71,3.89039,97.5829
v4-io,all8,100.0,height,high,distance_to_array_centroid_mm,err_vertical_mm,8,0.338925,0.309524,649.733,1005.71,11.3148,368.282
v4-io,all8,100.0,height,low,gdop,err_3d_mm,8,-0.892063,-0.857143,1.08035,1.12434,45.5027,283.925
v4-io,all8,100.0,height,low,gdop,err_horizontal_mm,8,-0.774395,-0.738095,1.08035,1.12434,22.8236,84.3352
v4-io,all8,100.0,height,low,gdop,err_vertical_mm,8,-0.882965,-0.857143,1.08035,1.12434,12.3218,271.111
v4-io,all8,100.0,height,low,hdop,err_3d_mm,8,0.714902,0.785714,0.804518,0.836275,45.5027,283.925
v4-io,all8,100.0,height,low,hdop,err_horizontal_mm,8,0.282754,0.238095,0.804518,0.836275,22.8236,84.3352
v4-io,all8,100.0,height,low,hdop,err_vertical_mm,8,0.735162,0.785714,0.804518,0.836275,12.3218,271.111
v4-io,all8,100.0,height,low,vdop,err_3d_mm,8,-0.908470,-0.880952,0.683967,0.774627,45.5027,283.925
v4-io,all8,100.0,height,low,vdop,err_horizontal_mm,8,-0.661675,-0.523810,0.683967,0.774627,22.8236,84.3352
v4-io,all8,100.0,height,low,vdop,err_vertical_mm,8,-0.909029,-0.880952,0.683967,0.774627,12.3218,271.111
v4-io,all8,100.0,height,low,cond,err_3d_mm,8,-0.888691,-0.857143,1.60151,2.32224,45.5027,283.925
v4-io,all8,100.0,height,low,cond,err_horizontal_mm,8,-0.798661,-0.738095,1.60151,2.32224,22.8236,84.3352
v4-io,all8,100.0,height,low,cond,err_vertical_mm,8,-0.877146,-0.857143,1.60151,2.32224,12.3218,271.111
v4-io,all8,100.0,height,low,dop_radial_p95_mm,err_3d_mm,8,0.293870,0.452381,75.1894,217.462,45.5027,283.925
v4-io,all8,100.0,height,low,dop_radial_p95_mm,err_horizontal_mm,8,0.059062,-0.119048,75.1894,217.462,22.8236,84.3352
v4-io,all8,100.0,height,low,dop_radial_p95_mm,err_vertical_mm,8,0.337030,0.452381,75.1894,217.462,12.3218,271.111
v4-io,all8,100.0,height,low,pct_ge8,err_3d_mm,8,0.154158,-0.119048,89.8418,93.8385,45.5027,283.925
v4-io,all8,100.0,height,low,pct_ge8,err_horizontal_mm,8,0.146196,-0.119048,89.8418,93.8385,22.8236,84.3352
v4-io,all8,100.0,height,low,pct_ge8,err_vertical_mm,8,0.117011,-0.119048,89.8418,93.8385,12.3218,271.111
v4-io,all8,100.0,height,low,distance_to_array_centroid_mm,err_3d_mm,8,0.539376,0.261905,754.901,1059.6,45.5027,283.925
v4-io,all8,100.0,height,low,distance_to_array_centroid_mm,err_horizontal_mm,8,0.602226,0.476190,754.901,1059.6,22.8236,84.3352
v4-io,all8,100.0,height,low,distance_to_array_centroid_mm,err_vertical_mm,8,0.524308,0.261905,754.901,1059.6,12.3218,271.111
v4-io,all8,100.0,height,mid,gdop,err_3d_mm,8,-0.252094,-0.367826,1.15684,1.19973,22.0543,75.8475
v4-io,all8,100.0,height,mid,gdop,err_horizontal_mm,8,-0.595249,-0.735652,1.15684,1.19973,6.35512,74.2908
v4-io,all8,100.0,height,mid,gdop,err_vertical_mm,8,0.676202,0.735652,1.15684,1.19973,5.591,57.3568
v4-io,all8,100.0,height,mid,hdop,err_3d_mm,8,0.117986,0.114153,0.779423,0.793204,22.0543,75.8475
v4-io,all8,100.0,height,mid,hdop,err_horizontal_mm,8,0.053785,-0.101469,0.779423,0.793204,6.35512,74.2908
v4-io,all8,100.0,height,mid,hdop,err_vertical_mm,8,0.105335,0.228306,0.779423,0.793204,5.591,57.3568
v4-io,all8,100.0,height,mid,vdop,err_3d_mm,8,-0.295004,-0.367826,0.85486,0.907871,22.0543,75.8475
v4-io,all8,100.0,height,mid,vdop,err_horizontal_mm,8,-0.659382,-0.735652,0.85486,0.907871,6.35512,74.2908
v4-io,all8,100.0,height,mid,vdop,err_vertical_mm,8,0.721557,0.735652,0.85486,0.907871,5.591,57.3568
v4-io,all8,100.0,height,mid,cond,err_3d_mm,8,-0.241173,-0.443928,2.58602,3.39177,22.0543,75.8475
v4-io,all8,100.0,height,mid,cond,err_horizontal_mm,8,-0.568298,-0.735652,2.58602,3.39177,6.35512,74.2908
v4-io,all8,100.0,height,mid,cond,err_vertical_mm,8,0.641682,0.735652,2.58602,3.39177,5.591,57.3568
v4-io,all8,100.0,height,mid,dop_radial_p95_mm,err_3d_mm,8,0.542895,0.595238,72.2205,149.655,22.0543,75.8475
v4-io,all8,100.0,height,mid,dop_radial_p95_mm,err_horizontal_mm,8,0.449090,0.547619,72.2205,149.655,6.35512,74.2908
v4-io,all8,100.0,height,mid,dop_radial_p95_mm,err_vertical_mm,8,0.043371,-0.047619,72.2205,149.655,5.591,57.3568
v4-io,all8,100.0,height,mid,pct_ge8,err_3d_mm,8,0.299479,0.047619,89.7585,95.6703,22.0543,75.8475
v4-io,all8,100.0,height,mid,pct_ge8,err_horizontal_mm,8,-0.006287,-0.119048,89.7585,95.6703,6.35512,74.2908
v4-io,all8,100.0,height,mid,pct_ge8,err_vertical_mm,8,0.626248,0.619048,89.7585,95.6703,5.591,57.3568
v4-io,all8,100.0,height,mid,distance_to_array_centroid_mm,err_3d_mm,8,0.377066,0.547619,182.354,766.823,22.0543,75.8475
v4-io,all8,100.0,height,mid,distance_to_array_centroid_mm,err_horizontal_mm,8,0.738255,0.833333,182.354,766.823,6.35512,74.2908
v4-io,all8,100.0,height,mid,distance_to_array_centroid_mm,err_vertical_mm,8,-0.711764,-0.547619,182.354,766.823,5.591,57.3568
v4-io,all8,100.0,location,center,gdop,err_3d_mm,12,-0.575079,-0.531296,1.09623,1.19973,22.0543,175.808
v4-io,all8,100.0,location,center,gdop,err_horizontal_mm,12,-0.436875,-0.260300,1.09623,1.19973,6.35512,68.6256
v4-io,all8,100.0,location,center,gdop,err_vertical_mm,12,-0.536153,-0.467113,1.09623,1.19973,11.3148,169.457
v4-io,all8,100.0,location,center,hdop,err_3d_mm,12,0.641556,0.524165,0.784291,0.83256,22.0543,175.808
v4-io,all8,100.0,location,center,hdop,err_horizontal_mm,12,0.457499,0.395798,0.784291,0.83256,6.35512,68.6256
v4-io,all8,100.0,location,center,hdop,err_vertical_mm,12,0.602480,0.452850,0.784291,0.83256,11.3148,169.457
v4-io,all8,100.0,location,center,vdop,err_3d_mm,12,-0.603250,-0.531296,0.71313,0.907871,22.0543,175.808
v4-io,all8,100.0,location,center,vdop,err_horizontal_mm,12,-0.445685,-0.260300,0.71313,0.907871,6.35512,68.6256
v4-io,all8,100.0,location,center,vdop,err_vertical_mm,12,-0.565137,-0.467113,0.71313,0.907871,11.3148,169.457
v4-io,all8,100.0,location,center,cond,err_3d_mm,12,-0.593488,-0.531296,1.85647,3.3677,22.0543,175.808
v4-io,all8,100.0,location,center,cond,err_horizontal_mm,12,-0.440971,-0.260300,1.85647,3.3677,6.35512,68.6256
v4-io,all8,100.0,location,center,cond,err_vertical_mm,12,-0.556234,-0.467113,1.85647,3.3677,11.3148,169.457
v4-io,all8,100.0,location,center,dop_radial_p95_mm,err_3d_mm,12,0.834081,0.818182,70.247,217.462,22.0543,175.808
v4-io,all8,100.0,location,center,dop_radial_p95_mm,err_horizontal_mm,12,0.587165,0.552448,70.247,217.462,6.35512,68.6256
v4-io,all8,100.0,location,center,dop_radial_p95_mm,err_vertical_mm,12,0.846387,0.825175,70.247,217.462,11.3148,169.457
v4-io,all8,100.0,location,center,pct_ge8,err_3d_mm,12,-0.023678,-0.034965,89.7585,95.587,22.0543,175.808
v4-io,all8,100.0,location,center,pct_ge8,err_horizontal_mm,12,0.387555,0.412587,89.7585,95.587,6.35512,68.6256
v4-io,all8,100.0,location,center,pct_ge8,err_vertical_mm,12,-0.114794,-0.153846,89.7585,95.587,11.3148,169.457
v4-io,all8,100.0,location,center,distance_to_array_centroid_mm,err_3d_mm,12,0.423717,0.258741,182.354,771.838,22.0543,175.808
v4-io,all8,100.0,location,center,distance_to_array_centroid_mm,err_horizontal_mm,12,0.385657,0.342657,182.354,771.838,6.35512,68.6256
v4-io,all8,100.0,location,center,distance_to_array_centroid_mm,err_vertical_mm,12,0.367586,0.132867,182.354,771.838,11.3148,169.457
v4-io,all8,100.0,location,edge,gdop,err_3d_mm,12,-0.738433,-0.832168,1.08035,1.19962,45.48,369.568
v4-io,all8,100.0,location,edge,gdop,err_horizontal_mm,12,0.081892,0.097902,1.08035,1.19962,3.89039,97.5829
v4-io,all8,100.0,location,edge,gdop,err_vertical_mm,12,-0.768350,-0.818182,1.08035,1.19962,5.591,368.282
v4-io,all8,100.0,location,edge,hdop,err_3d_mm,12,0.793510,0.748252,0.779423,0.848046,45.48,369.568
v4-io,all8,100.0,location,edge,hdop,err_horizontal_mm,12,-0.305047,-0.258741,0.779423,0.848046,3.89039,97.5829
v4-io,all8,100.0,location,edge,hdop,err_vertical_mm,12,0.843398,0.776224,0.779423,0.848046,5.591,368.282
v4-io,all8,100.0,location,edge,vdop,err_3d_mm,12,-0.809139,-0.853147,0.683967,0.903457,45.48,369.568
v4-io,all8,100.0,location,edge,vdop,err_horizontal_mm,12,0.157994,0.132867,0.683967,0.903457,3.89039,97.5829
v4-io,all8,100.0,location,edge,vdop,err_vertical_mm,12,-0.846081,-0.839161,0.683967,0.903457,5.591,368.282
v4-io,all8,100.0,location,edge,cond,err_3d_mm,12,-0.719471,-0.860140,1.60151,3.39177,45.48,369.568
v4-io,all8,100.0,location,edge,cond,err_horizontal_mm,12,0.032075,0.020979,1.60151,3.39177,3.89039,97.5829
v4-io,all8,100.0,location,edge,cond,err_vertical_mm,12,-0.740238,-0.818182,1.60151,3.39177,5.591,368.282
v4-io,all8,100.0,location,edge,dop_radial_p95_mm,err_3d_mm,12,0.217413,0.363636,80.457,149.655,45.48,369.568
v4-io,all8,100.0,location,edge,dop_radial_p95_mm,err_horizontal_mm,12,-0.473180,-0.461538,80.457,149.655,3.89039,97.5829
v4-io,all8,100.0,location,edge,dop_radial_p95_mm,err_vertical_mm,12,0.245596,0.300699,80.457,149.655,5.591,368.282
v4-io,all8,100.0,location,edge,pct_ge8,err_3d_mm,12,0.047553,-0.062937,90.2581,95.6703,45.48,369.568
v4-io,all8,100.0,location,edge,pct_ge8,err_horizontal_mm,12,-0.327247,-0.405594,90.2581,95.6703,3.89039,97.5829
v4-io,all8,100.0,location,edge,pct_ge8,err_vertical_mm,12,0.113859,0.174825,90.2581,95.6703,5.591,368.282
v4-io,all8,100.0,location,edge,distance_to_array_centroid_mm,err_3d_mm,12,0.462042,0.636364,458.007,1059.6,45.48,369.568
v4-io,all8,100.0,location,edge,distance_to_array_centroid_mm,err_horizontal_mm,12,0.120067,0.202797,458.007,1059.6,3.89039,97.5829
v4-io,all8,100.0,location,edge,distance_to_array_centroid_mm,err_vertical_mm,12,0.486234,0.629371,458.007,1059.6,5.591,368.282
v4-io,all8,100.0,location_height,center/high,gdop,err_3d_mm,4,-0.716193,-0.632456,1.12615,1.14278,28.0719,151.281
v4-io,all8,100.0,location_height,center/high,gdop,err_horizontal_mm,4,-0.404405,0.316228,1.12615,1.14278,24.9473,68.6256
v4-io,all8,100.0,location_height,center/high,gdop,err_vertical_mm,4,-0.789606,-0.632456,1.12615,1.14278,11.3148,134.82
v4-io,all8,100.0,location_height,center/high,hdop,err_3d_mm,4,0.764841,0.632456,0.802591,0.809789,28.0719,151.281
v4-io,all8,100.0,location_height,center/high,hdop,err_horizontal_mm,4,0.501261,0.737865,0.802591,0.809789,24.9473,68.6256
v4-io,all8,100.0,location_height,center/high,hdop,err_vertical_mm,4,0.825692,0.632456,0.802591,0.809789,11.3148,134.82
v4-io,all8,100.0,location_height,center/high,vdop,err_3d_mm,4,-0.729184,-0.632456,0.783227,0.813506,28.0719,151.281
v4-io,all8,100.0,location_height,center/high,vdop,err_horizontal_mm,4,-0.428252,0.316228,0.783227,0.813506,24.9473,68.6256
v4-io,all8,100.0,location_height,center/high,vdop,err_vertical_mm,4,-0.799753,-0.632456,0.783227,0.813506,11.3148,134.82
v4-io,all8,100.0,location_height,center/high,cond,err_3d_mm,4,-0.715301,-0.632456,2.3491,2.59103,28.0719,151.281
v4-io,all8,100.0,location_height,center/high,cond,err_horizontal_mm,4,-0.402807,0.316228,2.3491,2.59103,24.9473,68.6256
v4-io,all8,100.0,location_height,center/high,cond,err_vertical_mm,4,-0.788899,-0.632456,2.3491,2.59103,11.3148,134.82
v4-io,all8,100.0,location_height,center/high,dop_radial_p95_mm,err_3d_mm,4,0.809103,0.800000,70.247,129.186,28.0719,151.281
v4-io,all8,100.0,location_height,center/high,dop_radial_p95_mm,err_horizontal_mm,4,0.729991,0.800000,70.247,129.186,24.9473,68.6256
v4-io,all8,100.0,location_height,center/high,dop_radial_p95_mm,err_vertical_mm,4,0.822777,0.800000,70.247,129.186,11.3148,134.82
v4-io,all8,100.0,location_height,center/high,pct_ge8,err_3d_mm,4,0.532996,0.200000,91.3405,93.7552,28.0719,151.281
v4-io,all8,100.0,location_height,center/high,pct_ge8,err_horizontal_mm,4,0.842371,0.800000,91.3405,93.7552,24.9473,68.6256
v4-io,all8,100.0,location_height,center/high,pct_ge8,err_vertical_mm,4,0.431179,0.200000,91.3405,93.7552,11.3148,134.82
v4-io,all8,100.0,location_height,center/high,distance_to_array_centroid_mm,err_3d_mm,4,0.048634,-0.400000,649.733,654.134,28.0719,151.281
v4-io,all8,100.0,location_height,center/high,distance_to_array_centroid_mm,err_horizontal_mm,4,0.449155,0.400000,649.733,654.134,24.9473,68.6256
v4-io,all8,100.0,location_height,center/high,distance_to_array_centroid_mm,err_vertical_mm,4,-0.070715,-0.400000,649.733,654.134,11.3148,134.82
v4-io,all8,100.0,location_height,center/low,gdop,err_3d_mm,4,-0.988151,-1.000000,1.09623,1.12434,45.5027,175.808
