version,label,meaning,tag_delay_mm,autopos_rms,autopos_p95,static_n,static_median,static_p95,static_max,roto_n,roto_deltaR_mean,roto_deltaR_rms,roto_abs_deltaR_median,roto_abs_deltaR_p95,roto_turn_center_median,roto_turn_center_p95,source_group,capture_id,source_path
v4-io-roto,V4-io-roto,V4-io + RotoArm soft constraints,0.0,57.91491907017231,134.07326261179657,23,48.053853666852035,71.87382372190571,81.13551808361109,17,-21.443091885869883,29.889119466870827,24.853193685186625,45.357645285266436,18.0252890287691,25.896828415762293,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000/tables/version_summary.csv
v4-io-td,V4-io-td,V4-io + static common tag-delay scan,3.0,44.336175075788965,87.74981505675784,23,48.912242040933776,82.80997679527613,89.44837454758343,17,-23.47454211893947,31.608577857218314,22.818806731453947,49.14358504011031,19.974285474891822,28.343813061307294,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000/tables/version_summary.csv
v4-io-wand,V4-io-wand,V4-io + W01-W04 wand soft constraints,0.0,44.239304273465955,87.6019002446066,23,48.57617632114571,77.30128517454574,83.51924474934331,17,-23.17947238960125,31.6723770355436,21.438670338150246,49.75620024298039,19.11762001203669,28.62583508386476,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000/tables/version_summary.csv
v5,V5,V4-io diagnostics,0.0,44.336175075788965,87.74981505675784,23,49.248322877789434,81.64710266011102,88.19396564001775,17,-24.313147783048326,32.29031403554457,23.509823199850302,50.507235465419264,20.611187899517006,28.942255198585904,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000/tables/version_summary.csv
v1-old,V1,early MDS baseline,0.0,63.27256626474512,143.74423762952904,23,50.32524579837095,76.09414826321766,108.9306703372091,17,-24.9241283550851,33.55017820953027,24.564613847369515,55.312811535940476,19.87111786234307,32.548674842538574,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500/tables/version_summary.csv
v2,V2,IVW fusion no-delay,0.0,40.563665443063236,80.45472766006027,23,48.30483092580957,71.95015131862966,83.03928207917245,17,-25.3400787444913,32.984571673207626,24.450044278671044,51.10281833366347,19.596191374696012,29.971144448194977,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500/tables/version_summary.csv
v3-full,V3-full,Tukey + delay,0.0,61.84475727081699,178.31452735546685,23,55.76801224287059,90.77293661241849,213.82585071644317,17,-22.909438198314547,31.970824737457757,27.9460225638893,50.03301028613493,21.113219790848596,30.316302544670883,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500/tables/version_summary.csv
v3-lite,V3-lite,MAD/MVUE no-delay,0.0,41.02863088309075,81.78643758810509,23,48.57503582845944,71.93878997499102,82.52783712797357,17,-25.31522894826251,32.9878893160232,24.31315501238015,51.157433813304536,19.594142278420925,29.955516354296055,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500/tables/version_summary.csv
v4-io,V4-io,Huber bounded-delay inter-anchor,0.0,44.69119926176642,89.16659043550465,23,48.43429221155233,80.86366190581707,107.90411157275334,17,-24.825739589264867,33.00885900480389,24.315308586601645,51.3836133554739,20.87979826435559,30.540935612317174,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500/tables/version_summary.csv
v4-io-roto,V4-io-roto,V4-io + RotoArm soft constraints,0.0,56.88911954020855,131.80143813238485,23,48.19621781744658,74.4833828035465,82.77697298298304,17,-22.000787511176966,30.427830840178096,26.30118710859955,46.03741344626682,17.99563083543454,27.46181992363251,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500/tables/version_summary.csv
v4-io-td,V4-io-td,V4-io + static common tag-delay scan,4.0,44.69119926176642,89.16659043550465,23,47.93617146967664,82.25819399938369,107.48612763623315,17,-23.774135818269762,32.17876918069813,23.514135353058634,49.711162457657814,20.385218679955432,29.110686640483312,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500/tables/version_summary.csv
v4-io-wand,V4-io-wand,V4-io + W01-W04 wand soft constraints,0.0,44.34804859543872,87.3762883844513,23,48.18053543453643,79.11536790591313,95.79989474802159,17,-23.824774655746758,32.42175806292523,21.961485991690722,50.542843971862,19.455779172073452,29.86916876046931,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500/tables/version_summary.csv
v5,V5,V4-io diagnostics,0.0,44.69119926176642,89.16659043550465,23,48.43429221155233,80.86366190581707,107.90411157275334,17,-24.825739589264867,33.00885900480389,24.315308586601645,51.3836133554739,20.87979826435559,30.540935612317174,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500/tables/version_summary.csv
v1-old,V1,early MDS baseline,0.0,64.23229847283386,143.90936159764362,23,50.869034759084364,77.82346941994493,109.20337555974896,17,-25.155042444850682,33.75101801683155,24.56994550613865,55.986687753434886,19.907141802533143,32.56217279740315,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500/tables/version_summary.csv
v2,V2,IVW fusion no-delay,0.0,40.42875898501114,80.42623507995474,23,48.46903865882211,72.21279691242023,83.86396543249144,17,-25.770937065877163,33.3619202162428,25.083012797315178,51.487991856254546,19.77862218537681,30.23429753084941,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500/tables/version_summary.csv
v3-full,V3-full,Tukey + delay,0.0,64.91021868568188,177.98166175156052,23,52.47752619118862,85.57957804303851,199.34729551785253,17,-22.150291620273517,31.199817367271695,26.34075748286324,49.2116638609796,20.51548553705389,30.551149090601353,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500/tables/version_summary.csv
v3-lite,V3-lite,MAD/MVUE no-delay,0.0,40.826179188699136,81.95290749521845,23,48.60206773545057,72.05537524738887,83.10909959247046,17,-25.741940748196914,33.3546725657272,24.969058398654624,51.526739552184566,19.743552134922446,30.20236666744845,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500/tables/version_summary.csv
v4-io,V4-io,Huber bounded-delay inter-anchor,0.0,44.23967568238983,88.54797670117362,23,48.38835023151112,80.587411953214,108.98580442081892,17,-25.291563954289305,33.385157291346864,24.964833354025473,52.055887468290145,20.997079783482242,30.852505333635634,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500/tables/version_summary.csv
v4-io-roto,V4-io-roto,V4-io + RotoArm soft constraints,0.0,57.53325075651539,133.71020100432406,23,48.01701378436952,75.09974285275239,83.00407493325959,17,-22.132747979226295,30.511243962549955,26.52762633656033,46.02993421150596,18.107803473380116,27.528300539847194,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500/tables/version_summary.csv
v4-io-td,V4-io-td,V4-io + static common tag-delay scan,3.5,44.23967568238983,88.54797670117362,23,47.97078927643312,81.7586540666346,108.67842516998789,17,-24.327828671020267,32.61064700220473,24.20360517404987,50.5617280249552,20.70169041038963,29.375914684427176,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500/tables/version_summary.csv
v4-io-wand,V4-io-wand,V4-io + W01-W04 wand soft constraints,0.0,44.195950489164694,88.49690548225364,23,48.14613879809572,79.25753812458215,97.12052941625228,17,-24.212320094673654,32.73911386565866,22.491394996764484,51.20961740547934,19.532550627593345,30.22488564173827,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500/tables/version_summary.csv
v5,V5,V4-io diagnostics,0.0,44.23967568238983,88.54797670117362,23,48.38835023151112,80.587411953214,108.98580442081892,17,-25.291563954289305,33.385157291346864,24.964833354025473,52.055887468290145,20.997079783482242,30.852505333635634,outdoor_20260513/FULL-COMPARE-500+500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500/tables/version_summary.csv
