L,seed_id,run_dir,elapsed_s,declared_rows,runnable_rows,excluded_rows,raw_backend,raw_device,raw_gpu_workers,status
L5,S00,phase4_L5_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,476.33488602799844,5292,1377,3915,cpu,,,complete
L5,S01,phase4_L5_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,473.11963766400004,5292,1377,3915,cpu,,,complete
L5,S02,phase4_L5_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,474.0805482390024,5292,1377,3915,cpu,,,complete
L5,S03,phase4_L5_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,473.184676607998,5292,1377,3915,cpu,,,complete
L5,S04,phase4_L5_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,477.0790097329991,5292,1377,3915,cpu,,,complete
L7,S00,phase4_L7_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,478.7971094079985,5292,1377,3915,cpu,,,complete
L7,S01,phase4_L7_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,477.64396229299746,5292,1377,3915,cpu,,,complete
L7,S02,phase4_L7_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,471.10757528999966,5292,1377,3915,cpu,,,complete
L7,S03,phase4_L7_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,475.21102576200065,5292,1377,3915,cpu,,,complete
L7,S04,phase4_L7_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,477.8985426979998,5292,1377,3915,cpu,,,complete
L8,S00,phase4_L8_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,467.48320025299836,5292,1377,3915,cpu,,,complete
L8,S01,phase4_L8_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,445.41212126699975,5292,1377,3915,cpu,,,complete
L8,S02,phase4_L8_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,447.1040639130006,5292,1377,3915,cpu,,,complete
L8,S03,phase4_L8_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,446.04445704200043,5292,1377,3915,cpu,,,complete
L8,S04,phase4_L8_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,450.8909604569999,5292,1377,3915,cpu,,,complete
L10,S00,phase4_L10_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,445.6378364919983,5292,1377,3915,cpu,,,complete
L10,S01,phase4_L10_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,448.7229917450022,5292,1377,3915,cpu,,,complete
L10,S02,phase4_L10_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,447.9612535910019,5292,1377,3915,cpu,,,complete
L10,S03,phase4_L10_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,449.9549519249995,5292,1377,3915,cpu,,,complete
L10,S04,phase4_L10_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,448.6753556599979,5292,1377,3915,cpu,,,complete
L11,S00,phase4_L11_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,449.16401861600025,5292,1377,3915,cpu,,,complete
L11,S01,phase4_L11_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,447.57927148100134,5292,1377,3915,cpu,,,complete
L11,S02,phase4_L11_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,447.0988687889985,5292,1377,3915,cpu,,,complete
L11,S03,phase4_L11_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,447.3481448069979,5292,1377,3915,cpu,,,complete
L11,S04,phase4_L11_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,446.86747550200016,5292,1377,3915,cpu,,,complete
L12,S00,phase4_L12_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,444.85545466599797,5292,1377,3915,cpu,,,complete
L12,S01,phase4_L12_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,446.8787729169999,5292,1377,3915,cpu,,,complete
L12,S02,phase4_L12_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,447.2779950639997,5292,1377,3915,cpu,,,complete
L12,S03,phase4_L12_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,449.41172425900004,5292,1377,3915,cpu,,,complete
L12,S04,phase4_L12_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,446.81009273200107,5292,1377,3915,cpu,,,complete
L13,S00,phase4_L13_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,445.27023226500023,5292,1377,3915,cpu,,,complete
L13,S01,phase4_L13_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,448.9160961930029,5292,1377,3915,cpu,,,complete
L13,S02,phase4_L13_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,447.51298152899835,5292,1377,3915,cpu,,,complete
L13,S03,phase4_L13_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,448.2788508509984,5292,1377,3915,cpu,,,complete
L13,S04,phase4_L13_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,445.7646126919972,5292,1377,3915,cpu,,,complete
L14,S00,phase4_L14_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,447.47110507400066,5292,1377,3915,cpu,,,complete
L14,S01,phase4_L14_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,449.46547333900526,5292,1377,3915,cpu,,,complete
L14,S02,phase4_L14_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,445.45073384499847,5292,1377,3915,cpu,,,complete
L14,S03,phase4_L14_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,448.95079700800125,5292,1377,3915,cpu,,,complete
L14,S04,phase4_L14_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,447.06571053899825,5292,1377,3915,cpu,,,complete
L15,S00,phase4_L15_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,447.025284895004,5292,1377,3915,cpu,,,complete
L15,S01,phase4_L15_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,446.87158732499665,5292,1377,3915,cpu,,,complete
L15,S02,phase4_L15_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,452.09971813800075,5292,1377,3915,cpu,,,complete
L15,S03,phase4_L15_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,446.3447945950029,5292,1377,3915,cpu,,,complete
L15,S04,phase4_L15_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,446.17148504200304,5292,1377,3915,cpu,,,complete
L16,S00,phase4_L16_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,449.8144614959965,5292,1377,3915,cpu,,,complete
L16,S01,phase4_L16_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,448.3802577030001,5292,1377,3915,cpu,,,complete
L16,S02,phase4_L16_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,451.3668590379966,5292,1377,3915,cpu,,,complete
L16,S03,phase4_L16_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,447.63291899299657,5292,1377,3915,cpu,,,complete
L16,S04,phase4_L16_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,445.64627197100344,5292,1377,3915,cpu,,,complete
L17,S00,phase4_L17_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,448.19549236599414,5292,1377,3915,cpu,,,complete
L17,S01,phase4_L17_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,365.51894257599633,5292,1377,3915,cuda,cuda:0,,complete
L17,S02,phase4_L17_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,337.8366071160053,5292,1377,3915,cuda,cuda:0,8,complete
L17,S03,phase4_L17_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,341.79939990799903,5292,1377,3915,cuda,cuda:0,16,complete
L17,S04,phase4_L17_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,657.1409658059929,5292,1377,3915,cuda,cuda:0,16,complete
L18,S00,phase4_L18_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,671.4411550009972,5292,1377,3915,cuda,cuda:0,16,complete
L18,S01,phase4_L18_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,671.4453192180008,5292,1377,3915,cuda,cuda:0,16,complete
L18,S02,phase4_L18_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,644.9727070770023,5292,1377,3915,cuda,cuda:0,16,complete
L18,S03,phase4_L18_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,662.7467263290018,5292,1377,3915,cuda,cuda:0,16,complete
L18,S04,phase4_L18_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,645.9879033500038,5292,1377,3915,cuda,cuda:0,16,complete
L19,S00,phase4_L19_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,644.416866450003,5292,1377,3915,cuda,cuda:0,16,complete
L19,S01,phase4_L19_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,653.9821702800036,5292,1377,3915,cuda,cuda:0,16,complete
L19,S02,phase4_L19_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,654.7803917519996,5292,1377,3915,cuda,cuda:0,16,complete
L19,S03,phase4_L19_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,483.9346311640038,5292,1377,3915,cuda,cuda:0,16,complete
L19,S04,phase4_L19_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,479.3884175659987,5292,1377,3915,cuda,cuda:0,16,complete
