L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,experiment_short
L5,A0,U4,P0,I4,T2,position_fusion,5,85.43060867049181,147.24200048156825,2.0038296484364517,93.48413907181198,231.8021379954777,84.56013751390945,1.0,84.56013751390945,43.385909764149105,127.38561589539594,254.41220430130383,X_A0_U4_P0_L5_I4_T2
L19,A0,U4,P0,I4,T2,position_fusion,5,85.95510255722802,147.717274263204,3.805869308570451,93.92800749217152,231.8021379954777,84.0848637322737,1.0,84.0848637322737,43.21261082629105,124.91498221769068,302.4206661076117,X_A0_U4_P0_L19_I4_T2
L16,A0,U4,P0,I4,T2,position_fusion,5,84.60115455262567,147.9521139267534,4.606058542229295,94.58540410990022,231.8021379954777,83.85002406872427,1.0,83.85002406872427,43.61721072933422,125.58856747011767,286.3279747852859,X_A0_U4_P0_L16_I4_T2
L16,A0,U4,P0,I3,T2,position_fusion,5,82.58739417886474,148.2963275525189,1.870495581375909,92.01752645173374,231.8021379954777,83.50581044295879,1.0,83.50581044295879,45.29454753766522,122.34864450056673,258.08395274271106,X_A0_U4_P0_L16_I3_T2
L19,A0,U4,P0,I3,T2,position_fusion,5,83.49172647773966,148.34515693149154,2.230331662775829,93.61137440477899,231.8021379954777,83.45698106398613,1.0,83.45698106398613,44.80619761320503,121.90634848285552,278.2666295282203,X_A0_U4_P0_L19_I3_T2
L13,A0,U4,P0,I5,T2,position_fusion,5,87.2415046454062,148.3607919708172,3.001125363677027,96.59486881420926,231.8021379954777,83.44134602466049,1.0,83.44134602466049,40.26874567094297,122.39757735443823,239.46059853651118,X_A0_U4_P0_L13_I5_T2
L1,A0,U4,P3,I5,T2,position_fusion,5,72.92109142989959,117.15060677046196,3.190191358484486,78.38628628470265,200.2766290041533,83.12602223369134,1.0,114.65153122501575,33.43888695477621,107.00121398044857,335.0968299859507,X_A0_U4_P3_L1_I5_T2
L5,A0,U4,P0,I3,T2,position_fusion,5,84.57596722548952,148.88651555318467,5.1219367620900895,94.38026206997014,231.8021379954777,82.91562244229303,1.0,82.91562244229303,44.74125851945217,124.80186957302695,305.38919062035336,X_A0_U4_P0_L5_I3_T2
L0,A0,U4,P3,I4,T2,position_fusion,5,73.43049642822683,117.44114151308236,0.0,76.34014544807948,200.2766290041533,82.83548749107095,1.0,114.36099648239534,35.90456466899914,106.9738014903883,340.99061809564694,X_A0_U4_P3_L0_I4_T2
L5,A0,U4,P0,I6,T2,position_fusion,5,82.25545081877968,149.47457352046678,10.52893599005013,92.93706175920731,231.8021379954777,82.32756447501092,1.0,82.32756447501092,40.08674198643264,122.39529432654452,294.88791972643645,X_A0_U4_P0_L5_I6_T2
