version,ID,peer,path,tilt,facing,position_backend,status,N_frames,radius,radial_std,z_plane_std,circle_thickness_std_diagnostic,circle_thickness_rms_diagnostic,circle_thickness_p95_diagnostic,plane_tilt_deg,center_x,center_y,center_z,normal_x,normal_y,normal_z,turn_count,estimated_turns,turn_center_rms_3d_mm,turn_center_p95_3d_mm,turn_center_x_std_mm,turn_center_y_std_mm,turn_center_z_std_mm,turn_radius_std_mm,median_anchors,pct_ge7,pct_ge8
V-A_unbounded,R13,BSDC91,captures/current,,,cuda:1,ok,1200,603.1265901202861,50.47937337266837,39.20790669374936,32.46539319548795,63.92568570312426,120.0958577269442,74.97075139864128,1390.700619486693,1148.1077505402775,-774.9663395285677,0.9633804582173462,0.0682299551704576,0.25931210141906946,23,23.05146189803506,12.020469264564852,19.436562574970452,3.879974401565001,8.98257490631942,7.437649610811053,4.496993725955475,8.0,99.91666666666667,93.58333333333333
V-A_unbounded,R14,BS2DCE,captures/current,,,cuda:0,ok,1201,496.73673036402846,60.04980764613639,48.36641300617775,38.28118389334944,77.15950037617158,135.429704919766,89.72891599329338,1324.2558153293496,1091.3155225754265,-705.3785551122486,0.13351243306999222,-0.9910358445096514,-0.004731290814604661,23,22.599179768036375,23.429839345859044,45.25790516751257,12.390136215737641,8.750890705921085,18.542287237261426,8.772130797547634,8.0,99.91673605328893,95.33721898417986
V-A_unbounded,R14,BSDC91,captures/current,,,cuda:1,ok,1200,596.5548484399225,46.768788330965045,39.08722836552916,29.63461204411317,60.954087205284075,106.2664220889155,88.73050579570562,1327.1858357277972,1087.6283557289476,-706.875760351996,0.16136015827411837,-0.9866468737531072,-0.02215504084788278,23,22.628527035287526,12.87808148186817,19.948607337323796,6.882476393025864,4.536363621267078,10.268218674685508,5.887887134004821,8.0,99.91666666666667,95.16666666666667
V-A_unbounded,R15,BS2DCE,captures/current,,,cuda:0,ok,1200,474.48024095608963,60.45031383839684,43.69024404620449,37.10363095537929,74.65498688845402,134.1704486138885,89.17349599809545,1525.2507700220528,1364.3038361112624,-722.2746455586678,-0.9982368558841344,-0.05757696698852994,-0.014424715836361485,22,22.503553326533606,15.053761106703243,27.179153293155128,6.726541643432261,9.619367861002976,9.981400095082986,4.856004845147295,8.0,99.75,95.0
V-A_unbounded,R15,BSDC91,captures/current,,,cuda:1,ok,1200,578.3150046137772,57.33356599653678,33.65985632522912,31.83567786055183,66.51724290781596,117.62506538231138,88.88228864586172,1519.8244394192996,1352.420559198024,-730.2633211809388,-0.9974236954227323,-0.0690323694703524,0.01950650595491589,22,22.52853042674723,9.753959611859626,14.417023129361919,3.4652910919877193,7.14170168675109,6.054588839744551,4.081020990101094,8.0,99.75,91.75
V-A_unbounded,R16,BS2DCE,captures/current,,,cuda:0,ok,1201,507.0446239695493,66.50090079534331,62.02280608961215,43.18218920059204,91.00254933155156,157.35538673650967,86.68683410252565,1548.7732476378167,1304.2910053756584,-699.9792679583529,0.0663654438753052,-0.9961202472592572,-0.05779343266661449,23,22.733717610685687,20.843620928882075,33.74472935977317,10.465682719201798,10.422221589433237,15.363962380693405,8.952824106296163,8.0,99.6669442131557,94.92089925062447
V-A_unbounded,R16,BSDC91,captures/current,,,cuda:1,ok,1200,599.9269442708428,49.78273317445913,45.59374159199648,33.16196665564855,67.50989689017625,119.33916182555065,87.89323084070301,1526.129857174846,1279.02563686173,-704.7418153434091,-0.10318280025064562,0.9939828377603127,0.03676177322154464,23,22.7426555374087,13.036689484931278,21.61880224176203,7.100184643130393,6.062307306512495,9.514006545654963,5.901290917166329,8.0,100.0,95.0
V-A_unbounded,R17,BS2DCE,captures/current,,,cuda:0,ok,1201,512.6695657231937,59.32441120677958,47.84253231970336,35.81915722617469,76.25810535573723,130.40798859547095,89.41530615935349,1472.507093006536,1295.4012739871644,-727.5841151714003,-0.9959050539259406,-0.08982754906236921,-0.010204655516821976,23,22.861547844828284,13.054616544936458,21.181173065380758,4.868834970030594,9.102417891710228,8.46226614398707,5.7259041472132095,8.0,100.0,95.33721898417986
V-A_unbounded,R17,BSDC91,captures/current,,,cuda:1,ok,1200,587.1269400606332,53.03935610668281,32.826020627087956,33.30426192929659,62.39576916995331,111.59696281540437,89.97776444974077,1485.3070715173799,1289.532537529015,-712.3847350259459,0.9959842313919027,0.08952798562369399,-0.0003880835532747498,23,22.70713823279465,17.412650663781392,31.80974180315173,5.313569022949993,13.145481506965242,10.767754632864767,7.702421948798468,8.0,99.33333333333333,91.75
V-B_calibrated,R01,BS2DCE,captures/current,,,cuda:0,ok,1201,518.9472017624453,64.64964737578045,143.4638159945283,91.92583429274409,157.3440254826642,303.5961550400002,10.412590173683212,1416.7440565258955,1048.4685354953926,900.126593568853,0.03351705720565029,0.17760023933747143,0.9835317797933864,31,31.54866995786207,22.638191102681798,41.730851194660815,9.66810281337873,9.28525742769778,18.7051437339104,7.796030747973408,8.0,99.91673605328893,95.42048293089093
V-B_calibrated,R01,BSDC91,captures/current,,,cuda:1,ok,1200,621.1127742846822,55.61331801627585,110.77894927083653,78.96272629999171,123.92831076043717,273.73459627324087,1.5332666049758856,1424.8759024336218,1037.8983668735057,798.4852960526734,-0.003370693217552756,-0.02654420019985193,-0.9996419578343956,31,31.513655312876026,22.492714288708108,38.54358231823802,11.48014794067776,10.816395685514177,16.552886663976306,7.09136017870851,8.0,99.66666666666667,94.16666666666667
V-B_calibrated,R02,BS2DCE,captures/current,,,cuda:0,ok,1201,532.412635865176,78.62475370885467,135.74964237609373,84.68813755060316,156.91827708803447,295.7592410973439,29.244574963080833,1436.6568771706386,996.0338422586084,863.1679131161521,0.09925211729145031,-0.4783502979133812,0.8725422681448413,28,28.422642348112863,34.506235421323936,49.76560094532309,18.56548192872438,16.4279341709765,24.904325172930466,10.681451307044984,8.0,99.83347210657784,91.59034138218152
V-B_calibrated,R02,BSDC91,captures/current,,,cuda:1,ok,1200,617.7402350029761,55.17491794681772,96.01582912250164,61.98587521293201,110.72116887217068,211.79116349744223,22.981333336893865,1425.157058718807,1035.1686886904656,806.3937421769008,0.0863722690479457,-0.38075761652527784,0.9206321027410997,28,28.384181962251283,10.630860422960007,15.765227111779373,4.632502760276592,5.163175296896532,8.311587108561561,4.0070337131081235,8.0,100.0,95.0
