position,anchor,n,corrected_median_range_mm,vicon_distance_mm,range_minus_vicon_mm,distance_to_solved_position_mm,range_minus_solved_distance_mm,link_noise_std_mm,in_top12_abs_bias
ID07,B,1197,1673.0046141407984,1937.1875677042804,-264.182953563482,1885.7255191039421,-212.72090496314377,30.542616924174148,False
ID07,C,1200,984.7287710168274,1245.2280060548376,-260.49923503801017,1306.2364247097921,-321.5076536929647,24.487802263343887,False
ID07,D,1199,1396.150076165622,1656.4075342853216,-260.25745811969955,1675.0976593977446,-278.9475832321225,20.20225585326177,False
ID07,F,1193,2199.084732520535,2414.1599049705846,-215.07517245004965,2405.6891424607047,-206.60440994016972,93.59475442414767,False
ID07,H,1187,2170.0946266173223,2246.9050079780577,-76.81038136073539,2324.1792013063514,-154.08457468902907,43.39045908987928,False
ID07,E,1201,2667.64990550301,2656.4662569988686,11.183648504141274,2647.09601940843,20.553886094579866,21.96529754908069,False
ID07,G,1120,1901.4222750592928,1911.1950323046847,-9.772757245391858,2023.3721763221592,-121.94990126286643,118.17556970169497,False
ID14,D,1200,1718.0261836509908,1992.3485630090795,-274.3223793580887,1957.9871290920232,-239.96094544103244,27.768876607854956,False
ID14,B,1199,1621.1614247714792,1870.8684480643917,-249.70702329291248,1839.1070877929706,-217.94566302149133,21.049792909808748,False
ID14,G,1138,1631.0439360634773,1870.5053039921056,-239.4613679286283,1904.7507455539553,-273.706809490478,114.13005712313083,False
ID14,A,1198,1672.6340545709818,1895.487468846096,-222.85341427511412,1896.4198007088614,-223.78574613787964,22.12450037319551,False
ID14,E,1199,1552.3202158905415,1770.283529601857,-217.96331371131555,1834.3367524118785,-282.016536521337,30.466902022746925,False
ID14,C,1196,1759.0923611170724,1965.0843414048506,-205.99198028777823,1902.3936350677002,-143.30127395062777,21.96111774991103,False
ID14,F,1198,1590.5923877796708,1761.7887667973655,-171.19637901769465,1752.375312920498,-161.78292514082705,72.70561694914008,False
ID14,H,1182,1794.077796434758,1896.089979910636,-102.01218347587792,1912.4083473528062,-118.33055091804817,27.768458522699735,False
ID18,A,1192,1225.231221444857,1602.9575855586388,-377.72636411378176,1585.5603791897086,-360.3291577448515,19.283879053210338,False
ID18,E,1199,1908.2383700009511,2164.688848418786,-256.45047841783503,2081.012170032064,-172.77380003111307,31.741388658127804,False
ID18,D,1199,1581.8554958267296,1833.3036781405885,-251.44818231385898,1832.8607323969113,-251.00523657018175,30.799285213328407,False
ID18,G,1154,2134.9874860694845,2362.6863335401886,-227.6988474707041,2385.9179218651984,-250.93043579571395,104.80284782065885,False
ID18,B,1198,1412.5080345688925,1620.3609644036435,-207.85292983475097,1622.5474560271093,-210.0394214582168,23.36763423311686,False
ID18,F,1192,2002.9642638828839,2194.5230004199193,-191.55873653703543,2149.943604934513,-146.97934105162926,78.62096380267486,False
ID18,C,1195,1706.113103802962,1824.324937424115,-118.21183362115289,1868.6122162624165,-162.4991124594544,23.728437348946283,False
ID18,H,1176,2250.9947991202753,2354.046017440574,-103.05121832029863,2314.8112877879407,-63.81648866766545,45.77364569939445,False
