position,anchor_id,anchor,n_valid,median_range_mm,vicon_distance_mm,bias_mm,range_std_mm,quality_median,tag_truth_source,truth_direct_motive,truth_reconstructed,location,height,facing
ID07,2,C,1200,1284.0,1245.1554936909035,38.84450630909646,24.487802263343873,100.0,motive_iantenna,True,False,edge,low,CDHG
ID07,3,D,1199,1806.0,1656.3676073215966,149.63239267840345,20.20225585326177,100.0,motive_iantenna,True,False,edge,low,CDHG
ID07,4,E,1201,2955.0,2656.3988879165595,298.6011120834405,21.96529754908069,100.0,motive_iantenna,True,False,edge,low,CDHG
ID07,5,F,1193,2527.0,2414.047422793134,112.95257720686595,93.59475442414767,100.0,motive_iantenna,True,False,edge,low,CDHG
ID07,6,G,1120,2232.0,1911.216647071431,320.783352928569,118.17556970169504,100.0,motive_iantenna,True,False,edge,low,CDHG
ID07,7,H,1187,2391.0,2246.8207085762006,144.17929142379944,43.390459089879286,100.0,motive_iantenna,True,False,edge,low,CDHG
ID08,0,A,1198,2510.0,2310.933715233005,199.06628476699507,31.838571193493753,100.0,motive_iantenna,True,False,edge,mid,CDHG
ID08,1,B,1201,2657.0,2210.4842514682223,446.5157485317777,27.513506056891465,100.0,motive_iantenna,True,False,edge,mid,CDHG
ID08,2,C,1201,1684.0,1625.2626684863747,58.73733151362535,22.633386563744278,100.0,motive_iantenna,True,False,edge,mid,CDHG
ID08,3,D,1200,2000.0,1767.4433015227469,232.55669847725312,17.480989137756534,100.0,motive_iantenna,True,False,edge,mid,CDHG
ID08,4,E,1201,2321.0,2233.272502754927,87.72749724507321,22.95195778324409,100.0,motive_iantenna,True,False,edge,mid,CDHG
ID08,5,F,1188,2218.5,2101.557279786867,116.94272021313282,82.87788274896836,100.0,motive_iantenna,True,False,edge,mid,CDHG
ID08,6,G,1131,1640.0,1466.8012636138717,173.1987363861283,96.06734056537546,100.0,motive_iantenna,True,False,edge,mid,CDHG
ID08,7,H,1171,1746.0,1686.5665465289292,59.433453471070834,40.737937764526976,100.0,motive_iantenna,True,False,edge,mid,CDHG
ID09,0,A,1194,2671.5,2525.6700713885143,145.82992861148568,19.83799131406046,100.0,motive_iantenna,True,False,edge,high,CDHG
ID09,1,B,1199,2590.0,2421.958787807741,168.04121219225908,24.638544106134415,100.0,motive_iantenna,True,False,edge,high,CDHG
ID09,2,C,1197,1984.0,1893.7901552576416,90.20984474235843,21.9725913948716,100.0,motive_iantenna,True,False,edge,high,CDHG
ID09,3,D,1200,2414.0,2023.0535597913101,390.94644020868986,20.227464834015723,100.0,motive_iantenna,True,False,edge,high,CDHG
ID09,4,E,1198,2263.0,2192.854951465556,70.14504853444396,36.627615766726294,100.0,motive_iantenna,True,False,edge,high,CDHG
ID09,5,F,1195,2311.0,2044.9367619842144,266.0632380157856,120.96038959892405,100.0,motive_iantenna,True,False,edge,high,CDHG
ID09,6,G,1161,1474.0,1367.6924248987095,106.30757510129047,101.00250199881728,100.0,motive_iantenna,True,False,edge,high,CDHG
ID09,7,H,1184,1756.0,1614.3668575231513,141.63314247684866,38.52914073020766,100.0,motive_iantenna,True,False,edge,high,CDHG
ID10,0,A,1200,1513.0,1330.091091471004,182.9089085289961,16.208493450621432,100.0,motive_iantenna,True,False,edge,low,ADHE
ID10,1,B,1201,2574.0,2406.7592724828146,167.2407275171854,27.43259614747587,100.0,motive_iantenna,True,False,edge,low,ADHE
ID10,2,C,1201,2462.0,2272.850214764551,189.14978523544914,31.71517721849517,100.0,motive_iantenna,True,False,edge,low,ADHE
ID10,3,D,1199,1299.0,1130.953769015579,168.04623098442107,26.10339253697552,100.0,motive_iantenna,True,False,edge,low,ADHE
ID10,4,E,1201,2102.0,1981.9485059448264,120.05149405517363,22.074125432274275,100.0,motive_iantenna,True,False,edge,low,ADHE
ID10,5,F,1173,3108.0,2821.24418693428,286.75581306571985,89.33338840686146,100.0,motive_iantenna,True,False,edge,low,ADHE
ID10,6,G,1139,2820.0,2690.941963948275,129.05803605172514,94.9539389814315,100.0,motive_iantenna,True,False,edge,low,ADHE
ID10,7,H,1182,1989.0,1799.9699174812947,189.03008251870529,44.8956063358592,100.0,motive_iantenna,True,False,edge,low,ADHE
ID11,0,A,1201,1724.0,1499.4679619076255,224.53203809237448,22.313545724213505,100.0,motive_iantenna,True,False,edge,mid,ADHE
ID11,1,B,1199,2610.0,2503.770810750661,106.22918924933902,18.541742974461826,100.0,motive_iantenna,True,False,edge,mid,ADHE
ID11,2,C,1198,2767.0,2509.2523128456064,257.7476871543936,17.11755218199256,100.0,motive_iantenna,True,False,edge,mid,ADHE
ID11,3,D,1201,1736.0,1528.8929922826683,207.10700771733173,19.03827320207354,100.0,motive_iantenna,True,False,edge,mid,ADHE
ID11,4,E,1201,1531.0,1370.965149250142,160.03485074985792,18.92873256344721,100.0,motive_iantenna,True,False,edge,mid,ADHE
ID11,5,F,1194,2572.0,2442.1257926097287,129.8742073902713,82.42739679901881,100.0,motive_iantenna,True,False,edge,mid,ADHE
ID11,6,G,1137,2620.0,2427.1088497266373,192.89115027336265,90.41675916275429,100.0,motive_iantenna,True,False,edge,mid,ADHE
ID11,7,H,1179,1474.0,1339.1016604392516,134.89833956074835,48.19093770632602,100.0,motive_iantenna,True,False,edge,mid,ADHE
ID12,0,A,1199,2117.0,1818.5466843083561,298.45331569164387,16.675161408238278,100.0,motive_iantenna,True,False,edge,high,ADHE
ID12,1,B,1201,2820.0,2704.500324082723,115.49967591727682,31.679387310200752,100.0,motive_iantenna,True,False,edge,high,ADHE
ID12,2,C,1199,3010.0,2701.394334253751,308.6056657462491,20.617607302371024,100.0,motive_iantenna,True,False,edge,high,ADHE
ID12,3,D,1201,1966.0,1820.9388574349193,145.06114256508067,29.515687742713027,100.0,motive_iantenna,True,False,edge,high,ADHE
ID12,4,E,1201,1474.0,1290.0088630728944,183.99113692710557,20.884464072083087,100.0,motive_iantenna,True,False,edge,high,ADHE
ID12,5,F,1190,2538.0,2395.469436680103,142.53056331989683,82.58272035615384,100.0,motive_iantenna,True,False,edge,high,ADHE
ID12,6,G,1136,2496.0,2367.949903562375,128.05009643762514,97.42018307162537,100.0,motive_iantenna,True,False,edge,high,ADHE
ID12,7,H,1177,1270.0,1226.795908660783,43.20409133921703,55.29157971585011,100.0,motive_iantenna,True,False,edge,high,ADHE
ID13,0,A,1199,2081.0,1899.771258503621,181.22874149637892,14.523146625705484,100.0,motive_iantenna,True,False,center,mid,ABEF
ID13,1,B,1199,2024.0,1881.287739457217,142.71226054278304,37.65438618366104,100.0,motive_iantenna,True,False,center,mid,ABEF
ID13,2,C,1198,2018.0,1965.473024462452,52.52697553754797,22.315985976694105,100.0,motive_iantenna,True,False,center,mid,ABEF
ID13,3,D,1199,2197.0,1987.3488147557707,209.65118524422928,30.31827689619663,100.0,motive_iantenna,True,False,center,mid,ABEF
ID13,4,E,1195,1915.0,1770.7565912648697,144.2434087351303,20.89987192937516,100.0,motive_iantenna,True,False,center,mid,ABEF
ID13,5,F,1192,1877.0,1767.7284489783615,109.27155102163852,103.18926513326664,100.0,motive_iantenna,True,False,center,mid,ABEF
ID13,6,G,1137,2053.0,1865.6871790431428,187.3128209568572,94.60242449917342,100.0,motive_iantenna,True,False,center,mid,ABEF
ID13,7,H,1179,1974.0,1886.114358607865,87.88564139213508,39.26655064107752,100.0,motive_iantenna,True,False,center,mid,ABEF
ID14,0,A,1198,2130.0,1895.0064900323048,234.99350996769522,22.12450037319551,100.0,motive_iantenna,True,False,center,mid,BCGF
ID14,1,B,1199,1940.0,1870.7202430572977,69.2797569427023,21.049792909808748,100.0,motive_iantenna,True,False,center,mid,BCGF
ID14,2,C,1196,2054.0,1964.9742075380864,89.02579246191362,21.96111774991103,100.0,motive_iantenna,True,False,center,mid,BCGF
ID14,3,D,1200,2129.0,1992.2923712398597,136.70762876014032,27.768876607854956,100.0,motive_iantenna,True,False,center,mid,BCGF
ID14,4,E,1199,1858.0,1770.1903184599528,87.80968154004722,30.466902022746925,100.0,motive_iantenna,True,False,center,mid,BCGF
ID14,5,F,1198,1915.0,1761.7093873130718,153.29061268692817,72.70561694914004,100.0,motive_iantenna,True,False,center,mid,BCGF
ID14,6,G,1138,1980.0,1870.5675455233097,109.43245447669028,114.13005712313081,100.0,motive_iantenna,True,False,center,mid,BCGF
ID14,7,H,1182,2017.0,1896.0142556756919,120.98574432430814,27.768458522699735,100.0,motive_iantenna,True,False,center,mid,BCGF
ID15,0,A,1199,2031.0,1901.9984325876458,129.00156741235423,21.76298075507949,100.0,motive_iantenna,True,False,center,mid,CDHG
ID15,1,B,1199,2019.0,1862.8897396700177,156.11026032998234,29.81988892057821,100.0,motive_iantenna,True,False,center,mid,CDHG
ID15,2,C,1200,2029.0,1958.2683922570502,70.73160774294979,30.013324802387913,100.0,motive_iantenna,True,False,center,mid,CDHG
ID15,3,D,1201,2198.0,1999.533118284593,198.466881715407,23.13044909957769,100.0,motive_iantenna,True,False,center,mid,CDHG
ID15,4,E,1200,1865.5,1777.6377982402203,87.86220175977974,23.124856016953647,100.0,motive_iantenna,True,False,center,mid,CDHG
ID15,5,F,1196,1908.0,1753.314352075326,154.68564792467396,70.95171722823453,100.0,motive_iantenna,True,False,center,mid,CDHG
ID15,6,G,1158,2018.0,1863.9302888323127,154.06971116768727,135.49502113380098,100.0,motive_iantenna,True,False,center,mid,CDHG
ID15,7,H,1201,1980.0,1904.502632355386,75.49736764461409,32.988799434789456,100.0,motive_iantenna,True,False,center,mid,CDHG
ID16,0,A,1199,2145.0,1903.2730489935132,241.72695100648684,30.505922597848592,100.0,motive_iantenna,True,False,center,mid,ADHE
ID16,1,B,1199,1972.0,1868.4167195951493,103.58328040485071,27.698243266380793,100.0,motive_iantenna,True,False,center,mid,ADHE
ID16,2,C,1199,2094.0,1946.3896340479068,147.61036595209316,16.610176576116576,100.0,motive_iantenna,True,False,center,mid,ADHE
ID16,3,D,1198,2163.0,1984.2748265688608,178.72517343113918,30.35966846224621,100.0,motive_iantenna,True,False,center,mid,ADHE
ID16,4,E,1199,1877.0,1787.8676166187277,89.13238338127235,26.01286976454324,100.0,motive_iantenna,True,False,center,mid,ADHE
ID16,5,F,1176,1950.0,1766.8594964670126,183.1405035329874,84.41138505673516,100.0,motive_iantenna,True,False,center,mid,ADHE
ID16,6,G,1155,1989.0,1858.2358055173347,130.7641944826653,120.79572249787816,100.0,motive_iantenna,True,False,center,mid,ADHE
ID16,7,H,1159,2011.0,1896.3134171825075,114.68658281749254,41.17907610607065,100.0,motive_iantenna,True,False,center,mid,ADHE
ID17,0,A,1199,1722.0,1574.687500510918,147.31249948908203,31.126301447771485,100.0,motive_iantenna,True,False,center,low,ABEF
ID17,1,B,1198,1852.0,1773.66685490518,78.33314509482011,27.67440622572797,100.0,motive_iantenna,True,False,center,low,ABEF
ID17,2,C,1197,1934.0,1839.4270699441793,94.57293005582073,27.609043087195367,100.0,motive_iantenna,True,False,center,low,ABEF
ID17,3,D,1197,1779.0,1678.0506145285065,100.94938547149354,24.859509299476592,100.0,motive_iantenna,True,False,center,low,ABEF
ID17,4,E,1198,2372.0,2149.60079990839,222.39920009161006,22.19536228203528,100.0,motive_iantenna,True,False,center,low,ABEF
ID17,5,F,1192,2385.0,2309.233345720573,75.7666542794268,107.06755455755055,100.0,motive_iantenna,True,False,center,low,ABEF
ID17,6,G,1160,2562.0,2367.269060650548,194.730939349452,80.12898988928885,100.0,motive_iantenna,True,False,center,low,ABEF
ID17,7,H,1159,2273.0,2230.8671394792464,42.13286052075364,44.79976192954219,100.0,motive_iantenna,True,False,center,low,ABEF
ID18,0,A,1192,1695.0,1602.6390709827376,92.36092901726238,19.283879053210338,100.0,motive_iantenna,True,False,center,low,BCGF
ID18,1,B,1198,1728.0,1620.2342303870446,107.76576961295541,23.367634233116863,100.0,motive_iantenna,True,False,center,low,BCGF
ID18,2,C,1195,1994.0,1824.2356666503526,169.76433334964736,23.728437348946283,100.0,motive_iantenna,True,False,center,low,BCGF
ID18,3,D,1199,1991.0,1833.2552812188626,157.7447187811374,30.799285213328407,100.0,motive_iantenna,True,False,center,low,BCGF
ID18,4,E,1199,2217.0,2164.6315461902395,52.36845380976047,31.741388658127715,100.0,motive_iantenna,True,False,center,low,BCGF
ID18,5,F,1192,2329.0,2194.4328121261233,134.56718787387672,78.62096380267492,100.0,motive_iantenna,True,False,center,low,BCGF
ID18,6,G,1154,2483.0,2362.7167204542297,120.28327954577026,104.80284782065885,100.0,motive_iantenna,True,False,center,low,BCGF
ID18,7,H,1176,2474.0,2353.968724792238,120.03127520776206,45.77364569939446,100.0,motive_iantenna,True,False,center,low,BCGF
ID19,0,A,1195,1953.0,1751.0411661446897,201.95883385531033,23.256332571768823,100.0,motive_iantenna,True,False,center,low,CDHG
ID19,1,B,1198,1626.0,1610.1157110850713,15.884288914928675,20.970316629706748,100.0,motive_iantenna,True,False,center,low,CDHG
ID19,2,C,1200,1727.0,1671.6641907450949,55.33580925490514,21.87659521964572,100.0,motive_iantenna,True,False,center,low,CDHG
ID19,3,D,1199,1983.0,1831.7455484579916,151.25445154200838,26.54484998388314,100.0,motive_iantenna,True,False,center,low,CDHG
ID19,4,E,1199,2719.0,2279.7475875160553,439.2524124839447,22.67001197949211,100.0,motive_iantenna,True,False,center,low,CDHG
ID19,5,F,1190,2293.0,2181.675707539274,111.32429246072616,104.35386082090626,100.0,motive_iantenna,True,False,center,low,CDHG
ID19,6,G,1143,2808.0,2242.691320565533,565.3086794344672,88.16726478829968,100.0,motive_iantenna,True,False,center,low,CDHG
ID19,7,H,1161,2404.0,2361.4031019593476,42.59689804065238,39.31567232101169,100.0,motive_iantenna,True,False,center,low,CDHG
ID20,0,A,1199,1908.0,1720.3413425445626,187.65865745543738,31.343852319068198,100.0,motive_iantenna,True,False,center,low,ADHE
ID20,1,B,1198,1890.0,1762.0764827178757,127.9235172821243,22.604329608753183,100.0,motive_iantenna,True,False,center,low,ADHE
ID20,2,C,1199,1808.0,1694.4313725097363,113.56862749026368,25.3845606860823,100.0,motive_iantenna,True,False,center,low,ADHE
ID20,3,D,1197,1793.0,1679.9510075664034,113.0489924335966,25.937760293567855,100.0,motive_iantenna,True,False,center,low,ADHE
ID20,4,E,1201,2311.0,2264.99736498415,46.002635015850046,30.022712791734282,100.0,motive_iantenna,True,False,center,low,ADHE
ID20,5,F,1184,2683.0,2299.1224881867097,383.8775118132903,94.32646309621312,100.0,motive_iantenna,True,False,center,low,ADHE
ID20,6,G,1157,2341.0,2256.1728409018765,84.8271590981235,89.10926578289346,100.0,motive_iantenna,True,False,center,low,ADHE
ID20,7,H,1170,2518.0,2244.768538388637,273.2314616113631,123.8018212412758,100.0,motive_iantenna,True,False,center,low,ADHE
ID21,0,A,1198,2295.0,2125.5040381634876,169.49596183651238,35.430303842580265,100.0,motive_iantenna,True,False,center,high,ABEF
ID21,1,B,1200,2339.0,2137.894603350151,201.1053966498489,23.00342500274912,100.0,motive_iantenna,True,False,center,high,ABEF
ID21,2,C,1200,2338.0,2246.208350213391,91.79164978660901,18.805014740002164,100.0,motive_iantenna,True,False,center,high,ABEF
ID21,3,D,1201,2642.0,2230.049512336356,411.9504876636438,29.958918142975886,100.0,motive_iantenna,True,False,center,high,ABEF
ID21,4,E,1200,1786.0,1660.1834368792508,125.81656312074915,24.391551550583237,100.0,motive_iantenna,True,False,center,high,ABEF
ID21,5,F,1174,1816.0,1698.5990864124674,117.40091358753261,104.49961730985989,100.0,motive_iantenna,True,False,center,high,ABEF
ID21,6,G,1150,1963.0,1838.2394911128652,124.76050888713485,94.0108960296278,100.0,motive_iantenna,True,False,center,high,ABEF
ID21,7,H,1180,1897.0,1815.124541323914,81.87545867608605,41.33975546660607,100.0,motive_iantenna,True,False,center,high,ABEF
ID22,0,A,1199,2614.0,2112.164975046835,501.835024953165,20.246544860214875,100.0,motive_iantenna,True,False,center,high,BCGF
ID22,1,B,1200,2237.0,2132.493262353949,104.50673764605108,24.80794417891594,100.0,motive_iantenna,True,False,center,high,BCGF
ID22,2,C,1196,2405.0,2261.7378695473235,143.2621304526765,20.490676660500444,100.0,motive_iantenna,True,False,center,high,BCGF
ID22,3,D,1199,2353.0,2238.172448363837,114.82755163616321,24.281167760305163,100.0,motive_iantenna,True,False,center,high,BCGF
ID22,4,E,1200,1738.0,1641.4857352880128,96.51426471198715,35.33469753675416,100.0,motive_iantenna,True,False,center,high,BCGF
ID22,5,F,1194,1837.0,1692.1780042263929,144.8219957736071,72.20844291914061,100.0,motive_iantenna,True,False,center,high,BCGF
ID22,6,G,1146,2021.0,1857.877815589931,163.12218441006894,96.41816836044443,100.0,motive_iantenna,True,False,center,high,BCGF
ID22,7,H,1184,1915.0,1823.4165428080587,91.5834571919413,28.19030793418601,100.0,motive_iantenna,True,False,center,high,BCGF
ID23,0,A,1201,2281.0,2121.0283027285654,159.97169727143455,19.260140049506823,100.0,motive_iantenna,True,False,center,high,CDHG
ID23,1,B,1200,2509.0,2126.657289815856,382.3427101841439,20.20362754280132,100.0,motive_iantenna,True,False,center,high,CDHG
ID23,2,C,1196,2391.0,2253.4824830935677,137.51751690643232,28.113344663926426,100.0,motive_iantenna,True,False,center,high,CDHG
ID23,3,D,1197,2452.0,2243.637599731259,208.3624002687411,24.28274010521876,100.0,motive_iantenna,True,False,center,high,CDHG
ID23,4,E,1199,1794.0,1652.3911395320267,141.60886046797327,31.147059935207874,100.0,motive_iantenna,True,False,center,high,CDHG
ID23,5,F,1193,1808.0,1683.9824639921915,124.01753600780853,94.48327405769147,100.0,motive_iantenna,True,False,center,high,CDHG
ID23,6,G,1159,2006.0,1847.488489268922,158.51151073107803,91.18833264394934,100.0,motive_iantenna,True,False,center,high,CDHG
ID23,7,H,1188,1912.0,1830.6982698407096,81.3017301592904,39.192796986648254,100.0,motive_iantenna,True,False,center,high,CDHG
ID24,0,A,1197,2424.0,2124.1822845232778,299.81771547672224,22.711361022205974,100.0,motive_iantenna,True,False,center,high,ADHE
ID24,1,B,1197,2244.0,2134.7889954730795,109.21100452692053,24.611264781977123,100.0,motive_iantenna,True,False,center,high,ADHE
ID24,2,C,1199,2839.0,2249.1553818568336,589.8446181431664,19.30504586268881,100.0,motive_iantenna,True,False,center,high,ADHE
ID24,3,D,1201,2354.0,2234.6611645905227,119.33883540947727,31.513057023641778,100.0,motive_iantenna,True,False,center,high,ADHE
ID24,4,E,1201,1765.0,1657.319352750515,107.68064724948499,29.231463497903306,100.0,motive_iantenna,True,False,center,high,ADHE
ID24,5,F,1188,1833.0,1694.06089746518,138.93910253482,87.11736549202513,100.0,motive_iantenna,True,False,center,high,ADHE
ID24,6,G,1146,2015.0,1841.49865754978,173.5013424502199,92.16122926767578,100.0,motive_iantenna,True,False,center,high,ADHE
ID24,7,H,1189,1927.0,1819.9441130081348,107.05588699186524,37.56281446021807,100.0,motive_iantenna,True,False,center,high,ADHE
