mode,position,frames_input,frames_solved,d3_std_mm,residual_rms_median_mm
sweep_delta_i_plus_additive_only_delta_tag,ID15,1201,1201,68.06225482599174,71.49157366112593
sweep_delta_i_plus_additive_only_delta_tag,ID16,1201,1201,56.172516278714454,56.67369228574038
sweep_delta_i_plus_additive_only_delta_tag,ID17,1199,1199,74.83697758201066,93.99337571230456
sweep_delta_i_plus_additive_only_delta_tag,ID18,1199,1199,50.882070404611056,69.39675803465487
sweep_delta_i_plus_additive_only_delta_tag,ID19,1201,1201,115.36233072738744,191.933814982501
sweep_delta_i_plus_additive_only_delta_tag,ID20,1201,1201,74.45702325286176,125.21283215201339
sweep_delta_i_plus_additive_only_delta_tag,ID21,1201,1201,60.609997760268506,112.1420870054756
sweep_delta_i_plus_additive_only_delta_tag,ID22,1201,1201,45.91268749700817,115.83375367696588
sweep_delta_i_plus_additive_only_delta_tag,ID23,1201,1201,64.1337653458376,75.52781949780365
sweep_delta_i_plus_additive_only_delta_tag,ID24,1201,1201,67.3360582482102,152.06369914937528
tagfit_additive_only_coherent,ID01,1201,1201,55.00465977947173,80.91579224703091
tagfit_additive_only_coherent,ID02,1201,1201,73.31946712189443,68.9391349875941
tagfit_additive_only_coherent,ID03,1201,1201,90.51123069879681,151.4691501665612
tagfit_additive_only_coherent,ID04,1201,1201,71.59013592333712,87.45238172349718
tagfit_additive_only_coherent,ID05,1200,1200,81.70604436937818,144.1382216605441
tagfit_additive_only_coherent,ID06,1201,1201,66.81355064973113,84.43475094341245
tagfit_additive_only_coherent,ID07,1201,1201,70.5844934276013,100.74494221679998
tagfit_additive_only_coherent,ID08,1201,1201,61.53307859194641,111.59504092835047
tagfit_additive_only_coherent,ID09,1201,1201,61.22648499732938,117.98597624227872
tagfit_additive_only_coherent,ID10,1201,1201,43.14748297386475,63.09804868518143
tagfit_additive_only_coherent,ID11,1201,1201,31.654392418822596,47.83473347649378
tagfit_additive_only_coherent,ID12,1201,1201,42.96344661529082,83.27549675560736
tagfit_additive_only_coherent,ID13,1200,1200,56.92458713449421,50.55008101484961
tagfit_additive_only_coherent,ID14,1201,1201,49.19503232871288,68.00134219016176
tagfit_additive_only_coherent,ID15,1201,1201,64.49970542773664,66.11108824283093
tagfit_additive_only_coherent,ID16,1201,1201,55.976188707241775,56.625278505852464
tagfit_additive_only_coherent,ID17,1199,1199,73.15229771026196,86.64584309541267
tagfit_additive_only_coherent,ID18,1199,1199,52.69388876933313,67.76220891553345
tagfit_additive_only_coherent,ID19,1201,1201,109.52174623947322,191.6169953873249
tagfit_additive_only_coherent,ID20,1201,1201,74.86014179121838,128.947267887573
tagfit_additive_only_coherent,ID21,1201,1201,61.54808832726307,97.81085673716188
tagfit_additive_only_coherent,ID22,1201,1201,53.52936967714188,118.67112524367032
tagfit_additive_only_coherent,ID23,1201,1201,65.21060505281534,85.1654259822983
tagfit_additive_only_coherent,ID24,1201,1201,65.11843377903257,181.71338029320395
tagfit_joint_additive_plus_rho,ID01,1201,1201,54.910532299998884,71.4959044728353
tagfit_joint_additive_plus_rho,ID02,1201,1201,64.73616208327532,57.27565975658623
tagfit_joint_additive_plus_rho,ID03,1201,1201,82.25275095938589,136.06390921031965
tagfit_joint_additive_plus_rho,ID04,1201,1201,58.14251711253442,79.5516354104912
tagfit_joint_additive_plus_rho,ID05,1200,1200,72.7285626006268,138.11447673264428
tagfit_joint_additive_plus_rho,ID06,1201,1201,64.27922669020734,80.96719813270175
tagfit_joint_additive_plus_rho,ID07,1201,1201,63.76245034971128,76.91674887587907
tagfit_joint_additive_plus_rho,ID08,1201,1201,58.884163889234756,102.42392155278681
tagfit_joint_additive_plus_rho,ID09,1201,1201,55.28757475079619,112.00403357790995
tagfit_joint_additive_plus_rho,ID10,1201,1201,41.27388442421725,58.48522880251654
tagfit_joint_additive_plus_rho,ID11,1201,1201,31.60566962450572,49.28640144510987
tagfit_joint_additive_plus_rho,ID12,1201,1201,39.54469613741526,74.6727709480365
tagfit_joint_additive_plus_rho,ID13,1200,1200,52.689446629529684,43.068018772377016
tagfit_joint_additive_plus_rho,ID14,1201,1201,46.497697788241744,58.90950189299837
tagfit_joint_additive_plus_rho,ID15,1201,1201,57.63029072280232,56.23307114624201
tagfit_joint_additive_plus_rho,ID16,1201,1201,52.834746902473505,50.3127025474179
tagfit_joint_additive_plus_rho,ID17,1199,1199,62.251191870437694,70.21073474634242
tagfit_joint_additive_plus_rho,ID18,1199,1199,46.6509850287853,54.3444129469899
tagfit_joint_additive_plus_rho,ID19,1201,1201,102.6213453157198,170.24460822376406
tagfit_joint_additive_plus_rho,ID20,1201,1201,72.61636933046223,114.99743400047592
tagfit_joint_additive_plus_rho,ID21,1201,1201,54.80109707732156,89.3501342412437
tagfit_joint_additive_plus_rho,ID22,1201,1201,45.401847648321905,112.02657987269754
tagfit_joint_additive_plus_rho,ID23,1201,1201,64.29665070426397,77.68385753342143
tagfit_joint_additive_plus_rho,ID24,1201,1201,63.17880678036217,167.86784236948097
tagfit_joint_delta_only_discard_rho,ID01,1201,1201,78.37349976707206,96.08715477667523
tagfit_joint_delta_only_discard_rho,ID02,1201,1201,105.98737497394934,119.01608356093921
tagfit_joint_delta_only_discard_rho,ID03,1201,1201,95.97368623474337,140.03031505258974
tagfit_joint_delta_only_discard_rho,ID04,1201,1201,58.38425308103396,107.44646451798677
tagfit_joint_delta_only_discard_rho,ID05,1200,1200,193.35760383167224,206.21808241054117
tagfit_joint_delta_only_discard_rho,ID06,1201,1201,87.75795869072769,127.74135639019808
tagfit_joint_delta_only_discard_rho,ID07,1201,1201,58.59481219971219,65.61470512178583
tagfit_joint_delta_only_discard_rho,ID08,1201,1201,83.91831782814378,157.24330844233162
tagfit_joint_delta_only_discard_rho,ID09,1201,1201,171.99845101468537,164.62568171898437
tagfit_joint_delta_only_discard_rho,ID10,1201,1201,63.349809839762656,97.45440836302424
tagfit_joint_delta_only_discard_rho,ID11,1201,1201,90.0911600897081,175.677830357047
tagfit_joint_delta_only_discard_rho,ID12,1201,1201,48.695042771581335,122.6771176269819
tagfit_joint_delta_only_discard_rho,ID13,1200,1200,186.18252582587743,143.82442330687763
tagfit_joint_delta_only_discard_rho,ID14,1201,1201,120.95432928145235,125.47926077604366
tagfit_joint_delta_only_discard_rho,ID15,1201,1201,90.88639210867882,139.32522042627696
tagfit_joint_delta_only_discard_rho,ID16,1201,1201,166.00566916401692,151.95633656551945
tagfit_joint_delta_only_discard_rho,ID17,1199,1199,68.69527179852116,69.34180815375622
tagfit_joint_delta_only_discard_rho,ID18,1199,1199,60.58892784154101,73.88181933320784
tagfit_joint_delta_only_discard_rho,ID19,1201,1201,106.12587936058186,167.71539902964776
tagfit_joint_delta_only_discard_rho,ID20,1201,1201,91.83578327614288,124.82128241089396
tagfit_joint_delta_only_discard_rho,ID21,1201,1201,77.09019330135463,120.47521693148636
tagfit_joint_delta_only_discard_rho,ID22,1201,1201,59.09834476430759,157.3701665754292
tagfit_joint_delta_only_discard_rho,ID23,1201,1201,84.7682648549783,123.2049251198809
tagfit_joint_delta_only_discard_rho,ID24,1201,1201,97.0196400924526,188.47385899614426
