ID,tilt,facing,inner_radius_mm,outer_radius_mm,deltaR_mm,deltaR_error_mm,abs_deltaR_error_mm,inner_radius_bias_mm,outer_radius_bias_mm,inner_outer_center_sep_mm,inner_turn_center_rms_3d_mm,outer_turn_center_rms_3d_mm,inner_turn_center_p95_3d_mm,outer_turn_center_p95_3d_mm,inner_turn_count,outer_turn_count,inner_circle_thickness_rms_diagnostic,outer_circle_thickness_rms_diagnostic,variant
R13,,,511.38479618018704,603.1265901202861,91.74179394009906,-28.258206059900942,28.258206059900942,71.38479618018704,43.126590120286096,21.346121322630417,13.634918801211237,12.020469264564852,21.70788722622797,19.436562574970452,23,23,78.84568855041893,63.92568570312426,V-A_unbounded
R14,,,496.73673036402846,596.5548484399225,99.818118075894,-20.181881924105994,20.181881924105994,56.73673036402846,36.554848439922466,4.941846053755554,23.429839345859044,12.87808148186817,45.25790516751257,19.948607337323796,23,23,77.15950037617158,60.954087205284075,V-A_unbounded
R15,,,474.48024095608963,578.3150046137772,103.83476365768757,-16.165236342312426,16.165236342312426,34.48024095608963,18.315004613777205,15.312618071543131,15.053761106703243,9.753959611859626,27.179153293155128,14.417023129361919,22,22,74.65498688845402,66.51724290781596,V-A_unbounded
R16,,,507.0446239695493,599.9269442708428,92.88232030129348,-27.117679698706525,27.117679698706525,67.04462396954932,39.926944270842796,34.25994505830487,20.843620928882075,13.036689484931278,33.74472935977317,21.61880224176203,23,23,91.00254933155156,67.50989689017625,V-A_unbounded
R17,,,512.6695657231937,587.1269400606332,74.45737433743943,-45.54262566256057,45.54262566256057,72.66956572319373,27.12694006063316,20.719620515330618,13.054616544936458,17.412650663781392,21.181173065380758,31.80974180315173,23,23,76.25810535573723,62.39576916995331,V-A_unbounded
R01,,,518.9472017624453,621.1127742846822,102.16557252223697,-17.83442747776303,17.83442747776303,78.94720176244527,61.112774284682246,102.51248091493372,22.638191102681798,22.492714288708108,41.730851194660815,38.54358231823802,31,31,157.3440254826642,123.92831076043717,V-B_calibrated
R02,,,532.412635865176,617.7402350029761,85.32759913780012,-34.67240086219988,34.67240086219988,92.41263586517596,57.74023500297608,69.90771427753496,34.506235421323936,10.630860422960007,49.76560094532309,15.765227111779373,28,28,156.91827708803447,110.72116887217068,V-B_calibrated
R03,,,556.6590661624714,623.9442942902614,67.28522812778999,-52.71477187221001,52.71477187221001,116.65906616247139,63.94429429026138,51.953239156019485,23.739276488528297,14.907684575272649,38.83497778193027,24.069460161224615,29,29,112.02052511951254,82.26524076789882,V-B_calibrated
R04,,,534.4726657549527,623.5654044005255,89.09273864557281,-30.90726135442719,30.90726135442719,94.47266575495269,63.565404400525495,60.146872665096936,24.345928270022103,18.330560079111745,41.33931431343252,28.77652439682986,28,28,129.76233779757828,106.29001700860339,V-B_calibrated
R05,,,552.6610571035818,637.1456966940898,84.48463959050798,-35.51536040949202,35.51536040949202,112.66105710358181,77.14569669408979,58.13216186117203,33.83875006693429,15.520079060827292,57.10336396068965,24.904052592659273,29,29,139.99603887475615,86.5309948654918,V-B_calibrated
R06,,,554.0372226621015,628.9410733995198,74.90385073741834,-45.09614926258166,45.09614926258166,114.0372226621015,68.94107339951984,34.10931619887804,19.068510807054512,14.65972972253342,34.000890935173736,21.763964546758206,24,24,124.22976779253592,93.13861999825578,V-B_calibrated
R07,,,546.8778506518116,619.1417458508362,72.26389519902455,-47.736104800975454,47.736104800975454,106.87785065181163,59.14174585083617,52.62187754550143,16.04741241006675,11.71047750196822,25.39316400269325,17.544221948709033,23,23,97.4113412165978,71.24644387040253,V-B_calibrated
R08,,,544.687812835389,618.687881267946,74.00006843255699,-45.999931567443014,45.999931567443014,104.68781283538897,58.687881267945954,46.62640753394348,17.489612652134824,15.58292716189912,29.044085826883677,33.20439752051701,24,24,121.84573962070999,88.08691956133508,V-B_calibrated
R09,,,570.7953845865284,645.6957952582285,74.90041067170012,-45.099589328299885,45.099589328299885,130.79538458652837,85.69579525822849,64.77661201442307,18.9710932451756,12.702457169235743,23.380117525302435,22.377552976318114,24,24,141.63806442072652,90.69531565641981,V-B_calibrated
R10,,,551.9773503367464,617.7839595966658,65.80660925991936,-54.193390740080645,54.193390740080645,111.97735033674644,57.783959596665795,25.847682075122616,15.951418438920038,11.048607027548213,23.52649813390071,18.247893869090188,23,23,92.02545912986604,73.47297355623803,V-B_calibrated
R11,,,524.1554796131257,599.8526009137233,75.69712130059759,-44.30287869940241,44.30287869940241,84.15547961312575,39.852600913723336,28.273647616994012,14.723735882194305,11.314481125768413,22.806374976651615,15.936340294395142,23,23,75.15419781861785,57.64733338602532,V-B_calibrated
R12,,,529.7370113449531,636.7078243090368,106.97081296408373,-13.029187035916266,13.029187035916266,89.73701134495309,76.70782430903682,41.59063160383646,21.098341192679868,18.000395949592683,37.90306303517937,30.439771523838825,23,23,97.28006115507316,89.12930382180491,V-B_calibrated
R13,,,538.7480227133346,616.7345113709488,77.98648865761413,-42.01351134238587,42.01351134238587,98.74802271333465,56.73451137094878,25.863007168804113,13.885266560375745,11.885735816579732,21.691131910565346,17.70663794497452,23,23,79.54660958911118,61.56906372082493,V-B_calibrated
R14,,,523.2580552085217,610.2686159365626,87.0105607280409,-32.9894392719591,32.9894392719591,83.25805520852168,50.26861593656258,13.599571779678492,24.677823596273115,13.98843928256785,44.98395168582492,23.568147341818616,23,23,82.26778684557902,61.05030772097251,V-B_calibrated
R15,,,500.9813035851266,594.0771083201489,93.09580473502228,-26.904195264977716,26.904195264977716,60.981303585126625,34.07710832014891,16.41184003574357,14.552704433364505,10.850908666588102,26.360718964891387,16.87938712304847,22,22,76.1310427057339,65.65938050695763,V-B_calibrated
R16,,,526.665514592698,612.116923667789,85.45140907509108,-34.54859092490892,34.54859092490892,86.66551459269795,52.116923667789024,38.763939838647296,22.05795535309562,13.968602275829253,32.286767945364915,27.715855876116326,23,23,94.27364107553637,66.44243566298921,V-B_calibrated
R17,,,537.6953597620637,604.6687698199463,66.97341005788257,-53.026589942117425,53.026589942117425,97.69535976206373,44.668769819946306,18.597037716660207,14.174649901424914,17.24739809159668,23.9099675913216,29.858267580963904,23,23,76.06772294751283,62.70917711937928,V-B_calibrated
R01,,,519.2821526683435,621.6464005325603,102.36424786421674,-17.635752135783264,17.635752135783264,79.28215266834354,61.64640053256028,105.29504549701309,22.92084247984982,22.558103826328118,42.563703309562364,39.12844115824092,31,31,157.3588755379161,124.82840442582696,V-C_calibrated_residual
R02,,,533.3526056566424,619.0975343893076,85.74492873266524,-34.255071267334756,34.255071267334756,93.35260565664237,59.09753438930761,73.26295750869714,33.75037660284525,10.792077053538499,47.309459397071734,15.996171797486564,28,28,157.29745685298,111.42727484432187,V-C_calibrated_residual
R03,,,557.894102710481,624.8323484408937,66.93824573041275,-53.061754269587254,53.061754269587254,117.89410271048098,64.83234844089372,52.93942255819498,23.990143004959446,14.97000417323776,39.50845832675753,24.45693350614675,29,29,112.90580548008525,82.7172090635095,V-C_calibrated_residual
R04,,,534.3777716728782,623.9139476911417,89.53617601826352,-30.463823981736482,30.463823981736482,94.37777167287823,63.91394769114174,62.951800103278416,24.834034183836536,18.592526812577955,41.80898366827982,29.500777162147028,28,28,130.73301101724695,107.09926517669902,V-C_calibrated_residual
R05,,,553.844454913382,638.4687420195937,84.62428710621168,-35.37571289378832,35.37571289378832,113.84445491338204,78.46874201959372,59.88221198819854,34.49344622375702,15.493080410595937,57.98777905408162,24.79379582173008,29,29,140.76175739285654,86.88114974088762,V-C_calibrated_residual
R06,,,556.2524224614568,630.8389293714703,74.58650691001344,-45.41349308998656,45.41349308998656,116.25242246145683,70.83892937147027,35.40838525901767,19.204098846271812,14.973618567296494,34.793175004211015,22.63586469567333,24,24,125.08378000029464,93.25319531765798,V-C_calibrated_residual
R07,,,548.5249152707707,620.3171954949571,71.79228022418636,-48.20771977581364,48.20771977581364,108.52491527077075,60.317195494957105,53.42395856386098,15.903606206500687,11.694359588079736,26.934899577559992,17.606130110740068,23,23,98.01031509232423,71.70502886939862,V-C_calibrated_residual
R08,,,545.9281351187439,619.6985249010784,73.77038978233452,-46.22961021766548,46.22961021766548,105.92813511874385,59.69852490107837,46.774099595485474,17.750418047888463,15.699095276353006,29.18082252821848,33.23594983428295,24,24,123.43220845840584,88.77813021289356,V-C_calibrated_residual
R09,,,573.0023156425167,647.4922336086546,74.48991796613791,-45.51008203386209,45.51008203386209,133.0023156425167,87.4922336086546,65.19806142818247,19.083523476146592,12.686929078071945,24.065661429766276,22.69915842250275,24,24,141.86146856485604,90.58749886485525,V-C_calibrated_residual
R10,,,554.7126533614112,619.6445766046115,64.93192324320034,-55.068076756799655,55.068076756799655,114.71265336141118,59.64457660461153,26.854624604864618,16.01199284137833,11.08754150293138,23.92651017977805,18.29812157150214,23,23,92.33185978218069,73.41482843724594,V-C_calibrated_residual
R11,,,526.5772754620573,601.6435900688615,75.06631460680421,-44.93368539319579,44.93368539319579,86.57727546205729,41.6435900688615,28.926364608607823,14.820552005141312,11.289172616415344,22.867842788871645,15.751323145849577,23,23,75.47750816589071,57.78228787393001,V-C_calibrated_residual
R12,,,532.466421869557,638.9853120891353,106.51889021957822,-13.481109780421775,13.481109780421775,92.46642186955705,78.98531208913528,41.996036567897946,21.039628217919642,17.90411388165092,38.59883084811277,28.88950849398506,23,23,97.78229557490103,89.52532088923816,V-C_calibrated_residual
R13,,,541.4778897705702,619.3588415320701,77.88095176149989,-42.11904823850011,42.11904823850011,101.47788977057019,59.35884153207007,25.760832618960745,13.946936662464083,11.919007302793473,21.695857659293768,18.05082235129274,23,23,79.70533196180493,61.7963866845096,V-C_calibrated_residual
R14,,,526.1170352871121,612.1186789446044,86.00164365749231,-33.99835634250769,33.99835634250769,86.11703528711212,52.118678944604426,13.617983382715071,24.547740377955495,13.86643064071613,44.56197272183085,23.212305945801933,23,23,82.56980089240471,61.05311737677312,V-C_calibrated_residual
R15,,,503.9156207972943,596.9381011498109,93.0224803525166,-26.977519647483405,26.977519647483405,63.91562079729431,36.938101149810905,16.821542706817247,14.503014785101707,11.071794923588353,26.29504341951435,16.360399738140956,22,22,76.28558851251714,66.48108042258112,V-C_calibrated_residual
R16,,,529.7632931450364,614.0065489227123,84.24325577767593,-35.75674422232407,35.75674422232407,89.76329314503641,54.00654892271234,38.93087359784578,22.39758030865957,14.134421932436245,32.68384444425085,28.13337250416038,23,23,94.70629412159923,66.74744893166644,V-C_calibrated_residual
R17,,,541.2404942617729,607.4460614998004,66.20556723802747,-53.79443276197253,53.79443276197253,101.24049426177294,47.44606149980041,18.245155932571492,14.028815510927112,17.327499669171907,23.666695027028435,29.69684210897928,23,23,76.20411749702909,62.89782221326087,V-C_calibrated_residual
R01,,,502.76875061579324,612.3177719253306,109.54902130953735,-10.450978690462648,10.450978690462648,62.76875061579324,52.31777192533059,84.0872911899044,18.903220637096222,19.279089811365488,30.25598073872911,31.297623055794286,31,31,133.15499407000172,103.60334926167624,baseline_v4io
R02,,,511.9863299982224,603.5232491149587,91.53691911673633,-28.46308088326367,28.46308088326367,71.9863299982224,43.52324911495873,55.249408071119035,29.07860159933555,10.772720812069164,41.91529224571538,17.27829904110745,28,28,135.59135448558015,102.71752597645947,baseline_v4io
R03,,,531.3607730296762,604.1968426176022,72.83606958792598,-47.16393041207402,47.16393041207402,91.36077302967624,44.196842617602215,41.32046617865532,19.927515123276688,13.471989691698555,31.17139554436401,19.888318466639852,29,29,105.61226375041142,80.45197004541012,baseline_v4io
R04,,,513.3987493616803,610.8536210760631,97.45487171438276,-22.54512828561724,22.54512828561724,73.3987493616803,50.853621076063064,53.43255813414723,21.583127723694,17.59566692855437,34.91024326178441,28.12244138978319,28,28,120.28765850174335,98.2625381743009,baseline_v4io
R05,,,538.9231156870973,627.5681106163759,88.6449949292786,-31.355005070721404,31.355005070721404,98.92311568709727,67.56811061637586,49.6159415744311,28.749511877518394,13.87636267080265,49.831043749389224,20.184625581549845,29,29,121.89730270888604,74.76852303720052,baseline_v4io
R06,,,526.2842166697691,604.8380881871192,78.5538715173501,-41.4461284826499,41.4461284826499,86.28421666976908,44.83808818711918,23.81656323385603,18.334227508108274,13.760419311542856,30.62235770920748,21.21084773106392,24,24,116.13731898169117,87.7482508602381,baseline_v4io
R07,,,516.2478918282463,594.6385211000851,78.39062927183875,-41.60937072816125,41.60937072816125,76.24789182824634,34.638521100085086,46.027072212779906,15.40618282754315,11.173576439049977,24.961628494994336,19.527947005752743,23,23,92.56599371449285,67.83258898182348,baseline_v4io
R08,,,516.1388643585623,603.1987531707376,87.05988881217536,-32.94011118782464,32.94011118782464,76.13886435856227,43.19875317073763,44.741574325707674,16.899696096760113,13.605061180594737,28.40878633394724,27.76457194268131,24,24,109.61477776372789,79.15732603574457,baseline_v4io
R09,,,542.2948953238126,627.764396463527,85.46950113971434,-34.53049886028566,34.53049886028566,102.29489532381263,67.76439646352696,64.6290323768011,17.894666995734436,12.757826759159135,29.2561403780294,18.215887154463285,24,24,132.7850818548334,88.23815493342627,baseline_v4io
R10,,,516.6922449638896,597.0942657200403,80.4020207561507,-39.597979243849295,39.597979243849295,76.6922449638896,37.09426572004031,21.325889668071618,15.105793624384345,10.754675174543525,22.920699323993702,16.916238988388127,23,23,87.33259308118834,68.36938421210894,baseline_v4io
R11,,,493.499867136089,575.4512934702155,81.95142633412655,-38.04857366587345,38.04857366587345,53.499867136088994,15.451293470215546,27.460287615594513,13.081161450972791,11.188429559035976,22.555779279869867,16.888243996254413,23,23,72.83000094738429,56.510566147252895,baseline_v4io
R12,,,497.30171598743294,607.6120528606624,110.31033687322946,-9.68966312677054,9.68966312677054,57.30171598743294,47.6120528606624,37.18176307519984,19.921638372055927,15.014512847437246,37.07567299461832,26.51156643007313,23,23,87.44815621539223,79.04602469284558,baseline_v4io
R13,,,502.89510338771385,590.7113104550322,87.81620706731832,-32.18379293268168,32.18379293268168,62.895103387713846,30.711310455032162,29.663426933604285,13.081283403339196,11.2766237680731,20.69586493387336,18.233023845717423,23,23,77.13624683656627,59.55025220246555,baseline_v4io
R14,,,486.8782761937234,589.5312862295197,102.65301003579623,-17.34698996420377,17.34698996420377,46.87827619372342,29.53128622951965,11.932165534007822,24.595674115211335,12.427095877168153,44.98713282690527,23.710975470720946,23,23,75.79891628721388,57.64942101059866,baseline_v4io
R15,,,469.9238700590207,567.2271262837448,97.30325622472412,-22.696743775275877,22.696743775275877,29.923870059020715,7.227126283744838,18.083862465118486,13.254322430149523,10.517352749365395,23.599257391718687,15.80059933508996,22,22,67.39190439918785,56.749567451993585,baseline_v4io
R16,,,489.4781679944919,588.3718007256941,98.89363273120222,-21.106367268797783,21.106367268797783,49.47816799449191,28.37180072569413,28.785623830359796,20.275705573747693,12.729614774880432,29.687805684902507,23.3048899153905,23,23,80.69169976390228,59.03969895869562,baseline_v4io
R17,,,498.92950254943065,578.6589008417974,79.72939829236674,-40.27060170763326,40.27060170763326,58.92950254943065,18.65890084179739,17.880173882676214,13.16626649324827,14.866938430829737,19.50708483469949,30.17611831568331,23,23,70.57503850163886,56.89523658414211,baseline_v4io
