bootstrap,delta_tag_mm,rho_percent,rms_mm,delta_A_mm,delta_B_mm,delta_C_mm,delta_D_mm,delta_E_mm,delta_F_mm,delta_G_mm,delta_H_mm
59,-253.9546521910628,10.554012550061032,102.1247918927051,343.52372477095247,172.25780506960305,151.07299485555725,275.0678672982749,100.21862297159677,190.76392575768162,200.95559601460187,57.323407326877714
60,-176.50352494797752,8.26822289888085,84.83838933870668,288.3772788310791,146.0398891947505,178.3331297927091,269.4970374132823,155.49877613872292,154.5881837921424,238.2414067884981,60.60824211396127
61,-144.4790267630892,7.231040264893807,86.72249519423849,233.6180626877604,183.79202516559843,123.86509266578292,267.5324475718722,149.02890328639705,229.76140579293963,187.59565622837272,115.99035066642227
62,-246.5624150828218,10.05397489402533,104.27995751238012,318.57530179710653,164.3395154274547,143.93163078003465,328.1651583394673,168.09058480998272,137.75045135533588,146.97829208965172,83.3530094661121
63,-129.78439862138742,6.816665980076664,99.89962107305941,331.8439070731953,151.94019351705995,144.9906478909312,286.74432115493966,172.34670301486835,236.25163569919698,112.36187291820555,54.704662796748664
64,-201.5177186774405,8.662895584551222,95.92035817997065,402.3176195897196,119.04072615433996,182.40995709167143,305.99959370713873,86.30757356601359,154.29851834349182,177.85283273845013,62.95712287432036
65,-126.40343264132801,7.314397625041025,94.81631043059292,352.38664054085825,163.94237447273224,114.21663619399595,261.5607903084157,143.79550157140886,206.9160153471401,182.77877784051427,65.5872077900803
66,-71.71923307128246,5.646372691113299,94.32256701903992,339.46838065424333,253.12640494398744,68.42933398237668,281.4731963355141,99.26809327481133,160.05321139287025,202.3423332491655,87.022990232177
67,-115.24061668069598,6.749364533086322,94.65406727803496,329.0561841221926,138.3962205855629,81.9057871675372,275.83439266944464,152.98626465866008,213.5155864726557,238.250432233376,61.2390761557165
68,-15.78783815967832,3.5806401736483195,73.64160745029129,273.2118466099845,154.07880648371713,176.8469865171593,271.60269589065587,168.21396372269288,137.00828887472235,216.80837604615317,93.41297992006045
69,-233.41240101487705,9.408849439613931,83.12574999142034,330.82436867649176,127.82422653373288,126.11023233899388,232.44976192569285,160.1572115633787,177.39301651585967,216.3175522110706,120.10757429992532
70,-161.77240469829783,7.644440417645626,97.34426788889272,257.35285479331327,171.13319260469,252.23831125750706,251.17477237366109,163.47536571252044,168.79581045990824,192.21024851915828,34.80338834438723
71,-52.92792420015656,4.724738698514663,77.69406502364,289.43900977080654,179.8886889330265,102.13342506040432,296.2964699086586,224.98327887742255,177.72440361473215,156.0651216274087,64.6535462726863
72,-135.43781925233174,6.929365842645296,84.1633383223081,291.87844225021456,138.90745464206066,184.00916397502786,261.2939256112018,169.9732387215687,230.63410671557256,184.77735015828807,29.71026199121144
73,-156.97987678150523,7.552578934217458,90.96646423544512,327.4688096443017,176.0220677232302,113.80303244089455,259.48331941577396,209.78457467627504,180.2290329543125,206.14318261743878,18.249924592918887
74,-85.25178538998267,5.3952427764095034,83.08160419362588,293.11417737831493,167.50210737503485,124.06881771304714,249.69927677537223,165.16018568149818,144.06234684960924,261.48376990974924,86.0932623825198
75,-218.40288068290158,9.490367940754707,105.17340656087671,280.7148059691316,189.26861545420303,117.50257681249124,294.5862522156193,144.0196671786703,201.17070554267355,224.57871948647303,39.342601405883556
76,-200.37153490231995,8.836735541084906,92.0539392492473,326.9991532404639,202.7840868418925,109.69995387866648,264.51728431128925,137.19722081184648,193.00755965482946,183.13758119445419,73.84110413170336
77,-141.59161451252587,6.841411627392091,75.7763258387246,271.7971041556191,150.63207944907253,79.27352028759746,334.3692141196857,157.56233131379528,236.3510843347273,175.87422858789532,85.324381816753
78,-112.39440244525775,7.053697708784057,99.72030602876475,308.0206448079002,146.78955778395783,145.6356217873141,249.44777893754446,225.3027568253125,185.21614641230238,182.61557092096004,48.15586658985407
79,-205.03371197646828,9.111975396620053,102.46585060980709,251.40413214923595,156.31761890460297,145.85159914549035,284.6070630914641,192.2660534645664,189.52347833022344,177.69714234969052,93.51685662987185
80,-208.12026648135787,8.89336694375551,91.8560020566158,324.4867375173402,214.42657124626976,109.14181058558596,227.47498416033991,150.20908511293072,177.31086980833803,191.05214660890897,97.08173902543204
81,-161.80649361746185,8.19000406947552,99.70633651687304,261.22302780853795,144.166303952346,144.64788195200703,236.57031760961203,203.48314820915212,218.27365570295356,214.64219639949187,68.17741243104504
82,-102.26746645380824,5.772314356742214,94.25226196725757,291.6594332887702,199.29777776707084,132.7532570339406,218.06115979292318,157.19861119596536,230.89329989748984,212.50726723909608,48.81313784988953
83,-153.70710013956986,7.371125693440916,82.63617259541502,292.7369442154177,214.11551085694234,129.70959087188388,323.20711779965563,173.6687246641916,129.39381013543453,154.27218686300552,74.08005865861445
84,-223.27450601085158,9.617743379325105,93.47143356711544,326.33519743208785,155.29341048224506,182.55691801074553,242.51897449144195,194.38476613925164,204.65846619624816,112.7588708421536,72.6773404709718
85,-277.10550917712965,11.60374603222607,110.35127639794129,315.16356513214896,133.93625945514836,93.45158635987809,255.5036010393,216.5465737348901,146.5837056212437,213.50737177142497,116.49128095111146
86,-88.78468621276365,5.75947310660041,87.33809243848279,337.8582684094556,84.61703101388548,118.81754082673316,314.8445554019472,240.20605875418093,166.90175187733377,143.3655104824399,84.57322729916956
87,-117.90809723097982,6.741062061661296,94.34245036007268,320.54160311768834,150.04340730712062,177.17587689094563,190.7326369345301,178.02903190848622,150.57829315682764,232.66231361690325,91.42078113264384
88,-261.228716252271,10.500262854565534,96.36331801645923,331.1191278111824,168.89000412582257,178.76245996686615,204.38592280980316,111.59947835046273,205.39475314107324,236.10577629979937,54.92642156013599
89,-230.15809363852014,9.74605282431149,93.49365456936256,396.466926322938,159.2298626516975,57.64281885799517,260.8306590224462,166.08247885052702,199.1009790944096,175.5425582592953,76.28766100583682
90,-143.00612108621365,7.3763782227892705,88.0296284482357,273.4184744704485,135.75077574517508,183.23369027541926,286.42147921999526,125.35124180030493,185.66012128376084,200.84878551212486,100.49937575791688
91,-210.84432947202453,8.47643737172028,79.01589739375649,345.3502111244601,178.26392930562736,46.65039775843991,310.38346360609694,122.24639392436514,194.2015087643704,215.81857139868436,78.26946818310142
92,-241.5632061023119,9.57580880532145,83.95424188557209,364.59295075633116,174.00603763695693,122.67052076534947,248.19546445923484,131.28861039277507,215.0166499274821,173.59085245230438,61.82285767471167
93,-174.03693809464528,7.892449144244323,96.13905418055815,311.18086496271974,186.04065664183665,141.5892904399696,238.6825048460817,144.75972358856365,188.65989428617962,195.44749911692705,84.82351018286762
94,-334.41661820810987,13.040327002992314,105.20616762175281,284.1336599698167,147.30973092296574,88.72963237013319,333.91227112706713,195.34077403436885,110.54615211422701,245.38051542992952,85.83120809663752
95,-116.95665451648198,6.476864805076588,93.36655501399962,327.0094745515565,156.39125815569122,150.13619672014028,253.30975673106371,172.04505091740592,170.9964124470277,205.72541138996692,55.5703831522934
96,-194.0651061682364,8.48987474804801,93.51816086645941,320.9793230851579,121.41659415287833,135.249116772222,335.4103886210194,140.98510416601297,143.1303834393753,185.84357226607523,108.16946156240446
97,-193.79052875114616,8.791046799496804,110.24269491498814,393.20019493116655,193.68422700652113,197.45019517834203,215.2479106977304,114.1963390245842,147.87766389435626,152.57746421170714,76.94994912073793
98,-159.2434508102454,7.674773177642891,86.56951964187155,423.61008779086393,154.1189178923689,115.79810500138977,266.54867878720484,126.78685296854644,208.52926607413085,138.95300008245826,56.83903546818263
99,-203.2657585071202,8.353339782559033,83.40202358660973,257.33819368520045,115.01699926159696,107.32372495422975,391.1162124496435,115.36764430878785,212.05707183291966,206.96487788580666,85.99921968696083
100,-118.81788132954561,6.804882233682008,94.16524736153399,269.13712686856115,156.2332084563694,125.20109068972526,275.676478583008,199.0488019312855,172.85574257983964,200.25575547070213,92.77573948565447
101,-119.43002761861267,6.741549393978596,98.80576174030595,403.74992850815624,182.90822603026868,107.91870592104527,231.59764233309843,224.08850537635902,122.6397866312389,180.76566720706978,37.51548205790931
102,-151.54088994199032,8.214886994682757,102.94463020917269,321.312726019489,216.508023984171,120.73539306681546,257.85632386203696,93.62613903478851,208.16581469925652,228.69698880680565,44.28253459178251
103,-184.56629822082877,8.730216753926001,102.29166969984105,353.00439969580293,164.93918072416392,130.19006200419943,241.03497196601472,176.49887533071623,218.59316700904108,134.6904530865415,72.23283424866577
104,-165.95975379464565,8.094480894297629,96.35227702397017,278.1384706728338,179.10133984131076,158.50749504714977,263.62632619332334,198.12416981418056,219.47895776705604,135.4500534439599,58.75713128533144
105,-158.90561188214434,7.855189858444689,96.35489129370744,329.39274606646364,156.6716710141716,174.12590008996298,209.07313297603298,203.95988994588603,165.31054906301443,179.1143148888542,73.53574002075973
106,-188.19560704525182,9.031736194841855,92.18777908006057,369.0905424136174,194.0629577535302,144.0247492990192,241.71356135349393,158.36114047305668,119.59796301981666,184.75805657266133,79.57497317995018
107,-106.51697357766285,5.882432252234437,92.62431312206255,260.43193948788416,185.36128911336073,161.85121658461256,265.7393707271838,155.28978485710206,196.05394961501756,179.7026731949671,86.75372048501762
108,-137.91905538162365,6.798077295591298,85.99072094371488,353.25775833088716,130.859339013384,191.1094955857954,251.38601602772204,162.7673047977471,153.31598334018813,169.30487572711897,79.18317124230283
109,-203.1233946579133,8.447354958050113,87.20551196093838,348.2677247655036,211.17922322582453,123.3935581698718,306.0557491845153,128.09102069293115,170.36973639924787,155.98349047802404,47.84344114922732
110,-115.73638348762665,6.229009894937043,90.81010146140332,362.69179678578075,173.9373927414957,120.0276958926607,261.8936383310701,198.9757690281788,160.03395107635086,133.235339483881,80.38836072572772
111,-226.55103011975007,9.486397158259763,103.07382004414256,363.56376883941005,120.20060728030765,88.55294157697799,249.6049651949908,133.74530809324654,256.478003397555,242.41508171859311,36.62326796406447
112,-211.66815827099356,9.554091554880983,104.48794713372963,341.2590749616563,175.14974262227787,235.25226822524786,294.8900452677255,139.2423024479583,163.00182390090754,112.88622963320304,29.502457006169124
113,-218.63637123879744,9.527746288161154,104.1227573566483,297.48476069821555,101.21020594253795,265.14654009326046,255.06306783729798,134.18360390520797,192.0171331534832,212.41865186476727,33.65998057037521
114,-170.56325096163437,8.675017964656462,104.48192886742736,265.87729525833333,139.98112782880708,200.6231430111043,316.91820330281064,169.06035822120037,171.49866179820322,164.39555427472106,62.82960036996559
115,-76.35473599677105,5.17923076644351,88.01533906334595,354.1103757252051,142.00138619793782,83.88388649187074,283.59379951525375,135.25353527461272,202.2051893080724,193.64018594445068,96.49558560774247
116,-143.83427256627112,7.144016682712362,88.2969283279763,313.28167326335284,129.28926876835448,96.3376591615254,237.92903367662058,257.0607077631304,151.25282911496188,204.73536385721303,101.29740845998704
117,-108.47323063267106,6.611486694910873,98.3120669492563,373.3231725754665,177.03937467662226,81.03313046862822,246.99132184831905,158.61332941942564,210.89803702827732,187.73498595097715,55.55059209742947
118,-134.4913294202521,7.2379672271566164,86.73246702322812,277.27466440459193,163.11527019217328,179.15652358504065,259.52791893923904,158.22034778159934,216.7235049117522,169.31758439178896,67.84812985896022
119,-224.03084647962584,9.366186025429002,102.2656269591292,275.8651535071123,155.79698735263986,207.94290861099157,241.8824512667713,196.32855895349758,148.6668341995529,193.976546134109,70.72450404047105
120,-156.67423372156296,7.704395274874187,91.90876499677209,340.8771983487874,197.40817602240122,61.89851553336561,253.576984238293,215.66506201019098,216.2390144875887,120.28695586154838,85.2320375629704
121,-99.66964414377908,6.0212474050146705,81.12536347952437,313.16373058407225,186.2713237393218,121.59364906783456,259.9929649675337,138.92204285072256,169.5617810229864,225.75652383924907,75.92192799342533
122,-305.90861647456217,11.368640788249706,103.67274470476526,305.04620131635727,144.2900945757821,194.75398639854131,328.9815637561574,150.38703632196638,164.81046827027365,145.0787126097618,57.835880816305746
123,-156.2764936770211,7.858661008919121,92.44920253029613,337.95250038941236,179.52269688284645,145.78191618141426,245.3227196589581,223.4077440852365,113.00240161717359,196.85110283484337,49.34286241526101
124,-125.54100675774151,7.163999596661341,92.44459917071245,265.7370519455005,127.15590125905234,125.09305222067061,254.42548956389146,228.34109717297696,197.85704912123393,225.52604146959774,67.04826131222204
125,-84.64648153441696,5.407843549277036,76.39506987728232,324.0980511085996,189.58092622377876,120.96763630780191,246.6154967622199,165.08443031054293,179.7556068337841,173.8011720789995,91.28062443941894
126,-152.97710374572497,7.110800431934194,78.86529131909022,269.1164192908134,124.67843607433491,146.42257463121678,265.95089703102644,191.7968624342796,220.5239291906441,173.47142819123655,99.22339722159386
127,-67.45552276206936,4.93196998804919,83.38276615539843,325.9925664605261,175.76013644136074,140.29637284563216,240.1336157223135,128.99963972588796,211.56090838463524,188.66524938955962,79.77545509523028
128,-193.6046863417728,8.347509876047354,87.30622717328771,362.6762299419794,235.23024205219173,110.10756284863992,293.45243141966193,125.26965297603438,137.7110600489248,163.10393568732815,63.632829090385286
129,-30.174132604109133,3.7323898170704695,76.20684128867194,293.6349580446963,138.6802324893193,209.75598503106806,250.22211225507294,85.23107138536766,198.91998271725942,196.95849336304963,117.78110877931228
130,-112.9039052716062,7.011429943091585,103.49918846867241,343.79000110331145,193.68972925621864,191.7091794632569,206.11005282003453,150.45753346174115,152.96467530019362,210.63233484709255,41.83043781329681
131,-107.39642358565482,5.845385740214493,77.06198810559523,328.4132400186661,181.3114133381461,147.69112017354817,242.6350792198764,157.78851648856926,182.40475501378594,176.448719427191,74.49110038536267
132,-90.22574518253172,6.478888873072464,97.1619501374194,271.5022934335176,154.08712512871102,168.8241596569035,262.71136021605525,179.8534316456258,218.21311960115597,181.24215238863565,54.75030199454085
133,-109.18205880953809,6.729464671033725,98.559549931452,275.8268669260648,139.11330794178843,172.21321636869322,234.50058870133387,201.65646314222414,230.41076590456967,186.48016990861714,50.98256517185439
134,-209.84639392578862,8.577985909733776,83.46959824424043,353.45657016225164,171.5000666760336,100.2514697399455,237.0170265218522,183.5829599753293,160.87424933534965,182.13091490341725,102.37068675096651
135,-165.29286927692533,7.902567706253905,96.08125721472493,259.90149674669726,172.24254960603636,180.76294162406504,257.82775391376464,171.48678961016404,181.91429206503096,192.35384439096765,74.69427610841973
136,-152.35052139287978,7.917101591070264,97.89533825314302,342.76380795966327,118.45742094652387,140.04851531468972,322.2840049878837,188.1846188628132,191.83724276308317,136.71034133373416,50.897991896754576
137,-148.17374938154433,7.282687524034692,85.65519758810534,316.9398968622089,196.98789661578473,132.69617023025864,286.22100563289945,149.59153410120038,170.09109221918155,166.19952514534714,72.45682325826482
138,-175.43969914365428,7.974866422920712,95.69102002893565,297.5530419430735,231.4364573743726,104.36122918035038,243.27856825546024,168.12206977184377,187.81020945743307,164.58460339316335,94.03776468944875
139,-72.62524827739955,5.530362641299291,89.58754590198895,283.22338616959166,259.36398404832505,177.38853871484963,237.64524097159546,165.08869744384157,139.61934861424874,187.0692484357557,41.78549966693777
140,-278.12148948541903,10.689314977419428,95.52687037600337,226.16577208867136,120.67870743276045,149.62744363465592,315.700844614658,234.01698042827937,198.6850660395907,181.20087819443364,65.10825163209617
141,-332.49777483296424,13.034281356361532,116.53201291059743,332.13008386440094,146.7962415408754,178.85689451664157,309.1658215442203,125.34766120442865,138.06530350582347,232.17946435310876,28.64247353564656
142,-125.97951747832299,6.33670036748768,83.05546390228359,321.90106674435054,198.99399873708964,166.8710556963033,247.98949290585534,135.48919617725142,181.66473239784852,135.9420632457709,102.33233816067596
143,-268.4271803934214,11.201471197281876,97.48325989414745,298.7024430099832,117.87839750231514,158.69440649361297,210.06434166390284,266.23466102333964,167.3994070230933,221.05097466804466,51.15931268085396
144,-148.03896121614184,7.745045834406028,83.16986794671502,293.3966983601526,135.68516385505345,153.20459955958978,344.3568731672941,209.02085658921686,151.75368509926025,134.81597813598717,68.95008929859145
145,-93.87328505301272,5.869697048996869,96.9118042190635,292.23353307374373,225.08277507928412,161.01181517965415,211.88601675454575,162.2102967057719,181.2034431742526,220.2453932778781,37.310670820015275
146,-179.89094388332074,8.110714441929545,87.19814272691612,372.7534313802018,168.79830841871706,136.77379883589188,257.14525906413127,148.46576667668313,171.4487896255725,231.65689237389878,4.141697690049199
147,-171.1028105853094,8.001269486666729,93.08495758528423,366.99281214234543,123.30699117400604,154.3266701481665,231.56478159570693,181.48106510424705,172.8341658846618,201.66917904281695,59.00827897319496
148,-171.94281280222825,8.256723932792287,87.63202614401874,331.80446965704095,180.54784822411986,123.2189508832604,277.1196004355662,204.1333840838602,214.02750504821705,132.13986007158945,28.19232566149151
149,-152.7438866813349,8.030945896686603,93.88817265844924,316.763722096234,214.24517748364892,94.19684962728905,237.68082022287018,115.49020255884278,216.9776401802086,217.09913280195613,78.73039909409596
150,-242.46907632587494,9.581261992222778,91.93697643453321,322.0338185802224,84.72134844038514,158.29111785163818,243.2232593152163,206.3782292805165,220.96379086533176,152.29896849408016,103.2734112377552
151,-86.20716098836435,6.120966477732281,102.43004823121129,249.8913067554417,164.71142212602018,189.4408033327502,261.2973267595098,173.61673023284564,218.67199666432808,189.98972641991952,43.56463177433048
