capture_id,stage,alpha,beta_s,score,median_3d_mm,p95_3d_mm,n_overlap,rank
R09,refine,1.0003999999999995,44.93243643900033,162.06272635364525,122.57613327263516,309.71180727974996,2400,1
R09,refine,0.9981999999999999,45.05243643900039,171.20790665598224,130.78413593639647,309.5722387343051,2400,2
R09,refine,1.0025999999999993,44.812436439000265,180.3824563675808,139.15080910951775,317.6198761149819,2400,3
R09,refine,0.9981999999999999,44.302436439000004,597.7770530050452,492.9330940045602,741.4592642047924,2400,4
R10,refine,0.9999999999999996,45.34072329100029,120.09319821056745,90.12484413197882,238.02908628780185,2400,1
R10,refine,0.9977999999999998,45.46072329100035,133.9995409501504,102.58801783166022,245.01282742338614,2400,2
R11,refine,0.9995999999999997,45.53748100000033,119.2979232815898,92.89946123567172,218.88630738032685,2401,1
R11,refine,1.0017999999999994,45.39248100000025,128.20144270846382,99.91368019718294,227.61082933362624,2401,2
R11,refine,0.9974,45.652481000000385,135.81827908761966,106.06087453971756,238.71006860342445,2401,3
R11,refine,0.9974,44.902481,536.174810057828,441.7236307294903,690.2442481293506,2401,4
R12,refine,0.9997999999999997,46.93982500000033,131.79146109945145,102.76520223965304,222.32549991837485,2400,1
R12,refine,1.0019999999999993,46.804825000000264,142.8333299855766,112.45526850791575,230.39866201611756,2400,2
R12,refine,0.9975999999999999,47.059825000000394,145.50554790007698,114.87739989506177,230.3124604819659,2400,3
R12,refine,0.9975999999999999,46.30982500000001,551.6650553939137,458.99878225132016,659.4398273093374,2400,4
R13,refine,0.9995999999999997,44.958564000000344,127.36695273556575,99.47325994298578,225.653199300421,2401,1
R13,refine,1.0017999999999994,44.823564000000275,136.41292702616948,107.15833916613435,232.9623805458982,2401,2
R13,refine,0.9974,45.0635640000004,142.12441863768495,110.72107717045489,247.65038008573964,2401,3
R13,refine,0.9974,44.313564000000014,562.2470702072803,463.43766490269314,702.3419696072785,2401,4
R14,refine,0.9999999999999997,45.59368200000031,112.5754430016724,86.54816473248208,209.6833625718357,2401,1
R14,refine,0.9977999999999999,45.73868200000038,125.30878840957989,98.10935836471303,220.02649589319773,2401,2
R14,refine,1.0021999999999993,45.473682000000245,125.9089986722075,98.60264502034227,215.55946622107348,2401,3
R15,refine,0.9999999999999997,43.64744945200033,119.59789246621942,93.0962058397551,207.69540084244355,2400,1
R15,refine,1.0021999999999993,43.537449452000274,131.17385769560684,102.49743335434611,224.68581091558585,2400,2
R16,refine,0.9995999999999997,44.53903900000033,129.06878205396893,101.37871080687148,216.02127586849755,2401,1
R16,refine,1.0017999999999994,44.40903900000026,137.36997393237334,108.24847713759627,224.8623685265714,2401,2
R16,refine,0.9974,44.6740390000004,144.38982532767054,114.57388035306623,230.6819196954077,2401,3
R16,refine,0.9974,43.924039000000015,528.187368706875,437.1677978895266,648.9554654067088,2401,4
R17,refine,0.9999999999999997,45.55337838000033,129.80236871528584,100.63194477553184,235.02173643662195,2401,1
R17,refine,1.0021999999999993,45.41837838000026,142.2055751790307,111.18069634167894,245.4576859936303,2401,2
