rx,src,n,snr_med,tail_energy_over_main_med,pre_energy_over_main_med,late_peak_over_main_med,fp_peak_delta_med,fp_amp_med,raw_med
G,E,20,40.41146019841729,0.09431534576370537,0.002803243090858585,0.2766663051913928,3.84375,18737.5,4815.5
E,G,20,39.497388829043324,0.09325546790846048,0.0034126395585307116,0.2642674301606571,3.4921875,19059.5,4898.5
E,H,17,36.22900175836867,0.21593064808197537,0.00850370045922903,0.28552542795206215,1.5625,15234.0,2773.0
H,E,17,36.08743804623353,0.20475227239600416,0.008452529401423872,0.2744675759219195,1.4375,15318.0,2751.0
E,F,17,36.33217883735446,0.12474353414513832,0.00645170649533403,0.34212753781560107,3.28125,14439.0,4162.0
F,E,16,36.925165231529924,0.12102650067757101,0.005385440414586955,0.32703432197516,3.421875,14009.5,4240.0
G,F,18,36.74347928700578,0.25663852841899876,0.008293377028216465,0.3870428499435148,1.40625,15487.0,3370.5
F,G,16,35.75619866334714,0.2673571292801843,0.006702121483695825,0.4135646601470069,1.3203125,14799.0,3408.0
H,F,17,38.28996595110578,0.06645284777052707,0.004339910177671016,0.28509203810127065,1.265625,15476.0,5168.0
F,H,14,37.80643536673725,0.06835393911569301,0.003930606309494709,0.2954910443946122,1.328125,13779.5,5109.0
G,H,17,39.125455226174424,0.08520999178964642,0.0036520531049065597,0.16280983981826308,1.734375,20714.0,3584.5
H,G,15,38.69541515209369,0.08173051889473479,0.004296812793487656,0.1817955052133253,1.609375,20699.0,3724.0
