n_anchors,layer_config,n_cal,aggregation,median_3d,fail_rate,anchor_labels,overdetermined,notes,rmse,d_tag_mm
4,dual_layer,3,p50,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,4,p50,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,5,p50,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,full_LOO,p50,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,0,p30,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,1,p30,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,2,p30,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,3,p30,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,4,p30,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,5,p30,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,full_LOO,p30,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
5,single_layer,0,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,1,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,2,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,3,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,4,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,5,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,full_LOO,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,0,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,1,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,2,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,3,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,4,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,5,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,full_LOO,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,0,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,1,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,2,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,3,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,4,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,5,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,single_layer,full_LOO,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
5,dual_layer,0,raw,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,1,raw,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,2,raw,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,3,raw,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,4,raw,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,5,raw,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,full_LOO,raw,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,0,p50,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,1,p50,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,2,p50,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,3,p50,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,4,p50,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,5,p50,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,full_LOO,p50,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,0,p30,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,1,p30,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,2,p30,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,3,p30,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,4,p30,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,5,p30,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
5,dual_layer,full_LOO,p30,nan,1.0,HDGEB,False,dual-layer top-Shapley subset,,
6,single_layer,0,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,1,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,2,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,3,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,4,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,5,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,full_LOO,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,0,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,1,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,2,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,3,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,4,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,5,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,full_LOO,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,0,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,1,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,2,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,3,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,4,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,5,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,single_layer,full_LOO,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
6,dual_layer,0,raw,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,1,raw,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,2,raw,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,3,raw,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,4,raw,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,5,raw,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,full_LOO,raw,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,0,p50,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,1,p50,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,2,p50,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,3,p50,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,4,p50,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,5,p50,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,full_LOO,p50,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,0,p30,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,1,p30,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,2,p30,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,3,p30,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,4,p30,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,5,p30,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
6,dual_layer,full_LOO,p30,nan,1.0,HDGEBC,False,dual-layer top-Shapley subset,,
7,single_layer,0,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,1,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,2,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,3,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,4,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,5,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,full_LOO,raw,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,0,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,1,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,2,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,3,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,4,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,5,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,full_LOO,p50,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,0,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,1,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,2,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,3,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,4,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,5,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,single_layer,full_LOO,p30,nan,1.0,HGEF,False,single-layer impossible for requested k,,
7,dual_layer,0,raw,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,1,raw,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,2,raw,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,3,raw,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,4,raw,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,5,raw,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,full_LOO,raw,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,0,p50,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,1,p50,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,2,p50,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,3,p50,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,4,p50,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,5,p50,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,full_LOO,p50,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,0,p30,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,1,p30,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,2,p30,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,3,p30,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,4,p30,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,5,p30,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
7,dual_layer,full_LOO,p30,nan,1.0,HDGEBCA,False,dual-layer top-Shapley subset,,
8,single_layer,0,raw,239.03973140540026,0.0,HGEF,True,single-layer impossible for requested k,321.30459478156746,0.0
8,single_layer,1,raw,119.8748332802414,0.0,HGEF,True,single-layer impossible for requested k,173.05629710003447,71.63853766697012
8,single_layer,2,raw,130.02534339779402,0.0,HGEF,True,single-layer impossible for requested k,193.2325197771859,57.950965130042015
8,single_layer,3,raw,112.04275802757363,0.0,HGEF,True,single-layer impossible for requested k,213.75445712743544,47.2977958936792
8,single_layer,4,raw,130.02534339779402,0.0,HGEF,True,single-layer impossible for requested k,193.2325197771859,57.950965130042015
8,single_layer,5,raw,130.02534339779402,0.0,HGEF,True,single-layer impossible for requested k,193.2325197771859,57.950965130042015
8,single_layer,full_LOO,raw,128.07316759555852,0.0,HGEF,True,single-layer impossible for requested k,189.92893325300884,61.25002878161943
8,single_layer,0,p50,228.0494553826154,0.0,HGEF,True,single-layer impossible for requested k,300.33285843764395,0.0
8,single_layer,1,p50,91.99744642827217,0.0,HGEF,True,single-layer impossible for requested k,123.4791491196307,91.88853766697012
8,single_layer,2,p50,114.44682245022835,0.0,HGEF,True,single-layer impossible for requested k,157.84827403571774,52.81838206728808
8,single_layer,3,p50,121.4101281199365,0.0,HGEF,True,single-layer impossible for requested k,167.65438148387585,49.06026081706589
8,single_layer,4,p50,114.4840633823043,0.0,HGEF,True,single-layer impossible for requested k,157.9004256271961,52.7977958936792
8,single_layer,5,p50,114.16607507264052,0.0,HGEF,True,single-layer impossible for requested k,157.47100704284924,52.967174600123855
8,single_layer,full_LOO,p50,80.47030977181053,0.0,HGEF,True,single-layer impossible for requested k,139.3957095629896,61.65783649358889
8,single_layer,0,p30,169.26299228864826,0.0,HGEF,True,single-layer impossible for requested k,246.43105643672854,0.0
8,single_layer,1,p30,93.79365554693516,0.0,HGEF,True,single-layer impossible for requested k,122.25740146757825,75.63853766697012
8,single_layer,2,p30,102.14841203200926,0.0,HGEF,True,single-layer impossible for requested k,157.7538149681099,32.060260817065895
8,single_layer,3,p30,134.70139274547415,0.0,HGEF,True,single-layer impossible for requested k,191.2887147209519,19.729639523510542
8,single_layer,4,p30,86.80631666273628,0.0,HGEF,True,single-layer impossible for requested k,148.50423867136908,35.729797756953744
8,single_layer,5,p30,84.24711610864398,0.0,HGEF,True,single-layer impossible for requested k,139.03978627999032,40.29779589367921
8,single_layer,full_LOO,p30,84.84618488223246,0.0,HGEF,True,single-layer impossible for requested k,138.91615144119905,40.95134822940853
8,dual_layer,0,raw,120.70378325199262,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,161.1736049622087,0.0
8,dual_layer,1,raw,84.45728933790758,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,113.43242524488592,38.838627199199934
8,dual_layer,2,raw,84.19130658391514,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,113.2489299340898,39.0322078265561
8,dual_layer,3,raw,83.55214228661183,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,112.80842816422451,39.49920736730481
8,dual_layer,4,raw,75.10575441806647,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,98.20687979336401,57.950965130042015
8,dual_layer,5,raw,75.10575441806647,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,98.20687979336401,57.950965130042015
8,dual_layer,full_LOO,raw,80.92974628119822,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,108.54830677339982,45.07470506348858
8,dual_layer,0,p50,106.09273766775968,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,151.66640863983804,0.0
8,dual_layer,1,p50,68.012439876299,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,87.47451161316162,50.83862719919993
8,dual_layer,2,p50,70.1479304158873,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,90.4976775526748,47.24988465542239
8,dual_layer,3,p50,70.1479304158873,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,90.4976775526748,47.24988465542239
8,dual_layer,4,p50,67.26000461331942,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,86.66427331000956,51.85372117029916
8,dual_layer,5,p50,66.40510971765504,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,85.9269373065097,52.7977958936792
8,dual_layer,full_LOO,p50,67.97887231321046,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,89.03025612512452,49.51853383351864
8,dual_layer,0,p30,83.77732811321114,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,122.81994335162614,0.0
8,dual_layer,1,p30,61.30773112532267,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,79.94216712619975,40.338627199199934
8,dual_layer,2,p30,70.48505209915736,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,98.08535882146711,19.729639523510542
8,dual_layer,3,p30,70.48505209915736,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,98.08535882146711,19.729639523510542
8,dual_layer,4,p30,62.336830016148014,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,83.16859353102544,36.00251370313492
8,dual_layer,5,p30,62.24686248115063,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,80.90836612644563,38.987419732035704
8,dual_layer,full_LOO,p30,62.50542952869222,0.0,HDGEBCAF,True,dual-layer top-Shapley subset,85.74470004115285,32.98564490395356
