mode,gamma_abs,gamma_signed,resolution_cm,z_floor_mm,n_positions,horizontal_median_mm,vertical_abs_median_mm,vertical_signed_median_mm,pos_3d_median_mm,horizontal_p95_mm,vertical_abs_p95_mm,pos_3d_p95_mm,vertical_dominance,low_worst,measured_order_low_high_mid,sign_match_low,sign_match_all_tiers,range_bias_mean_mm,range_bias_median_mm,range_bias_p95_mm,excess_path_median_mm,excess_path_p95_mm,tau_median_ns,tau_res_ns,low_pred_vertical_signed_median_mm,low_pred_vertical_abs_median_mm,low_pred_horizontal_median_mm,low_pred_3d_median_mm,low_measured_abs_vertical_target_mm,low_measured_signed_vertical_median_mm,low_pred_signed_sign,low_measured_signed_sign,mid_pred_vertical_signed_median_mm,mid_pred_vertical_abs_median_mm,mid_pred_horizontal_median_mm,mid_pred_3d_median_mm,mid_measured_abs_vertical_target_mm,mid_measured_signed_vertical_median_mm,mid_pred_signed_sign,mid_measured_signed_sign,high_pred_vertical_signed_median_mm,high_pred_vertical_abs_median_mm,high_pred_horizontal_median_mm,high_pred_3d_median_mm,high_measured_abs_vertical_target_mm,high_measured_signed_vertical_median_mm,high_pred_signed_sign,high_measured_signed_sign
ground_reflection_real_static,0.5,-0.5,60.0,-200.0,24,25.033075087259814,187.47408148965735,154.58039658906807,196.70663983997684,109.27004549275905,211.76060035701653,224.4221973705122,True,False,False,True,False,103.15907697904296,107.78218881939854,272.4740363278201,607.0597446800673,2347.3415425463536,2.0249333446542783,2.0013845711889124,-196.17050911163926,196.17050911163926,73.15211267216431,199.3875524589738,112.647,-135.04444805938667,negative,negative,207.82514225596276,207.82514225596276,27.820510651312418,210.60211401791076,33.251,-32.54319098940789,positive,negative,154.58039658906807,154.58039658906807,15.879103496589051,154.82257689637666,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,60.0,-300.0,24,21.772856354872026,111.3295230750885,81.30132009866767,118.37046717508429,104.26206552186176,128.27500470993556,151.4263327316294,True,False,False,True,False,72.78354755966278,58.597833348466644,242.0752618982037,766.771799080649,2530.222754238384,2.557675413837959,2.0013845711889124,-112.98382958713376,112.98382958713376,68.16203006338284,122.27334821976396,112.647,-135.04444805938667,negative,negative,126.52097884932662,126.52097884932662,21.30032331371318,128.52995534133552,33.251,-32.54319098940789,positive,negative,81.30132009866767,81.30132009866767,11.038697969335674,81.51195395844677,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.7,-0.7,15.0,0.0,24,1.7441332371131473,7.248358292791652,1.608694146816612,7.741834812827973,31.009786068285056,14.259947672446794,33.890988269745684,True,True,False,True,False,16.836128097297763,1.8530130851060205,92.57694384839684,301.3907658186918,1986.97628444517,1.0053313810139008,0.5003461427972281,-9.68859318557912,9.68859318557912,21.338602935483028,22.909749276161826,112.647,-135.04444805938667,negative,negative,7.448989603635509,7.448989603635509,2.372143593855113,7.741834812827973,33.251,-32.54319098940789,positive,negative,1.5733780457114879,1.5733780457114879,0.5294092402729667,1.6601349779071612,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.7,-0.7,15.0,-100.0,24,0.11843952145152162,0.18860308578217228,0.02156292237520377,0.2496736692572114,28.684624739652218,3.445184250959014,29.01979755961865,True,True,False,True,False,9.321738587440858,0.014452595195450285,60.91676376100646,447.2665254756949,2166.174220450997,1.491920538827214,0.5003461427972281,-1.8920976607199977,2.57065700763426,18.46641273106694,18.63813952460223,112.647,-135.04444805938667,negative,negative,0.2170255739147549,0.2170255739147549,0.11843952145152162,0.2496736692572114,33.251,-32.54319098940789,positive,negative,0.012289474854420489,0.012289474854420489,0.006957271924029992,0.01416101681974386,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.7,-0.7,15.0,-200.0,24,0.0010930363886288185,0.0014823464970831265,0.00047493167876843723,0.0018561032093497652,17.05539180986992,1.7387220300476607,17.106860713849173,True,True,False,False,False,3.3003041836064893,8.094293760050359e-06,22.513979194762076,607.0597446800673,2347.3415425463536,2.0249333446542783,0.5003461427972281,0.1252455253756195,1.0087883342467583,10.295262000378553,10.362835968815526,112.647,-135.04444805938667,positive,negative,0.0014823464970831265,0.0014823464970831265,0.0010930363886288185,0.0018561032093497652,33.251,-32.54319098940789,positive,negative,1.6508148216644604e-05,1.6508148216644604e-05,1.1747657857626494e-05,2.0310570110798733e-05,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.7,-0.7,15.0,-300.0,24,1.731594928211849e-06,2.0368021984010488e-06,2.48350113112982e-07,2.680467837974044e-06,4.7209838681903245,0.6620994607687746,4.746248161347292,True,True,False,False,False,0.5810645108729451,4.843039344394061e-10,3.392019168746588,766.771799080649,2530.222754238384,2.557675413837959,0.5003461427972281,0.1973857742558654,0.2808847515667708,2.3521241722425934,2.369962463216422,112.647,-135.04444805938667,positive,negative,2.0368021984010488e-06,2.0368021984010488e-06,1.731594928211849e-06,2.680467837974044e-06,33.251,-32.54319098940789,positive,negative,3.170388822077489e-09,3.170388822077489e-09,2.181631812305893e-09,3.8497164448161695e-09,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.7,-0.7,30.0,0.0,24,18.971717160508117,134.64129986126687,98.27188942972917,144.85913194914818,76.7063422499704,160.36874065281077,175.2911396697987,True,True,False,True,False,74.81564084293616,76.5401310919271,203.49214460193983,301.3907658186918,1986.97628444517,1.0053313810139008,1.0006922855944562,-147.33147468424164,147.33147468424164,52.23234018494383,149.49012116739146,112.647,-135.04444805938667,negative,negative,146.44219754572708,146.44219754572708,21.06604057965672,148.3044784614745,33.251,-32.54319098940789,positive,negative,98.27188942972917,98.27188942972917,11.42335920860486,98.69442497005035,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.7,-0.7,30.0,-100.0,24,11.015345802899727,50.28130143968282,25.8429317437658,56.16926570041754,69.60344740617096,60.542112532057274,89.76526414449657,True,False,False,True,False,43.94311515550002,22.745493321352008,183.2762190687519,447.2665254756949,2166.174220450997,1.491920538827214,1.0006922855944562,-51.710824411748554,51.710824411748554,46.806309109570876,65.362724774082,112.647,-135.04444805938667,negative,negative,56.799984199166275,56.799984199166275,12.02652820859359,57.59116857310829,33.251,-32.54319098940789,positive,negative,25.8429317437658,25.8429317437658,5.124028303118827,26.123978374475602,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.7,-0.7,30.0,-200.0,24,2.8849385301968256,13.585353722712242,4.058829171468291,14.687504504392466,61.724094681447795,15.99625596696778,62.16246586929447,True,True,False,True,False,25.562237364107105,3.498897020942802,142.90085542448244,607.0597446800673,2347.3415425463536,2.0249333446542783,1.0006922855944562,-14.171032908869899,14.171032908869899,40.206933702951424,42.00207595984845,112.647,-135.04444805938667,negative,negative,13.92049676612454,13.92049676612454,4.274691866718051,14.687504504392466,33.251,-32.54319098940789,positive,negative,3.979448435802664,3.979448435802664,1.2267674927104693,4.322404729636331,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.7,-0.7,30.0,-300.0,24,0.8093608229747313,1.901766289594746,0.4533000135163139,2.319751801597752,49.49207989691514,5.539237421290729,49.97856776435743,True,True,False,True,False,13.857022115242827,0.30609363533276296,89.02993222699884,766.771799080649,2530.222754238384,2.557675413837959,1.0006922855944562,-2.949608461984645,4.194932506949546,31.10616798651826,31.38763727538267,112.647,-135.04444805938667,negative,negative,2.1096312570577544,2.1096312570577544,0.8879717299896257,2.319751801597752,33.251,-32.54319098940789,positive,negative,0.37273465003565276,0.37273465003565276,0.15420048938151024,0.405447962281288,62.638,85.4046280151224,positive,positive
