e_reg_scale_mm,omitted_pair,status,wall_s,common_mode_mm,common_mode_delta_mm,e_delta_rmse_mm,e_delta_max_abs_mm,pair_rmse_mm
20.0,C-F,ok,0.03233512499718927,112.6760552183989,0.6912640465329787,7.673920173810725,13.521539614717206,32.57024208908623
20.0,C-G,ok,0.0359437619918026,104.59278464807531,-7.392006523790613,6.9457022729284885,12.601232433695778,35.291701540166834
20.0,C-H,ok,0.03056950299651362,110.23993134102979,-1.744859830836134,2.98569472810823,5.260202438870198,39.700727947692535
20.0,D-E,ok,0.03157840800122358,99.09969237347981,-12.88509879838611,6.737587371649834,12.232568130698853,37.548588382891445
20.0,D-F,ok,0.022132516984129325,106.77493864070654,-5.209852531159385,4.375903901497154,6.847038503653073,39.157393743926534
20.0,D-G,ok,0.024417499982519075,109.6731745956452,-2.311616576220729,1.266683377481792,1.9760545862433663,39.50806203980744
20.0,D-H,ok,0.05639001398230903,98.3036122994876,-13.681178872378325,8.966644667525438,13.555793571522244,36.251062637023495
20.0,E-F,ok,0.02638822700828314,133.37280825639763,21.38801708453171,10.043682503000017,20.200292287878927,30.817890700587068
20.0,E-G,ok,0.02880582501529716,107.6624302699233,-4.322360901942616,6.9200564849440385,9.411797334402838,34.70651703053709
20.0,E-H,ok,0.028597652999451384,101.572353158076,-10.412438013789924,4.355520325619591,7.25176800159937,40.10292118673031
20.0,F-G,ok,0.02675582602387294,109.34399515189179,-2.6407960199741325,1.7741173292780583,2.9351203882210033,37.748063723152335
20.0,F-H,ok,0.029796867980621755,105.89528333968454,-6.089507832181383,6.798732799859731,11.153086388907548,31.888922791569186
20.0,G-H,ok,0.08230883901705965,140.16836637358324,28.183575201717318,9.984486858537165,15.963464747937469,31.538007904187495
50.0,A-B,ok,0.1130330900195986,134.40598957840587,24.999767671196437,57.90356165257355,101.84323585867583,24.790966861880275
50.0,A-C,ok,0.032932917994912714,109.32670467835199,-0.07951722885744061,10.993512728906733,17.24240644677124,35.591831060443425
50.0,A-D,ok,0.03933217498706654,88.41019845125024,-20.99602345595919,22.509778663373677,43.71227953341582,34.63341837205623
50.0,A-E,ok,0.030269196984590963,101.19073994549163,-8.2154819617178,22.280557443192283,36.13511511345322,35.119750792330784
50.0,A-F,ok,0.03545569401467219,102.27783100411129,-7.128390903098136,20.635882000823507,33.638296953008286,35.928292560433846
50.0,A-G,ok,0.0307406599749811,118.41653528920122,9.010313381991793,9.627546984956558,16.785347441034993,35.99167797788873
50.0,A-H,ok,0.03859859801013954,101.58657429217963,-7.819647615029794,46.717414532235935,74.9095859243565,27.1223355735656
50.0,B-C,ok,0.09159211500082165,72.64998619161736,-36.75623571559207,39.30882102567889,78.65439701191448,30.27621142366433
50.0,B-D,ok,0.06431716401129961,108.87036646345186,-0.5358554437575691,39.42430232551541,60.892301053330165,31.26515621659547
50.0,B-E,ok,0.04996515199309215,99.40203145770789,-10.004190449501536,23.937229581234302,52.2369371741478,36.24880566031629
50.0,B-F,ok,0.047060746990609914,96.13855527814133,-13.267666629068103,34.676185124297625,59.14274012971771,31.533573631559143
50.0,B-G,ok,0.10698284400859848,94.27252301504315,-15.13369889216628,47.46419235724361,85.08772982576224,20.957312191098175
50.0,B-H,ok,0.06557842998881824,89.34090980353973,-20.065312103669697,25.20059838769485,48.11236199581572,37.40584615595749
50.0,C-D,ok,0.043377983005484566,120.36724999662893,10.9610280894195,29.013916939513503,52.576260051597544,32.002767449617885
50.0,C-E,ok,0.07336157400277443,107.53542528503147,-1.8707966221779628,2.748007983470158,5.699030043590803,36.498648713343954
50.0,C-F,ok,0.04551214401726611,95.8644408199183,-13.541781087291128,35.5040955108742,57.626989442841655,24.110864895800436
50.0,C-G,ok,0.04995822400087491,95.38261268902448,-14.023609218184944,34.133499608078814,62.27014272041575,31.931695203545008
50.0,C-H,ok,0.035522256017429754,109.61600720730283,0.2097853000934009,10.09486235548972,18.37188402905552,36.697087821221935
50.0,D-E,ok,0.04022808198351413,92.77887801628704,-16.62734389092239,30.3083607976761,46.20950761550088,29.378780395221597
50.0,D-F,ok,0.04072977401665412,97.00463251347446,-12.401589393734966,21.98881293365451,39.22744782993509,36.43502126614652
50.0,D-G,ok,0.0635743780003395,107.74550718915167,-1.6607147180577613,8.44036778486712,14.062360750518366,36.55097015773388
50.0,D-H,ok,0.052569065999705344,89.90780060676396,-19.49842130044547,39.30628252177853,64.19460275505658,30.896923927910496
50.0,E-F,ok,0.0428845819842536,131.9946378023213,22.58841589511188,53.08061434650058,93.83335677525345,22.50252221238696
50.0,E-G,ok,0.048918494023382664,101.59275528348672,-7.813466623722704,33.977631073513244,67.72630569231724,33.03527141452174
50.0,E-H,ok,0.02588524401653558,95.89382340685175,-13.512398500357676,17.854583819612465,28.83192703324327,36.394762764757445
50.0,F-G,ok,0.04185454300022684,93.29986446335315,-16.106357443856282,23.00256453909235,42.966033943112635,32.15238963178431
50.0,F-H,ok,0.07613763998961076,102.83965048701945,-6.566571420189973,29.14010119089668,51.86315773809951,30.354814417669264
50.0,G-H,ok,0.050689956988207996,139.4889665367557,30.08274462954627,66.08184360572261,116.78868869702256,22.453944882879092
