version,solver,solver_family,eval_set,metric,point_mm,ci_low_mm,ci_high_mm,n_positions,n_boot,seed,source
v1-old,T1+F3,external_position_filter,noG,p95_3d,378.0860556189997,213.22722927614544,423.4625592651212,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,noG,rms_3d,200.0416237609766,154.8007686342982,242.01794324306513,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,noG,repeat_d3_std_median,36.92734684996374,30.871760512209555,45.70288854550479,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,noG,vertical_abs_p95,375.2782856098477,197.35077823799045,423.0782548205748,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F3,external_position_filter,noG,horizontal_median,71.98871739410978,51.44879532935013,82.75917548600066,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,all8,median_3d,169.36169243200885,98.13753419773592,217.31862992169744,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,all8,p95_3d,311.039445475736,225.02799639158889,415.5081836116619,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,all8,rms_3d,191.5251222549964,151.6908813497424,232.64831222124494,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,all8,repeat_d3_std_median,23.80437600997446,18.565333825305725,27.632617103637475,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,all8,vertical_abs_p95,300.9920895958618,220.4017702024882,414.4480332499888,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,all8,horizontal_median,54.47352271820617,28.955411436559142,69.98493528647194,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,noG,median_3d,163.33610874153274,120.38921144657618,198.34239951534528,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,noG,p95_3d,378.36938077691906,214.17831788049895,422.4860526043097,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,noG,rms_3d,199.84034048296834,154.33687807693534,242.927472345206,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,noG,repeat_d3_std_median,21.504057313417682,17.802206135864587,26.366783695620303,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,noG,vertical_abs_p95,375.5460685923129,198.29342683479504,422.0898345975161,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F4,external_position_filter,noG,horizontal_median,72.03433708000289,51.2754192567832,81.7203930173724,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,all8,median_3d,169.1924942441966,97.39503390082416,218.14630344091228,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,all8,p95_3d,310.52012288711757,225.9238400748027,413.376969500546,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,all8,rms_3d,191.1009549587115,151.5606571943695,229.742670995967,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,all8,repeat_d3_std_median,21.013875327040996,17.58719510474976,22.647545529931072,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,all8,vertical_abs_p95,300.5265430971451,220.05046046312984,412.3422298882647,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,all8,horizontal_median,54.379877840394045,28.51527279951473,68.95885321771543,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,noG,median_3d,162.91507701481697,120.97893382402218,199.0624312663605,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
