event_id,onset_s,end_s,nodes,max_m2_velocity_delta_mps,max_post_event_velocity_delta_mps,max_post_event_excess_position_m,zupt_updates_during_event,uwb_nis_rejections,filter_reinitializations,permanent_step_claimed,verdict
E038,1237.0,1238.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.20085433998,0.64147006685,2.96132422017,0,87,0,0,MEASURED_NO_REINITIALIZATION
E040,1268.0,1269.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.198301645267,0.673962183366,3.59060120113,0,88,0,0,MEASURED_NO_REINITIALIZATION
E041,1275.0,1276.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.188658131292,0.672586008989,2.35228322207,0,88,0,0,MEASURED_NO_REINITIALIZATION
E042,1278.0,1279.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.190608550824,0.677238651941,2.37487412846,0,62,0,0,MEASURED_NO_REINITIALIZATION
E043,1344.0,1345.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.137647392276,0.00554349645685,0.0336053246938,0,68,0,0,MEASURED_NO_REINITIALIZATION
E045,1440.0,1444.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.548995010801,0.000999153477266,0.0515765507958,0,354,0,0,MEASURED_NO_REINITIALIZATION
E046,1459.0,1460.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.273873302604,0.00268320966663,0.0300298858174,0,91,0,0,MEASURED_NO_REINITIALIZATION
E047,1463.0,1464.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.547776592759,0.547190793383,4.96573422638,0,74,0,0,MEASURED_NO_REINITIALIZATION
E049,1501.0,1502.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.138071874557,0.00258552988579,0.036489661288,0,75,0,0,MEASURED_NO_REINITIALIZATION
E051,1512.0,1513.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.140942332408,0.00324648081552,0.0256747415601,0,82,0,0,MEASURED_NO_REINITIALIZATION
E053,1563.0,1564.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.0898410991969,0.0863332321614,0.672049349131,0,79,0,0,MEASURED_NO_REINITIALIZATION
E055,1670.0,1671.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.136852991019,0.00167218982102,0.0116672100654,0,81,0,0,MEASURED_NO_REINITIALIZATION
E056,1738.0,1739.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.149731261934,0.164366860179,1.11666087322,0,67,0,0,MEASURED_NO_REINITIALIZATION
E057,1779.0,1780.0,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",0.137727913199,0.139905417162,0.134900277829,0,78,0,0,MEASURED_NO_REINITIALIZATION
