version,ID,tilt,facing,inner_radius_mm,outer_radius_mm,deltaR_mm,deltaR_error_mm,abs_deltaR_error_mm,inner_radius_bias_mm,outer_radius_bias_mm,inner_outer_center_sep_mm,inner_turn_center_rms_3d_mm,outer_turn_center_rms_3d_mm,inner_turn_center_p95_3d_mm,outer_turn_center_p95_3d_mm,inner_turn_count,outer_turn_count,inner_circle_thickness_rms_diagnostic,outer_circle_thickness_rms_diagnostic
v3-full,ID35,high,CDHG,478.13457000658815,556.9881716364016,78.85360162981345,-41.146398370186546,41.146398370186546,38.13457000658815,-3.011828363598397,56.21541571259897,25.48864457745702,21.093759384732273,52.044273713598024,35.20009833984625,45,45,119.79157286798555,106.9750772484106
v3-full,ID36,high,ADHE,459.5527827203216,530.5502088686114,70.99742614828983,-49.00257385171017,49.00257385171017,19.552782720321602,-29.449791131388565,48.042469951349545,24.953552161845973,18.244978702668906,42.06866177093027,29.96068188063947,44,44,94.0628289037156,79.72118127940801
v3-full,ID37,high-extra,suspect,452.20360122107496,532.8231719607865,80.61957073971149,-39.38042926028851,39.38042926028851,12.203601221074962,-27.176828039213547,24.251447968541147,22.374573100297138,29.959814897303453,32.39254794315105,55.87124116688585,43,43,109.30926392083505,117.13799057158982
v3-full,ID38,vertical,ABEF,450.2301519562143,528.9425875890744,78.71243563286009,-41.28756436713991,41.28756436713991,10.230151956214286,-31.05741241092562,51.015503323377565,18.57859317406562,18.362266077389766,30.18817242883015,31.847912332586958,42,43,81.89198306634307,90.27180010850284
v3-full,ID39,vertical,BCGF,452.07462203471664,547.7598976103573,95.68527557564062,-24.314724424359383,24.314724424359383,12.07462203471664,-12.240102389642743,41.47546337482185,19.26390908701656,18.04298563650557,37.10768525718788,33.37772999437817,43,43,107.23759807400538,101.55485566274048
v3-full,ID40,vertical,CDHG,441.1686970484762,526.9821090848246,85.81341203634844,-34.18658796365156,34.18658796365156,1.16869704847619,-33.01789091517537,12.307197784863185,17.214104904049154,15.128707668139691,27.870829148161388,23.26029468149595,44,44,74.4873775446528,69.30879141492194
v3-full,ID41,vertical,ADHE,425.0170944736683,517.071071909779,92.0539774361107,-27.9460225638893,27.9460225638893,-14.982905526331706,-42.92892809022101,12.603774388767977,30.978351032638976,19.013765054977267,51.72430140289869,33.933568436669795,43,43,96.4436527871178,107.84881410384725
v3-lite,ID25,planar,none,464.46891602274553,593.4138665168105,128.94495049406493,8.944950494064926,8.944950494064926,24.468916022745532,33.41386651681046,40.805199851545076,25.293549297788285,16.180694007352855,42.299509413392805,24.722197430341282,48,47,156.44343509139762,146.5056671922604
v3-lite,ID26,small,BCGF,461.0219953631843,585.9917437715869,124.96974840840261,4.969748408402609,4.969748408402609,21.021995363184317,25.991743771586926,16.47989901990581,23.47994736369246,19.665995756196807,42.93418293047491,27.77474111787269,47,48,159.39798090849095,145.77608991370317
v3-lite,ID27,small,CDHG,465.54556506106945,569.1990173737406,103.65345231267116,-16.346547687328837,16.346547687328837,25.545565061069453,9.199017373740617,51.05390319223848,28.46007942410643,29.821060001149448,48.62398443611053,49.733283692853036,48,48,149.82006444619753,162.31215749644232
v3-lite,ID28,small,ADHE,473.84527918145426,594.3917498205553,120.54647063910107,0.5464706391010736,0.5464706391010736,33.84527918145426,34.39174982055533,34.9787337805707,25.044750562855135,20.628628147892837,39.796718832325496,38.16737699751321,47,47,119.22099852585133,130.5577492361275
