version,ID,radius_BS2DCE,radius_BSDC91,delta_radius,delta_radius_bias_vs_120
v4-io-roto,ID35,445.99789939737417,535.1784407945695,89.18054139719533,-30.819458602804673
v4-io-roto,ID36,450.1418851163787,528.3495871359976,78.20770201961886,-41.792297980381136
v4-io-roto,ID37,450.891708550578,533.8777770940126,82.98606854343456,-37.013931456565444
v4-io-roto,ID38,429.637495344356,508.2772031594854,78.63970781512938,-41.360292184870616
v4-io-roto,ID39,433.9506261396186,534.714523508121,100.76389736850246,-19.236102631497545
v4-io-roto,ID40,428.26922850148185,515.2264990155363,86.95727051405447,-33.04272948594553
v4-io-roto,ID41,427.1322991419402,520.8311120333407,93.69881289140045,-26.30118710859955
v4-io-td,ID25,463.5011778172147,594.3594981000573,130.8583202828426,10.858320282842612
v4-io-td,ID26,459.35193433764294,587.0873623937753,127.73542805613232,7.735428056132321
v4-io-td,ID27,461.29503443595917,567.6112652721919,106.3162308362327,-13.683769163767295
v4-io-td,ID28,466.88893699121763,594.1084828207806,127.219545829563,7.219545829563003
v4-io-td,ID29,453.75371636437285,577.034801945244,123.28108558087115,3.2810855808711494
v4-io-td,ID30,484.5371826809065,560.8372881013147,76.30010542040822,-43.699894579591785
v4-io-td,ID31,429.5625266545205,546.4703893415601,116.9078626870396,-3.0921373129604035
v4-io-td,ID32,492.544565842494,567.7409724239418,75.19640658144777,-44.803593418552225
v4-io-td,ID33,451.60518858424456,549.5944716510783,97.9892830668337,-22.010716933166293
v4-io-td,ID34,475.31417654017724,534.775877697616,59.46170115743877,-60.53829884256123
v4-io-td,ID35,459.63947494853306,543.1730988146215,83.53362386608848,-36.466376133911524
v4-io-td,ID36,457.5313013337141,530.5269229722821,72.99562163856802,-47.004378361431975
v4-io-td,ID37,454.9382010490782,535.637121960567,80.69892091148881,-39.30107908851119
v4-io-td,ID38,438.88557880834736,517.7181283675117,78.8325495591643,-41.167450440835694
v4-io-td,ID39,441.55334314319254,539.1747575418091,97.62141439861654,-22.378585601383463
v4-io-td,ID40,438.17398775734716,522.5797143270838,84.40572656973666,-35.59427343026334
v4-io-td,ID41,425.75693556176606,522.2428002087074,96.48586464694137,-23.514135353058634
v4-io-wand,ID25,461.9640396191826,593.5596926867411,131.5956530675585,11.595653067558487
v4-io-wand,ID26,462.40419740876445,585.6895447463609,123.28534733759642,3.28534733759642
v4-io-wand,ID27,461.1229778065008,568.5215350977321,107.39855729123133,-12.601442708768673
v4-io-wand,ID28,465.71380281843034,592.9062830200315,127.1924802016012,7.1924802016011995
v4-io-wand,ID29,454.7688460543928,578.4788818368563,123.71003578246354,3.7100357824635353
v4-io-wand,ID30,485.9207951762544,560.9347407521283,75.01394557587389,-44.98605442412611
v4-io-wand,ID31,426.63705977427395,546.1163996129457,119.4793398386717,-0.5206601613282942
v4-io-wand,ID32,492.8710327791189,565.6930387764133,72.82200599729447,-47.17799400270553
v4-io-wand,ID33,451.30266151601353,549.3411755243228,98.03851400830928,-21.961485991690722
v4-io-wand,ID34,476.2149046615078,534.7047601907301,58.489855529222325,-61.510144470777675
v4-io-wand,ID35,455.63297862125506,541.2276872893615,85.59470866810642,-34.40529133189358
v4-io-wand,ID36,459.8753240898472,532.0743052427141,72.1989811528669,-47.80101884713309
v4-io-wand,ID37,453.41108527638386,535.8842040468501,82.47311877046621,-37.526881229533785
v4-io-wand,ID38,439.2692683457815,517.4789936403246,78.20972529454309,-41.79027470545691
v4-io-wand,ID39,439.50620682619297,539.1263416113588,99.62013478516587,-20.379865214834126
v4-io-wand,ID40,441.4378113073089,523.0760126809358,81.63820137362694,-38.36179862637306
v4-io-wand,ID41,424.6130714458526,522.8312976235596,98.21822617770704,-21.781773822292962
v5,ID25,465.12353862777525,595.1753441777324,130.05180554995718,10.05180554995718
v5,ID26,461.5953680120262,588.1262585589184,126.53089054689218,6.530890546892181
v5,ID27,464.5166564090367,569.3189317418768,104.80227533284005,-15.197724667159946
v5,ID28,469.91098739535124,595.2541766627733,125.34318926742202,5.343189267422019
v5,ID29,455.7462760382751,577.6734825663794,121.92720652810436,1.9272065281043638
v5,ID30,490.2723549846987,564.8570775595693,74.58472257487063,-45.415277425129375
v5,ID31,432.44610685355286,549.2979264502276,116.85181959667472,-3.1481804033252843
v5,ID32,497.38755951932285,570.8643873358897,73.47682781656681,-46.52317218343319
v5,ID33,453.88485179800665,551.4955273464697,97.610675548463,-22.389324451536993
v5,ID34,480.42420992407426,538.7351522195038,58.31094229542953,-61.68905770457047
v5,ID35,463.0021760674606,546.199930815062,83.19775474760138,-36.80224525239862
v5,ID36,462.6213542056542,533.8141019374544,71.19274773180024,-48.80725226819976
v5,ID37,458.48483751211097,537.9711887724194,79.48635126030842,-40.513648739691575
v5,ID38,443.4162805513915,521.4678050459858,78.05152449459428,-41.948475505405725
v5,ID39,445.20889251389605,542.5189088225296,97.31001630863358,-22.68998369136642
v5,ID40,442.5862912180245,526.135277186965,83.54898596894054,-36.45101403105946
v5,ID41,428.978786749298,524.6634781626964,95.68469141339835,-24.315308586601645
