case,case_label,source_root,filter_id,filter_family,filter_deployability,filter_kind,capture_id,tag,n_samples,filter_rejections,err3d_p50_mm,err3d_p95_mm,err3d_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p95_mm,err_vertical_y_p50_mm,err_vertical_y_p95_mm,note,turn_center_abs_error_3d_mm,turn_center_abs_error_horizontal_xz_mm,turn_center_abs_error_vertical_y_mm,filtered_radius_mm,opti_radius_mm,radius_error_mm,radius_error_abs_mm,circle_thickness_rms_mm,circle_thickness_p95_mm,turn_count,turn_center_repeatability_rms_mm,turn_center_repeatability_p95_mm
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F4,fixed_lag_smoother,fixed_lag,F4_FIXED_LAG_5,R15,BS2DCE,1200,19,94.92596830699695,135.87157689663292,96.49431638983098,50.21979550311206,109.49766068864115,62.44715137223875,119.0453060131055,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,82.73490420566026,50.25819044101998,65.72045851570078,393.70272606603214,426.7388268270692,-33.03610076103706,33.03610076103706,26.692755041556826,49.453650196078556,22,10.920139925419816,16.116005146545792
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F4,fixed_lag_smoother,fixed_lag,F4_FIXED_LAG_5,R15,BSDC91,1200,6,92.63587117087661,154.07413747450119,104.38544276422321,56.353678519851414,80.25581813827577,72.01458801755066,139.15020342867774,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,60.527920100356724,35.424310777378096,49.07899059295028,504.77183800649937,553.7239696599694,-48.95213165347002,48.95213165347002,37.3612414112702,67.56799310994907,22,10.640119993338022,16.670087129673945
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F4,fixed_lag_smoother,fixed_lag,F4_FIXED_LAG_5,R16,BS2DCE,1201,2,86.19549760510549,149.5826926406525,94.38554593622658,36.065735987579394,78.12228345057646,69.96804143237796,144.42555142113514,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,72.26683003861369,26.132706884294837,67.37637831413474,458.30406934876737,426.7546691537481,31.549400195019246,31.549400195019246,41.8931568277049,68.41069063219766,23,19.37588610897676,27.241911980351187
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F4,fixed_lag_smoother,fixed_lag,F4_FIXED_LAG_5,R16,BSDC91,1200,3,71.86150300319201,189.68277174856217,98.85486133522062,44.72497568177877,85.06238159754348,36.022493159381725,181.18270209510786,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,69.80891737164305,23.841021115771632,65.6116655539106,538.7092843139259,553.8570986645638,-15.147814350637873,15.147814350637873,45.074687806126185,73.06303312133244,23,13.157022453985215,26.024261307065867
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F4,fixed_lag_smoother,fixed_lag,F4_FIXED_LAG_5,R17,BS2DCE,1201,1,71.1762389598152,134.3769237887701,81.35622518608236,34.18887578046534,76.12202134603602,52.278798459577445,127.97886499235938,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,67.34430304818572,36.747801026220266,56.434513134988606,418.7323916646412,426.77989847218157,-8.047506807540344,8.047506807540344,28.029428972166848,53.18393274772328,23,11.775723045428082,18.938727105832974
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F4,fixed_lag_smoother,fixed_lag,F4_FIXED_LAG_5,R17,BSDC91,1200,1,86.7493926227952,144.85027697964324,96.63554984072151,39.12091444170129,76.74076001487391,61.652630413016595,141.72446065425538,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,72.58303484684232,28.00335145356213,66.96349195603682,515.7870537279215,553.9448837938895,-38.15783006596803,38.15783006596803,36.04644925584241,66.71322070927296,23,14.10039963953595,24.980920671579852
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R01,BS2DCE,1201,69,97.58893054393269,177.0890681647165,107.43413939444295,34.681427227650815,82.37111077113435,81.85466947963937,168.29045087094653,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,83.87011605797943,30.104692713438904,78.28092899428543,442.8114892590325,426.48582848840823,16.325660770624268,16.325660770624268,60.02629227960551,107.8337928469875,31,14.751685550761367,21.30840236593884
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R01,BSDC91,1200,13,96.8972415874058,142.1807295138068,97.38968582619565,34.438450811292626,76.58030558929511,79.16615303978915,135.49789440135595,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,84.10484283650382,33.56423525011192,77.11722700297355,570.3886149433994,553.5374362567889,16.851178686610524,16.851178686610524,41.025166809874484,73.46304734554748,31,11.014708585804128,17.751798335029733
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R02,BS2DCE,1201,11,90.30882234266747,145.61398523234158,96.25358419364346,38.40109372696308,77.81017052694936,76.81589631373481,142.22236800078622,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,60.09456681912495,19.328080232416617,56.901513826149994,433.4832873317758,426.5872672453299,6.896020086445901,6.896020086445901,47.68539841432109,80.63220616270705,28,15.15300611663158,25.104298174778876
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R02,BSDC91,1200,0,86.33118672675536,167.4145714555717,104.97437083934592,45.88456471871977,82.26339367089494,60.762007622038084,162.6286666738409,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,64.21266254309897,10.144815860531443,63.406220057891915,549.8096721287312,553.7579522299013,-3.9482801011700985,3.9482801011700985,45.76207473484026,74.9664693672191,28,11.531877621716244,20.744463605853227
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R03,BS2DCE,1050,2,92.96959441191075,148.72773600275272,100.11092015154709,52.74137495966039,83.31881081637518,76.20608012061314,130.76322187580638,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,98.6944162569823,58.59591715091826,79.4172921569932,452.89994854624723,426.572346201647,26.327602344600223,26.327602344600223,26.48184273533186,44.47564188952095,25,11.880574401305944,19.270858965533186
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R03,BSDC91,1200,1,98.58966778556268,133.36248099044272,101.23265954040781,55.8062373958044,80.43123277480602,81.50874189360184,114.89476289881779,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,95.05612823769539,43.9189850553927,84.30178092570395,548.1330326543731,553.5575033917082,-5.4244707373351275,5.4244707373351275,24.623091748113612,43.7726210270858,29,11.65650931905106,21.573662475498345
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R04,BS2DCE,1200,0,80.88067980404253,124.3686979285479,85.6494724849481,50.78103749885112,95.41811801385792,54.99871923428549,108.81989218689377,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,77.70159459629454,52.15855131241689,57.593604921005635,446.54340131263007,426.43337333690476,20.110027975725302,20.110027975725302,46.70793158496347,72.78762719465588,28,13.079192398279693,22.470045831062308
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R04,BSDC91,1200,4,84.64110084970545,146.24622847700894,94.86316656827383,47.188853542755965,87.28008475713817,68.05838708981867,130.6356758694892,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,80.62378834500963,44.02541960200331,67.54226584864068,553.8077612644666,553.4706845883857,0.3370766760809829,0.3370766760809829,44.581023209696816,70.9173126572221,28,11.586570653617445,16.52605866374185
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R05,BS2DCE,1200,5,78.84377287034646,160.18552844301198,95.26502085978251,41.07973330032492,155.1969063927347,48.81269073264292,101.09585001315139,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,94.27880675416068,75.5154075368977,56.443924629003504,462.76778839618964,426.4908337551261,36.276954641063526,36.276954641063526,36.003934443770206,61.96558105648246,29,16.54116780573495,30.551105372808863
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R05,BSDC91,1201,0,95.30934596030556,140.200240615419,97.2200332587162,34.78761018085528,126.77245995198633,55.25352076655747,130.51442976799876,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,89.19447608386477,60.064962721282576,65.9382651968192,580.0759268324708,553.5314134827562,26.544513349714634,26.544513349714634,32.08351353441341,55.8982182188417,29,11.196446599454907,17.299957255273483
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R06,BS2DCE,1200,1,79.12916065932343,122.29670486676525,82.47374605609535,50.8346403361799,89.08131905433699,53.52435234037489,98.85053043342961,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,60.266891254047714,32.91665855909705,50.483579218702744,438.03003401276453,426.6440400664725,11.385993946292047,11.385993946292047,51.82613987041326,78.66668528195726,24,13.557346589143306,20.090827931147093
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R06,BSDC91,1201,0,88.03339897556475,136.89299272056496,90.2991728632116,57.94743168241979,103.31046644692182,43.26040059098773,119.00618174524516,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,60.58965094129776,42.88363243250774,42.803035763621665,547.6856371446697,553.9352277035896,-6.249590558919863,6.249590558919863,51.80565991957314,79.08397156814637,24,11.495938014003,18.611027519969607
vicon_truth_delaycal_v4io_T4,Vicon anchors + delaycal / T4,FULL_AutoPos_align_to_Vicon_US,F5,rts_offline_smoother,offline_upper_bound,F5_RTS_OFFLINE,R07,BS2DCE,1200,1,77.19622780304934,126.71907718406713,82.87202048847405,62.640588665267174,97.20900217005234,41.18690693488355,88.13700655406437,OptiTrack/Vicon anchor truth with inter-anchor residual delay calibration,85.82655273605047,77.86353681272024,36.103556467032604,428.59746608995073,426.63347228151616,1.9639938084345658,1.9639938084345658,33.767539286403526,58.47043158939954,23,10.537437528740591,15.200211768202188
