alpha,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope
0.0,50.0,57.95050891604628,74.31920724321373,110.33787583645976,31.323719055647196
0.0,52.0,57.9727660415911,74.09626093304274,109.45248083355509,28.02163908906028
0.0,54.0,58.121329646759776,73.96658720229637,109.3582216972056,24.752474782728363
0.0,56.0,58.40565425411623,73.9285809783891,109.3280963889342,21.51414687401471
0.0,58.0,58.83243971132334,73.97777840608781,109.68037189838032,18.30629122985301
0.0,60.0,59.030624229390234,74.11612146968349,110.33454928619928,15.12930230281414
0.0,62.0,59.20160371917552,74.33879845238091,111.52369299392711,11.979485851733186
0.0,64.0,59.45381132626052,74.6446804247532,113.47908551810285,8.852502727784486
0.0,66.0,59.962611082207,75.03247467875839,115.37419348173447,5.745664148535775
0.0,68.0,61.177386437685314,75.49862140903538,117.19104783691806,2.656453417887976
0.0,70.0,62.418939798632515,76.04331975941128,118.93916946807825,-0.41501131304168287
0.0,72.0,63.68029634794931,76.6646888395612,120.62429024305756,-3.4641210912595963
0.0,74.0,64.96813460110725,77.36078491164155,122.26028309373189,-6.491373008354876
0.0,76.0,66.29260337082314,78.1317659410568,121.39547727796527,-9.498584141888896
0.0,78.0,67.64844879028269,78.9775170794566,119.46164221475327,-12.48993189580745
0.0,80.0,68.82395088205651,79.8964196993382,120.96677321220741,-15.467063723358113
0.0,82.0,69.44395587609239,80.8858996775388,123.27726022908921,-18.4287943259016
0.0,84.0,70.18791901532744,81.94217464082766,125.6045885985172,-21.372636375089307
0.0,86.0,71.0441417612922,83.063019125651,127.95386623346246,-24.303200230033056
0.0,88.0,72.03174926269867,84.24634511546876,130.43302548503343,-27.21897546743688
0.0,90.0,73.16680535213627,85.48919478324711,132.89603246676327,-30.12331241007981
0.0,92.0,74.45035515907567,86.7862979762633,135.34300456821214,-33.02058139010682
0.0,94.0,75.88073274828153,88.1366402028488,136.66753698580473,-35.910003266569205
0.0,96.0,77.6253181892022,89.53635578355805,137.919216520726,-38.78712932550512
0.0,98.0,79.66059713074907,90.98368007376195,139.128304521354,-41.65106793880423
0.0,100.0,81.86267749259034,92.47399028221695,140.2989106718832,-44.506450864360765
0.0,102.0,84.19234908030214,94.00389032266452,141.43628696006357,-47.35556107345478
0.0,104.0,86.6031201463543,95.5710093334375,142.53203332708006,-50.19806199132091
0.0,106.0,89.08029351446439,97.1689341131056,143.60106661537918,-53.042185545636585
0.0,108.0,91.61444177782764,98.79359514427942,144.64286749669728,-55.87964866794077
0.0,110.0,92.90766013892909,100.44632325443911,145.86574262369805,-58.71059753245659
0.0,112.0,94.94095794336647,102.1246069453802,147.88813175373284,-61.53592918086179
0.0,114.0,97.49778120824541,103.82396912255385,150.12984209196617,-64.35029993204772
0.0,116.0,99.86715827940372,105.54465848927292,152.40534270041047,-67.15117878759804
0.0,118.0,101.51910328151797,107.28548905458322,154.85809958502045,-69.93929002425844
0.0,120.0,103.1797528171277,109.04554330683564,157.67677073868487,-72.71360214852443
0.0,122.0,104.53662139716477,110.8211339335203,160.48960311333195,-75.47427429780952
0.0,124.0,106.1513397081298,112.61303714371144,163.29460778489823,-78.22291865486018
0.0,126.0,108.33860505034289,114.41760979594791,166.08831964908813,-80.95749996211299
0.0,128.0,110.5852061726092,116.2327110509296,168.87167823292566,-83.67707599915458
