anchor_shift_mm,tag_shift_mm,median_3d_mm,rmse_3d_mm,signed_vertical_slope
-130.0,80.0,109.9365798927659,141.0920919128888,197.4225489302805
-130.0,90.0,98.80673704508436,126.45963841289303,171.35644705285137
-130.0,100.0,86.63361537135287,112.9606017036856,146.1882950565742
-130.0,110.0,72.92671034695937,100.94130054820614,122.06391893329565
-130.0,120.0,73.9661493543175,90.74560532837722,98.97787836297437
-130.0,130.0,67.84873089032392,82.79872650778266,76.94273729548733
-130.0,140.0,63.6373143053123,77.40328973674883,55.88132141372215
-120.0,-140.0,561.8747443252099,588.5306112830737,311.8622266989102
-120.0,-130.0,538.1584012547281,559.7540986563384,320.08007107918695
-120.0,-120.0,512.4499696388432,528.3569034079748,333.48365108173954
-120.0,-110.0,498.3709931998377,495.4432477356835,351.94266435760215
-120.0,-100.0,445.83199034361337,462.5665758006284,372.09419881345895
-120.0,-90.0,425.0065494044634,431.23850541121675,394.26717024106443
-120.0,-80.0,402.6400476082522,403.77982937968665,413.6127289311315
-120.0,-70.0,382.52223412068463,380.0827598551544,428.22804461848546
-120.0,-60.0,358.8027931177421,360.1765652137206,437.3291751224212
-120.0,-50.0,333.69901764000855,342.9447392706219,441.38255020692907
-120.0,-40.0,298.6606913320756,326.79667332967193,439.01503710928
-120.0,-30.0,269.7456593412108,311.1387012619558,431.0052592014487
-120.0,-20.0,268.6077531337461,294.7538205885807,417.6594115130869
-120.0,-10.0,251.7388169861922,277.10939961256406,399.8601413288394
-120.0,0.0,232.8875340960724,258.94857420791334,379.07582226130086
-120.0,10.0,215.91276488509067,240.65052577659878,355.92570468582505
-120.0,20.0,198.2888132377903,222.61402084769583,330.9176434511488
-120.0,30.0,180.00369879229498,205.2382361272872,304.7283067149018
-120.0,40.0,161.13775318218637,188.56436764639722,277.9927422445908
-120.0,50.0,142.10322077779944,172.410007239604,251.08126055452345
-120.0,60.0,123.3033393586514,156.52636165529586,224.13349210335625
-120.0,70.0,109.9365798927659,141.0920919128888,197.4225489302805
-120.0,80.0,98.80673704508436,126.45963841289303,171.35644705285137
-120.0,90.0,86.63361537135287,112.9606017036856,146.1882950565742
-120.0,100.0,72.92671034695931,100.94130054820614,122.06391893329568
-120.0,110.0,73.9661493543175,90.74560532837722,98.97787836297437
-120.0,120.0,67.84873089032392,82.79872650778266,76.94273729548733
-120.0,130.0,63.6373143053123,77.40328973674883,55.88132141372214
-120.0,140.0,59.29798711515421,74.74108120772902,35.81180782150875
-110.0,-140.0,538.1584012547281,559.7540986563384,320.08007107918695
-110.0,-130.0,512.4499696388432,528.3569034079748,333.48365108173954
-110.0,-120.0,498.3709931998377,495.4432477356835,351.94266435760215
-110.0,-110.0,445.83199034361337,462.56657580062847,372.09419881345906
-110.0,-100.0,425.0065494044634,431.23850541121675,394.26717024106443
-110.0,-90.0,402.6400476082522,403.77982937968665,413.6127289311315
-110.0,-80.0,382.52223412068463,380.0827598551544,428.22804461848546
-110.0,-70.0,358.8027931177421,360.1765652137206,437.3291751224212
-110.0,-60.0,333.69901764000855,342.9447392706219,441.38255020692907
-110.0,-50.0,298.6606913320756,326.79667332967193,439.01503710928
-110.0,-40.0,269.7456593412108,311.1387012619558,431.0052592014487
-110.0,-30.0,268.6077531337461,294.7538205885807,417.6594115130869
-110.0,-20.0,251.7388169861922,277.10939961256406,399.8601413288394
-110.0,-10.0,232.8875340960724,258.94857420791334,379.07582226130086
-110.0,0.0,215.91276488509067,240.65052577659878,355.92570468582505
-110.0,10.0,198.2888132377903,222.61402084769583,330.9176434511488
-110.0,20.0,180.00369879229498,205.2382361272872,304.7283067149018
-110.0,30.0,161.13775318218637,188.56436764639722,277.9927422445908
-110.0,40.0,142.10322077779944,172.410007239604,251.08126055452345
-110.0,50.0,123.3033393586514,156.52636165529586,224.13349210335625
-110.0,60.0,109.9365798927659,141.0920919128888,197.4225489302805
-110.0,70.0,98.80673704508436,126.45963841289303,171.35644705285137
-110.0,80.0,86.63361537135287,112.9606017036856,146.18829505657422
-110.0,90.0,72.92671034695931,100.94130054820614,122.06391893329568
-110.0,100.0,73.9661493543175,90.74560532837722,98.97787836297437
-110.0,110.0,67.84873089032392,82.79872650778265,76.94273729548733
-110.0,120.0,63.6373143053123,77.40328973674882,55.88132141372215
-110.0,130.0,59.29798711515421,74.74108120772904,35.81180782150874
-110.0,140.0,59.60619213611399,74.81167618858893,16.582870341130928
-100.0,-140.0,512.4499696388432,528.3569034079748,333.48365108173954
-100.0,-130.0,498.3709931998377,495.4432477356835,351.94266435760215
-100.0,-120.0,445.83199034361337,462.56657580062847,372.09419881345906
-100.0,-110.0,425.0065494044634,431.23850541121675,394.26717024106443
-100.0,-100.0,402.64004760825225,403.77982937968665,413.6127289311315
-100.0,-90.0,382.52223412068463,380.0827598551544,428.22804461848546
-100.0,-80.0,358.8027931177421,360.1765652137206,437.3291751224212
-100.0,-70.0,333.69901764000855,342.9447392706219,441.38255020692907
-100.0,-60.0,298.6606913320756,326.796673329672,439.01503710928
-100.0,-50.0,269.7456593412108,311.1387012619558,431.0052592014487
-100.0,-40.0,268.6077531337461,294.7538205885807,417.6594115130869
-100.0,-30.0,251.7388169861922,277.109399612564,399.8601413288394
-100.0,-20.0,232.8875340960724,258.94857420791334,379.07582226130086
-100.0,-10.0,215.91276488509067,240.65052577659878,355.92570468582505
-100.0,0.0,198.2888132377903,222.61402084769583,330.9176434511488
-100.0,10.0,180.00369879229498,205.2382361272872,304.7283067149018
-100.0,20.0,161.13775318218637,188.5643676463972,277.9927422445908
-100.0,30.0,142.10322077779944,172.410007239604,251.08126055452345
-100.0,40.0,123.3033393586514,156.52636165529583,224.13349210335625
-100.0,50.0,109.9365798927659,141.0920919128888,197.4225489302805
-100.0,60.0,98.80673704508436,126.45963841289303,171.35644705285137
-100.0,70.0,86.63361537135286,112.9606017036856,146.18829505657422
-100.0,80.0,72.92671034695933,100.94130054820614,122.06391893329565
-100.0,90.0,73.9661493543175,90.74560532837722,98.97787836297437
-100.0,100.0,67.84873089032392,82.79872650778265,76.94273729548732
-100.0,110.0,63.6373143053123,77.40328973674883,55.88132141372215
-100.0,120.0,59.29798711515421,74.74108120772904,35.81180782150873
-100.0,130.0,59.60619213611402,74.81167618858895,16.582870341130924
-100.0,140.0,58.49564268698485,77.30827240334791,-1.9083746648192805
-90.0,-140.0,498.3709931998377,495.4432477356834,351.94266435760215
-90.0,-130.0,445.83199034361337,462.56657580062847,372.09419881345906
-90.0,-120.0,425.0065494044634,431.23850541121675,394.26717024106443
-90.0,-110.0,402.64004760825225,403.77982937968665,413.6127289311315
-90.0,-100.0,382.52223412068463,380.0827598551544,428.22804461848546
-90.0,-90.0,358.8027931177421,360.1765652137206,437.3291751224212
-90.0,-80.0,333.69901764000855,342.9447392706218,441.38255020692907
-90.0,-70.0,298.6606913320756,326.796673329672,439.0150371092801
-90.0,-60.0,269.7456593412108,311.1387012619558,431.0052592014487
-90.0,-50.0,268.6077531337461,294.7538205885807,417.6594115130869
-90.0,-40.0,251.7388169861922,277.10939961256406,399.8601413288394
-90.0,-30.0,232.88753409607241,258.94857420791334,379.07582226130086
-90.0,-20.0,215.91276488509067,240.65052577659876,355.92570468582505
-90.0,-10.0,198.2888132377903,222.61402084769583,330.9176434511488
-90.0,0.0,180.00369879229498,205.2382361272872,304.7283067149018
-90.0,10.0,161.13775318218637,188.5643676463972,277.9927422445908
-90.0,20.0,142.10322077779944,172.410007239604,251.08126055452345
-90.0,30.0,123.3033393586514,156.52636165529583,224.13349210335625
-90.0,40.0,109.9365798927659,141.09209191288878,197.4225489302805
-90.0,50.0,98.80673704508436,126.45963841289303,171.35644705285137
-90.0,60.0,86.63361537135286,112.9606017036856,146.18829505657422
-90.0,70.0,72.9267103469593,100.94130054820614,122.06391893329568
-90.0,80.0,73.9661493543175,90.74560532837722,98.97787836297437
-90.0,90.0,67.84873089032392,82.79872650778266,76.94273729548733
-90.0,100.0,63.6373143053123,77.40328973674883,55.88132141372215
-90.0,110.0,59.297987115154214,74.74108120772904,35.81180782150874
-90.0,120.0,59.60619213611402,74.81167618858895,16.582870341130935
-90.0,130.0,58.49564268698485,77.30827240334791,-1.9083746648192805
-90.0,140.0,64.64058647875262,81.83847343607816,-19.760547089904247
-80.0,-140.0,445.83199034361337,462.56657580062847,372.09419881345895
-80.0,-130.0,425.0065494044634,431.23850541121675,394.26717024106443
-80.0,-120.0,402.64004760825225,403.77982937968665,413.6127289311315
-80.0,-110.0,382.52223412068463,380.0827598551544,428.22804461848546
-80.0,-100.0,358.8027931177421,360.1765652137206,437.3291751224212
-80.0,-90.0,333.69901764000855,342.94473927062177,441.38255020692907
-80.0,-80.0,298.6606913320756,326.79667332967193,439.0150371092801
-80.0,-70.0,269.7456593412108,311.1387012619558,431.0052592014487
-80.0,-60.0,268.6077531337461,294.7538205885807,417.6594115130869
-80.0,-50.0,251.7388169861922,277.10939961256406,399.8601413288394
-80.0,-40.0,232.88753409607241,258.94857420791334,379.07582226130086
-80.0,-30.0,215.91276488509067,240.65052577659876,355.92570468582505
-80.0,-20.0,198.2888132377903,222.61402084769583,330.9176434511488
-80.0,-10.0,180.00369879229498,205.2382361272872,304.7283067149018
-80.0,0.0,161.13775318218637,188.5643676463972,277.9927422445908
-80.0,10.0,142.10322077779944,172.410007239604,251.08126055452345
-80.0,20.0,123.3033393586514,156.52636165529586,224.13349210335625
-80.0,30.0,109.9365798927659,141.09209191288878,197.4225489302805
-80.0,40.0,98.80673704508436,126.45963841289303,171.35644705285137
-80.0,50.0,86.63361537135286,112.9606017036856,146.18829505657422
-80.0,60.0,72.9267103469593,100.94130054820614,122.06391893329568
-80.0,70.0,73.9661493543175,90.74560532837722,98.97787836297437
-80.0,80.0,67.84873089032392,82.79872650778266,76.94273729548733
-80.0,90.0,63.6373143053123,77.40328973674882,55.88132141372214
-80.0,100.0,59.297987115154214,74.74108120772902,35.811807821508715
-80.0,110.0,59.606192136114004,74.81167618858895,16.582870341130924
-80.0,120.0,58.49564268698485,77.30827240334793,-1.9083746648192657
-80.0,130.0,64.64058647875262,81.83847343607819,-19.76054708990426
-80.0,140.0,72.85683530415432,88.05473799444556,-37.069116856634786
-70.0,-140.0,425.0065494044634,431.23850541121675,394.26717024106443
-70.0,-130.0,402.64004760825225,403.77982937968665,413.6127289311315
-70.0,-120.0,382.52223412068463,380.0827598551544,428.22804461848546
-70.0,-110.0,358.8027931177421,360.1765652137206,437.3291751224212
-70.0,-100.0,333.69901764000855,342.9447392706218,441.38255020692907
-70.0,-90.0,298.6606913320756,326.79667332967193,439.0150371092801
-70.0,-80.0,269.7456593412108,311.1387012619558,431.0052592014487
-70.0,-70.0,268.6077531337461,294.7538205885807,417.6594115130869
-70.0,-60.0,251.7388169861922,277.10939961256406,399.8601413288394
-70.0,-50.0,232.88753409607241,258.94857420791334,379.07582226130086
-70.0,-40.0,215.91276488509067,240.65052577659878,355.92570468582505
-70.0,-30.0,198.2888132377903,222.61402084769583,330.9176434511488
-70.0,-20.0,180.00369879229498,205.2382361272872,304.7283067149018
-70.0,-10.0,161.13775318218637,188.56436764639722,277.9927422445908
-70.0,0.0,142.10322077779944,172.410007239604,251.08126055452345
-70.0,10.0,123.3033393586514,156.52636165529586,224.13349210335625
-70.0,20.0,109.9365798927659,141.09209191288878,197.4225489302805
-70.0,30.0,98.80673704508436,126.45963841289303,171.35644705285137
-70.0,40.0,86.63361537135285,112.9606017036856,146.18829505657422
-70.0,50.0,72.92671034695931,100.94130054820613,122.06391893329568
-70.0,60.0,73.9661493543175,90.74560532837722,98.97787836297437
-70.0,70.0,67.84873089032392,82.79872650778266,76.94273729548733
-70.0,80.0,63.6373143053123,77.40328973674882,55.88132141372214
-70.0,90.0,59.297987115154214,74.74108120772902,35.81180782150873
-70.0,100.0,59.606192136114004,74.81167618858893,16.582870341130924
-70.0,110.0,58.49564268698485,77.30827240334793,-1.9083746648192657
-70.0,120.0,64.64058647875262,81.83847343607819,-19.76054708990426
-70.0,130.0,72.85683530415432,88.05473799444555,-37.069116856634786
-70.0,140.0,80.14804201699167,95.61495863689892,-53.88464961321172
-60.0,-140.0,402.64004760825225,403.77982937968665,413.6127289311315
-60.0,-130.0,382.52223412068463,380.08275985515434,428.2280446184854
-60.0,-120.0,358.8027931177421,360.1765652137206,437.3291751224212
-60.0,-110.0,333.69901764000855,342.9447392706218,441.38255020692907
-60.0,-100.0,298.6606913320756,326.79667332967193,439.01503710928
-60.0,-90.0,269.7456593412108,311.1387012619558,431.0052592014487
-60.0,-80.0,268.6077531337461,294.7538205885807,417.6594115130869
-60.0,-70.0,251.7388169861922,277.109399612564,399.8601413288394
-60.0,-60.0,232.88753409607241,258.94857420791334,379.07582226130086
-60.0,-50.0,215.91276488509067,240.65052577659873,355.92570468582505
-60.0,-40.0,198.2888132377903,222.61402084769583,330.9176434511488
-60.0,-30.0,180.00369879229498,205.2382361272872,304.7283067149018
-60.0,-20.0,161.13775318218637,188.5643676463972,277.9927422445908
-60.0,-10.0,142.10322077779944,172.410007239604,251.08126055452345
-60.0,0.0,123.3033393586514,156.52636165529586,224.13349210335625
-60.0,10.0,109.9365798927659,141.09209191288878,197.4225489302805
-60.0,20.0,98.80673704508436,126.45963841289303,171.35644705285137
-60.0,30.0,86.63361537135285,112.9606017036856,146.18829505657422
-60.0,40.0,72.92671034695933,100.94130054820614,122.06391893329565
-60.0,50.0,73.9661493543175,90.74560532837722,98.97787836297437
-60.0,60.0,67.84873089032392,82.79872650778266,76.94273729548733
-60.0,70.0,63.6373143053123,77.40328973674882,55.88132141372214
-60.0,80.0,59.297987115154214,74.74108120772902,35.81180782150873
-60.0,90.0,59.606192136114004,74.81167618858895,16.582870341130924
-60.0,100.0,58.49564268698485,77.30827240334793,-1.9083746648192657
-60.0,110.0,64.64058647875262,81.83847343607819,-19.76054708990426
-60.0,120.0,72.85683530415432,88.05473799444555,-37.06911685663478
-60.0,130.0,80.14804201699167,95.61495863689893,-53.88464961321171
-60.0,140.0,89.44705706353427,104.14957564919023,-70.15943706591406
-50.0,-140.0,382.52223412068463,380.08275985515434,428.2280446184854
-50.0,-130.0,358.8027931177421,360.1765652137206,437.3291751224212
-50.0,-120.0,333.69901764000866,342.9447392706218,441.38255020692907
-50.0,-110.0,298.6606913320756,326.79667332967193,439.01503710928
-50.0,-100.0,269.7456593412108,311.1387012619558,431.0052592014487
-50.0,-90.0,268.6077531337461,294.7538205885807,417.6594115130869
-50.0,-80.0,251.7388169861922,277.109399612564,399.8601413288394
-50.0,-70.0,232.88753409607241,258.94857420791334,379.075822261301
-50.0,-60.0,215.91276488509067,240.65052577659878,355.9257046858251
-50.0,-50.0,198.2888132377903,222.61402084769583,330.9176434511488
-50.0,-40.0,180.00369879229498,205.2382361272872,304.7283067149018
-50.0,-30.0,161.13775318218637,188.56436764639722,277.9927422445907
-50.0,-20.0,142.10322077779944,172.410007239604,251.08126055452345
-50.0,-10.0,123.3033393586514,156.52636165529586,224.13349210335625
-50.0,0.0,109.9365798927659,141.09209191288878,197.4225489302805
-50.0,10.0,98.80673704508436,126.45963841289303,171.35644705285137
-50.0,20.0,86.63361537135285,112.9606017036856,146.18829505657422
-50.0,30.0,72.92671034695933,100.94130054820613,122.06391893329565
-50.0,40.0,73.9661493543175,90.74560532837722,98.97787836297437
-50.0,50.0,67.84873089032396,82.79872650778266,76.94273729548733
-50.0,60.0,63.6373143053123,77.40328973674882,55.88132141372214
-50.0,70.0,59.297987115154214,74.74108120772902,35.81180782150873
-50.0,80.0,59.606192136114004,74.81167618858896,16.582870341130917
-50.0,90.0,58.49564268698485,77.30827240334793,-1.9083746648192683
-50.0,100.0,64.64058647875262,81.83847343607819,-19.76054708990426
-50.0,110.0,72.85683530415432,88.05473799444556,-37.06911685663478
-50.0,120.0,80.14804201699167,95.61495863689893,-53.88464961321171
-50.0,130.0,89.44705706353427,104.14957564919023,-70.15943706591406
-50.0,140.0,99.01218832221369,113.32389672497187,-85.8907767455205
-40.0,-140.0,358.8027931177421,360.1765652137206,437.3291751224212
-40.0,-130.0,333.6990176400086,342.9447392706219,441.38255020692907
-40.0,-120.0,298.66069133207554,326.79667332967193,439.0150371092801
-40.0,-110.0,269.7456593412108,311.1387012619558,431.0052592014487
-40.0,-100.0,268.6077531337461,294.7538205885807,417.6594115130869
-40.0,-90.0,251.7388169861922,277.1093996125641,399.8601413288395
-40.0,-80.0,232.88753409607241,258.94857420791334,379.075822261301
-40.0,-70.0,215.91276488509067,240.65052577659878,355.92570468582505
-40.0,-60.0,198.2888132377903,222.61402084769583,330.9176434511488
-40.0,-50.0,180.00369879229498,205.2382361272872,304.7283067149018
-40.0,-40.0,161.13775318218637,188.5643676463972,277.9927422445907
-40.0,-30.0,142.10322077779944,172.41000723960397,251.08126055452345
-40.0,-20.0,123.3033393586514,156.52636165529586,224.13349210335625
-40.0,-10.0,109.9365798927659,141.0920919128888,197.42254893028053
-40.0,0.0,98.80673704508436,126.45963841289303,171.35644705285137
-40.0,10.0,86.63361537135286,112.9606017036856,146.18829505657422
-40.0,20.0,72.92671034695933,100.94130054820614,122.06391893329568
-40.0,30.0,73.9661493543175,90.74560532837722,98.97787836297437
-40.0,40.0,67.84873089032396,82.79872650778266,76.94273729548733
-40.0,50.0,63.6373143053123,77.40328973674882,55.88132141372214
-40.0,60.0,59.297987115154214,74.74108120772902,35.811807821508715
-40.0,70.0,59.606192136114004,74.81167618858895,16.582870341130917
-40.0,80.0,58.49564268698485,77.30827240334793,-1.9083746648192657
-40.0,90.0,64.64058647875262,81.83847343607819,-19.76054708990426
-40.0,100.0,72.85683530415432,88.05473799444556,-37.06911685663478
-40.0,110.0,80.14804201699167,95.61495863689893,-53.88464961321172
-40.0,120.0,89.44705706353429,104.14957564919023,-70.15943706591406
-40.0,130.0,99.0121883222137,113.32389672497189,-85.89077674552051
-40.0,140.0,111.63528215512619,122.8763166606417,-101.07061748230629
-30.0,-140.0,333.6990176400086,342.9447392706219,441.38255020692907
-30.0,-130.0,298.66069133207554,326.79667332967193,439.01503710928
-30.0,-120.0,269.7456593412108,311.1387012619558,431.0052592014487
-30.0,-110.0,268.6077531337461,294.7538205885807,417.6594115130869
-30.0,-100.0,251.7388169861922,277.1093996125641,399.8601413288395
-30.0,-90.0,232.88753409607241,258.94857420791334,379.07582226130097
-30.0,-80.0,215.91276488509067,240.65052577659878,355.9257046858251
-30.0,-70.0,198.2888132377903,222.61402084769583,330.9176434511488
-30.0,-60.0,180.00369879229498,205.2382361272872,304.7283067149018
-30.0,-50.0,161.13775318218637,188.5643676463972,277.9927422445907
-30.0,-40.0,142.10322077779944,172.41000723960397,251.08126055452345
-30.0,-30.0,123.3033393586514,156.52636165529586,224.13349210335625
-30.0,-20.0,109.93657989276599,141.0920919128888,197.42254893028053
-30.0,-10.0,98.80673704508436,126.45963841289303,171.3564470528514
-30.0,0.0,86.63361537135286,112.9606017036856,146.18829505657422
-30.0,10.0,72.92671034695933,100.94130054820616,122.06391893329568
-30.0,20.0,73.9661493543175,90.74560532837722,98.97787836297437
-30.0,30.0,67.84873089032396,82.79872650778267,76.94273729548733
-30.0,40.0,63.6373143053123,77.40328973674882,55.88132141372214
-30.0,50.0,59.297987115154214,74.74108120772902,35.81180782150874
-30.0,60.0,59.606192136114004,74.81167618858895,16.582870341130924
-30.0,70.0,58.49564268698485,77.30827240334793,-1.9083746648192756
-30.0,80.0,64.64058647875262,81.83847343607819,-19.76054708990426
-30.0,90.0,72.85683530415432,88.05473799444556,-37.069116856634786
-30.0,100.0,80.14804201699178,95.61495863689893,-53.88464961321173
-30.0,110.0,89.44705706353427,104.14957564919023,-70.15943706591406
-30.0,120.0,99.01218832221369,113.32389672497189,-85.89077674552051
-30.0,130.0,111.63528215512619,122.8763166606417,-101.07061748230629
-30.0,140.0,125.09647073762663,132.5801492236205,-115.64007567162456
-20.0,-140.0,298.66069133207554,326.79667332967193,439.01503710928
-20.0,-130.0,269.7456593412108,311.1387012619558,431.0052592014487
-20.0,-120.0,268.6077531337461,294.7538205885807,417.6594115130869
-20.0,-110.0,251.7388169861922,277.10939961256406,399.8601413288394
-20.0,-100.0,232.88753409607241,258.9485742079134,379.075822261301
-20.0,-90.0,215.91276488509067,240.6505257765988,355.92570468582505
-20.0,-80.0,198.2888132377903,222.61402084769583,330.91764345114876
-20.0,-70.0,180.00369879229498,205.2382361272872,304.7283067149018
-20.0,-60.0,161.13775318218637,188.56436764639722,277.9927422445907
-20.0,-50.0,142.10322077779944,172.41000723960397,251.08126055452345
-20.0,-40.0,123.3033393586514,156.52636165529583,224.13349210335625
-20.0,-30.0,109.936579892766,141.0920919128888,197.42254893028053
-20.0,-20.0,98.80673704508436,126.45963841289303,171.35644705285137
-20.0,-10.0,86.63361537135286,112.9606017036856,146.18829505657422
-20.0,0.0,72.92671034695931,100.94130054820614,122.06391893329568
-20.0,10.0,73.96614935431751,90.74560532837722,98.97787836297437
-20.0,20.0,67.84873089032392,82.79872650778266,76.94273729548733
-20.0,30.0,63.6373143053123,77.40328973674882,55.88132141372215
-20.0,40.0,59.297987115154214,74.74108120772902,35.81180782150874
-20.0,50.0,59.606192136114004,74.81167618858898,16.582870341130917
-20.0,60.0,58.49564268698485,77.30827240334793,-1.9083746648192674
-20.0,70.0,64.64058647875262,81.83847343607819,-19.760547089904254
-20.0,80.0,72.85683530415443,88.05473799444557,-37.06911685663479
-20.0,90.0,80.14804201699178,95.61495863689895,-53.88464961321173
-20.0,100.0,89.44705706353429,104.14957564919023,-70.15943706591406
-20.0,110.0,99.0121883222137,113.32389672497189,-85.89077674552051
-20.0,120.0,111.63528215512619,122.8763166606417,-101.0706174823063
-20.0,130.0,125.09647073762663,132.5801492236205,-115.64007567162456
-20.0,140.0,138.62704772042298,142.32262666478428,-129.6767744873165
-10.0,-140.0,269.7456593412108,311.1387012619558,431.0052592014487
-10.0,-130.0,268.6077531337461,294.7538205885807,417.65941151308687
-10.0,-120.0,251.7388169861922,277.10939961256406,399.8601413288394
-10.0,-110.0,232.88753409607241,258.94857420791334,379.07582226130086
-10.0,-100.0,215.91276488509067,240.65052577659878,355.9257046858251
-10.0,-90.0,198.2888132377903,222.6140208476958,330.9176434511488
-10.0,-80.0,180.00369879229498,205.2382361272872,304.7283067149018
-10.0,-70.0,161.13775318218637,188.56436764639722,277.9927422445907
-10.0,-60.0,142.10322077779944,172.410007239604,251.08126055452345
-10.0,-50.0,123.3033393586514,156.52636165529583,224.13349210335625
-10.0,-40.0,109.93657989276599,141.0920919128888,197.42254893028053
-10.0,-30.0,98.80673704508436,126.45963841289303,171.35644705285137
-10.0,-20.0,86.63361537135286,112.9606017036856,146.18829505657422
-10.0,-10.0,72.92671034695931,100.94130054820616,122.06391893329565
-10.0,0.0,73.96614935431751,90.74560532837722,98.97787836297437
-10.0,10.0,67.84873089032392,82.79872650778266,76.94273729548732
-10.0,20.0,63.6373143053123,77.40328973674882,55.88132141372214
-10.0,30.0,59.29798711515421,74.74108120772902,35.81180782150873
-10.0,40.0,59.60619213611403,74.81167618858896,16.582870341130917
-10.0,50.0,58.49564268698485,77.30827240334793,-1.9083746648192674
-10.0,60.0,64.64058647875262,81.83847343607819,-19.76054708990426
-10.0,70.0,72.85683530415443,88.05473799444557,-37.069116856634786
-10.0,80.0,80.14804201699178,95.61495863689895,-53.88464961321173
-10.0,90.0,89.44705706353429,104.14957564919023,-70.15943706591405
-10.0,100.0,99.01218832221369,113.32389672497187,-85.89077674552051
-10.0,110.0,111.63528215512619,122.87631666064172,-101.07061748230635
-10.0,120.0,125.09647073762663,132.58014922362054,-115.64007567162456
-10.0,130.0,138.62704772042298,142.32262666478428,-129.6767744873165
-10.0,140.0,151.82999475591816,152.03340148013103,-143.31134651931393
0.0,-140.0,268.6077531337461,294.7538205885807,417.6594115130869
0.0,-130.0,251.7388169861922,277.10939961256406,399.8601413288394
0.0,-120.0,232.88753409607241,258.94857420791334,379.07582226130086
0.0,-110.0,215.91276488509055,240.65052577659878,355.925704685825
0.0,-100.0,198.2888132377903,222.6140208476958,330.9176434511488
0.0,-90.0,180.00369879229498,205.2382361272872,304.7283067149018
0.0,-80.0,161.13775318218637,188.5643676463972,277.9927422445907
0.0,-70.0,142.10322077779944,172.41000723960397,251.08126055452345
