version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v3-full,T2+F3,external_position_filter,all8,24,BCGF,6,102.35600015669002,275.1543680571685,163.17382039816704
v3-full,T2+F3,external_position_filter,all8,24,CDHG,6,110.14805320384798,224.83740689844112,143.51593262825068
v3-full,T2+F4,external_position_filter,all8,24,ABEF,6,122.67048892026492,309.01733171860604,180.33218248601062
v3-full,T2+F4,external_position_filter,all8,24,ADHE,6,166.83303817423072,186.83195404982226,148.88153455201393
v3-full,T2+F4,external_position_filter,all8,24,BCGF,6,102.4735027206921,275.2608036211667,163.34750615374278
v3-full,T2+F4,external_position_filter,all8,24,CDHG,6,107.85290146207728,226.1023775965055,143.4863123049635
v3-full,T2+F5,external_position_filter,all8,24,ABEF,6,122.94944381346684,308.99430948626434,180.4980122725266
v3-full,T2+F5,external_position_filter,all8,24,ADHE,6,166.65771380064058,186.52301404632453,148.5778848281842
v3-full,T2+F5,external_position_filter,all8,24,BCGF,6,102.28582417043356,275.78305205592756,163.4753076433539
v3-full,T2+F5,external_position_filter,all8,24,CDHG,6,108.59472646050324,225.6928137135624,143.64314595896994
v3-full,T3+F0,external_position_filter,all8,24,ABEF,6,74.00195978278643,148.46473795566698,99.98566249609185
v3-full,T3+F0,external_position_filter,all8,24,ADHE,6,113.16091938551159,175.1124000982447,125.97042886953102
v3-full,T3+F0,external_position_filter,all8,24,BCGF,6,56.45752360617331,254.58721455820904,139.25164902867527
v3-full,T3+F0,external_position_filter,all8,24,CDHG,6,92.10314696191486,243.43450421666523,147.24280830713923
v3-full,T3+F1,external_position_filter,all8,24,ABEF,6,72.60140553125467,154.07360787426651,101.68553409211371
v3-full,T3+F1,external_position_filter,all8,24,ADHE,6,112.18552817512044,174.4641248642333,125.36828976703566
v3-full,T3+F1,external_position_filter,all8,24,BCGF,6,56.32122625444291,252.93133611203203,138.50622989662975
v3-full,T3+F1,external_position_filter,all8,24,CDHG,6,88.4879217881093,235.0780102617452,139.88215254659565
v3-full,T3+F2,external_position_filter,all8,24,ABEF,6,72.60140553125467,154.07360787426651,101.68553409211371
v3-full,T3+F2,external_position_filter,all8,24,ADHE,6,112.18552817512044,174.4641248642333,125.36828976703566
v3-full,T3+F2,external_position_filter,all8,24,BCGF,6,56.32122625444291,252.93133611203203,138.50622989662975
