dataset,node,window,disposition,imu_samples,uwb_sweeps,imu_sequence_gaps,max_quaternion_norm_error,min_quaternion_sign_dot,final_static_attitude_span_deg,moving_transitions,false_relocks_during_supported_motion,gravity_updates,zupt_updates,t4_updates,t4_blocked_frame_binding,bias_accel_norm_mps2,bias_gyro_norm_dps,covariance_min_eigenvalue,covariance_max_asymmetry,status,integrated_abs_rotation_deg,release_latency_s,context,known_move_detected,persistent_false_state_after_38_vibrations,attitude_finite
TEN_NODE_TABLETOP,BSFC2CC,FULL,REGRESSION_ONLY,360031,15002,0,2.22044604925e-16,0.996110932542,,74,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15002,,,,,FAIL,,,FLEET_CONTEXT,True,5,True
TEN_NODE_TABLETOP,BSF44AD,FULL,REGRESSION_ONLY,359985,15000,0,2.22044604925e-16,0.999976755085,,6,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,DIAGNOSTIC,,,STANDALONE,NOT_APPLICABLE,2,True
TEN_NODE_TABLETOP,BSF44AD,FULL,REGRESSION_ONLY,359985,15000,0,2.22044604925e-16,0.999976755085,,0,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,PASS,,,FLEET_CONTEXT,NOT_APPLICABLE,0,True
TEN_NODE_TABLETOP,BSF6C53,FULL,REGRESSION_ONLY,359969,15000,0,2.22044604925e-16,0.99997657475,,35,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,DIAGNOSTIC,,,STANDALONE,NOT_APPLICABLE,5,True
TEN_NODE_TABLETOP,BSF6C53,FULL,REGRESSION_ONLY,359969,15000,0,2.22044604925e-16,0.99997657475,,34,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,FAIL,,,FLEET_CONTEXT,NOT_APPLICABLE,4,True
TEN_NODE_TABLETOP,BSF8BC4,FULL,REGRESSION_ONLY,359980,14999,0,1.11022302463e-16,0.999976212562,,38,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,14999,,,,,DIAGNOSTIC,,,STANDALONE,NOT_APPLICABLE,4,True
TEN_NODE_TABLETOP,BSF8BC4,FULL,REGRESSION_ONLY,359980,14999,0,1.11022302463e-16,0.999976212562,,14,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,14999,,,,,FAIL,,,FLEET_CONTEXT,NOT_APPLICABLE,1,True
TEN_NODE_TABLETOP,BSF1120,FULL,REGRESSION_ONLY,359969,14999,0,1.11022302463e-16,0.999976190296,,62,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,14999,,,,,DIAGNOSTIC,,,STANDALONE,NOT_APPLICABLE,5,True
TEN_NODE_TABLETOP,BSF1120,FULL,REGRESSION_ONLY,359969,14999,0,1.11022302463e-16,0.999976190296,,28,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,14999,,,,,FAIL,,,FLEET_CONTEXT,NOT_APPLICABLE,1,True
TEN_NODE_TABLETOP,BSF31CC,FULL,REGRESSION_ONLY,359999,14999,0,2.22044604925e-16,0.997436501256,,88,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,14999,,,,,DIAGNOSTIC,,,STANDALONE,NOT_APPLICABLE,7,True
TEN_NODE_TABLETOP,BSF31CC,FULL,REGRESSION_ONLY,359999,14999,0,2.22044604925e-16,0.997436501256,,55,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,14999,,,,,FAIL,,,FLEET_CONTEXT,NOT_APPLICABLE,2,True
TEN_NODE_TABLETOP,BSFAA61,FULL,REGRESSION_ONLY,359960,15000,0,2.22044604925e-16,0.997182830104,,58,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,DIAGNOSTIC,,,STANDALONE,True,6,True
TEN_NODE_TABLETOP,BSFAA61,FULL,REGRESSION_ONLY,359960,15000,0,2.22044604925e-16,0.997182830104,,33,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,FAIL,,,FLEET_CONTEXT,True,2,True
TEN_NODE_TABLETOP,BSFB165,FULL,REGRESSION_ONLY,359990,15000,0,1.11022302463e-16,0.999861115975,,28,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,DIAGNOSTIC,,,STANDALONE,NOT_APPLICABLE,4,True
TEN_NODE_TABLETOP,BSFB165,FULL,REGRESSION_ONLY,359990,15000,0,1.11022302463e-16,0.999861115975,,8,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,PASS,,,FLEET_CONTEXT,NOT_APPLICABLE,0,True
TEN_NODE_TABLETOP,BSFEC35,FULL,REGRESSION_ONLY,359962,15000,0,2.22044604925e-16,0.999958194578,,2,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,DIAGNOSTIC,,,STANDALONE,NOT_APPLICABLE,0,True
TEN_NODE_TABLETOP,BSFEC35,FULL,REGRESSION_ONLY,359962,15000,0,2.22044604925e-16,0.999958194578,,1,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,PASS,,,FLEET_CONTEXT,NOT_APPLICABLE,0,True
