lane,run_id,status,start_utc,end_utc,log_path
truefull,phase4_L3_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T01:30:30Z,2026-06-07T01:38:27Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L3_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L3_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T01:38:27Z,2026-06-07T01:46:22Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L3_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L4_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T01:46:22Z,2026-06-07T01:54:20Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L4_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L4_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T01:54:20Z,2026-06-07T02:02:18Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L4_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L4_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T02:02:18Z,2026-06-07T02:10:10Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L4_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L4_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T02:10:10Z,2026-06-07T02:18:05Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L4_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L4_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T02:18:05Z,2026-06-07T02:26:02Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L4_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L5_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T02:26:02Z,2026-06-07T02:34:00Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L5_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L5_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T02:34:00Z,2026-06-07T02:41:55Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L5_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L5_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T02:41:55Z,2026-06-07T02:49:50Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L5_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L5_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T02:49:50Z,2026-06-07T02:57:45Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L5_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L5_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T02:57:45Z,2026-06-07T03:05:44Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L5_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L7_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T03:05:44Z,2026-06-07T03:13:44Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L7_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L7_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T03:13:44Z,2026-06-07T03:21:43Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L7_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L7_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T03:21:43Z,2026-06-07T03:29:36Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L7_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L7_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T03:29:36Z,2026-06-07T03:37:33Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L7_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L7_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T03:37:33Z,2026-06-07T03:45:32Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L7_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L8_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T03:45:32Z,2026-06-07T03:53:21Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L8_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L8_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T03:53:21Z,2026-06-07T04:00:48Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L8_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L8_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T04:00:48Z,2026-06-07T04:08:17Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L8_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L8_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T04:08:17Z,2026-06-07T04:15:44Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L8_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L8_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T04:15:44Z,2026-06-07T04:23:17Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L8_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L10_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T04:23:17Z,2026-06-07T04:30:44Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L10_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L10_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T04:30:44Z,2026-06-07T04:38:14Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L10_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L10_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T04:38:14Z,2026-06-07T04:45:43Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L10_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L10_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T04:45:43Z,2026-06-07T04:53:15Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L10_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L10_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T04:53:15Z,2026-06-07T05:00:45Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L10_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L11_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T05:00:45Z,2026-06-07T05:08:16Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L11_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L11_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T05:08:16Z,2026-06-07T05:15:45Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L11_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L11_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T05:15:45Z,2026-06-07T05:23:13Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L11_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L11_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T05:23:13Z,2026-06-07T05:30:42Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L11_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L11_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T05:30:42Z,2026-06-07T05:38:11Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L11_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L12_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T05:38:11Z,2026-06-07T05:45:37Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L12_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L12_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T05:45:37Z,2026-06-07T05:53:05Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L12_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L12_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T05:53:05Z,2026-06-07T06:00:34Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L12_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L12_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T06:00:34Z,2026-06-07T06:08:05Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L12_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L12_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T06:08:05Z,2026-06-07T06:15:33Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L12_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L13_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T06:15:33Z,2026-06-07T06:23:00Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L13_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L13_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T06:23:00Z,2026-06-07T06:30:30Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L13_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L13_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T06:30:30Z,2026-06-07T06:37:59Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L13_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L13_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T06:37:59Z,2026-06-07T06:45:29Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L13_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L13_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T06:45:29Z,2026-06-07T06:52:56Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L13_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L14_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T06:52:56Z,2026-06-07T07:00:25Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L14_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L14_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T07:00:25Z,2026-06-07T07:07:56Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L14_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L14_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T07:07:56Z,2026-06-07T07:15:23Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L14_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L14_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T07:15:23Z,2026-06-07T07:22:53Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L14_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L14_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T07:22:53Z,2026-06-07T07:30:22Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L14_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L15_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T07:30:22Z,2026-06-07T07:37:50Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L15_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L15_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T07:37:50Z,2026-06-07T07:45:19Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L15_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L15_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T07:45:19Z,2026-06-07T07:52:52Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L15_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L15_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T07:52:52Z,2026-06-07T08:00:20Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L15_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L15_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T08:00:20Z,2026-06-07T08:07:48Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L15_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L16_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T08:07:48Z,2026-06-07T08:15:19Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L16_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L16_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T08:15:19Z,2026-06-07T08:22:49Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L16_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L16_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T08:22:49Z,2026-06-07T08:30:22Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L16_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L16_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T08:30:22Z,2026-06-07T08:37:51Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L16_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L16_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T08:37:51Z,2026-06-07T08:45:18Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L16_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L17_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T08:45:18Z,2026-06-07T08:52:48Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L17_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L17_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T08:52:48Z,2026-06-07T08:58:55Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L17_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
