mask,facing,height,n,vdop_median,vdop_p95,gdop_median,radial_p95_median,pct_ge8_median
dropBG,BCGF,mid,2,1.2192614078521729,1.2990288019180298,1.5840595364570618,82.58665185358097,91.7116985845129
dropBG,CDHG,high,2,0.926103264093399,0.9280971378087998,1.3278604745864868,115.29532142575104,93.58867610324731
dropBG,CDHG,low,2,0.9332393407821655,0.9797802805900574,1.3791131377220154,179.82700603813663,90.3413821815154
dropBG,CDHG,mid,2,1.086462378501892,1.11602783203125,1.4401813745498657,120.72604325592548,92.9225645295587
dropBH,ABEF,high,2,0.9586845338344574,1.0028873652219772,1.4393474459648132,106.63362100495875,91.7985012489592
dropBH,ABEF,low,2,0.9064299166202545,0.9481286376714706,1.3699753880500793,113.40754186680162,92.12530703146321
dropBH,ABEF,mid,2,1.3142494559288025,1.3196142494678498,1.7213415503501892,115.40944847510812,93.6684707188454
dropBH,ADHE,high,2,0.9266863465309143,1.0014056622982026,1.3749406933784485,104.66248926254788,91.96502914238135
dropBH,ADHE,low,2,0.9990764856338501,1.0942821383476258,1.434133768081665,137.55633401300634,91.09075770191507
dropBH,ADHE,mid,2,1.1978232860565186,1.2922435879707337,1.602982997894287,77.7054933473849,90.7993338884263
dropBH,BCGF,high,2,1.0032246708869934,1.0371847093105315,1.43760746717453,109.62870113291399,92.75603663613657
dropBH,BCGF,low,2,0.8429786264896393,0.9204279750585556,1.331871211528778,91.98003244102073,93.37461345459269
dropBH,BCGF,mid,2,1.256015956401825,1.303885179758072,1.6548028588294983,82.58665185358097,91.7116985845129
dropBH,CDHG,high,2,0.9513942897319794,0.9547173053026199,1.3931742906570435,115.29532142575104,93.58867610324731
dropBH,CDHG,low,2,0.8941080272197723,0.9197434812784195,1.3921319842338562,179.82700603813663,90.3413821815154
dropBH,CDHG,mid,2,1.226166009902954,1.3031674027442932,1.6252041459083557,120.72604325592548,92.9225645295587
dropCD,ABEF,high,2,1.0879427194595337,1.2281827688217164,1.4692863821983337,106.63362100495875,91.7985012489592
dropCD,ABEF,low,2,0.7524323463439941,0.7641685128211975,1.2703132629394531,113.40754186680162,92.12530703146321
dropCD,ABEF,mid,2,1.1524337530136108,1.1813696384429933,1.5056055784225464,115.40944847510812,93.6684707188454
dropCD,ADHE,high,2,1.2529310584068298,1.2702135503292085,1.5790796279907227,104.66248926254788,91.96502914238135
dropCD,ADHE,low,2,0.7489343285560608,0.76175936460495,1.244975507259369,137.55633401300634,91.09075770191507
dropCD,ADHE,mid,2,1.1751387119293213,1.2028515100479127,1.5051807165145874,77.7054933473849,90.7993338884263
dropCD,BCGF,high,2,1.182534635066986,1.2475545465946198,1.5225830078125,109.62870113291399,92.75603663613657
dropCD,BCGF,low,2,0.738010585308075,0.7708396434783935,1.2599111795425415,91.98003244102073,93.37461345459269
dropCD,BCGF,mid,2,1.1483582854270935,1.1805800378322602,1.481143593788147,82.58665185358097,91.7116985845129
dropCD,CDHG,high,2,1.3959678411483765,1.5675073385238647,1.7058387398719788,115.29532142575104,93.58867610324731
dropCD,CDHG,low,2,0.7460457682609558,0.7528363168239594,1.2488577365875244,179.82700603813663,90.3413821815154
dropCD,CDHG,mid,2,1.2274919748306274,1.2782935500144958,1.536869764328003,120.72604325592548,92.9225645295587
dropCE,ABEF,high,2,0.8760442137718201,0.9512647807598114,1.3456052541732788,106.63362100495875,91.7985012489592
dropCE,ABEF,low,2,0.9723623692989349,0.9798679143190384,1.426675021648407,113.40754186680162,92.12530703146321
dropCE,ABEF,mid,2,1.2051398158073425,1.2233799636363982,1.602397620677948,115.40944847510812,93.6684707188454
dropCE,ADHE,high,2,0.9019950926303864,0.9474238008260727,1.354746401309967,104.66248926254788,91.96502914238135
dropCE,ADHE,low,2,0.9229640662670135,0.9730343371629715,1.376461148262024,137.55633401300634,91.09075770191507
dropCE,ADHE,mid,2,1.1245136260986328,1.2021275281906127,1.5225756764411926,77.7054933473849,90.7993338884263
dropCE,BCGF,high,2,0.9664584100246429,0.9761685699224472,1.4024770259857178,109.62870113291399,92.75603663613657
