experiment_id,seed_id,wall_time_s,status
X_A0_U4_P1_L20_I6_T3,S00,6.715437589009525,ok
X_A0_U4_P1_L20_I6_T4,S00,6.171374074998312,ok
X_A0_U4_P1_L20_I6_T5,S00,6.691421200986952,ok
X_A0_U4_P1_L20_I7_T1,S00,0.12391195198870264,ok
X_A0_U4_P1_L20_I7_T2,S00,6.74785880302079,ok
X_A0_U4_P1_L20_I7_T3,S00,6.32702248901478,ok
X_A0_U4_P1_L20_I7_T4,S00,6.5399814450065605,ok
X_A0_U4_P1_L20_I7_T5,S00,6.471559539990267,ok
X_A0_U4_P1_L20_I8_T1,S00,0.11926392698660493,ok
X_A0_U4_P1_L20_I8_T2,S00,6.461406480986625,ok
X_A0_U4_P1_L20_I8_T3,S00,6.598135167994769,ok
X_A0_U4_P1_L20_I8_T4,S00,6.473854537005536,ok
X_A0_U4_P1_L20_I8_T5,S00,6.254795791988727,ok
X_A0_U4_P2_L20_I0_T1,S00,0.13964609798858874,ok
X_A0_U4_P2_L20_I0_T2,S00,6.588350669015199,ok
X_A0_U4_P2_L20_I0_T3,S00,6.723210818017833,ok
X_A0_U4_P2_L20_I0_T4,S00,6.649046478996752,ok
X_A0_U4_P2_L20_I0_T5,S00,6.566216623992659,ok
X_A0_U4_P2_L20_I1_T1,S00,0.13049223300185986,ok
X_A0_U4_P2_L20_I1_T2,S00,6.6563273390056565,ok
X_A0_U4_P2_L20_I1_T3,S00,6.7298818170093,ok
X_A0_U4_P2_L20_I1_T4,S00,6.409442388016032,ok
X_A0_U4_P2_L20_I1_T5,S00,6.488904219004326,ok
X_A0_U4_P2_L20_I2_T1,S00,0.28570009500253946,ok
X_A0_U4_P2_L20_I2_T2,S00,6.746624665014679,ok
X_A0_U4_P2_L20_I2_T3,S00,6.4148935160192195,ok
X_A0_U4_P2_L20_I2_T4,S00,6.580452977999812,ok
X_A0_U4_P2_L20_I2_T5,S00,6.505223273008596,ok
X_A0_U4_P2_L20_I3_T1,S00,0.15048100301646627,ok
X_A0_U4_P2_L20_I3_T2,S00,6.541681134985993,ok
X_A0_U4_P2_L20_I3_T3,S00,6.476895786006935,ok
X_A0_U4_P2_L20_I3_T4,S00,6.567273941996973,ok
X_A0_U4_P2_L20_I3_T5,S00,6.607392812991748,ok
X_A0_U4_P2_L20_I4_T1,S00,0.12044588700518943,ok
X_A0_U4_P2_L20_I4_T2,S00,6.4488553310220595,ok
X_A0_U4_P2_L20_I4_T3,S00,6.3773163379810285,ok
X_A0_U4_P2_L20_I4_T4,S00,6.640204466006253,ok
X_A0_U4_P2_L20_I4_T5,S00,6.490875795978354,ok
X_A0_U4_P2_L20_I5_T1,S00,0.18067629699362442,ok
X_A0_U4_P2_L20_I5_T2,S00,6.368548470985843,ok
X_A0_U4_P2_L20_I5_T3,S00,6.407390499021858,ok
X_A0_U4_P2_L20_I5_T4,S00,6.532141344010597,ok
X_A0_U4_P2_L20_I5_T5,S00,6.559858227003133,ok
X_A0_U4_P2_L20_I6_T1,S00,0.1183345309982542,ok
X_A0_U4_P2_L20_I6_T2,S00,6.565113288001157,ok
X_A0_U4_P2_L20_I6_T3,S00,6.333561681996798,ok
X_A0_U4_P2_L20_I6_T4,S00,6.691386836988386,ok
X_A0_U4_P2_L20_I6_T5,S00,6.48560715597705,ok
X_A0_U4_P2_L20_I7_T1,S00,0.11752306600101292,ok
X_A0_U4_P2_L20_I7_T2,S00,6.381199982017279,ok
X_A0_U4_P2_L20_I7_T3,S00,6.518543934012996,ok
X_A0_U4_P2_L20_I7_T4,S00,6.461596131004626,ok
X_A0_U4_P2_L20_I7_T5,S00,6.175239342992427,ok
X_A0_U4_P2_L20_I8_T1,S00,0.11657363598351367,ok
X_A0_U4_P2_L20_I8_T2,S00,6.796077938983217,ok
X_A0_U4_P2_L20_I8_T3,S00,6.607316592999268,ok
X_A0_U4_P2_L20_I8_T4,S00,6.7404253800050355,ok
X_A0_U4_P2_L20_I8_T5,S00,6.582967757014558,ok
X_A0_U4_P3_L20_I0_T1,S00,0.11607197398552671,ok
X_A0_U4_P3_L20_I0_T2,S00,6.8851470930094365,ok
X_A0_U4_P3_L20_I0_T3,S00,6.492017613985809,ok
X_A0_U4_P3_L20_I0_T4,S00,6.512336559011601,ok
X_A0_U4_P3_L20_I0_T5,S00,6.572019137995085,ok
X_A0_U4_P3_L20_I1_T1,S00,0.11463163100415841,ok
X_A0_U4_P3_L20_I1_T2,S00,6.888121318013873,ok
X_A0_U4_P3_L20_I1_T3,S00,6.43175652201171,ok
