figure_path,figure_kind,phase,experiment_id,capture_id,tag,metric_context,notes
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I3_T2/X_A0_U4_P0_L7_I3_T2__R03__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I3_T2,R03,BS2DCE,worst-track P95=293.0 mm,neutral_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I3_T2/X_A0_U4_P0_L7_I3_T2__R08__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I3_T2,R08,BS2DCE,worst-track P95=304.4 mm,neutral_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I3_T2/X_A0_U4_P0_L7_I3_T2__R09__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I3_T2,R09,BS2DCE,worst-track P95=327.1 mm,neutral_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_U4_P0_L7_I4_T2__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_U4_P0_L7_I4_T2,R01-R17,both,all-track top-view contact sheet,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I4_T2/X_A0_U4_P0_L7_I4_T2__R01__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I4_T2,R01,BS2DCE,worst-track P95=464.0 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I4_T2/X_A0_U4_P0_L7_I4_T2__R09__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I4_T2,R09,BS2DCE,worst-track P95=329.2 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I4_T2/X_A0_U4_P0_L7_I4_T2__R16__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I4_T2,R16,BSDC91,worst-track P95=336.1 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I4_T2/X_A0_U4_P0_L7_I4_T2__R17__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I4_T2,R17,BS2DCE,worst-track P95=340.8 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_U4_P0_L7_I4_T5__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_U4_P0_L7_I4_T5,R01-R17,both,all-track top-view contact sheet,neutral_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I4_T5/X_A0_U4_P0_L7_I4_T5__R01__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I4_T5,R01,BS2DCE,worst-track P95=589.3 mm,neutral_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I4_T5/X_A0_U4_P0_L7_I4_T5__R02__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I4_T5,R02,BS2DCE,worst-track P95=329.4 mm,neutral_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I4_T5/X_A0_U4_P0_L7_I4_T5__R05__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I4_T5,R05,BS2DCE,worst-track P95=331.5 mm,neutral_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I4_T5/X_A0_U4_P0_L7_I4_T5__R09__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I4_T5,R09,BS2DCE,worst-track P95=343.3 mm,neutral_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_U4_P0_L8_I1+I2+I3+I8_T3__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_U4_P0_L8_I1+I2+I3+I8_T3,R01-R17,both,all-track top-view contact sheet,deployable_help_candidate
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L8_I1+I2+I3+I8_T3/X_A0_U4_P0_L8_I1+I2+I3+I8_T3__R01__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L8_I1+I2+I3+I8_T3,R01,BS2DCE,worst-track P95=373.7 mm,deployable_help_candidate
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L8_I1+I2+I3+I8_T3/X_A0_U4_P0_L8_I1+I2+I3+I8_T3__R05__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L8_I1+I2+I3+I8_T3,R05,BS2DCE,worst-track P95=320.5 mm,deployable_help_candidate
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L8_I1+I2+I3+I8_T3/X_A0_U4_P0_L8_I1+I2+I3+I8_T3__R09__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L8_I1+I2+I3+I8_T3,R09,BS2DCE,worst-track P95=301.0 mm,deployable_help_candidate
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L8_I1+I2+I3+I8_T3/X_A0_U4_P0_L8_I1+I2+I3+I8_T3__R17__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L8_I1+I2+I3+I8_T3,R17,BS2DCE,worst-track P95=299.6 mm,deployable_help_candidate
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_U4_P2_L3_I1_T2__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_U4_P2_L3_I1_T2,R01-R17,both,all-track top-view contact sheet,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P2_L3_I1_T2/X_A0_U4_P2_L3_I1_T2__R03__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P2_L3_I1_T2,R03,BS2DCE,worst-track P95=239.0 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P2_L3_I1_T2/X_A0_U4_P2_L3_I1_T2__R03__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P2_L3_I1_T2,R03,BSDC91,worst-track P95=210.6 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P2_L3_I1_T2/X_A0_U4_P2_L3_I1_T2__R09__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P2_L3_I1_T2,R09,BS2DCE,worst-track P95=286.5 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P2_L3_I1_T2/X_A0_U4_P2_L3_I1_T2__R10__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P2_L3_I1_T2,R10,BS2DCE,worst-track P95=209.8 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_U4_P2_L8_I1+I2+I3+I8_T3__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_U4_P2_L8_I1+I2+I3+I8_T3,R01-R17,both,all-track top-view contact sheet,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P2_L8_I1+I2+I3+I8_T3/X_A0_U4_P2_L8_I1+I2+I3+I8_T3__R05__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P2_L8_I1+I2+I3+I8_T3,R05,BS2DCE,worst-track P95=278.8 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P2_L8_I1+I2+I3+I8_T3/X_A0_U4_P2_L8_I1+I2+I3+I8_T3__R09__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P2_L8_I1+I2+I3+I8_T3,R09,BS2DCE,worst-track P95=274.9 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P2_L8_I1+I2+I3+I8_T3/X_A0_U4_P2_L8_I1+I2+I3+I8_T3__R12__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P2_L8_I1+I2+I3+I8_T3,R12,BS2DCE,worst-track P95=271.6 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P2_L8_I1+I2+I3+I8_T3/X_A0_U4_P2_L8_I1+I2+I3+I8_T3__R17__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P2_L8_I1+I2+I3+I8_T3,R17,BS2DCE,worst-track P95=276.7 mm,top_position_score
