config,layout_source,correction_source,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope_mm_per_m
L_V4+C_none,L_V4,C_none,58.0,57.914877266619605,82.8840422863538,132.20276563152302,85.65465475152587
L_V4+C_none,L_V4,C_none,60.0,57.8914795946671,81.23282497343324,130.05682480031044,81.88383793933683
L_V4+C_none,L_V4,C_none,62.0,58.47990720114865,79.67069191794465,128.03149032772373,78.15246036050557
L_V4+C_none,L_V4,C_none,64.0,58.76889647606952,78.20128473331812,126.07723307108076,74.45964286772976
L_V4+C_none,L_V4,C_none,66.0,59.052892289358326,76.82541159075495,124.2000683848608,70.80166421311135
L_V4+C_none,L_V4,C_none,68.0,59.33883281643786,75.54831700978382,122.3896887328832,67.17630642984967
L_V4+C_none,L_V4,C_none,70.0,59.433653885563885,74.37470862263304,120.66013763571672,63.58365711672808
L_V4+C_none,L_V4,C_none,72.0,59.39905910885901,73.30648461184633,119.01118301901984,60.02241581835038
L_V4+C_none,L_V4,C_none,74.0,59.47331920056725,72.34496547911291,117.43265912957072,56.488421823176886
L_V4+C_none,L_V4,C_none,76.0,58.9872109533902,71.49133071125914,115.92416806630904,52.98245664055962
L_V4+C_none,L_V4,C_none,78.0,57.1189990427462,70.74822992969578,114.71154472216988,49.505466013900005
L_V4+C_none,L_V4,C_none,80.0,54.722353890958175,70.11818283457171,114.12854064535682,46.05482569301438
L_V4+C_none,L_V4,C_none,82.0,53.47215051297608,69.60313303987265,113.6232595004676,42.62774724861927
L_V4+C_none,L_V4,C_none,84.0,52.715072767087065,69.19883263706382,113.16872887410386,39.22006108949404
L_V4+C_none,L_V4,C_none,86.0,51.898395501927965,68.90537769924137,112.76910851530631,35.83217832019554
L_V4+C_none,L_V4,C_none,88.0,51.119131722637206,68.71774856603972,112.68074209668876,32.459035744778795
L_V4+C_none,L_V4,C_none,90.0,52.36300799507036,68.6326821174235,115.75007330891748,29.096011892237684
L_V4+C_none,L_V4,C_none,92.0,53.824946872021656,68.64961426918661,118.69447788757584,25.74448669786701
L_V4+C_none,L_V4,C_none,94.0,54.3676285037517,68.7667606621886,121.49848264464347,22.40229362155817
L_V4+C_none,L_V4,C_none,96.0,54.030846978156816,68.98052362077128,124.13941541923413,19.069597942744508
L_V4+C_none,L_V4,C_none,98.0,54.16183030274964,69.28863185648305,126.6196859911656,15.747951094341506
L_V4+C_none,L_V4,C_none,100.0,54.8358895409166,69.688637946784,128.93340822852818,12.434926884310562
L_V4+C_none,L_V4,C_none,102.0,55.58654924536075,70.18122791010815,130.21322440289202,9.12887115064605
L_V4+C_none,L_V4,C_none,104.0,57.79570360609236,70.76372250594775,127.021182995415,5.832952040734262
L_V4+C_none,L_V4,C_none,106.0,59.03062836305742,71.43158720503288,123.8883426208494,2.54417256599848
L_V4+C_none,L_V4,C_none,108.0,60.087026490977294,72.1824417761453,120.81683802708912,-0.737909598709162
L_V4+C_none,L_V4,C_none,110.0,61.17747113758196,73.0180186185431,117.81633341853085,-4.012842187628388
L_V4+C_none,L_V4,C_none,112.0,62.307047119626695,73.93537840899234,114.94071384428304,-7.278859277706744
L_V4+C_none,L_V4,C_none,114.0,63.25774496786486,74.93337847009107,112.52441078651404,-10.535462680592266
L_V4+C_none,L_V4,C_none,116.0,64.18304645774737,76.00893453705208,110.17900234409848,-13.788804025248254
L_V4+C_none,L_V4,C_none,118.0,65.12655104023406,77.15831198409752,111.89688967895523,-17.03367784685061
L_V4+C_none,L_V4,C_none,120.0,66.0957614758158,78.37824024794656,114.7747846369874,-20.26269570774817
L_V4+C_V5,L_V4,C_V5,0.0,59.83258999663252,75.28051109111345,117.66010643864962,-10.569472962494112
L_V4+C_V5,L_V4,C_V5,2.0,60.26012381682102,76.2617719178779,115.61481758639069,-13.657216692703397
L_V4+C_V5,L_V4,C_V5,4.0,60.81097142951214,77.32307999523222,115.80778927647484,-16.732300234340638
L_V4+C_V5,L_V4,C_V5,6.0,61.689185035434974,78.45741099478019,118.14919808256089,-19.795930915372203
L_V4+C_V5,L_V4,C_V5,8.0,63.08318655445692,79.66068957263762,120.96836827428386,-22.84863237613494
L_V4+C_V5,L_V4,C_V5,10.0,64.57949530450279,80.93009224061733,123.80147519389624,-25.88796315502958
L_V4+C_V5,L_V4,C_V5,12.0,66.18443117603636,82.25830428407195,126.62520296842092,-28.913784742578507
L_V4+C_V5,L_V4,C_V5,14.0,67.89595031563981,83.64034378707957,129.43106404486767,-31.92611594315209
L_V4+C_V5,L_V4,C_V5,16.0,69.7246169029344,85.0752880177354,132.22024810538,-34.92933227132573
L_V4+C_V5,L_V4,C_V5,18.0,71.66375840484186,86.55737814908284,134.97805978970104,-37.920884121707786
L_V4+C_V5,L_V4,C_V5,20.0,73.7131476516395,88.08414590182981,137.70130779572926,-40.89750866512728
L_V4+C_V5,L_V4,C_V5,22.0,75.87256018877369,89.64838716206826,140.38598357065266,-43.86054810370189
L_V4+C_V5,L_V4,C_V5,24.0,78.13604807813972,91.24509886811862,143.03171931756268,-46.81224308966614
L_V4+C_V5,L_V4,C_V5,26.0,80.49001157198063,92.8734911185932,145.69686116605175,-49.75343962069449
L_V4+C_V5,L_V4,C_V5,28.0,82.91922641303611,94.52673935550168,148.3363462448354,-52.68687494165152
L_V4+C_V5,L_V4,C_V5,30.0,84.61938263004112,96.20230507153197,149.82239329824534,-55.61078249248544
L_V4+C_V5,L_V4,C_V5,32.0,85.24164289812063,97.89727787243498,150.9426857803607,-58.52054434317978
L_V4+C_V5,L_V4,C_V5,34.0,86.30403747763894,99.61541165279276,152.03795948798862,-61.41796276972128
L_V4+C_V5,L_V4,C_V5,36.0,88.96364252284097,101.35175572533764,153.1270710438739,-64.29906116477848
L_V4+C_V5,L_V4,C_V5,38.0,91.66897624861936,103.10560829015316,154.21525588672824,-67.16154590513646
