sweep,rx_id,rx,source_kind,tx_id,tx,source_addr,directed_link,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp1,fp_amp2,fp_amp3,fp_amp_sum,max_growth_cir,rx_pream_count,std_noise,max_noise,snr_proxy,peak_over_fp,noise_over_fp,raw_line,round_master,raw_distance_valid,valid_raw_distance_mm
3,4,E,A,0,A,0xa100,E<-A,-1,82815601,-3196,47725,7665,7496,5315,20476,2230,124,44,1033,465.3636363636364,0.10890798984176597,0.0021488571986716157,[AUTOPOS] ANCHOR_CTRL[1] notify: ACRX;1;3;4;A;0;0xa100;-1;82815601;-3196;47725;7665;7496;5315;2230;124;44;1033,A,False,
3,5,F,A,0,A,0xa100,F<-A,-1,695727250,3329,47734,6447,7083,4395,17925,1654,123,44,989,407.3863636363636,0.09227336122733612,0.0024546722454672244,[AUTOPOS] ANCHOR_CTRL[4] notify: ACRX;1;3;5;A;0;0xa100;-1;695727250;3329;47734;6447;7083;4395;1654;123;44;989,A,False,
3,7,H,A,0,A,0xa100,H<-A,-1,3818317982,-1689,47770,6630,7320,6440,20390,1937,118,48,1124,424.7916666666667,0.09499754781755762,0.0023540951446787643,[AUTOPOS] ANCHOR_CTRL[0] notify: ACRX;1;3;7;A;0;0xa100;-1;3818317982;-1689;47770;6630;7320;6440;1937;118;48;1124,A,False,
2,0,A,A,1,B,0xa101,A<-B,4832,3581147157,-839,48137,3642,6585,6909,17136,2060,122,48,1091,357.0,0.12021475256769375,0.0028011204481792717,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;2;0;A;1;0xa101;4832;3581147157;-839;48137;3642;6585;6909;2060;122;48;1091,A,True,4832.0
2,0,A,A,2,C,0xa102,A<-C,5173,311491425,-314,47957,1691,3385,2975,8051,1581,122,24,462,335.4583333333333,0.19637312135138493,0.0029809961495466403,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;2;0;A;2;0xa102;5173;311491425;-314;47957;1691;3385;2975;1581;122;24;462,A,True,5173.0
4,2,C,A,0,A,0xa100,C<-A,-1,4202355811,-2889,47719,2003,3133,2310,7446,1414,122,28,496,265.92857142857144,0.1899006177813591,0.0037604082728982004,[AUTOPOS] ANCHOR_CTRL[2] notify: ACRX;1;4;2;A;0;0xa100;-1;4202355811;-2889;47719;2003;3133;2310;1414;122;28;496,A,False,
4,1,B,A,0,A,0xa100,B<-A,-1,2465307830,-1506,47786,1312,1378,1013,3703,82,31,12,213,308.5833333333333,0.022144207399405886,0.0032406157169862274,[AUTOPOS] ANCHOR_CTRL[6] notify: ACRX;1;4;1;A;0;0xa100;-1;2465307830;-1506;47786;1312;1378;1013;82;31;12;213,A,False,
4,4,E,A,0,A,0xa100,E<-A,-1,3633409542,-3393,47618,7342,7314,7185,21841,1970,118,44,1080,496.3863636363636,0.09019733528684584,0.002014559772904171,[AUTOPOS] ANCHOR_CTRL[1] notify: ACRX;1;4;4;A;0;0xa100;-1;3633409542;-3393;47618;7342;7314;7185;1970;118;44;1080,A,False,
3,3,D,A,0,A,0xa100,D<-A,-1,2187076247,-915,47771,6437,7680,7078,21195,2463,124,56,1305,378.48214285714283,0.116206652512385,0.002642132578438311,[AUTOPOS] ANCHOR_CTRL[7] notify: ACRX;1;3;3;A;0;0xa100;-1;2187076247;-915;47771;6437;7680;7078;2463;124;56;1305,A,False,
4,5,F,A,0,A,0xa100,F<-A,-1,4254078504,3224,47620,2534,6248,6720,15502,1550,119,40,900,387.55,0.09998709843891111,0.0025803122177783513,[AUTOPOS] ANCHOR_CTRL[4] notify: ACRX;1;4;5;A;0;0xa100;-1;4254078504;3224;47620;2534;6248;6720;1550;119;40;900,A,False,
2,0,A,A,4,E,0xa104,A<-E,1638,1903728430,2761,47898,7296,7297,7340,21933,2178,122,52,1222,421.78846153846155,0.09930242100943783,0.0023708566999498474,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;2;0;A;4;0xa104;1638;1903728430;2761;47898;7296;7297;7340;2178;122;52;1222,A,True,1638.0
2,0,A,A,5,F,0xa105,A<-F,4614,2921090138,-6651,47718,6138,6802,5020,17960,1467,122,40,860,449.0,0.0816815144766147,0.0022271714922048997,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;2;0;A;5;0xa105;4614;2921090138;-6651;47718;6138;6802;5020;1467;122;40;860,A,True,4614.0
2,0,A,A,7,H,0xa107,A<-H,3197,284316513,1502,47957,7444,7005,6952,21401,2373,122,48,1127,445.8541666666667,0.11088266903415728,0.002242885846455773,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;2;0;A;7;0xa107;3197;284316513;1502;47957;7444;7005;6952;2373;122;48;1127,A,True,3197.0
3,6,G,A,0,A,0xa100,G<-A,-1,3696175970,-7391,47982,7241,6942,4745,18928,2102,121,32,758,591.5,0.1110524091293322,0.0016906170752324597,[AUTOPOS] ANCHOR_CTRL[3] notify: ACRX;1;3;6;A;0;0xa100;-1;3696175970;-7391;47982;7241;6942;4745;2102;121;32;758,A,False,
4,7,H,A,0,A,0xa100,H<-A,-1,3526490954,-1628,47934,6950,7254,3992,18196,2220,120,40,934,454.9,0.12200483622774236,0.0021982853374367993,[AUTOPOS] ANCHOR_CTRL[0] notify: ACRX;1;4;7;A;0;0xa100;-1;3526490954;-1628;47934;6950;7254;3992;2220;120;40;934,A,False,
5,2,C,A,0,A,0xa100,C<-A,-1,3893779031,-1845,47699,1933,2885,2715,7533,1410,118,24,478,313.875,0.1871764237355635,0.0031859816806053365,[AUTOPOS] ANCHOR_CTRL[2] notify: ACRX;1;5;2;A;0;0xa100;-1;3893779031;-1845;47699;1933;2885;2715;1410;118;24;478,A,False,
5,1,B,A,0,A,0xa100,B<-A,-1,2145023732,-2226,47856,7230,6981,4811,19022,2185,121,40,949,475.55,0.11486699610976764,0.002102828304068973,[AUTOPOS] ANCHOR_CTRL[6] notify: ACRX;1;5;1;A;0;0xa100;-1;2145023732;-2226;47856;7230;6981;4811;2185;121;40;949,A,False,
4,3,D,A,0,A,0xa100,D<-A,-1,2135668260,-1259,47640,5981,7030,7103,20114,2289,121,64,1491,314.28125,0.11380133240528985,0.003181863378741175,[AUTOPOS] ANCHOR_CTRL[7] notify: ACRX;1;4;3;A;0;0xa100;-1;2135668260;-1259;47640;5981;7030;7103;2289;121;64;1491,A,False,
3,0,A,A,1,B,0xa101,A<-B,4734,2998284666,-593,47990,7281,6860,4330,18471,2685,122,44,1040,419.79545454545456,0.14536300146175085,0.0023821125006767366,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;3;0;A;1;0xa101;4734;2998284666;-593;47990;7281;6860;4330;2685;122;44;1040,A,True,4734.0
3,0,A,A,4,E,0xa104,A<-E,1660,1159369640,2878,48028,7573,7562,7251,22386,2287,122,52,1215,430.5,0.10216206557669973,0.0023228803716608595,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;3;0;A;4;0xa104;1660;1159369640;2878;48028;7573;7562;7251;2287;122;52;1215,A,True,1660.0
3,0,A,A,5,F,0xa105,A<-F,4640,2184456393,-6785,47837,5867,7012,5723,18602,1537,122,40,902,465.05,0.08262552413718954,0.0021503064186646596,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;3;0;A;5;0xa105;4640;2184456393;-6785;47837;5867;7012;5723;1537;122;40;902,A,True,4640.0
3,0,A,A,6,G,0xa106,A<-G,5316,3209460398,4547,47762,7244,7205,6989,21438,2365,122,40,936,535.95,0.11031812669092265,0.0018658456945610598,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;3;0;A;6;0xa106;5316;3209460398;4547;47762;7244;7205;6989;2365;122;40;936,A,True,5316.0
5,4,E,A,0,A,0xa100,E<-A,-1,3612299298,-3293,47646,7413,7414,6938,21765,2198,120,60,1400,362.75,0.10098782448885826,0.0027567195037904893,[AUTOPOS] ANCHOR_CTRL[1] notify: ACRX;1;5;4;A;0;0xa100;-1;3612299298;-3293;47646;7413;7414;6938;2198;120;60;1400,A,False,
3,0,A,A,7,H,0xa107,A<-H,3158,4287465126,1536,47770,6927,7628,7009,21564,2605,122,44,1075,490.09090909090907,0.12080319050268967,0.0020404377666481174,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;3;0;A;7;0xa107;3158;4287465126;1536;47770;6927;7628;7009;2605;122;44;1075,A,True,3158.0
4,0,A,A,1,B,0xa101,A<-B,4795,2678009161,-881,47933,7273,6696,3803,17772,2530,122,56,1315,317.35714285714283,0.14235876659914473,0.0031510240828269186,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;4;0;A;1;0xa101;4795;2678009161;-881;47933;7273;6696;3803;2530;122;56;1315,A,True,4795.0
6,2,C,A,0,A,0xa100,C<-A,-1,3768948734,-3309,47618,1893,2280,3160,7333,1418,125,24,436,305.5416666666667,0.19337242601936452,0.003272876039819992,[AUTOPOS] ANCHOR_CTRL[2] notify: ACRX;1;6;2;A;0;0xa100;-1;3768948734;-3309;47618;1893;2280;3160;1418;125;24;436,A,False,
6,1,B,A,0,A,0xa100,B<-A,-1,1976538914,-2672,46870,1228,3252,2754,7234,1615,119,36,754,200.94444444444446,0.22325131324301908,0.0049764998617638926,[AUTOPOS] ANCHOR_CTRL[6] notify: ACRX;1;6;1;A;0;0xa100;-1;1976538914;-2672;46870;1228;3252;2754;1615;119;36;754,A,False,
5,3,D,A,0,A,0xa100,D<-A,-1,1701389123,-1334,47935,7327,7154,3616,18097,2202,119,60,1405,301.6166666666667,0.12167762612587722,0.0033154666519312594,[AUTOPOS] ANCHOR_CTRL[7] notify: ACRX;1;5;3;A;0;0xa100;-1;1701389123;-1334;47935;7327;7154;3616;2202;119;60;1405,A,False,
6,4,E,A,0,A,0xa100,E<-A,-1,3481651973,-3342,47881,7328,7321,6995,21644,2010,118,44,1034,491.90909090909093,0.09286638329329144,0.002032895952688967,[AUTOPOS] ANCHOR_CTRL[1] notify: ACRX;1;6;4;A;0;0xa100;-1;3481651973;-3342;47881;7328;7321;6995;2010;118;44;1034,A,False,
5,5,F,A,0,A,0xa100,F<-A,-1,4241855974,3048,48082,5272,7141,6872,19285,1816,121,52,1165,370.86538461538464,0.09416645060928183,0.002696396162820845,[AUTOPOS] ANCHOR_CTRL[4] notify: ACRX;1;5;5;A;0;0xa100;-1;4241855974;3048;48082;5272;7141;6872;1816;121;52;1165,A,False,
6,5,F,A,0,A,0xa100,F<-A,-1,4106691337,2821,47853,5578,6392,4386,16356,1522,122,48,983,340.75,0.09305453656150649,0.00293470286133529,[AUTOPOS] ANCHOR_CTRL[4] notify: ACRX;1;6;5;A;0;0xa100;-1;4106691337;2821;47853;5578;6392;4386;1522;122;48;983,A,False,
5,7,H,A,0,A,0xa100,H<-A,-1,3341824923,-2097,48031,7572,7738,6711,22021,2371,124,40,981,550.525,0.10766995141001771,0.0018164479360610326,[AUTOPOS] ANCHOR_CTRL[0] notify: ACRX;1;5;7;A;0;0xa100;-1;3341824923;-2097;48031;7572;7738;6711;2371;124;40;981,A,False,
6,7,H,A,0,A,0xa100,H<-A,-1,2888689097,-2344,48061,6904,7065,3869,17838,2081,120,44,986,405.40909090909093,0.11666106065702433,0.0024666442426280973,[AUTOPOS] ANCHOR_CTRL[0] notify: ACRX;1;6;7;A;0;0xa100;-1;2888689097;-2344;48061;6904;7065;3869;2081;120;44;986,A,False,
4,0,A,A,2,C,0xa102,A<-C,5170,3703483547,-415,47759,1821,2982,3248,8051,1579,122,32,630,251.59375,0.19612470500558937,0.003974661532728853,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;4;0;A;2;0xa102;5170;3703483547;-415;47759;1821;2982;3248;1579;122;32;630,A,True,5170.0
4,0,A,A,4,E,0xa104,A<-E,1728,1138275238,2815,48010,6960,7391,7188,21539,1908,122,44,1036,489.52272727272725,0.08858349969822182,0.002042806072705325,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;4;0;A;4;0xa104;1728;1138275238;2815;48010;6960;7391;7188;1908;122;44;1036,A,True,1728.0
4,0,A,A,5,F,0xa105,A<-F,4640,2172214016,-7028,47892,4382,6250,5481,16113,1309,122,44,899,366.20454545454544,0.08123875131881089,0.0027307143300440637,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;4;0;A;5;0xa105;4640;2172214016;-7028;47892;4382;6250;5481;1309;122;44;899,A,True,4640.0
4,0,A,A,7,H,0xa107,A<-H,3169,4102808154,1538,47694,7360,7153,7368,21881,2310,122,48,1127,455.8541666666667,0.10557104337096111,0.002193684018097893,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;4;0;A;7;0xa107;3169;4102808154;1538;47694;7360;7153;7368;2310;122;48;1127,A,True,3169.0
5,0,A,A,1,B,0xa101,A<-B,2540,2509534543,-1119,47947,4350,6953,6986,18289,2089,122,48,1078,381.0208333333333,0.11422166329487671,0.002624528405052217,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;5;0;A;1;0xa101;2540;2509534543;-1119;47947;4350;6953;6986;2089;122;48;1078,A,True,2540.0
5,0,A,A,3,D,0xa103,A<-D,2814,4292844527,574,54243,5444,7453,6270,19167,1549,122,44,1042,435.6136363636364,0.08081598580894245,0.002295612250221735,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;5;0;A;3;0xa103;2814;4292844527;574;54243;5444;7453;6270;1549;122;44;1042,A,True,2814.0
7,2,C,A,0,A,0xa100,C<-A,-1,1672592332,-3044,48072,1918,2359,3048,7325,1326,120,24,434,305.2083333333333,0.18102389078498293,0.0032764505119453925,[AUTOPOS] ANCHOR_CTRL[2] notify: ACRX;1;7;2;A;0;0xa100;-1;1672592332;-3044;48072;1918;2359;3048;1326;120;24;434,A,False,
7,1,B,A,0,A,0xa100,B<-A,-1,4224508053,-1667,47753,4647,7262,7287,19196,2419,123,40,942,479.9,0.1260158366326318,0.002083767451552407,[AUTOPOS] ANCHOR_CTRL[6] notify: ACRX;1;7;1;A;0;0xa100;-1;4224508053;-1667;47753;4647;7262;7287;2419;123;40;942,A,False,
6,3,D,A,0,A,0xa100,D<-A,-1,3863506465,-972,47645,7117,7387,7204,21708,2792,125,56,1365,387.64285714285717,0.12861617836742215,0.002579694121982679,[AUTOPOS] ANCHOR_CTRL[7] notify: ACRX;1;6;3;A;0;0xa100;-1;3863506465;-972;47645;7117;7387;7204;2792;125;56;1365,A,False,
7,5,F,A,0,A,0xa100,F<-A,-1,1598955384,3738,47972,6111,6863,5291,18265,1686,118,44,993,415.1136363636364,0.09230769230769231,0.0024089789214344374,[AUTOPOS] ANCHOR_CTRL[4] notify: ACRX;1;7;5;A;0;0xa100;-1;1598955384;3738;47972;6111;6863;5291;1686;118;44;993,A,False,
7,7,H,A,0,A,0xa100,H<-A,-1,458169055,-1927,47843,7354,7652,6186,21192,2382,122,36,888,588.6666666666666,0.112400906002265,0.0016987542468856172,[AUTOPOS] ANCHOR_CTRL[0] notify: ACRX;1;7;7;A;0;0xa100;-1;458169055;-1927;47843;7354;7652;6186;2382;122;36;888,A,False,
5,0,A,A,4,E,0xa104,A<-E,1691,1007643817,2585,47765,7040,7031,7131,21202,2122,122,60,1349,353.3666666666667,0.10008489765116499,0.0028299217054994813,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;5;0;A;4;0xa104;1691;1007643817;2585;47765;7040;7031;7131;2122;122;60;1349,A,True,1691.0
5,0,A,A,5,F,0xa105,A<-F,4651,2037032425,-6868,47605,6675,6860,4251,17786,1442,122,36,819,494.05555555555554,0.08107500281119982,0.0020240638704599125,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;5;0;A;5;0xa105;4651;2037032425;-6868;47605;6675;6860;4251;1442;122;36;819,A,True,4651.0
5,0,A,A,7,H,0xa107,A<-H,3144,3649682469,1621,47649,7284,7302,6004,20590,2435,122,44,1038,467.95454545454544,0.11826129188926664,0.0021369596891694996,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;5;0;A;7;0xa107;3144;3649682469;1621;47649;7284;7302;6004;2435;122;44;1038,A,True,3144.0
4,6,G,A,0,A,0xa100,G<-A,-1,1044568986,-7735,48038,6992,7261,5382,19635,2118,120,32,760,613.59375,0.10786860198624905,0.0016297428062133944,[AUTOPOS] ANCHOR_CTRL[3] notify: ACRX;1;4;6;A;0;0xa100;-1;1044568986;-7735;48038;6992;7261;5382;2118;120;32;760,A,False,
6,0,A,A,1,B,0xa101,A<-B,4806,462549941,-696,48041,7381,6756,5107,19244,2635,122,48,1127,400.9166666666667,0.13692579505300354,0.002494283932654334,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;6;0;A;1;0xa101;4806;462549941;-696;48041;7381;6756;5107;2635;122;48;1127,A,True,4806.0
6,0,A,A,3,D,0xa103,A<-D,2776,2160001283,627,47863,7434,7556,4417,19407,2139,122,60,1395,323.45,0.11021796259081774,0.003091667954861648,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;6;0;A;3;0xa103;2776;2160001283;627;47863;7434;7556;4417;2139;122;60;1395,A,True,2776.0
6,0,A,A,5,F,0xa105,A<-F,4566,3824242016,-6633,47988,6630,6636,4182,17448,1476,122,48,1022,363.5,0.08459422283356259,0.002751031636863824,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;6;0;A;5;0xa105;4566;3824242016;-6633;47988;6630;6636;4182;1476;122;48;1022,A,True,4566.0
7,3,D,A,0,A,0xa100,D<-A,-1,2951244772,-1048,48096,7164,7371,6901,21436,2396,119,64,1487,334.9375,0.11177458481059899,0.0029856316476954657,[AUTOPOS] ANCHOR_CTRL[7] notify: ACRX;1;7;3;A;0;0xa100;-1;2951244772;-1048;48096;7164;7371;6901;2396;119;64;1487,A,False,
