tag_delay_mm,n_static_cases,n_residuals,raw_rms,raw_p50_abs,raw_p95_abs,norm_rms,case_rms_median,case_rms_p95,status
-35.0,23,184,66.14839457210152,31.310888734857826,135.19469164159398,2.375269451428433,54.280702513860064,97.16265135142534,ok
-34.0,23,184,65.84667906276255,31.165881709544237,136.43521971806462,2.3648820850720242,53.77643772524004,96.54728196857748,ok
-33.0,23,184,65.55271912027897,30.883572987644357,137.86401689357527,2.3548673963443245,53.278941417896476,95.93349893619386,ok
-32.0,23,184,65.26518585742922,31.00421779623275,139.3595871147492,2.345215742531396,52.78845038062122,95.32135405852141,ok
-31.0,23,184,64.98589362571444,31.05164404962443,140.85097641043893,2.3358951774359857,52.3052067287171,94.71089988606293,ok
-30.0,23,184,64.71533184745067,31.10374756850183,142.33950582298948,2.3268558882741255,51.82945769134576,94.10218556952351,ok
-29.0,23,184,64.45404086476185,31.17091640931494,140.8648129109821,2.3181663107996378,51.36198467471945,93.49525609185523,ok
-28.0,23,184,64.20136762130123,31.369694877555503,138.9489254942659,2.3098343957630445,50.903232600843566,92.89017941380476,ok
-27.0,23,184,63.95838622307731,31.49539824301837,137.02942589873606,2.3019143085638607,50.452579953961866,92.28701116223861,ok
-26.0,23,184,63.726123296681244,31.546711479186342,135.1064003104617,2.2943860445393485,50.01344155245176,91.68580775480842,ok
-25.0,23,184,63.50433489921394,30.868111035694028,133.17993816509988,2.2872280553537063,49.58389302716979,91.08662641030473,ok
-24.0,23,184,63.293544712173585,30.38594734248659,132.42179487220443,2.2804993159380276,49.16220605785498,90.48952515957116,ok
-23.0,23,184,63.0940676537986,29.72592893530623,134.09763030215595,2.274218439210618,48.74705972757291,89.89456285697321,ok
-22.0,23,184,62.9066870406095,29.23307273813043,135.54602013072972,2.2683866838509026,48.33859201489251,89.30179919240625,ok
-21.0,23,184,62.730694628328195,29.01194357865529,134.5589860823033,2.2629933377256424,47.936985873394136,88.71129470380387,ok
-20.0,23,184,62.565610940618534,28.341696875485468,134.1443027411124,2.258028884860393,47.54242749679445,88.28364289202338,ok
-19.0,23,184,62.413906067905465,27.83596984419023,134.39675559751547,2.2535553989407204,47.15510617495053,88.15625506978742,ok
-18.0,23,184,62.271988879634556,27.557941719361907,133.8465505698825,2.2494235343644196,47.579627395105554,88.0394337047342,ok
-17.0,23,184,62.140691893462225,27.836232188063605,132.317412763656,2.245714960372067,48.035837790545,87.9332309410769,ok
-16.0,23,184,62.02072448585582,27.559191135550464,130.78663582439006,2.2424096783694143,47.510729899755866,87.83770918066713,ok
-15.0,23,184,61.911340347416754,27.31113422246881,129.25345730833183,2.2394503394400216,46.69083640373386,87.75290854901998,ok
-14.0,23,184,61.81369345085626,27.06755376763158,127.71845290449606,2.2369637552064354,45.874820093931284,87.6788608508751,ok
-13.0,23,184,61.72729183786239,26.62689319852916,126.1816000369888,2.234950811263948,45.03409914018375,87.6155888638937,ok
-12.0,23,184,61.65495583880301,26.828371650797635,124.64254952253525,2.233452540778145,44.662957532788525,87.54666758335463,ok
-11.0,23,184,61.59204659803714,26.844829906586256,123.26156317957535,2.23236073367894,44.34065289378688,87.48584756887081,ok
-10.0,23,184,61.53896023279712,26.732862912658675,122.06936442001705,2.2316786765261387,44.02739288437662,87.43222898155534,ok
-9.0,23,184,61.493820328755604,27.173594437175325,124.20323344562868,2.231276511017013,43.72350701649783,87.38731878682,ok
-8.0,23,184,61.45762371639245,27.432397088208972,124.71297852369659,2.2312493916300977,43.42902690833919,87.35339788618417,ok
-7.0,23,184,61.43243600292656,27.670133535001014,123.3590152783762,2.2317668995029036,43.144138420857786,87.3304407095524,ok
-6.0,23,184,61.42018217297834,27.869759563747152,121.9855221375933,2.232834392442824,42.86904184450301,87.40961318162819,ok
-5.0,23,184,61.42057209607787,27.29174814511407,120.60903478601784,2.234403008068705,42.60393567351206,87.52746508944632,ok
-4.0,23,184,61.43325062899056,27.136337609153315,119.22960207273631,2.2364657009214155,42.349016059047486,87.65752096275273,ok
-3.0,23,184,61.45746656934354,27.179604552571163,117.84725106303098,2.238989758405871,42.10447623928373,87.79969465251645,ok
-2.0,23,184,61.493541013672925,27.176058562842172,116.74543048823809,2.2420213546221373,41.87173477765994,87.95431281485823,ok
-1.0,23,184,61.540885248876,26.713981218252684,115.83310742758587,2.2454910936442523,41.657575164402594,88.12421684602968,ok
0.0,23,184,61.602612382721716,26.911049175876542,114.9153115733683,2.249525985658378,41.45297133703244,88.30643541763514,ok
1.0,23,184,61.67615259077335,27.27869638672678,114.19340086225418,2.2540166097194616,41.258151880539195,88.5012220421258,ok
2.0,23,184,61.76225084823929,27.879973285849815,114.48867576856811,2.258981734626392,41.07037388694395,88.7083562595839,ok
