capture,position_id,anchor_id,n_rows,first20_median_range_mm,last20_median_range_mm,last_minus_first_mm,abs_drift_mm
static_ID06_BSF66F_120s_20260528_112429,ID06,6,1201,1551.0,1556.0,5.0,5.0
static_ID06_BSF66F_120s_20260528_112429,ID06,7,1201,2468.0,2474.0,6.0,6.0
static_ID07_BSF66F_120s_20260528_112810,ID07,0,1201,2368.0,2365.0,-3.0,3.0
static_ID07_BSF66F_120s_20260528_112810,ID07,1,1201,1994.0,1991.0,-3.0,3.0
static_ID07_BSF66F_120s_20260528_112810,ID07,2,1201,1284.0,1281.0,-3.0,3.0
static_ID07_BSF66F_120s_20260528_112810,ID07,3,1201,1804.0,1808.0,4.0,4.0
static_ID07_BSF66F_120s_20260528_112810,ID07,4,1201,2953.0,2958.0,5.0,5.0
static_ID07_BSF66F_120s_20260528_112810,ID07,5,1201,2540.0,2510.0,-30.0,30.0
static_ID07_BSF66F_120s_20260528_112810,ID07,6,1201,2235.0,2230.0,-5.0,5.0
static_ID07_BSF66F_120s_20260528_112810,ID07,7,1201,2392.0,2393.0,1.0,1.0
static_ID08_BSF66F_120s_20260528_113136,ID08,0,1201,2509.0,2510.0,1.0,1.0
static_ID08_BSF66F_120s_20260528_113136,ID08,1,1201,2662.0,2654.0,-8.0,8.0
static_ID08_BSF66F_120s_20260528_113136,ID08,2,1201,1684.0,1686.0,2.0,2.0
static_ID08_BSF66F_120s_20260528_113136,ID08,3,1201,1997.0,2002.0,5.0,5.0
static_ID08_BSF66F_120s_20260528_113136,ID08,4,1201,2321.0,2321.0,0.0,0.0
static_ID08_BSF66F_120s_20260528_113136,ID08,5,1201,2220.0,2225.0,5.0,5.0
static_ID08_BSF66F_120s_20260528_113136,ID08,6,1201,1643.0,1638.0,-5.0,5.0
static_ID08_BSF66F_120s_20260528_113136,ID08,7,1201,1743.0,1749.0,6.0,6.0
static_ID09_BSF66F_120s_20260528_113816,ID09,0,1201,2673.0,2676.0,3.0,3.0
static_ID09_BSF66F_120s_20260528_113816,ID09,1,1201,2595.0,2588.0,-7.0,7.0
static_ID09_BSF66F_120s_20260528_113816,ID09,2,1201,1986.0,1984.0,-2.0,2.0
static_ID09_BSF66F_120s_20260528_113816,ID09,3,1201,2417.0,2414.0,-3.0,3.0
static_ID09_BSF66F_120s_20260528_113816,ID09,4,1201,2268.0,2272.0,4.0,4.0
static_ID09_BSF66F_120s_20260528_113816,ID09,5,1201,2298.0,2324.0,26.0,26.0
static_ID09_BSF66F_120s_20260528_113816,ID09,6,1201,1478.0,1473.0,-5.0,5.0
static_ID09_BSF66F_120s_20260528_113816,ID09,7,1201,1758.0,1752.0,-6.0,6.0
static_ID10_BSF66F_120s_20260528_114216,ID10,0,1201,1512.0,1514.0,2.0,2.0
static_ID10_BSF66F_120s_20260528_114216,ID10,1,1201,2572.0,2574.0,2.0,2.0
static_ID10_BSF66F_120s_20260528_114216,ID10,2,1201,2462.0,2464.0,2.0,2.0
static_ID10_BSF66F_120s_20260528_114216,ID10,3,1201,1297.0,1303.0,6.0,6.0
static_ID10_BSF66F_120s_20260528_114216,ID10,4,1201,2099.0,2105.0,6.0,6.0
static_ID10_BSF66F_120s_20260528_114216,ID10,5,1201,3109.0,3112.0,3.0,3.0
static_ID10_BSF66F_120s_20260528_114216,ID10,6,1201,2815.0,2822.0,7.0,7.0
static_ID10_BSF66F_120s_20260528_114216,ID10,7,1201,1991.0,1988.0,-3.0,3.0
static_ID11_BSF66F_120s_20260528_114551,ID11,0,1201,1723.0,1726.0,3.0,3.0
static_ID11_BSF66F_120s_20260528_114551,ID11,1,1201,2608.0,2610.0,2.0,2.0
static_ID11_BSF66F_120s_20260528_114551,ID11,2,1201,2769.0,2769.0,0.0,0.0
static_ID11_BSF66F_120s_20260528_114551,ID11,3,1201,1737.0,1739.0,2.0,2.0
static_ID11_BSF66F_120s_20260528_114551,ID11,4,1201,1531.0,1533.0,2.0,2.0
static_ID11_BSF66F_120s_20260528_114551,ID11,5,1201,2574.0,2574.0,0.0,0.0
static_ID11_BSF66F_120s_20260528_114551,ID11,6,1201,2619.0,2624.0,5.0,5.0
static_ID11_BSF66F_120s_20260528_114551,ID11,7,1201,1474.0,1475.0,1.0,1.0
static_ID12_BSF66F_120s_20260528_115143,ID12,0,1201,2117.0,2118.0,1.0,1.0
static_ID12_BSF66F_120s_20260528_115143,ID12,1,1201,2819.0,2824.0,5.0,5.0
static_ID12_BSF66F_120s_20260528_115143,ID12,2,1201,3007.0,3010.0,3.0,3.0
static_ID12_BSF66F_120s_20260528_115143,ID12,3,1201,1966.0,1965.0,-1.0,1.0
static_ID12_BSF66F_120s_20260528_115143,ID12,4,1201,1474.0,1472.0,-2.0,2.0
static_ID12_BSF66F_120s_20260528_115143,ID12,5,1201,2539.0,2531.0,-8.0,8.0
static_ID12_BSF66F_120s_20260528_115143,ID12,6,1201,2498.0,2497.0,-1.0,1.0
static_ID12_BSF66F_120s_20260528_115143,ID12,7,1201,1268.0,1273.0,5.0,5.0
static_ID13_BSF66F_120s_20260528_115704,ID13,0,1200,2081.0,2080.0,-1.0,1.0
static_ID13_BSF66F_120s_20260528_115704,ID13,1,1200,2023.5,2029.0,5.5,5.5
static_ID13_BSF66F_120s_20260528_115704,ID13,2,1200,2019.0,2018.0,-1.0,1.0
static_ID13_BSF66F_120s_20260528_115704,ID13,3,1200,2191.0,2196.0,5.0,5.0
static_ID13_BSF66F_120s_20260528_115704,ID13,4,1200,1915.0,1915.0,0.0,0.0
static_ID13_BSF66F_120s_20260528_115704,ID13,5,1200,1875.0,1882.5,7.5,7.5
static_ID13_BSF66F_120s_20260528_115704,ID13,6,1200,2057.0,2053.0,-4.0,4.0
static_ID13_BSF66F_120s_20260528_115704,ID13,7,1200,1972.0,1974.0,2.0,2.0
static_ID14_BSF66F_120s_20260528_120122,ID14,0,1201,2129.0,2131.0,2.0,2.0
static_ID14_BSF66F_120s_20260528_120122,ID14,1,1201,1937.0,1942.0,5.0,5.0
static_ID14_BSF66F_120s_20260528_120122,ID14,2,1201,2052.0,2056.0,4.0,4.0
static_ID14_BSF66F_120s_20260528_120122,ID14,3,1201,2135.0,2127.0,-8.0,8.0
static_ID14_BSF66F_120s_20260528_120122,ID14,4,1201,1859.0,1852.0,-7.0,7.0
static_ID14_BSF66F_120s_20260528_120122,ID14,5,1201,1916.0,1914.0,-2.0,2.0
static_ID14_BSF66F_120s_20260528_120122,ID14,6,1201,1979.0,1982.0,3.0,3.0
static_ID14_BSF66F_120s_20260528_120122,ID14,7,1201,2011.0,2023.0,12.0,12.0
static_ID15_BSF66F_120s_20260528_120437,ID15,0,1201,2032.0,2029.0,-3.0,3.0
static_ID15_BSF66F_120s_20260528_120437,ID15,1,1201,2023.0,2020.0,-3.0,3.0
static_ID15_BSF66F_120s_20260528_120437,ID15,2,1201,2024.0,2025.0,1.0,1.0
static_ID15_BSF66F_120s_20260528_120437,ID15,3,1201,2197.0,2199.0,2.0,2.0
static_ID15_BSF66F_120s_20260528_120437,ID15,4,1201,1862.0,1867.0,5.0,5.0
static_ID15_BSF66F_120s_20260528_120437,ID15,5,1201,1902.0,1912.0,10.0,10.0
static_ID15_BSF66F_120s_20260528_120437,ID15,6,1201,2019.0,2020.0,1.0,1.0
static_ID15_BSF66F_120s_20260528_120437,ID15,7,1201,1980.0,1982.0,2.0,2.0
static_ID16_BSF66F_120s_20260528_120804,ID16,0,1201,2146.0,2149.0,3.0,3.0
static_ID16_BSF66F_120s_20260528_120804,ID16,1,1201,1972.0,1970.0,-2.0,2.0
static_ID16_BSF66F_120s_20260528_120804,ID16,2,1201,2095.0,2093.0,-2.0,2.0
static_ID16_BSF66F_120s_20260528_120804,ID16,3,1201,2164.0,2164.0,0.0,0.0
static_ID16_BSF66F_120s_20260528_120804,ID16,4,1201,1877.0,1876.0,-1.0,1.0
static_ID16_BSF66F_120s_20260528_120804,ID16,5,1201,1942.0,1954.0,12.0,12.0
static_ID16_BSF66F_120s_20260528_120804,ID16,6,1201,1985.0,1990.0,5.0,5.0
static_ID16_BSF66F_120s_20260528_120804,ID16,7,1201,2007.0,2006.0,-1.0,1.0
static_ID17_BSF66F_120s_20260528_121200,ID17,0,1199,1722.0,1725.0,3.0,3.0
static_ID17_BSF66F_120s_20260528_121200,ID17,1,1199,1853.0,1851.5,-1.5,1.5
static_ID17_BSF66F_120s_20260528_121200,ID17,2,1199,1931.0,1932.5,1.5,1.5
static_ID17_BSF66F_120s_20260528_121200,ID17,3,1199,1776.5,1778.0,1.5,1.5
static_ID17_BSF66F_120s_20260528_121200,ID17,4,1199,2372.0,2370.0,-2.0,2.0
static_ID17_BSF66F_120s_20260528_121200,ID17,5,1199,2379.5,2381.5,2.0,2.0
static_ID17_BSF66F_120s_20260528_121200,ID17,6,1199,2563.0,2559.0,-4.0,4.0
static_ID17_BSF66F_120s_20260528_121200,ID17,7,1199,2273.0,2267.5,-5.5,5.5
static_ID18_BSF66F_120s_20260528_121519,ID18,0,1199,1692.5,1694.5,2.0,2.0
static_ID18_BSF66F_120s_20260528_121519,ID18,1,1199,1728.0,1732.0,4.0,4.0
static_ID18_BSF66F_120s_20260528_121519,ID18,2,1199,1994.0,1989.0,-5.0,5.0
static_ID18_BSF66F_120s_20260528_121519,ID18,3,1199,1990.5,1997.5,7.0,7.0
static_ID18_BSF66F_120s_20260528_121519,ID18,4,1199,2214.5,2219.0,4.5,4.5
static_ID18_BSF66F_120s_20260528_121519,ID18,5,1199,2332.5,2326.0,-6.5,6.5
static_ID18_BSF66F_120s_20260528_121519,ID18,6,1199,2487.0,2486.5,-0.5,0.5
static_ID18_BSF66F_120s_20260528_121519,ID18,7,1199,2473.0,2473.0,0.0,0.0
static_ID19_BSF66F_120s_20260528_121846,ID19,0,1201,1952.0,1954.0,2.0,2.0
static_ID19_BSF66F_120s_20260528_121846,ID19,1,1201,1624.0,1626.0,2.0,2.0
static_ID19_BSF66F_120s_20260528_121846,ID19,2,1201,1728.0,1726.0,-2.0,2.0
static_ID19_BSF66F_120s_20260528_121846,ID19,3,1201,1983.0,1983.0,0.0,0.0
static_ID19_BSF66F_120s_20260528_121846,ID19,4,1201,2719.0,2718.0,-1.0,1.0
static_ID19_BSF66F_120s_20260528_121846,ID19,5,1201,2290.0,2294.0,4.0,4.0
static_ID19_BSF66F_120s_20260528_121846,ID19,6,1201,2810.0,2808.0,-2.0,2.0
static_ID19_BSF66F_120s_20260528_121846,ID19,7,1201,2404.0,2403.0,-1.0,1.0
static_ID20_BSF66F_120s_20260528_122210,ID20,0,1201,1904.0,1907.0,3.0,3.0
static_ID20_BSF66F_120s_20260528_122210,ID20,1,1201,1887.0,1890.0,3.0,3.0
static_ID20_BSF66F_120s_20260528_122210,ID20,2,1201,1810.0,1807.0,-3.0,3.0
static_ID20_BSF66F_120s_20260528_122210,ID20,3,1201,1794.0,1788.0,-6.0,6.0
static_ID20_BSF66F_120s_20260528_122210,ID20,4,1201,2311.0,2310.0,-1.0,1.0
static_ID20_BSF66F_120s_20260528_122210,ID20,5,1201,2681.0,2687.0,6.0,6.0
static_ID20_BSF66F_120s_20260528_122210,ID20,6,1201,2341.0,2341.0,0.0,0.0
static_ID20_BSF66F_120s_20260528_122210,ID20,7,1201,2501.0,2519.0,18.0,18.0
static_ID21_BSF66F_120s_20260528_122611,ID21,0,1201,2290.0,2295.0,5.0,5.0
static_ID21_BSF66F_120s_20260528_122611,ID21,1,1201,2341.0,2342.0,1.0,1.0
static_ID21_BSF66F_120s_20260528_122611,ID21,2,1201,2337.0,2337.0,0.0,0.0
static_ID21_BSF66F_120s_20260528_122611,ID21,3,1201,2641.0,2646.0,5.0,5.0
static_ID21_BSF66F_120s_20260528_122611,ID21,4,1201,1784.0,1785.0,1.0,1.0
static_ID21_BSF66F_120s_20260528_122611,ID21,5,1201,1822.0,1822.0,0.0,0.0
static_ID21_BSF66F_120s_20260528_122611,ID21,6,1201,1964.0,1964.0,0.0,0.0
static_ID21_BSF66F_120s_20260528_122611,ID21,7,1201,1897.0,1896.0,-1.0,1.0
static_ID22_BSF66F_120s_20260528_122946,ID22,0,1201,2616.0,2615.0,-1.0,1.0
static_ID22_BSF66F_120s_20260528_122946,ID22,1,1201,2235.0,2236.0,1.0,1.0
static_ID22_BSF66F_120s_20260528_122946,ID22,2,1201,2400.0,2403.0,3.0,3.0
static_ID22_BSF66F_120s_20260528_122946,ID22,3,1201,2351.0,2356.0,5.0,5.0
static_ID22_BSF66F_120s_20260528_122946,ID22,4,1201,1735.0,1732.0,-3.0,3.0
static_ID22_BSF66F_120s_20260528_122946,ID22,5,1201,1837.0,1838.0,1.0,1.0
static_ID22_BSF66F_120s_20260528_122946,ID22,6,1201,2020.0,2025.0,5.0,5.0
static_ID22_BSF66F_120s_20260528_122946,ID22,7,1201,1916.0,1912.0,-4.0,4.0
static_ID23_BSF66F_120s_20260528_123303,ID23,0,1201,2282.0,2281.0,-1.0,1.0
static_ID23_BSF66F_120s_20260528_123303,ID23,1,1201,2508.0,2509.0,1.0,1.0
static_ID23_BSF66F_120s_20260528_123303,ID23,2,1201,2389.0,2389.0,0.0,0.0
static_ID23_BSF66F_120s_20260528_123303,ID23,3,1201,2451.0,2453.0,2.0,2.0
static_ID23_BSF66F_120s_20260528_123303,ID23,4,1201,1793.0,1795.0,2.0,2.0
static_ID23_BSF66F_120s_20260528_123303,ID23,5,1201,1801.0,1804.0,3.0,3.0
static_ID23_BSF66F_120s_20260528_123303,ID23,6,1201,2007.0,2006.0,-1.0,1.0
static_ID23_BSF66F_120s_20260528_123303,ID23,7,1201,1912.0,1915.0,3.0,3.0
static_ID24_BSF66F_120s_20260528_123717,ID24,0,1201,2426.0,2420.0,-6.0,6.0
static_ID24_BSF66F_120s_20260528_123717,ID24,1,1201,2243.0,2242.0,-1.0,1.0
static_ID24_BSF66F_120s_20260528_123717,ID24,2,1201,2839.0,2838.0,-1.0,1.0
static_ID24_BSF66F_120s_20260528_123717,ID24,3,1201,2358.0,2354.0,-4.0,4.0
static_ID24_BSF66F_120s_20260528_123717,ID24,4,1201,1763.0,1765.0,2.0,2.0
static_ID24_BSF66F_120s_20260528_123717,ID24,5,1201,1832.0,1828.0,-4.0,4.0
static_ID24_BSF66F_120s_20260528_123717,ID24,6,1201,2014.0,2017.0,3.0,3.0
static_ID24_BSF66F_120s_20260528_123717,ID24,7,1201,1930.0,1927.0,-3.0,3.0
