attempts,child_run_id,chunk_id,estimated_cost,finished_utc,gpu_device,log_path,max_frames,max_tracks,message,row_count,rows,stage,started_utc,status,wall_time_s
2,nightly_1080ti_20260604T231033Z_partial_raw_0030_cuda0,partial_raw_0030,32,2026-06-04T23:40:35.326081+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0030_cuda0.log,0,0,ok,4,"['R2:L8:I7:T6', 'R2:L8:I7:T8', 'R2:L8:I8:T6', 'R2:L8:I8:T8']",partial_raw,2026-06-04T23:37:50.771177+00:00,done,164.5515370050125
2,nightly_1080ti_20260604T231033Z_partial_raw_0031_cuda1,partial_raw_0031,32,2026-06-04T23:40:38.207252+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0031_cuda1.log,0,0,ok,4,"['R2:L8:I1+I3+I7:T6', 'R2:L8:I1+I3+I7:T8', 'R2:L8:I1+I2+I3+I8:T6', 'R2:L8:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:37:54.170339+00:00,done,164.0340570089902
2,nightly_1080ti_20260604T231033Z_partial_raw_0032_cuda1,partial_raw_0032,32,2026-06-04T23:40:39.383140+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0032_cuda1.log,0,0,ok,4,"['R2:L10:I0:T6', 'R2:L10:I0:T8', 'R2:L10:I1:T6', 'R2:L10:I1:T8']",partial_raw,2026-06-04T23:37:55.589318+00:00,done,163.78922259199317
2,nightly_1080ti_20260604T231033Z_partial_raw_0033_cuda0,partial_raw_0033,32,2026-06-04T23:40:44.054481+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0033_cuda0.log,0,0,ok,4,"['R2:L10:I3:T6', 'R2:L10:I3:T8', 'R2:L10:I4:T6', 'R2:L10:I4:T8']",partial_raw,2026-06-04T23:37:59.448026+00:00,done,164.60304172500037
2,nightly_1080ti_20260604T231033Z_partial_raw_0034_cuda1,partial_raw_0034,32,2026-06-04T23:43:05.013573+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0034_cuda1.log,0,0,ok,4,"['R2:L10:I7:T6', 'R2:L10:I7:T8', 'R2:L10:I8:T6', 'R2:L10:I8:T8']",partial_raw,2026-06-04T23:40:26.986480+00:00,done,158.0222866270051
2,nightly_1080ti_20260604T231033Z_partial_raw_0035_cuda0,partial_raw_0035,32,2026-06-04T23:43:16.949692+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0035_cuda0.log,0,0,ok,4,"['R2:L10:I1+I3+I7:T6', 'R2:L10:I1+I3+I7:T8', 'R2:L10:I1+I2+I3+I8:T6', 'R2:L10:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:40:35.031073+00:00,done,161.91249010400497
2,nightly_1080ti_20260604T231033Z_partial_raw_0036_cuda0,partial_raw_0036,32,2026-06-04T23:43:16.946433+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0036_cuda0.log,0,0,ok,4,"['R2:L11:I0:T6', 'R2:L11:I0:T8', 'R2:L11:I1:T6', 'R2:L11:I1:T8']",partial_raw,2026-06-04T23:40:35.329954+00:00,done,161.61421981400053
2,nightly_1080ti_20260604T231033Z_partial_raw_0037_cuda1,partial_raw_0037,32,2026-06-04T23:43:16.178115+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0037_cuda1.log,0,0,ok,4,"['R2:L11:I3:T6', 'R2:L11:I3:T8', 'R2:L11:I4:T6', 'R2:L11:I4:T8']",partial_raw,2026-06-04T23:40:38.212204+00:00,done,157.96246381998935
1,nightly_1080ti_20260604T231033Z_partial_raw_0038_cuda1,partial_raw_0038,32,2026-06-04T23:43:21.417944+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0038_cuda1.log,0,0,ok,4,"['R2:L11:I7:T6', 'R2:L11:I7:T8', 'R2:L11:I8:T6', 'R2:L11:I8:T8']",partial_raw,2026-06-04T23:40:39.394090+00:00,done,162.0210623840103
1,nightly_1080ti_20260604T231033Z_partial_raw_0039_cuda0,partial_raw_0039,32,2026-06-04T23:43:31.857392+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0039_cuda0.log,0,0,ok,4,"['R2:L11:I1+I3+I7:T6', 'R2:L11:I1+I3+I7:T8', 'R2:L11:I1+I2+I3+I8:T6', 'R2:L11:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:40:44.058802+00:00,done,167.79463587899227
1,nightly_1080ti_20260604T231033Z_partial_raw_0040_cuda1,partial_raw_0040,32,2026-06-04T23:45:44.932978+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0040_cuda1.log,0,0,ok,4,"['R2:L12:I0:T6', 'R2:L12:I0:T8', 'R2:L12:I1:T6', 'R2:L12:I1:T8']",partial_raw,2026-06-04T23:43:05.018467+00:00,done,159.91051329999755
1,nightly_1080ti_20260604T231033Z_partial_raw_0041_cuda1,partial_raw_0041,32,2026-06-04T23:45:59.144749+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0041_cuda1.log,0,0,ok,4,"['R2:L12:I3:T6', 'R2:L12:I3:T8', 'R2:L12:I4:T6', 'R2:L12:I4:T8']",partial_raw,2026-06-04T23:43:16.182616+00:00,done,162.95825015299488
1,nightly_1080ti_20260604T231033Z_partial_raw_0042_cuda0,partial_raw_0042,32,2026-06-04T23:45:58.974401+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0042_cuda0.log,0,0,ok,4,"['R2:L12:I7:T6', 'R2:L12:I7:T8', 'R2:L12:I8:T6', 'R2:L12:I8:T8']",partial_raw,2026-06-04T23:43:16.955036+00:00,done,162.01752435699746
1,nightly_1080ti_20260604T231033Z_partial_raw_0043_cuda0,partial_raw_0043,32,2026-06-04T23:45:59.008573+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0043_cuda0.log,0,0,ok,4,"['R2:L12:I1+I3+I7:T6', 'R2:L12:I1+I3+I7:T8', 'R2:L12:I1+I2+I3+I8:T6', 'R2:L12:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:43:16.956772+00:00,done,162.05016738400445
1,nightly_1080ti_20260604T231033Z_partial_raw_0044_cuda1,partial_raw_0044,32,2026-06-04T23:46:00.792445+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0044_cuda1.log,0,0,ok,4,"['R2:L13:I0:T6', 'R2:L13:I0:T8', 'R2:L13:I1:T6', 'R2:L13:I1:T8']",partial_raw,2026-06-04T23:43:21.423422+00:00,done,159.36542861199996
1,nightly_1080ti_20260604T231033Z_partial_raw_0045_cuda0,partial_raw_0045,32,2026-06-04T23:46:16.735393+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0045_cuda0.log,0,0,ok,4,"['R2:L13:I3:T6', 'R2:L13:I3:T8', 'R2:L13:I4:T6', 'R2:L13:I4:T8']",partial_raw,2026-06-04T23:43:31.861894+00:00,done,164.86974346500938
1,nightly_1080ti_20260604T231033Z_partial_raw_0046_cuda1,partial_raw_0046,32,2026-06-04T23:48:16.641775+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0046_cuda1.log,0,0,ok,4,"['R2:L13:I7:T6', 'R2:L13:I7:T8', 'R2:L13:I8:T6', 'R2:L13:I8:T8']",partial_raw,2026-06-04T23:45:44.937477+00:00,done,151.70056523200765
1,nightly_1080ti_20260604T231033Z_partial_raw_0047_cuda0,partial_raw_0047,32,2026-06-04T23:48:32.492650+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0047_cuda0.log,0,0,ok,4,"['R2:L13:I1+I3+I7:T6', 'R2:L13:I1+I3+I7:T8', 'R2:L13:I1+I2+I3+I8:T6', 'R2:L13:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:45:58.984437+00:00,done,153.50545633801084
1,nightly_1080ti_20260604T231033Z_partial_raw_0048_cuda0,partial_raw_0048,32,2026-06-04T23:48:31.804952+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0048_cuda0.log,0,0,ok,4,"['R2:L14:I0:T6', 'R2:L14:I0:T8', 'R2:L14:I1:T6', 'R2:L14:I1:T8']",partial_raw,2026-06-04T23:45:59.012642+00:00,done,152.78995089601085
1,nightly_1080ti_20260604T231033Z_partial_raw_0049_cuda1,partial_raw_0049,32,2026-06-04T23:48:36.539295+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0049_cuda1.log,0,0,ok,4,"['R2:L14:I3:T6', 'R2:L14:I3:T8', 'R2:L14:I4:T6', 'R2:L14:I4:T8']",partial_raw,2026-06-04T23:45:59.149455+00:00,done,157.38690550900355
1,nightly_1080ti_20260604T231033Z_partial_raw_0050_cuda1,partial_raw_0050,32,2026-06-04T23:48:34.643902+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0050_cuda1.log,0,0,ok,4,"['R2:L14:I7:T6', 'R2:L14:I7:T8', 'R2:L14:I8:T6', 'R2:L14:I8:T8']",partial_raw,2026-06-04T23:46:00.797000+00:00,done,153.8429680870031
1,nightly_1080ti_20260604T231033Z_partial_raw_0051_cuda0,partial_raw_0051,32,2026-06-04T23:48:47.755104+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0051_cuda0.log,0,0,ok,4,"['R2:L14:I1+I3+I7:T6', 'R2:L14:I1+I3+I7:T8', 'R2:L14:I1+I2+I3+I8:T6', 'R2:L14:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:46:16.739267+00:00,done,151.01180815999396
1,nightly_1080ti_20260604T231033Z_partial_raw_0052_cuda1,partial_raw_0052,32,2026-06-04T23:50:48.066730+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0052_cuda1.log,0,0,ok,4,"['R2:L15:I0:T6', 'R2:L15:I0:T8', 'R2:L15:I1:T6', 'R2:L15:I1:T8']",partial_raw,2026-06-04T23:48:16.646391+00:00,done,151.41655594899203
1,nightly_1080ti_20260604T231033Z_partial_raw_0053_cuda0,partial_raw_0053,32,2026-06-04T23:51:05.898330+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0053_cuda0.log,0,0,ok,4,"['R2:L15:I3:T6', 'R2:L15:I3:T8', 'R2:L15:I4:T6', 'R2:L15:I4:T8']",partial_raw,2026-06-04T23:48:31.809169+00:00,done,154.08503034099704
1,nightly_1080ti_20260604T231033Z_partial_raw_0054_cuda0,partial_raw_0054,32,2026-06-04T23:51:05.966655+00:00,cuda:0,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0054_cuda0.log,0,0,ok,4,"['R2:L15:I7:T6', 'R2:L15:I7:T8', 'R2:L15:I8:T6', 'R2:L15:I8:T8']",partial_raw,2026-06-04T23:48:32.497648+00:00,done,153.46564223901078
1,nightly_1080ti_20260604T231033Z_partial_raw_0055_cuda1,partial_raw_0055,32,2026-06-04T23:51:05.622545+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0055_cuda1.log,0,0,ok,4,"['R2:L15:I1+I3+I7:T6', 'R2:L15:I1+I3+I7:T8', 'R2:L15:I1+I2+I3+I8:T6', 'R2:L15:I1+I2+I3+I8:T8']",partial_raw,2026-06-04T23:48:34.649381+00:00,done,150.9699830909958
1,nightly_1080ti_20260604T231033Z_partial_raw_0056_cuda1,partial_raw_0056,32,2026-06-04T23:51:06.086012+00:00,cuda:1,runs/phase4_algorithm_factory/nightly_1080ti_20260604T231033Z/logs/partial_raw_0056_cuda1.log,0,0,ok,4,"['R2:L16:I0:T6', 'R2:L16:I0:T8', 'R2:L16:I1:T6', 'R2:L16:I1:T8']",partial_raw,2026-06-04T23:48:36.543914+00:00,done,149.53814242199587
