row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I1+I3+I7:T8,cpu_golden,18.816437253000917,,,,,partial_raw_0003,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0003_cuda1
R2:L0:I1+I3+I7:T8,torch_gpu,2.0294461310113547,0.0,1.0,2.0294461310113547,2.0294461310113547,partial_raw_0003,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0003_cuda1
R2:L0:I1+I2+I3+I8:T6,simulate_imu_prior,0.1011473390099126,,,,,partial_raw_0003,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0003_cuda1
R2:L0:I1+I2+I3+I8:T6,cpu_golden,18.32540629600408,,,,,partial_raw_0003,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0003_cuda1
R2:L0:I1+I2+I3+I8:T6,torch_gpu,2.028263362997677,0.0,1.0,2.028263362997677,2.028263362997677,partial_raw_0003,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0003_cuda1
R2:L0:I1+I2+I3+I8:T8,simulate_imu_prior,0.110228117002407,,,,,partial_raw_0003,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0003_cuda1
R2:L0:I1+I2+I3+I8:T8,cpu_golden,18.549544281995622,,,,,partial_raw_0003,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0003_cuda1
R2:L0:I1+I2+I3+I8:T8,torch_gpu,1.935606907994952,0.0,1.0,1.935606907994952,1.935606907994952,partial_raw_0003,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0003_cuda1
R2:L1:I0:T6,simulate_imu_prior,0.5663910989969736,,,,,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I0:T6,cpu_golden,17.96206767100375,,,,,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I0:T6,torch_gpu,1.9727732320025095,0.0,1.0,1.9727732320025095,1.9727732320025095,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I0:T8,simulate_imu_prior,0.5365077699971152,,,,,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I0:T8,cpu_golden,18.812825415996485,,,,,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I0:T8,torch_gpu,1.9712799190019723,0.0,1.0,1.9712799190019723,1.9712799190019723,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I1:T6,simulate_imu_prior,0.5482553030014969,,,,,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I1:T6,cpu_golden,18.302716071993927,,,,,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I1:T6,torch_gpu,1.9420175749983173,0.0,1.0,1.9420175749983173,1.9420175749983173,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I1:T8,simulate_imu_prior,0.5546337939886143,,,,,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I1:T8,cpu_golden,19.06640801399772,,,,,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I1:T8,torch_gpu,1.9847768759937023,0.0,1.0,1.9847768759937023,1.9847768759937023,partial_raw_0004,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0004_cuda0
R2:L1:I3:T6,simulate_imu_prior,0.5300604079966433,,,,,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I3:T6,cpu_golden,18.4883968810027,,,,,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I3:T6,torch_gpu,2.087502221009345,0.0,1.0,2.087502221009345,2.087502221009345,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I3:T8,simulate_imu_prior,0.5539630569983274,,,,,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I3:T8,cpu_golden,18.45427177700913,,,,,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I3:T8,torch_gpu,2.034701758995652,0.0,1.0,2.034701758995652,2.034701758995652,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I4:T6,simulate_imu_prior,0.5228574820066569,,,,,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I4:T6,cpu_golden,18.680417452997062,,,,,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I4:T6,torch_gpu,2.0042898819956463,0.0,1.0,2.0042898819956463,2.0042898819956463,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I4:T8,simulate_imu_prior,0.5185051419975935,,,,,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
