sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
24636,,BSF66F,,cal_static,4,E,ok,ok,3776,3776,0,0,100,100
24636,,BSF66F,,cal_static,4,F,ok,ok,2284,2284,0,0,100,100
24636,,BSF66F,,cal_static,4,G,ok,ok,1978,1978,0,0,100,100
24636,,BSF66F,,cal_static,4,H,ok,ok,3473,3473,0,0,100,100
24637,,BSF66F,,cal_static,4,A,ok,ok,3721,3721,0,0,100,100
24637,,BSF66F,,cal_static,4,B,ok,ok,2521,2521,0,0,100,100
24637,,BSF66F,,cal_static,4,C,ok,ok,2128,2128,0,0,100,100
24637,,BSF66F,,cal_static,4,D,ok,ok,3503,3503,0,0,100,100
24638,,BSF66F,,cal_static,4,E,timeout,rx_error,0,3776,0,0,95,95
24638,,BSF66F,,cal_static,4,F,ok,ok,2359,2359,0,0,100,100
24638,,BSF66F,,cal_static,4,G,ok,ok,2035,2035,0,0,100,100
24638,,BSF66F,,cal_static,4,H,ok,ok,3504,3504,0,0,100,100
24639,,BSF66F,,cal_static,4,A,ok,ok,3746,3746,0,0,100,100
24639,,BSF66F,,cal_static,4,B,ok,ok,2512,2512,0,0,100,100
24639,,BSF66F,,cal_static,4,C,ok,ok,2063,2063,0,0,100,100
24639,,BSF66F,,cal_static,4,D,ok,ok,3512,3512,0,0,100,100
24640,,BSF66F,,cal_static,4,E,ok,ok,3778,3778,0,0,96,96
24640,,BSF66F,,cal_static,4,F,ok,ok,2338,2338,0,0,100,100
24640,,BSF66F,,cal_static,4,G,ok,ok,2010,2010,0,0,100,100
24640,,BSF66F,,cal_static,4,H,ok,ok,3448,3448,0,0,100,100
24641,,BSF66F,,cal_static,4,A,ok,ok,3736,3736,0,0,100,100
24641,,BSF66F,,cal_static,4,B,ok,ok,2521,2521,0,0,100,100
24641,,BSF66F,,cal_static,4,C,ok,ok,2086,2086,0,0,100,100
24641,,BSF66F,,cal_static,4,D,ok,ok,3495,3495,0,0,100,100
24642,,BSF66F,,cal_static,4,E,ok,ok,3841,3841,0,0,96,96
24642,,BSF66F,,cal_static,4,F,ok,ok,2358,2358,0,0,100,100
24642,,BSF66F,,cal_static,4,G,ok,ok,1976,1976,0,0,100,100
24642,,BSF66F,,cal_static,4,H,ok,ok,3519,3519,0,0,100,100
24643,,BSF66F,,cal_static,4,A,ok,ok,3693,3693,0,0,100,100
24643,,BSF66F,,cal_static,4,B,ok,ok,2467,2467,0,0,100,100
24643,,BSF66F,,cal_static,4,C,ok,ok,2114,2114,0,0,100,100
24643,,BSF66F,,cal_static,4,D,ok,ok,3470,3470,0,0,100,100
24644,,BSF66F,,cal_static,4,E,ok,ok,3781,3781,0,0,96,96
24644,,BSF66F,,cal_static,4,F,ok,ok,2313,2313,0,0,100,100
24644,,BSF66F,,cal_static,4,G,ok,ok,2000,2000,0,0,100,100
24644,,BSF66F,,cal_static,4,H,ok,ok,3508,3508,0,0,100,100
24645,,BSF66F,,cal_static,4,A,ok,ok,3724,3724,0,0,100,100
24645,,BSF66F,,cal_static,4,B,ok,ok,2483,2483,0,0,100,100
24645,,BSF66F,,cal_static,4,C,ok,ok,2104,2104,0,0,100,100
24645,,BSF66F,,cal_static,4,D,ok,ok,3557,3557,0,0,100,100
24646,,BSF66F,,cal_static,4,E,ok,ok,3819,3819,0,0,96,96
24646,,BSF66F,,cal_static,4,F,ok,ok,2349,2349,0,0,100,100
24646,,BSF66F,,cal_static,4,G,ok,ok,1980,1980,0,0,100,100
24646,,BSF66F,,cal_static,4,H,ok,ok,3523,3523,0,0,100,100
24647,,BSF66F,,cal_static,4,A,ok,ok,3742,3742,0,0,100,100
24647,,BSF66F,,cal_static,4,B,ok,ok,2514,2514,0,0,100,100
24647,,BSF66F,,cal_static,4,C,ok,ok,2146,2146,0,0,100,100
24647,,BSF66F,,cal_static,4,D,ok,ok,3494,3494,0,0,100,100
24648,,BSF66F,,cal_static,4,E,ok,ok,3833,3833,0,0,96,96
24648,,BSF66F,,cal_static,4,F,ok,ok,2345,2345,0,0,100,100
24648,,BSF66F,,cal_static,4,G,ok,ok,1972,1972,0,0,100,100
