sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
11309,,BS2DCE,,6,ok,3427,3427,100,376,5
11310,,BS2DCE,,2,ok,3453,3453,100,378,4
11310,,BS2DCE,,3,ok,1198,1198,96,370,12
11310,,BS2DCE,,4,ok,2950,2950,96,374,8
11311,,BS2DCE,,2,ok,3097,3097,100,379,4
11311,,BS2DCE,,3,ok,1824,1824,96,371,12
11312,,BS2DCE,,2,ok,3180,3180,100,380,4
11312,,BS2DCE,,3,ok,1289,1289,96,372,12
11312,,BS2DCE,,4,ok,2621,2621,96,376,8
11312,,BS2DCE,,6,ok,3356,3356,100,379,5
11313,,BS2DCE,,2,ok,3100,3100,100,381,4
11313,,BS2DCE,,3,ok,1466,1466,100,373,12
11313,,BS2DCE,,6,ok,3175,3175,100,380,5
11314,,BS2DCE,,2,ok,3006,3006,100,382,4
11314,,BS2DCE,,3,ok,1504,1504,100,374,12
11315,,BS2DCE,,2,ok,2941,2941,100,383,4
11315,,BS2DCE,,3,ok,1603,1603,100,375,12
11315,,BS2DCE,,4,ok,3516,3516,100,379,8
11315,,BS2DCE,,6,ok,2983,2983,100,382,5
11316,,BS2DCE,,2,ok,2911,2911,100,384,4
11316,,BS2DCE,,3,ok,1700,1700,100,376,12
11316,,BS2DCE,,4,ok,2732,2732,100,380,8
11317,,BS2DCE,,2,ok,2980,2980,100,385,4
11317,,BS2DCE,,3,ok,1749,1749,100,377,12
11318,,BS2DCE,,3,ok,2114,2114,100,378,12
11318,,BS2DCE,,2,ok,2910,2910,100,386,4
11318,,BS2DCE,,4,ok,2813,2813,100,382,8
11318,,BS2DCE,,6,ok,2621,2621,100,385,5
11319,,BS2DCE,,2,ok,2889,2889,100,387,4
11319,,BS2DCE,,3,ok,1925,1925,100,379,12
11319,,BS2DCE,,4,ok,2947,2947,100,383,8
11320,,BS2DCE,,2,ok,2721,2721,100,388,4
11320,,BS2DCE,,3,ok,1882,1882,100,380,12
11321,,BS2DCE,,2,ok,2666,2666,100,389,4
11321,,BS2DCE,,3,ok,2148,2148,100,381,12
11321,,BS2DCE,,4,ok,3026,3026,100,385,8
11321,,BS2DCE,,6,ok,2610,2610,100,388,5
11322,,BS2DCE,,2,ok,2688,2688,100,390,4
11322,,BS2DCE,,3,ok,1948,1948,100,382,12
11322,,BS2DCE,,4,ok,3200,3200,100,386,8
11323,,BS2DCE,,2,ok,2740,2740,100,391,4
11323,,BS2DCE,,3,ok,1916,1916,100,383,12
11324,,BS2DCE,,2,ok,2863,2863,100,392,4
11324,,BS2DCE,,3,ok,1679,1679,100,384,12
11324,,BS2DCE,,4,ok,3085,3085,100,388,8
11324,,BS2DCE,,6,ok,2581,2581,100,391,5
11325,,BS2DCE,,2,ok,2901,2901,100,393,4
11325,,BS2DCE,,3,ok,1483,1483,100,385,12
11325,,BS2DCE,,4,ok,3112,3112,100,389,8
11326,,BS2DCE,,2,ok,3176,3176,100,394,4
11326,,BS2DCE,,3,timeout,0,1483,96,385,13
11327,,BS2DCE,,2,ok,3093,3093,100,395,4
11327,,BS2DCE,,3,ok,1478,1478,96,386,13
11327,,BS2DCE,,4,ok,3682,3682,96,390,9
11327,,BS2DCE,,6,ok,3017,3017,100,394,5
11328,,BS2DCE,,2,ok,2993,2993,100,396,4
11328,,BS2DCE,,3,ok,1333,1333,96,387,13
11328,,BS2DCE,,6,ok,3038,3038,100,395,5
11329,,BS2DCE,,2,ok,3140,3140,100,397,4
11329,,BS2DCE,,3,ok,1265,1265,100,388,13
11330,,BS2DCE,,2,ok,3564,3564,100,398,4
11330,,BS2DCE,,3,ok,1230,1230,100,389,13
11330,,BS2DCE,,4,ok,2792,2792,100,393,9
11330,,BS2DCE,,6,ok,3183,3183,100,397,5
11331,,BS2DCE,,2,ok,3090,3090,100,399,4
11331,,BS2DCE,,3,ok,1447,1447,100,390,13
11331,,BS2DCE,,4,ok,3697,3697,100,394,9
11332,,BS2DCE,,2,ok,3142,3142,100,400,4
11332,,BS2DCE,,3,ok,1250,1250,100,391,13
11333,,BS2DCE,,2,ok,3067,3067,100,401,4
11333,,BS2DCE,,3,ok,1363,1363,100,392,13
11333,,BS2DCE,,4,ok,3272,3272,100,396,9
11333,,BS2DCE,,6,ok,3168,3168,100,400,5
11334,,BS2DCE,,2,ok,3026,3026,100,402,4
11334,,BS2DCE,,3,ok,1429,1429,100,393,13
11334,,BS2DCE,,4,ok,3677,3677,100,397,9
11335,,BS2DCE,,2,ok,2899,2899,100,403,4
11335,,BS2DCE,,3,ok,1625,1625,100,394,13
11336,,BS2DCE,,2,ok,2869,2869,100,404,4
11336,,BS2DCE,,3,ok,1760,1760,100,395,13
11336,,BS2DCE,,4,ok,3114,3114,100,399,9
11336,,BS2DCE,,6,ok,2822,2822,100,403,5
11337,,BS2DCE,,2,ok,2920,2920,100,405,4
11337,,BS2DCE,,3,ok,1825,1825,100,396,13
11337,,BS2DCE,,6,ok,2694,2694,100,404,5
11338,,BS2DCE,,2,ok,2905,2905,100,406,4
11338,,BS2DCE,,3,ok,1933,1933,100,397,13
11339,,BS2DCE,,2,ok,2906,2906,100,407,4
11339,,BS2DCE,,3,ok,1885,1885,100,398,13
11339,,BS2DCE,,4,ok,2869,2869,100,402,9
11339,,BS2DCE,,6,ok,2542,2542,100,406,5
11340,,BS2DCE,,2,ok,2677,2677,100,408,4
11340,,BS2DCE,,3,ok,1962,1962,100,399,13
11340,,BS2DCE,,4,ok,2937,2937,100,403,9
11341,,BS2DCE,,2,ok,2606,2606,100,409,4
11341,,BS2DCE,,3,ok,2077,2077,100,400,13
11342,,BS2DCE,,3,ok,1862,1862,100,401,13
11342,,BS2DCE,,2,ok,2655,2655,100,410,4
11342,,BS2DCE,,4,ok,3094,3094,100,405,9
11342,,BS2DCE,,6,ok,2442,2442,100,409,5
11343,,BS2DCE,,2,ok,2776,2776,100,411,4
11343,,BS2DCE,,3,ok,1795,1795,100,402,13
11343,,BS2DCE,,4,ok,3174,3174,100,406,9
11344,,BS2DCE,,2,ok,2888,2888,100,412,4
11344,,BS2DCE,,3,ok,1695,1695,100,403,13
11345,,BS2DCE,,2,ok,2934,2934,100,413,4
11345,,BS2DCE,,3,ok,1538,1538,100,404,13
11345,,BS2DCE,,4,ok,2981,2981,100,408,9
11345,,BS2DCE,,6,ok,2696,2696,100,412,5
11346,,BS2DCE,,2,ok,3069,3069,100,414,4
11346,,BS2DCE,,3,ok,1396,1396,100,405,13
11346,,BS2DCE,,4,ok,3088,3088,100,409,9
11347,,BS2DCE,,2,ok,2981,2981,100,415,4
11347,,BS2DCE,,3,ok,1232,1232,100,406,13
11348,,BS2DCE,,2,ok,2960,2960,100,416,4
11348,,BS2DCE,,3,ok,1271,1271,100,407,13
11348,,BS2DCE,,4,ok,3146,3146,100,411,9
11348,,BS2DCE,,6,ok,3153,3153,100,415,5
11349,,BS2DCE,,2,ok,3465,3465,100,417,4
11349,,BS2DCE,,3,ok,1217,1217,100,408,13
11349,,BS2DCE,,4,ok,2919,2919,100,412,9
11350,,BS2DCE,,2,ok,3087,3087,100,418,4
11350,,BS2DCE,,3,ok,1341,1341,100,409,13
11351,,BS2DCE,,2,ok,3073,3073,100,419,4
11351,,BS2DCE,,3,ok,1271,1271,100,410,13
11351,,BS2DCE,,4,ok,2589,2589,100,414,9
11351,,BS2DCE,,6,ok,3341,3341,100,418,5
11352,,BS2DCE,,2,ok,3050,3050,100,420,4
11352,,BS2DCE,,3,timeout,0,1271,95,410,14
11352,,BS2DCE,,6,ok,3129,3129,100,419,5
11353,,BS2DCE,,2,ok,2978,2978,100,421,4
11353,,BS2DCE,,3,ok,1440,1440,96,411,14
11354,,BS2DCE,,2,ok,2966,2966,100,422,4
11354,,BS2DCE,,3,ok,1599,1599,96,412,14
11354,,BS2DCE,,4,ok,3303,3303,100,417,9
11354,,BS2DCE,,6,ok,2951,2951,100,421,5
11355,,BS2DCE,,2,ok,2885,2885,100,423,4
11355,,BS2DCE,,3,ok,1614,1614,96,413,14
11355,,BS2DCE,,4,ok,2838,2838,100,418,9
11356,,BS2DCE,,2,ok,2896,2896,100,424,4
11356,,BS2DCE,,3,ok,1709,1709,96,414,14
11357,,BS2DCE,,2,ok,2855,2855,100,425,4
11357,,BS2DCE,,3,ok,1880,1880,96,415,14
11357,,BS2DCE,,4,ok,2861,2861,100,420,9
11357,,BS2DCE,,6,ok,2646,2646,100,424,5
11358,,BS2DCE,,2,ok,2962,2962,100,426,4
11358,,BS2DCE,,3,ok,1876,1876,96,416,14
11358,,BS2DCE,,4,ok,2799,2799,100,421,9
11359,,BS2DCE,,2,ok,2872,2872,100,427,4
11359,,BS2DCE,,3,ok,1917,1917,96,417,14
11360,,BS2DCE,,2,ok,2660,2660,100,428,4
11360,,BS2DCE,,3,ok,1995,1995,96,418,14
11360,,BS2DCE,,4,ok,2989,2989,100,423,9
11360,,BS2DCE,,6,ok,2678,2678,100,427,5
11361,,BS2DCE,,2,ok,2604,2604,100,429,4
11361,,BS2DCE,,3,ok,1992,1992,100,419,14
11361,,BS2DCE,,6,ok,2573,2573,100,428,5
11362,,BS2DCE,,2,ok,2640,2640,100,430,4
11362,,BS2DCE,,3,ok,1939,1939,100,420,14
11363,,BS2DCE,,2,ok,2795,2795,100,431,4
11363,,BS2DCE,,3,ok,1759,1759,100,421,14
11363,,BS2DCE,,4,ok,3097,3097,100,426,9
11363,,BS2DCE,,6,ok,2531,2531,100,430,5
11364,,BS2DCE,,2,ok,2870,2870,100,432,4
11364,,BS2DCE,,3,ok,1649,1649,100,422,14
11364,,BS2DCE,,4,ok,3076,3076,100,427,9
11365,,BS2DCE,,2,ok,2998,2998,100,433,4
11365,,BS2DCE,,3,ok,1475,1475,100,423,14
11366,,BS2DCE,,3,ok,1382,1382,100,424,14
11366,,BS2DCE,,2,ok,3054,3054,100,434,4
11366,,BS2DCE,,4,ok,3038,3038,100,429,9
11366,,BS2DCE,,6,ok,2945,2945,100,433,5
11367,,BS2DCE,,2,ok,3029,3029,100,435,4
11367,,BS2DCE,,3,ok,1316,1316,100,425,14
11367,,BS2DCE,,4,ok,2827,2827,100,430,9
11368,,BS2DCE,,2,ok,2950,2950,100,436,4
11368,,BS2DCE,,3,ok,1212,1212,100,426,14
11369,,BS2DCE,,2,ok,3048,3048,100,437,4
11369,,BS2DCE,,3,ok,1300,1300,100,427,14
11369,,BS2DCE,,4,ok,2841,2841,100,432,9
11369,,BS2DCE,,6,ok,3195,3195,100,436,5
11370,,BS2DCE,,2,ok,3160,3160,100,438,4
11370,,BS2DCE,,3,ok,1255,1255,100,428,14
11370,,BS2DCE,,4,ok,2694,2694,100,433,9
11371,,BS2DCE,,2,ok,3082,3082,100,439,4
11371,,BS2DCE,,3,ok,1306,1306,100,429,14
11372,,BS2DCE,,2,ok,3042,3042,100,440,4
11372,,BS2DCE,,3,ok,1393,1393,100,430,14
11372,,BS2DCE,,4,ok,2635,2635,100,435,9
11372,,BS2DCE,,6,ok,3168,3168,100,439,5
11373,,BS2DCE,,2,ok,2909,2909,100,441,4
11373,,BS2DCE,,3,ok,1493,1493,100,431,14
11373,,BS2DCE,,4,ok,3179,3179,100,436,9
11374,,BS2DCE,,2,ok,2941,2941,100,442,4
11374,,BS2DCE,,3,ok,1634,1634,100,432,14
11375,,BS2DCE,,2,ok,2894,2894,100,443,4
11375,,BS2DCE,,3,ok,1716,1716,100,433,14
11375,,BS2DCE,,4,ok,2717,2717,100,438,9
11375,,BS2DCE,,6,ok,2788,2788,100,442,5
11376,,BS2DCE,,2,ok,2847,2847,100,444,4
11376,,BS2DCE,,3,ok,1894,1894,100,434,14
