L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,accuracy_rank,rescue_rank
L20,A0,U4,P3,I2,T3,position_fusion,5,89.97873873338317,170.93969578400177,0.8421103349487419,102.79576890948249,132.05418545364563,126.11221091048442,200.2766290041533,29.336933220151543,1.0,60.86244221147592,50.96537173314954,142.16865951785115,204.7849911664318,L20 Xsens MTi-3,X_A0_U4_P3_L20_I2_T3,428,171
L2,A0,U4,P1,I1,T4,position_fusion,5,87.41769523554004,171.1453955806989,1.6917423142247796,101.53731958235183,129.49906936407706,124.3975174793402,179.58127537090328,8.435879790204392,1.0,60.6567424147788,51.0669330298428,132.84558789249314,265.87260323715907,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I1_T4,429,431
L16,A0,U4,P3,I7,T3,position_fusion,5,89.25525515878437,171.29098561490076,0.9422611984792825,103.15971909790774,133.013447226653,126.63600013901586,200.2766290041533,28.985643389252534,1.0,60.51115238057692,51.0065501508772,142.1548928296301,201.59453945725446,L16 ICM-45686,X_A0_U4_P3_L16_I7_T3,430,174
L16,A0,U4,P1,I0,T4,position_fusion,5,88.4690060593033,171.56808804528143,0.45915252491279757,103.63789454975733,132.75278041960405,124.4866356519448,179.58127537090328,8.013187325621846,1.0,60.23404995019625,51.513810968011356,133.2674831398281,254.3777826788983,L16 ICM-45686,X_A0_U4_P1_L16_I0_T4,431,439
L2,A0,U4,P2,I6,T4,position_fusion,5,94.33724793072,171.63464030725783,2.1073563727324514,105.88086481305803,129.96575829878523,126.87847245428165,191.34655064695076,19.711910339692924,1.0,60.167497688219854,47.83044978564091,136.6132059776745,226.32809461184684,L2 MPU6050/JY61P-like,X_A0_U4_P2_L2_I6_T4,432,281
L2,A0,U4,P2,I5,T3,position_fusion,5,93.90081598870336,171.65019418792582,0.40146484921557457,105.83939305626805,130.93031290411304,126.75865493783033,191.34655064695076,19.696356459024948,1.0,60.15194380755188,48.08415731846168,138.41094000490995,234.81200436387408,L2 MPU6050/JY61P-like,X_A0_U4_P2_L2_I5_T3,433,282
L2,A0,U4,P1,I8,T5,position_fusion,5,88.6528508356777,171.66776043900626,0.7214936358230576,104.05838465664638,132.21391542917382,124.33378299331176,179.58127537090328,7.913514931897015,1.0,60.13437755647142,51.50884861097912,133.0235451162004,254.48274809393166,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I8_T5,434,442
L2,A0,U4,P1,I4,T5,position_fusion,5,88.8384656614094,171.80184284749868,1.6661771961741363,104.31025949024402,132.1827033957437,125.87160512323905,179.58127537090328,7.7794325234046315,1.0,60.000295147979045,51.593772080740145,133.54700509825776,250.63059150558814,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I4_T5,435,446
L16,A0,U4,P0,I5,T4,position_fusion,5,88.131957902572,171.8783914142211,0.7985174019565262,104.41336080542548,125.83381994040523,133.45160677150358,231.8021379954777,59.923746581256566,1.0,59.923746581256566,52.60284542098752,139.891456451358,247.42381066489952,L16 ICM-45686,X_A0_U4_P0_L16_I5_T4,436,34
L2,A0,U4,P1,I7,T2,position_fusion,5,94.86518057045525,171.94217318753076,5.782822325255159,107.35945468315008,135.38143746106553,119.20407361905227,179.58127537090328,7.639102183372529,1.0,59.85996480794694,46.735112806568296,130.04991347199024,231.52509684102978,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I7_T2,437,449
L2,A0,U4,P2,I8,T4,position_fusion,5,94.12532680166134,171.9805004027897,0.5865994985916563,106.82667808531778,132.9898109677767,126.32638937843058,191.34655064695076,19.366050244161066,1.0,59.821637592688,48.20113260556501,137.97870477036986,220.56512382336524,L2 MPU6050/JY61P-like,X_A0_U4_P2_L2_I8_T4,438,285
L16,A0,U4,P3,I1,T3,position_fusion,5,90.26596374007514,172.08593078259346,0.6639616125442966,103.47214331434884,134.52562544774491,127.59957636564982,200.2766290041533,28.19069822155985,1.0,59.71620721288423,51.083330873456575,142.28522844738478,198.48580751617993,L16 ICM-45686,X_A0_U4_P3_L16_I1_T3,439,176
L2,A0,U4,P1,I1,T3,position_fusion,5,87.75340064342012,172.08991379251344,1.315654851971151,102.84721829757447,130.1147758780741,125.52605516869721,179.58127537090328,7.491361578389837,1.0,59.71222420296424,51.31593843298898,133.1712377063838,260.15503639276085,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I1_T3,440,453
L20,A0,U4,P3,I1,T3,position_fusion,5,89.47440703520131,172.23893370603204,0.44286025660075734,101.98599939847149,132.5399817592292,127.054209288646,200.2766290041533,28.037695298121264,1.0,59.56320428944565,50.991625967264945,142.1073966220444,201.39476507741307,L20 Xsens MTi-3,X_A0_U4_P3_L20_I1_T3,441,177
L16,A0,U4,P3,I2,T3,position_fusion,5,90.0092654155221,172.25774464674654,2.2528046846299685,103.13241315224089,133.15190574120157,127.41810037031546,200.2766290041533,28.018884357406755,1.0,59.544393348731134,51.03027152494331,142.44354133469716,201.49148933258877,L16 ICM-45686,X_A0_U4_P3_L16_I2_T3,442,178
