d_tag_mm,n_positions,n_frames,frames_input_total,median_3d_mm,p75_3d_mm,p95_3d_mm,rmse_3d_mm,median_horiz_mm,rmse_horiz_mm,median_vert_mm,rmse_vert_mm,signed_vertical_slope_mm_per_m,signed_vertical_slope_r2,fail_rate,residual_rms_median_mm,d3_std_median_mm,distance_to_centroid_slope_mm_per_m,distance_to_centroid_slope_r2
44.0,24,28818,28818,73.58578273828434,99.32510125806485,159.65010647029266,86.96737600380577,33.87125125147185,40.1717019661693,57.60382407146301,77.13338349980896,89.20487175518994,0.4857022322090605,0.0,82.30382171105134,62.401067303021215,74.75012174125436,0.2104015061873109
46.0,24,28818,28818,71.43272660387274,95.3059014069064,158.69555709440448,85.39397009182952,34.01785937039092,40.135773716736686,58.28747895226536,75.3740658065039,84.80777648836178,0.4610443260160786,0.0,82.78107613052808,62.49132338542399,70.73532935090455,0.1968693745894572
48.0,24,28818,28818,69.31459150053402,91.32058671930136,156.5734009111889,83.92008291712185,34.34795221162454,40.13822802967289,58.990314754683936,73.69873111156383,80.44920598257094,0.43516150774850226,0.0,83.34791560567479,62.60617348275141,66.69052642910269,0.18255326889882872
50.0,24,28818,28818,68.04692158649715,88.63402018352815,152.95476644283644,82.54616474190911,33.166108321833406,40.17750494304896,58.98303676667018,72.10851135718775,76.12653262657957,0.40813386596882706,0.0,83.97200411543727,62.751466336254325,62.64429890773518,0.16766267442148253
52.0,24,28818,28818,69.10773451116125,86.8109216012247,149.40471743460512,81.2755131777916,31.824042176739574,40.253716768463384,58.00055884078584,70.606992066209,71.84333131466352,0.380116577311983,0.0,84.65839913786365,62.91769212722291,58.612472421664805,0.15237390598168177
54.0,24,28818,28818,67.98280804803129,87.71944082617175,145.92450826661027,80.1091708960955,30.470995442089652,40.36444008482168,58.03841563060929,69.19675742618779,67.59884949851492,0.3512586837098659,0.0,85.2606853949915,63.10197901325226,54.59688980969076,0.13682222428423163
56.0,24,28818,28818,66.40493157757993,88.3653400944964,142.52004883938912,79.04885524279649,29.117306690207705,40.50910076287409,56.981353635171175,67.88029368365981,63.39259637192361,0.3217450247693855,0.0,85.92765914231316,63.27339640785161,50.59418260675025,0.121153256866943
58.0,24,28818,28818,64.6343882645026,87.17934302943759,139.20242063833768,78.09515654835573,27.76075476319394,40.68405553632422,54.85969966726863,66.660791335158,59.22791301525416,0.2918310612052156,0.0,86.66752161433257,63.430774003060606,46.62064199815996,0.10564336451340739
60.0,24,28818,28818,63.51051673425066,85.86400768848986,135.96995229262754,77.25203213147361,26.75219435753036,40.88984562988555,52.47828244220017,65.54309263992934,55.10275210752694,0.2617622231179849,0.0,87.33760234904997,63.61042751060677,42.67798061558108,0.09052918935258747
62.0,24,28818,28818,62.64242848224242,86.46670957562465,132.81180231407805,76.51841444837163,25.968725844450805,41.125028213023654,49.37426389828396,64.52751199427092,51.01933856034361,0.231883659926705,0.0,88.01997706025297,63.523513126741435,38.775592455697925,0.07608131835355791
64.0,24,28818,28818,60.09946574030981,88.98614414484219,129.72611258634075,75.89558781256562,25.701593044446614,41.38750483647947,48.95710583514949,63.61772310312,46.97659657549998,0.20251535694474732,0.0,88.70908950086705,63.40866445294195,34.909465498813695,0.06250045776010682
66.0,24,28818,28818,58.229179852212404,90.61166250336284,126.71934932211678,75.38443652273126,25.93407307334862,41.67549983776908,48.581911688597074,62.81692433669296,42.97239806065521,0.1739876740574674,0.0,89.39683866049157,63.32196224392661,31.071665141263814,0.04995217792557993
68.0,24,28818,28818,58.7187334362195,89.18377758942353,123.79903091639032,74.98492796548436,26.720679024656583,41.98873874809115,46.069028324345396,62.126365098349574,39.00330007359512,0.14664196198235768,0.0,90.14843884706147,63.264753571004306,27.27450999066262,0.038654906480329765
70.0,24,28818,28818,59.43855384696427,86.6223604849223,121.80104986011794,74.69461711461875,27.54597435280793,42.329207022476325,44.78539369444904,61.5428635891103,35.06874543104926,0.1208629551383803,0.0,90.90613953658423,63.237089719093305,23.51123271320722,0.028730106545641454
72.0,24,28818,28818,58.669311376880174,84.0839104666707,123.64889976737483,74.51507562130097,28.406452157862695,42.69489797549879,44.971512543788975,61.070796471881316,31.166801263232205,0.09696760620371525,0.0,91.60680206274236,63.242752676618444,19.781120768903257,0.020259092532070144
74.0,24,28818,28818,57.55575016839912,81.46521083982319,125.89735655127734,74.4456707714998,29.301672673607683,43.08695943054249,46.273941555475176,60.709734175413125,27.294576385479754,0.07525979533058758,0.0,92.31874835589355,63.28245763021241,16.072396760400096,0.013273132123702625
76.0,24,28818,28818,56.61920830126448,78.56095527400535,128.05436599617215,74.48425619296654,30.2250369073994,43.50552298880252,46.702391426321014,60.4580341235989,23.4541034511672,0.05602499549583362,0.0,93.04000663323475,63.29258664107838,12.393191735779947,0.007805098049142645
78.0,24,28818,28818,57.65700275197459,78.46626185803842,130.09532296474552,74.62617477513275,31.179434376138865,43.94812472528976,46.636706464171425,60.312753996970116,19.6469978440845,0.039489078431200864,0.0,93.82185297923027,63.6893386906413,8.75973499930279,0.0038452755001828764
80.0,24,28818,28818,60.065426857740505,80.56705198561062,131.97801789069533,74.86438880779039,32.15316445590791,44.41410196992378,45.80015711600993,60.26660980816178,15.86885339116122,0.02578999072361632,0.0,94.618461348128,64.40037324898054,5.183581112381431,0.0013250454968289915
82.0,24,28818,28818,59.24197386664973,82.04985121878592,133.90458433491145,75.20045071744393,33.13368363380654,44.904526208311225,45.71302495592988,60.32156591231533,12.11891382352956,0.015005650558250205,0.0,95.13290529749263,65.08493597153718,1.6819260491776802,0.00013706463786800072
84.0,24,28818,28818,59.30355451749663,83.19088528515726,136.18515126489152,75.62982721237596,34.118600608252144,45.41962358381583,45.80863891573392,60.47254383336559,8.39787687102069,0.0071648643397603795,0.0,95.74100044380509,65.79091444711688,-1.710339462571092,0.00013919033539910863
86.0,24,28818,28818,58.878267988359696,84.34848275113272,138.31955224100668,76.1495532296863,35.1111845796225,45.95867334543184,45.07836249768354,60.717005866632796,4.705214912796435,0.0022295246076675657,0.0,96.40235150923618,66.2791917006378,-4.961456327059529,0.0011510751712742184
88.0,24,28818,28818,58.60276105051939,85.52186594180318,140.30362592928083,76.75531512147026,35.708038343202006,46.52170056891886,43.222260334318094,61.050059586965645,1.041319418785215,0.00010792932787351273,0.0,97.00236601206338,66.30705288362626,-8.016332709796638,0.0029590183978908113
90.0,24,28818,28818,58.4849613141654,86.7181330970028,142.17970604650003,77.4455278455784,35.644372211011344,47.10783275940159,43.455907987950226,61.47082133819679,-2.5957857124824475,0.0006609819595339017,0.0,97.61208100425773,66.37865317060081,-10.848328416727451,0.0053516747836814815
92.0,24,28818,28818,58.788957902297426,87.93698191045729,143.91492126279314,78.21651428533862,35.57470071947317,47.71685415412214,44.5947249144954,61.97519613993017,-6.209629213217058,0.003718168733638616,0.0,98.16735462676954,66.49162187607723,-13.476840044631915,0.008184626131604422
94.0,24,28818,28818,59.90151936151419,89.18499902796837,145.50920475741128,79.06483410003607,35.50221279245635,48.35082242099192,46.744935135684614,62.557541211910916,-9.799596013897562,0.009081032583241888,0.0,98.67420758653896,66.64172383645092,-15.922197766777943,0.011356687624610173
