series,material,distance_cm,pos_err_p95_m,failure_gt_0p5m_ratio
Phase3 light_drywall,light_drywall,240,0.06231803074479103,0.0
Phase3 light_drywall,light_drywall,245,0.0627162829041481,0.0
Phase3 light_drywall,light_drywall,250,0.06256474554538727,0.0
Phase3 light_drywall,light_drywall,255,0.06251790374517441,0.0
Phase3 light_drywall,light_drywall,260,0.06257067620754242,0.0
Phase3 light_drywall,light_drywall,265,0.06248285621404648,0.0
Phase3 light_drywall,light_drywall,270,0.06257836520671844,0.0
Phase3 light_drywall,light_drywall,275,0.06226382032036781,0.0
Phase3 light_drywall,light_drywall,280,0.06266967952251434,0.0
Phase3 light_drywall,light_drywall,285,0.062286362051963806,0.0
Phase3 light_drywall,light_drywall,290,0.062498610466718674,0.0
Phase3 light_drywall,light_drywall,295,0.062173012644052505,0.0
Phase3 light_drywall,light_drywall,300,0.06255282461643219,0.0
Phase3 sand_lime_brick,sand_lime_brick,0,0.622462272644043,0.1766713410615921
Phase3 sand_lime_brick,sand_lime_brick,5,0.5452921390533447,0.08857548236846924
Phase3 sand_lime_brick,sand_lime_brick,10,0.4757119119167328,0.034515198320150375
Phase3 sand_lime_brick,sand_lime_brick,15,0.41733938455581665,0.01134518813341856
Phase3 sand_lime_brick,sand_lime_brick,20,0.36584925651550293,0.003145292168483138
Phase3 sand_lime_brick,sand_lime_brick,25,0.3206935226917267,0.00041506788693368435
Phase3 sand_lime_brick,sand_lime_brick,30,0.2829255163669586,0.00014757968892809004
Phase3 sand_lime_brick,sand_lime_brick,35,0.24961109459400177,3.689492223202251e-05
Phase3 sand_lime_brick,sand_lime_brick,40,0.22056879103183746,0.0
Phase3 sand_lime_brick,sand_lime_brick,45,0.19633778929710388,0.0
Phase3 sand_lime_brick,sand_lime_brick,50,0.17498824000358582,0.0
Phase3 sand_lime_brick,sand_lime_brick,55,0.15695860981941223,0.0
Phase3 sand_lime_brick,sand_lime_brick,60,0.14161022007465363,0.0
Phase3 sand_lime_brick,sand_lime_brick,65,0.12890082597732544,0.0
Phase3 sand_lime_brick,sand_lime_brick,70,0.11720678955316544,0.0
Phase3 sand_lime_brick,sand_lime_brick,75,0.10832899063825607,0.0
Phase3 sand_lime_brick,sand_lime_brick,80,0.10005766153335571,0.0
Phase3 sand_lime_brick,sand_lime_brick,85,0.09386381506919861,0.0
Phase3 sand_lime_brick,sand_lime_brick,90,0.0883396789431572,0.0
Phase3 sand_lime_brick,sand_lime_brick,95,0.08367682993412018,0.0
Phase3 sand_lime_brick,sand_lime_brick,100,0.07995200157165527,0.0
Phase3 sand_lime_brick,sand_lime_brick,105,0.07665137946605682,0.0
Phase3 sand_lime_brick,sand_lime_brick,110,0.07388946413993835,0.0
Phase3 sand_lime_brick,sand_lime_brick,115,0.07204882055521011,0.0
Phase3 sand_lime_brick,sand_lime_brick,120,0.07031765580177307,0.0
Phase3 sand_lime_brick,sand_lime_brick,125,0.06887359172105789,0.0
Phase3 sand_lime_brick,sand_lime_brick,130,0.06800013780593872,0.0
Phase3 sand_lime_brick,sand_lime_brick,135,0.06711165606975555,0.0
Phase3 sand_lime_brick,sand_lime_brick,140,0.06639307737350464,0.0
Phase3 sand_lime_brick,sand_lime_brick,145,0.065484419465065,0.0
Phase3 sand_lime_brick,sand_lime_brick,150,0.06495925039052963,0.0
Phase3 sand_lime_brick,sand_lime_brick,155,0.0645880252122879,0.0
Phase3 sand_lime_brick,sand_lime_brick,160,0.06415603309869766,0.0
Phase3 sand_lime_brick,sand_lime_brick,165,0.0640404149889946,0.0
Phase3 sand_lime_brick,sand_lime_brick,170,0.06360569596290588,0.0
Phase3 sand_lime_brick,sand_lime_brick,175,0.06353308260440826,0.0
Phase3 sand_lime_brick,sand_lime_brick,180,0.06355293840169907,0.0
Phase3 sand_lime_brick,sand_lime_brick,185,0.06309455633163452,0.0
Phase3 sand_lime_brick,sand_lime_brick,190,0.06315597891807556,0.0
Phase3 sand_lime_brick,sand_lime_brick,195,0.0629817545413971,0.0
Phase3 sand_lime_brick,sand_lime_brick,200,0.0628008246421814,0.0
Phase3 sand_lime_brick,sand_lime_brick,205,0.06299234926700592,0.0
Phase3 sand_lime_brick,sand_lime_brick,210,0.06267674267292023,0.0
Phase3 sand_lime_brick,sand_lime_brick,215,0.06266672909259796,0.0
Phase3 sand_lime_brick,sand_lime_brick,220,0.06305664032697678,0.0
