experiment_id,kind,A,U,P,R,L,I,T,seed_count,trackmedian_err3d_p50_mm_mean,trackmedian_err3d_p50_mm_std,trackmedian_err3d_p50_mm_min,trackmedian_err3d_p50_mm_max,trackmedian_err3d_p95_mm_mean,trackmedian_err3d_p95_mm_std,trackmedian_err3d_p95_mm_min,trackmedian_err3d_p95_mm_max,legacy_deltaR_error_rms_mm_mean,legacy_deltaR_error_rms_mm_std,legacy_deltaR_error_rms_mm_min,legacy_deltaR_error_rms_mm_max,trackmedian_radius_error_abs_mm_mean,trackmedian_radius_error_abs_mm_std,trackmedian_radius_error_abs_mm_min,trackmedian_radius_error_abs_mm_max,screening_score_mean,screening_score_std,screening_score_min,screening_score_max,rank
X_A0_U4_P0_L2_I4_T5,position_fusion,A0,U4,P0,nan,L2,I4,T5,1,100.55982626771396,0.0,100.55982626771396,100.55982626771396,211.03147240893514,0.0,211.03147240893514,211.03147240893514,114.96904332651617,0.0,114.96904332651617,114.96904332651617,57.72688733497375,0.0,57.72688733497375,57.72688733497375,283.7626156068894,0.0,283.7626156068894,283.7626156068894,11
X_A0_U4_P0_L2_I8_T5,position_fusion,A0,U4,P0,nan,L2,I8,T5,1,99.21234882242574,0.0,99.21234882242574,99.21234882242574,208.2822078308885,0.0,208.2822078308885,208.2822078308885,121.21642181002557,0.0,121.21642181002557,121.21642181002557,57.4950671776935,0.0,57.4950671776935,57.4950671776935,285.71015041910135,0.0,285.71015041910135,285.71015041910135,12
X_A0_U4_P0_L2_I6_T5,position_fusion,A0,U4,P0,nan,L2,I6,T5,1,98.40039977535567,0.0,98.40039977535567,98.40039977535567,203.63081580436446,0.0,203.63081580436446,203.63081580436446,125.33185198847723,0.0,125.33185198847723,125.33185198847723,57.33786803163616,0.0,57.33786803163616,57.33786803163616,286.0724157146353,0.0,286.0724157146353,286.0724157146353,13
X_A0_U4_P0_L2_I2_T3,position_fusion,A0,U4,P0,nan,L2,I2,T3,1,97.62664476409327,0.0,97.62664476409327,97.62664476409327,201.57898340662695,0.0,201.57898340662695,201.57898340662695,132.1772406248398,0.0,132.1772406248398,132.1772406248398,56.8607759899819,0.0,56.8607759899819,56.8607759899819,289.1337453887915,0.0,289.1337453887915,289.1337453887915,14
X_A0_U4_P0_L2_I7_T2,position_fusion,A0,U4,P0,nan,L2,I7,T2,1,97.71596088886352,0.0,97.71596088886352,97.71596088886352,182.70865563475343,0.0,182.70865563475343,182.70865563475343,145.84590478371868,0.0,145.84590478371868,145.84590478371868,51.16294049653928,0.0,51.16294049653928,51.16294049653928,289.3375939578999,0.0,289.3375939578999,289.3375939578999,15
X_A0_U4_P2_L2_I0_T2,position_fusion,A0,U4,P2,nan,L2,I0,T2,1,99.07956347604777,0.0,99.07956347604777,99.07956347604777,178.73101465434956,0.0,178.73101465434956,178.73101465434956,149.37762332058162,0.0,149.37762332058162,149.37762332058162,49.41427780300657,0.0,49.41427780300657,49.41427780300657,290.9068938309805,0.0,290.9068938309805,290.9068938309805,16
X_A0_U4_P0_L2_I7_T3,position_fusion,A0,U4,P0,nan,L2,I7,T3,1,98.46260681340499,0.0,98.46260681340499,98.46260681340499,201.49944753078012,0.0,201.49944753078012,201.49944753078012,134.88709767004937,0.0,134.88709767004937,134.88709767004937,56.760802195518636,0.0,56.760802195518636,56.760802195518636,291.78878291597186,0.0,291.78878291597186,291.78878291597186,17
X_A0_U4_P0_L2_I5_T5,position_fusion,A0,U4,P0,nan,L2,I5,T5,1,99.28147982049268,0.0,99.28147982049268,99.28147982049268,204.94629192016265,0.0,204.94629192016265,204.94629192016265,135.0998965501825,0.0,135.0998965501825,135.0998965501825,56.91305089816993,0.0,56.91305089816993,56.91305089816993,294.03913502676227,0.0,294.03913502676227,294.03913502676227,18
X_A0_U4_P0_L2_I1_T3,position_fusion,A0,U4,P0,nan,L2,I1,T3,1,99.77029555492874,0.0,99.77029555492874,99.77029555492874,204.51450573689917,0.0,204.51450573689917,204.51450573689917,134.87314472908068,0.0,134.87314472908068,134.87314472908068,56.935643433231604,0.0,56.935643433231604,56.935643433231604,294.22939558981574,0.0,294.22939558981574,294.22939558981574,19
X_A0_U4_P2_L2_I7_T2,position_fusion,A0,U4,P2,nan,L2,I7,T2,1,98.33812995891307,0.0,98.33812995891307,98.33812995891307,171.3248383019381,0.0,171.3248383019381,171.3248383019381,171.90853587402754,0.0,171.90853587402754,171.90853587402754,41.259118308599426,0.0,41.259118308599426,41.259118308599426,299.2673576307104,0.0,299.2673576307104,299.2673576307104,20
X_A0_U4_P0_L2_I3_T3,position_fusion,A0,U4,P0,nan,L2,I3,T3,1,97.8442738926133,0.0,97.8442738926133,97.8442738926133,200.91152810142944,0.0,200.91152810142944,200.91152810142944,147.9387229649501,0.0,147.9387229649501,147.9387229649501,56.47156735053704,0.0,56.47156735053704,56.47156735053704,299.9561984788472,0.0,299.9561984788472,299.9561984788472,21
X_A0_U4_P0_L2_I4_T3,position_fusion,A0,U4,P0,nan,L2,I4,T3,1,97.70933357587441,0.0,97.70933357587441,97.70933357587441,196.1351566252055,0.0,196.1351566252055,196.1351566252055,155.88374648144838,0.0,155.88374648144838,155.88374648144838,56.20439235356625,0.0,56.20439235356625,56.20439235356625,303.5774571084933,0.0,303.5774571084933,303.5774571084933,22
X_A0_U4_P2_L2_I0_T5,position_fusion,A0,U4,P2,nan,L2,I0,T5,1,97.67057910160169,0.0,97.67057910160169,97.67057910160169,191.22922851407696,0.0,191.22922851407696,191.22922851407696,162.42456276985283,0.0,162.42456276985283,162.42456276985283,51.72462392362303,0.0,51.72462392362303,51.72462392362303,304.1603149822371,0.0,304.1603149822371,304.1603149822371,23
X_A0_U4_P2_L2_I0_T3,position_fusion,A0,U4,P2,nan,L2,I0,T3,1,96.70420362126085,0.0,96.70420362126085,96.70420362126085,188.81691641787523,0.0,188.81691641787523,188.81691641787523,166.69191983859008,0.0,166.69191983859008,166.69191983859008,51.49636194947888,0.0,51.49636194947888,51.49636194947888,305.2226492292697,0.0,305.2226492292697,305.2226492292697,24
X_A0_U4_P0_L2_I8_T3,position_fusion,A0,U4,P0,nan,L2,I8,T3,1,94.07379199687813,0.0,94.07379199687813,94.07379199687813,197.72336196041027,0.0,197.72336196041027,197.72336196041027,164.72995181276448,0.0,164.72995181276448,164.72995181276448,55.94509774549172,0.0,55.94509774549172,55.94509774549172,306.5604838247027,0.0,306.5604838247027,306.5604838247027,25
X_A0_U4_P0_L2_I6_T3,position_fusion,A0,U4,P0,nan,L2,I6,T3,1,92.66723320828714,0.0,92.66723320828714,92.66723320828714,191.42158713924871,0.0,191.42158713924871,191.42158713924871,172.48668117314347,0.0,172.48668117314347,172.48668117314347,55.72949619967841,0.0,55.72949619967841,55.72949619967841,308.27021362806374,0.0,308.27021362806374,308.27021362806374,26
X_A0_U4_P2_L2_I7_T5,position_fusion,A0,U4,P2,nan,L2,I7,T5,1,96.3364809023095,0.0,96.3364809023095,96.3364809023095,185.75240810031886,0.0,185.75240810031886,185.75240810031886,177.6222182548574,0.0,177.6222182548574,177.6222182548574,51.05836445507475,0.0,51.05836445507475,51.05836445507475,311.2145587433586,0.0,311.2145587433586,311.2145587433586,27
X_A0_U4_P2_L2_I1_T5,position_fusion,A0,U4,P2,nan,L2,I1,T5,1,96.03815617938774,0.0,96.03815617938774,96.03815617938774,186.8309297955461,0.0,186.8309297955461,186.8309297955461,177.67789343173285,0.0,177.67789343173285,177.67789343173285,51.13334188894916,0.0,51.13334188894916,51.13334188894916,311.37017795451646,0.0,311.37017795451646,311.37017795451646,28
X_A0_U4_P2_L2_I2_T5,position_fusion,A0,U4,P2,nan,L2,I2,T5,1,96.72407329636204,0.0,96.72407329636204,96.72407329636204,186.2776973804531,0.0,186.2776973804531,186.2776973804531,178.00732110980866,0.0,178.00732110980866,178.00732110980866,51.13408061148232,0.0,51.13408061148232,51.13408061148232,312.0934324621278,0.0,312.0934324621278,312.0934324621278,29
X_A0_U4_P2_L2_I3_T5,position_fusion,A0,U4,P2,nan,L2,I3,T5,1,96.69740623847375,0.0,96.69740623847375,96.69740623847375,184.76238789070453,0.0,184.76238789070453,184.76238789070453,182.88796183772394,0.0,182.88796183772394,182.88796183772394,50.935361710177574,0.0,50.935361710177574,50.935361710177574,314.8534961417158,0.0,314.8534961417158,314.8534961417158,30
X_A0_U4_P2_L2_I4_T5,position_fusion,A0,U4,P2,nan,L2,I4,T5,1,97.03602221785121,0.0,97.03602221785121,97.03602221785121,183.61262953630143,0.0,183.61262953630143,183.61262953630143,186.44621465480816,0.0,186.44621465480816,186.44621465480816,50.89997247394717,0.0,50.89997247394717,50.89997247394717,317.26277905089603,0.0,317.26277905089603,317.26277905089603,31
X_A0_U4_P2_L2_I8_T5,position_fusion,A0,U4,P2,nan,L2,I8,T5,1,96.1129778140282,0.0,96.1129778140282,96.1129778140282,183.43257245991515,0.0,183.43257245991515,183.43257245991515,190.9984585922112,0.0,190.9984585922112,190.9984585922112,50.60648032745078,0.0,50.60648032745078,50.60648032745078,319.3165393532717,0.0,319.3165393532717,319.3165393532717,32
X_A0_U4_P2_L2_I7_T3,position_fusion,A0,U4,P2,nan,L2,I7,T3,1,95.42682328412124,0.0,95.42682328412124,95.42682328412124,181.47475244361962,0.0,181.47475244361962,181.47475244361962,194.03740079311586,0.0,194.03740079311586,194.03740079311586,49.962149344986244,0.0,49.962149344986244,49.962149344986244,319.7502418670623,0.0,319.7502418670623,319.7502418670623,33
X_A0_U4_P2_L2_I6_T5,position_fusion,A0,U4,P2,nan,L2,I6,T5,1,95.06049018793715,0.0,95.06049018793715,95.06049018793715,180.85746647307928,0.0,180.85746647307928,180.85746647307928,194.79412737164193,0.0,194.79412737164193,194.79412737164193,50.487752992759255,0.0,50.487752992759255,50.487752992759255,319.96036911004387,0.0,319.96036911004387,319.96036911004387,34
X_A0_U4_P2_L2_I2_T3,position_fusion,A0,U4,P2,nan,L2,I2,T3,1,96.22559173493669,0.0,96.22559173493669,96.22559173493669,178.79308298631642,0.0,178.79308298631642,178.79308298631642,194.43370999863285,0.0,194.43370999863285,194.43370999863285,50.14361018535695,0.0,50.14361018535695,50.14361018535695,319.9785728718689,0.0,319.9785728718689,319.9785728718689,35
X_A0_U4_P0_L2_I5_T3,position_fusion,A0,U4,P0,nan,L2,I5,T3,1,95.29679321807501,0.0,95.29679321807501,95.29679321807501,190.2346180956079,0.0,190.2346180956079,190.2346180956079,187.05434544706125,0.0,187.05434544706125,187.05434544706125,55.131705977241324,0.0,55.131705977241324,55.131705977241324,320.3828043531013,0.0,320.3828043531013,320.3828043531013,36
X_A0_U4_P2_L2_I5_T5,position_fusion,A0,U4,P2,nan,L2,I5,T5,1,94.73537917001093,0.0,94.73537917001093,94.73537917001093,183.06115390626124,0.0,183.06115390626124,183.06115390626124,198.3256034556303,0.0,198.3256034556303,198.3256034556303,50.08371526634531,0.0,50.08371526634531,50.08371526634531,322.67656308931623,0.0,322.67656308931623,322.67656308931623,37
X_A0_U4_P2_L2_I1_T3,position_fusion,A0,U4,P2,nan,L2,I1,T3,1,96.16794435784334,0.0,96.16794435784334,96.16794435784334,180.81074468106783,0.0,180.81074468106783,180.81074468106783,199.48217473737148,0.0,199.48217473737148,199.48217473737148,50.125881629362425,0.0,50.125881629362425,50.125881629362425,324.1521681270583,0.0,324.1521681270583,324.1521681270583,38
X_A0_U4_P2_L2_I3_T3,position_fusion,A0,U4,P2,nan,L2,I3,T3,1,95.90452465056829,0.0,95.90452465056829,95.90452465056829,180.15620907219372,0.0,180.15620907219372,180.15620907219372,207.47938822300867,0.0,207.47938822300867,207.47938822300867,49.70566645787892,0.0,49.70566645787892,49.70566645787892,329.04760281088164,0.0,329.04760281088164,329.04760281088164,39
X_A0_U4_P2_L2_I4_T3,position_fusion,A0,U4,P2,nan,L2,I4,T3,1,94.46699587354975,0.0,94.46699587354975,94.46699587354975,180.2048413934092,0.0,180.2048413934092,180.2048413934092,216.31944622625807,0.0,216.31944622625807,216.31944622625807,49.65578537550397,0.0,49.65578537550397,49.65578537550397,333.79019540737556,0.0,333.79019540737556,333.79019540737556,40
X_A0_U4_P2_L2_I8_T3,position_fusion,A0,U4,P2,nan,L2,I8,T3,1,95.82934683777364,0.0,95.82934683777364,95.82934683777364,175.5445228859648,0.0,175.5445228859648,175.5445228859648,219.8815828380567,0.0,219.8815828380567,219.8815828380567,49.00789591590831,0.0,49.00789591590831,49.00789591590831,335.69098579245514,0.0,335.69098579245514,335.69098579245514,41
X_A0_U4_P2_L2_I6_T3,position_fusion,A0,U4,P2,nan,L2,I6,T3,1,93.11261634674199,0.0,93.11261634674199,93.11261634674199,171.31694145300133,0.0,171.31694145300133,171.31694145300133,228.17625321751214,0.0,228.17625321751214,228.17625321751214,48.752081111384655,0.0,48.752081111384655,48.752081111384655,337.17296366324325,0.0,337.17296366324325,337.17296366324325,42
X_A0_U4_P2_L2_I5_T3,position_fusion,A0,U4,P2,nan,L2,I5,T3,1,91.82780209535383,0.0,91.82780209535383,91.82780209535383,174.69328048249764,0.0,174.69328048249764,174.69328048249764,232.37069308771288,0.0,232.37069308771288,232.37069308771288,47.925108370667004,0.0,47.925108370667004,47.925108370667004,339.59248961096046,0.0,339.59248961096046,339.59248961096046,43
X_A0_U4_P0_L2_I8_T2,position_fusion,A0,U4,P0,nan,L2,I8,T2,1,98.70381176495067,0.0,98.70381176495067,98.70381176495067,170.2314975021556,0.0,170.2314975021556,170.2314975021556,235.77050384224816,0.0,235.77050384224816,235.77050384224816,48.524020619009804,0.0,48.524020619009804,48.524020619009804,347.5861988897837,0.0,347.5861988897837,347.5861988897837,44
X_A0_U4_P2_L2_I8_T2,position_fusion,A0,U4,P2,nan,L2,I8,T2,1,96.92455947067172,0.0,96.92455947067172,96.92455947067172,162.55822108231644,0.0,162.55822108231644,162.55822108231644,251.52460928960238,0.0,251.52460928960238,251.52460928960238,36.68944446855613,0.0,36.68944446855613,36.68944446855613,348.23188558648224,0.0,348.23188558648224,348.23188558648224,45
X_A0_U4_P0_L2_I3_T2,position_fusion,A0,U4,P0,nan,L2,I3,T2,1,93.36757052454817,0.0,93.36757052454817,93.36757052454817,174.81133266136803,0.0,174.81133266136803,174.81133266136803,252.45794432178369,0.0,252.45794432178369,252.45794432178369,50.26139161526666,0.0,50.26139161526666,50.26139161526666,356.4027937889089,0.0,356.4027937889089,356.4027937889089,46
X_A0_U4_P2_L2_I3_T2,position_fusion,A0,U4,P2,nan,L2,I3,T2,1,90.78140439226982,0.0,90.78140439226982,90.78140439226982,166.51726000716596,0.0,166.51726000716596,166.51726000716596,273.96432726215244,0.0,273.96432726215244,273.96432726215244,40.01594232795003,0.0,40.01594232795003,40.01594232795003,360.8454456422596,0.0,360.8454456422596,360.8454456422596,47
X_A0_U4_P2_L2_I5_T2,position_fusion,A0,U4,P2,nan,L2,I5,T2,1,93.26966744134238,0.0,93.26966744134238,93.26966744134238,165.27392082195763,0.0,165.27392082195763,165.27392082195763,277.23158421661515,0.0,277.23158421661515,277.23158421661515,31.462823226222355,0.0,31.462823226222355,31.462823226222355,360.9090602937693,0.0,360.9090602937693,360.9090602937693,48
X_A0_U4_P0_L2_I5_T2,position_fusion,A0,U4,P0,nan,L2,I5,T2,1,90.43600019240029,0.0,90.43600019240029,90.43600019240029,175.59508438321137,0.0,175.59508438321137,175.59508438321137,271.6716628823122,0.0,271.6716628823122,271.6716628823122,44.45987072230804,0.0,44.45987072230804,44.45987072230804,364.2943791052968,0.0,364.2943791052968,364.2943791052968,49
X_A0_U4_P0_L2_I6_T2,position_fusion,A0,U4,P0,nan,L2,I6,T2,1,92.75136449415207,0.0,92.75136449415207,92.75136449415207,172.2891063646016,0.0,172.2891063646016,172.2891063646016,282.2145390163644,0.0,282.2145390163644,282.2145390163644,47.4703733614044,0.0,47.4703733614044,47.4703733614044,374.3379157139199,0.0,374.3379157139199,374.3379157139199,50
X_A0_U4_P2_L2_I4_T2,position_fusion,A0,U4,P2,nan,L2,I4,T2,1,98.69652132916411,0.0,98.69652132916411,98.69652132916411,170.75225264787534,0.0,170.75225264787534,170.75225264787534,283.55095298534457,0.0,283.55095298534457,283.55095298534457,39.80191162002461,0.0,39.80191162002461,39.80191162002461,376.846432655674,0.0,376.846432655674,376.846432655674,51
X_A0_U4_P0_L2_I1_T2,position_fusion,A0,U4,P0,nan,L2,I1,T2,1,98.82622614107893,0.0,98.82622614107893,98.82622614107893,184.21813724665793,0.0,184.21813724665793,184.21813724665793,269.4516945179734,0.0,269.4516945179734,269.4516945179734,51.636670165894174,0.0,51.636670165894174,51.636670165894174,377.7370954229377,0.0,377.7370954229377,377.7370954229377,52
X_A0_U4_P0_L2_I4_T2,position_fusion,A0,U4,P0,nan,L2,I4,T2,1,98.64153018080464,0.0,98.64153018080464,98.64153018080464,185.69236395864343,0.0,185.69236395864343,185.69236395864343,277.38936971043296,0.0,277.38936971043296,277.38936971043296,49.93576310459616,0.0,49.93576310459616,49.93576310459616,382.77429791593096,0.0,382.77429791593096,382.77429791593096,53
X_A0_U4_P2_L2_I6_T2,position_fusion,A0,U4,P2,nan,L2,I6,T2,1,93.4491370705927,0.0,93.4491370705927,93.4491370705927,170.38250204784316,0.0,170.38250204784316,170.38250204784316,307.2774497102741,0.0,307.2774497102741,307.2774497102741,34.74872964629404,0.0,34.74872964629404,34.74872964629404,385.55159240767665,0.0,385.55159240767665,385.55159240767665,54
X_A0_U4_P2_L2_I1_T2,position_fusion,A0,U4,P2,nan,L2,I1,T2,1,97.98397279972502,0.0,97.98397279972502,97.98397279972502,171.67414996170885,0.0,171.67414996170885,171.67414996170885,298.046857733752,0.0,298.046857733752,298.046857733752,42.29787676421782,0.0,42.29787676421782,42.29787676421782,387.8516640820584,0.0,387.8516640820584,387.8516640820584,55
X_A0_R4_L2_I5_T6,range_fusion,A0,nan,nan,R4,L2,I5,T6,1,532.7015174672958,0.0,532.7015174672958,532.7015174672958,781.3579964973344,0.0,781.3579964973344,781.3579964973344,80.56820376818219,0.0,80.56820376818219,80.56820376818219,148.23173440722977,0.0,148.23173440722977,148.23173440722977,936.6904260827054,0.0,936.6904260827054,936.6904260827054,56
X_A0_R4_L2_I6_T6,range_fusion,A0,nan,nan,R4,L2,I6,T6,1,549.8769737932905,0.0,549.8769737932905,549.8769737932905,796.7853817423336,0.0,796.7853817423336,796.7853817423336,81.86976685613891,0.0,81.86976685613891,81.86976685613891,132.94003935466213,0.0,132.94003935466213,132.94003935466213,952.5307138797355,0.0,952.5307138797355,952.5307138797355,57
X_A0_R4_L2_I8_T6,range_fusion,A0,nan,nan,R4,L2,I8,T6,1,557.1199810827105,0.0,557.1199810827105,557.1199810827105,824.7493562874708,0.0,824.7493562874708,824.7493562874708,63.55271581829782,0.0,63.55271581829782,63.55271581829782,131.996163218378,0.0,131.996163218378,131.996163218378,956.2672384653229,0.0,956.2672384653229,956.2672384653229,58
X_A0_R2_L2_I5_T6,range_fusion,A0,nan,nan,R2,L2,I5,T6,1,571.7144794252347,0.0,571.7144794252347,571.7144794252347,848.1518707469788,0.0,848.1518707469788,848.1518707469788,63.824239969243045,0.0,63.824239969243045,63.824239969243045,141.79417580829895,0.0,141.79417580829895,141.79417580829895,984.1416900692967,0.0,984.1416900692967,984.1416900692967,59
X_A0_R4_L2_I3_T6,range_fusion,A0,nan,nan,R4,L2,I3,T6,1,591.7055210757928,0.0,591.7055210757928,591.7055210757928,875.1561894276406,0.0,875.1561894276406,875.1561894276406,51.100531901813916,0.0,51.100531901813916,51.100531901813916,139.9452935834977,0.0,139.9452935834977,139.9452935834977,1003.7532064984856,0.0,1003.7532064984856,1003.7532064984856,60
X_A0_R4_L2_I4_T6,range_fusion,A0,nan,nan,R4,L2,I4,T6,1,594.4648970198502,0.0,594.4648970198502,594.4648970198502,855.6016544838319,0.0,855.6016544838319,855.6016544838319,61.85868712383782,0.0,61.85868712383782,61.85868712383782,138.22910474257256,0.0,138.22910474257256,138.22910474257256,1006.3411094471641,0.0,1006.3411094471641,1006.3411094471641,61
X_A0_R2_L2_I6_T6,range_fusion,A0,nan,nan,R2,L2,I6,T6,1,601.5927990580859,0.0,601.5927990580859,601.5927990580859,868.2621463960904,0.0,868.2621463960904,868.2621463960904,58.914305883868614,0.0,58.914305883868614,58.914305883868614,141.9196621738572,0.0,141.9196621738572,141.9196621738572,1017.6843955023542,0.0,1017.6843955023542,1017.6843955023542,62
X_A0_R4_L2_I5_T8,range_fusion,A0,nan,nan,R4,L2,I5,T8,1,600.0023909372279,0.0,600.0023909372279,600.0023909372279,883.1493236200572,0.0,883.1493236200572,883.1493236200572,54.90467664890399,0.0,54.90467664890399,54.90467664890399,146.10631337732661,0.0,146.10631337732661,146.10631337732661,1020.5910845471441,0.0,1020.5910845471441,1020.5910845471441,63
X_A0_R4_L2_I7_T6,range_fusion,A0,nan,nan,R4,L2,I7,T6,1,592.7023894513773,0.0,592.7023894513773,592.7023894513773,898.3690916541773,0.0,898.3690916541773,898.3690916541773,80.99743733630595,0.0,80.99743733630595,80.99743733630595,142.62845728296836,0.0,142.62845728296836,142.62845728296836,1035.1440063072375,0.0,1035.1440063072375,1035.1440063072375,64
X_A0_R4_L2_I6_T8,range_fusion,A0,nan,nan,R4,L2,I6,T8,1,621.1799161215416,0.0,621.1799161215416,621.1799161215416,883.5466955794213,0.0,883.5466955794213,883.5466955794213,57.20443543657635,0.0,57.20443543657635,57.20443543657635,135.2858030280526,0.0,135.2858030280526,135.2858030280526,1038.1072658939688,0.0,1038.1072658939688,1038.1072658939688,65
X_A0_R2_L2_I8_T6,range_fusion,A0,nan,nan,R2,L2,I8,T6,1,636.7428292022888,0.0,636.7428292022888,636.7428292022888,885.2534139533195,0.0,885.2534139533195,885.2534139533195,46.25904364178054,0.0,46.25904364178054,46.25904364178054,131.40293638479088,0.0,131.40293638479088,131.40293638479088,1044.6643228275925,0.0,1044.6643228275925,1044.6643228275925,66
X_A0_R4_L2_I2_T6,range_fusion,A0,nan,nan,R4,L2,I2,T6,1,606.7988165149413,0.0,606.7988165149413,606.7988165149413,982.6335820046304,0.0,982.6335820046304,982.6335820046304,46.889275241569464,0.0,46.889275241569464,46.889275241569464,132.83636118056103,0.0,132.83636118056103,132.83636118056103,1049.9612434759413,0.0,1049.9612434759413,1049.9612434759413,67
X_A0_R4_L2_I8_T8,range_fusion,A0,nan,nan,R4,L2,I8,T8,1,644.3757734454931,0.0,644.3757734454931,644.3757734454931,915.5157659124811,0.0,915.5157659124811,915.5157659124811,47.93303202134134,0.0,47.93303202134134,47.93303202134134,133.1715754601055,0.0,133.1715754601055,133.1715754601055,1064.945201659853,0.0,1064.945201659853,1064.945201659853,68
X_A0_R4_L2_I1_T6,range_fusion,A0,nan,nan,R4,L2,I1,T6,1,625.2378470201572,0.0,625.2378470201572,625.2378470201572,949.8830959728023,0.0,949.8830959728023,949.8830959728023,68.46566220555809,0.0,68.46566220555809,68.46566220555809,140.61936556873212,0.0,140.61936556873212,140.61936556873212,1075.9325769388947,0.0,1075.9325769388947,1075.9325769388947,69
