layout,tag_method,kind,keep_k,drop_category,drop_sets,dropped_lower_count_median,dropped_upper_count_median,turn_center_rms_3d_mm_median,turn_center_rms_3d_mm_p95_over_drop_sets,circle_thickness_rms_mm_median,radius_mm_median,d3_std_mm_median,d3_std_mm_p95_over_drop_sets,z_std_mm_median,residual_rms_median_mm
v1-old,T3,static,7,lower_heavy,4,1.0,0.0,,,,,72.57957649230957,76.08179149627685,45.38351345062256,95.77057075500488
v1-old,T3,static,7,upper_heavy,4,0.0,1.0,,,,,62.51737403869629,71.16910610198974,40.21169376373291,96.09383964538574
v1-old,T3,static,6,balanced,16,1.0,1.0,,,,,76.33440208435059,96.70796394348145,44.622880935668945,84.04158210754395
v1-old,T3,static,6,lower_heavy,6,2.0,0.0,,,,,87.9423599243164,89.62451839447021,60.49206352233887,84.77277946472168
v1-old,T3,static,6,upper_heavy,6,0.0,2.0,,,,,69.6130142211914,75.27367877960205,46.099440574645996,91.58853721618652
v1-old,T3,static,5,lower_heavy,28,2.0,1.0,,,,,103.00232124328613,127.60139141082763,67.01630401611328,65.40337371826172
v1-old,T3,static,5,upper_heavy,28,1.0,2.0,,,,,68.20112609863281,102.77213020324707,49.24197769165039,70.11020374298096
v1-old,T3,static,4,balanced,36,2.0,2.0,,,,,105.66997528076172,139.9095973968506,62.993534088134766,40.00555419921875
v1-old,T3,static,4,lower_heavy,17,3.0,1.0,,,,,119.38782119750977,167.05629119873046,76.8494987487793,35.59642791748047
v1-old,T3,static,4,upper_heavy,17,1.0,3.0,,,,,58.6713981628418,103.85583267211912,38.21964454650879,35.392723083496094
v1-old,T4,roto,7,lower_heavy,4,1.0,0.0,23.558883332354824,26.837688285494018,114.29205827734991,605.0793395428598,,,,
v1-old,T4,roto,7,upper_heavy,4,0.0,1.0,20.756656135764178,24.627302432551115,106.54173271327996,591.9071341233125,,,,
v1-old,T4,roto,6,balanced,16,1.0,1.0,30.28553287224046,35.80819293281699,131.57366673006578,612.5992358554017,,,,
v1-old,T4,roto,6,lower_heavy,6,2.0,0.0,34.17217133153355,43.995678662509434,132.7527474451129,598.3013977496394,,,,
v1-old,T4,roto,6,upper_heavy,6,0.0,2.0,26.24221060502758,31.244019138541127,127.33824636717361,584.0841221422278,,,,
v1-old,T4,roto,5,lower_heavy,28,2.0,1.0,40.903714005035724,75.42656679881041,158.11272393748635,609.50372137091,,,,
v1-old,T4,roto,5,upper_heavy,28,1.0,2.0,30.721567150768486,68.93594864832511,146.72757847882443,606.8236297406493,,,,
v1-old,T4,roto,4,balanced,36,2.0,2.0,50.24352225193741,126.09879567451203,180.84445872848772,612.307897046042,,,,
v1-old,T4,roto,4,lower_heavy,17,3.0,1.0,63.06109155340325,138.72751817276327,189.0500997368643,611.8873084600134,,,,
v1-old,T4,roto,4,upper_heavy,17,1.0,3.0,37.320630581057486,69.89570544960947,162.82464438743835,610.9285605996513,,,,
v1-old,T4,static,7,lower_heavy,4,1.0,0.0,,,,,72.57957649230957,76.08179149627685,45.38351345062256,95.77057075500488
v1-old,T4,static,7,upper_heavy,4,0.0,1.0,,,,,62.51737403869629,71.16910610198974,40.21169376373291,96.09383964538574
v1-old,T4,static,6,balanced,16,1.0,1.0,,,,,76.33440208435059,96.70796394348145,44.622880935668945,84.04158210754395
v1-old,T4,static,6,lower_heavy,6,2.0,0.0,,,,,87.9423599243164,89.62451839447021,60.49206352233887,84.77277946472168
v1-old,T4,static,6,upper_heavy,6,0.0,2.0,,,,,69.6130142211914,75.27367877960205,46.099440574645996,91.58853721618652
v1-old,T4,static,5,lower_heavy,28,2.0,1.0,,,,,103.00232124328613,127.60139141082763,67.01630401611328,65.40337371826172
v1-old,T4,static,5,upper_heavy,28,1.0,2.0,,,,,68.20112609863281,102.77213020324707,49.24197769165039,70.11020374298096
v1-old,T4,static,4,balanced,36,2.0,2.0,,,,,105.66997528076172,139.9095973968506,62.993534088134766,40.00555419921875
v1-old,T4,static,4,lower_heavy,17,3.0,1.0,,,,,119.38782119750977,167.05629119873046,76.8494987487793,35.59642791748047
v1-old,T4,static,4,upper_heavy,17,1.0,3.0,,,,,58.6713981628418,103.85583267211912,38.21964454650879,35.392723083496094
v2,T1,roto,7,lower_heavy,4,1.0,0.0,16.60909651661232,18.24252290695421,99.94393604551911,554.4603813350382,,,,
v2,T1,roto,7,upper_heavy,4,0.0,1.0,14.820809898206473,17.530769911551744,94.92528526201963,550.0687372497468,,,,
v2,T1,roto,6,balanced,16,1.0,1.0,20.670315574765432,22.7550008677275,117.04054579016352,570.3017224721389,,,,
v2,T1,roto,6,lower_heavy,6,2.0,0.0,23.049654382429537,25.388403769460087,115.79199802537462,548.7062812297971,,,,
v2,T1,roto,6,upper_heavy,6,0.0,2.0,17.289041255827456,20.53592707978565,109.49388954719444,545.4471649383846,,,,
v2,T1,roto,5,lower_heavy,28,2.0,1.0,30.707663145441884,38.937410102927075,141.35707741883488,575.3586868070521,,,,
v2,T1,roto,5,upper_heavy,28,1.0,2.0,23.902894617021104,34.49312834180039,136.25640535062504,574.9336414299477,,,,
v2,T1,roto,4,balanced,36,2.0,2.0,43.38209726067075,105.24887151757414,184.88282991600755,610.4883324713085,,,,
v2,T1,roto,4,lower_heavy,17,3.0,1.0,51.48734742670657,139.87666258434956,177.2522349181687,602.1904580919559,,,,
v2,T1,roto,4,upper_heavy,17,1.0,3.0,33.740037100545045,41.63438140839041,167.71553457794985,603.3300364798827,,,,
v2,T1,static,7,lower_heavy,4,1.0,0.0,,,,,70.06228256225586,71.69038276672363,49.27647590637207,77.97375106811523
v2,T1,static,7,upper_heavy,4,0.0,1.0,,,,,60.865779876708984,71.49131259918212,42.60521984100342,77.07993507385254
v2,T1,static,6,balanced,16,1.0,1.0,,,,,73.9830493927002,95.84475898742676,51.713321685791016,71.64264297485352
v2,T1,static,6,lower_heavy,6,2.0,0.0,,,,,88.76785278320312,94.30322933197021,66.62360095977783,72.53575706481934
v2,T1,static,6,upper_heavy,6,0.0,2.0,,,,,66.63194370269775,76.16406059265137,47.78621006011963,71.78717803955078
v2,T1,static,5,lower_heavy,28,2.0,1.0,,,,,101.67095375061034,141.52460708618165,67.90894317626953,54.83900547027588
v2,T1,static,5,upper_heavy,28,1.0,2.0,,,,,77.86981391906738,110.67214374542235,51.248435974121094,61.034523487091064
v2,T1,static,4,balanced,36,2.0,2.0,,,,,111.59683036804199,154.64130973815918,70.76631736755371,34.66514587402344
v2,T1,static,4,lower_heavy,17,3.0,1.0,,,,,124.29679107666016,172.67754364013672,85.63425827026367,31.50950527191162
v2,T1,static,4,upper_heavy,17,1.0,3.0,,,,,58.45580291748047,104.03360061645508,37.36773681640625,35.86471366882324
v2,T2,roto,7,lower_heavy,4,1.0,0.0,16.821860180734397,18.294737895869698,99.82786727153942,554.5078768541788,,,,
v2,T2,roto,7,upper_heavy,4,0.0,1.0,14.985162552437652,17.501434773724515,94.88777050114288,550.0252695845641,,,,
v2,T2,roto,6,balanced,16,1.0,1.0,20.892151296672075,22.935174966069294,117.04208858309188,570.3027126977092,,,,
v2,T2,roto,6,lower_heavy,6,2.0,0.0,23.106660852131288,25.63946618257779,115.63976630176276,548.950217387357,,,,
v2,T2,roto,6,upper_heavy,6,0.0,2.0,17.254482836727952,20.28304681662711,109.47962407407417,545.3165762448882,,,,
v2,T2,roto,5,lower_heavy,28,2.0,1.0,30.61677960254572,39.344177460891004,141.37667784982904,575.4281681637142,,,,
v2,T2,roto,5,upper_heavy,28,1.0,2.0,24.072733850888234,35.36366860239453,136.36556710640917,573.8441699002386,,,,
v2,T2,roto,4,balanced,36,2.0,2.0,43.05120767744314,115.9499735129933,184.43105867819082,610.506353244649,,,,
v2,T2,roto,4,lower_heavy,17,3.0,1.0,52.1409039900302,139.50567309904636,176.78785483881646,602.0625838354854,,,,
v2,T2,roto,4,upper_heavy,17,1.0,3.0,33.75857659718551,41.81177134232211,167.7704179184847,603.2747194492445,,,,
v2,T2,static,7,lower_heavy,4,1.0,0.0,,,,,70.13882637023926,71.5993709564209,49.30900478363037,78.11255264282227
v2,T2,static,7,upper_heavy,4,0.0,1.0,,,,,61.06034278869629,71.28347358703613,42.65376567840576,77.0693531036377
v2,T2,static,6,balanced,16,1.0,1.0,,,,,74.46657371520996,96.62549781799316,51.849971771240234,71.58286094665527
v2,T2,static,6,lower_heavy,6,2.0,0.0,,,,,89.79115295410156,94.62445735931396,66.95022773742676,72.74071311950684
v2,T2,static,6,upper_heavy,6,0.0,2.0,,,,,66.63346767425537,79.37217330932617,47.545220375061035,71.77279663085938
v2,T2,static,5,lower_heavy,28,2.0,1.0,,,,,101.79275512695312,141.46317977905272,69.16389083862305,54.86913061141968
v2,T2,static,5,upper_heavy,28,1.0,2.0,,,,,76.59783554077148,110.00480632781981,51.818894386291504,61.042006492614746
v2,T2,static,4,balanced,36,2.0,2.0,,,,,110.71146011352539,158.07255744934082,70.31716537475586,34.70502758026123
v2,T2,static,4,lower_heavy,17,3.0,1.0,,,,,124.3683967590332,172.34046173095703,86.84668350219727,31.57878160476685
v2,T2,static,4,upper_heavy,17,1.0,3.0,,,,,58.44179534912109,103.93673095703124,37.37377166748047,35.86469841003418
v2,T3,roto,7,lower_heavy,4,1.0,0.0,18.2346799440553,18.670425596916836,97.9914442630996,549.1632419008606,,,,
v2,T3,roto,7,upper_heavy,4,0.0,1.0,16.497487169865323,20.37380826728764,92.56838636258988,545.6631832107564,,,,
v2,T3,roto,6,balanced,16,1.0,1.0,22.6451822975214,25.450215711296245,113.08313829305295,563.2963153973034,,,,
v2,T3,roto,6,lower_heavy,6,2.0,0.0,25.226380202880822,27.359753591863658,111.54642461978662,545.2704007863308,,,,
v2,T3,roto,6,upper_heavy,6,0.0,2.0,18.26396428348798,23.054254349749407,106.75735138041952,541.5190723694641,,,,
v2,T3,roto,5,lower_heavy,28,2.0,1.0,30.85935100615057,47.07511958405779,135.85444294058206,574.3189173818355,,,,
v2,T3,roto,5,upper_heavy,28,1.0,2.0,23.601219491433458,38.417014470899325,130.86891441794526,566.811252328697,,,,
v2,T3,roto,4,balanced,36,2.0,2.0,44.54025611629036,123.66556013377459,173.52782659541398,587.3042345559996,,,,
v2,T3,roto,4,lower_heavy,17,3.0,1.0,50.40305130929549,79.15689886449836,174.70808858741574,584.9183208871441,,,,
v2,T3,roto,4,upper_heavy,17,1.0,3.0,32.537447408419524,44.83008892619409,156.48464311705308,595.5981189961904,,,,
v2,T3,static,7,lower_heavy,4,1.0,0.0,,,,,65.50251579284668,68.88697376251221,47.22234058380127,78.85264778137207
v2,T3,static,7,upper_heavy,4,0.0,1.0,,,,,62.52137851715088,73.5094627380371,40.07386112213135,79.07580757141113
v2,T3,static,6,balanced,16,1.0,1.0,,,,,72.14152717590332,91.64075946807861,47.72782611846924,72.73404693603516
v2,T3,static,6,lower_heavy,6,2.0,0.0,,,,,84.84564399719238,90.49377155303955,62.64542770385742,73.56970596313477
v2,T3,static,6,upper_heavy,6,0.0,2.0,,,,,63.51609230041504,75.2638750076294,44.240647315979004,74.06175231933594
v2,T3,static,5,lower_heavy,28,2.0,1.0,,,,,96.34630393981934,127.68010368347167,64.26508522033691,55.00777721405029
v2,T3,static,5,upper_heavy,28,1.0,2.0,,,,,68.77812957763672,106.87989482879638,48.085439682006836,63.53354787826538
v2,T3,static,4,balanced,36,2.0,2.0,,,,,106.62237930297852,139.9397678375244,60.82872676849365,34.94629096984863
v2,T3,static,4,lower_heavy,17,3.0,1.0,,,,,113.76788330078124,162.9416946411133,81.30170440673828,31.6992130279541
v2,T3,static,4,upper_heavy,17,1.0,3.0,,,,,57.44068336486816,104.40812606811524,38.97938537597656,35.73506164550781
v2,T4,roto,7,lower_heavy,4,1.0,0.0,18.2346799440553,18.670425596916836,97.9914442630996,549.1632419008606,,,,
v2,T4,roto,7,upper_heavy,4,0.0,1.0,16.497487169865323,20.37380826728764,92.56838636258988,545.6631832107564,,,,
v2,T4,roto,6,balanced,16,1.0,1.0,22.6451822975214,25.450215711296245,113.08313829305295,563.2963153973034,,,,
v2,T4,roto,6,lower_heavy,6,2.0,0.0,25.226380202880822,27.359753591863658,111.54642461978662,545.2704007863308,,,,
v2,T4,roto,6,upper_heavy,6,0.0,2.0,18.26396428348798,23.054254349749407,106.75735138041952,541.5190723694641,,,,
v2,T4,roto,5,lower_heavy,28,2.0,1.0,30.85935100615057,47.07511958405779,135.85444294058206,574.3189173818355,,,,
v2,T4,roto,5,upper_heavy,28,1.0,2.0,23.601219491433458,38.417014470899325,130.86891441794526,566.811252328697,,,,
v2,T4,roto,4,balanced,36,2.0,2.0,44.54025611629036,123.66556013377459,173.52782659541398,587.3042345559996,,,,
v2,T4,roto,4,lower_heavy,17,3.0,1.0,50.40305130929549,79.15689886449836,174.70808858741574,584.9183208871441,,,,
v2,T4,roto,4,upper_heavy,17,1.0,3.0,32.537447408419524,44.83008892619409,156.48464311705308,595.5981189961904,,,,
v2,T4,static,7,lower_heavy,4,1.0,0.0,,,,,65.50251579284668,68.88697376251221,47.22234058380127,78.85264778137207
v2,T4,static,7,upper_heavy,4,0.0,1.0,,,,,62.52137851715088,73.5094627380371,40.07386112213135,79.07580757141113
v2,T4,static,6,balanced,16,1.0,1.0,,,,,72.14152717590332,91.64075946807861,47.72782611846924,72.73404693603516
v2,T4,static,6,lower_heavy,6,2.0,0.0,,,,,84.84564399719238,90.49377155303955,62.64542770385742,73.56970596313477
v2,T4,static,6,upper_heavy,6,0.0,2.0,,,,,63.51609230041504,75.2638750076294,44.240647315979004,74.06175231933594
v2,T4,static,5,lower_heavy,28,2.0,1.0,,,,,96.34630393981934,127.68010368347167,64.26508522033691,55.00777721405029
v2,T4,static,5,upper_heavy,28,1.0,2.0,,,,,68.77812957763672,106.87989482879638,48.085439682006836,63.53354787826538
v2,T4,static,4,balanced,36,2.0,2.0,,,,,106.62237930297852,139.9397678375244,60.82872676849365,34.94629096984863
v2,T4,static,4,lower_heavy,17,3.0,1.0,,,,,113.76788330078124,162.9416946411133,81.30170440673828,31.6992130279541
v2,T4,static,4,upper_heavy,17,1.0,3.0,,,,,57.44068336486816,104.40812606811524,38.97938537597656,35.73506164550781
v3-full,T1,roto,7,lower_heavy,4,1.0,0.0,17.256239590789466,17.64605282790547,103.02444285241606,585.4385723747988,,,,
v3-full,T1,roto,7,upper_heavy,4,0.0,1.0,16.766094979779893,18.55008913898391,98.39792027239412,586.8769485871334,,,,
v3-full,T1,roto,6,balanced,16,1.0,1.0,22.933187958135896,26.027257399690285,124.34561837541636,588.062020948589,,,,
v3-full,T1,roto,6,lower_heavy,6,2.0,0.0,27.077839779249274,28.51533680571601,122.56436074610774,572.2795719927606,,,,
v3-full,T1,roto,6,upper_heavy,6,0.0,2.0,22.46840300994532,25.942477348287802,116.11810201129154,589.1490959597191,,,,
v3-full,T1,roto,5,lower_heavy,28,2.0,1.0,34.53366830672522,46.66828956594128,148.81537225828424,601.435110876944,,,,
v3-full,T1,roto,5,upper_heavy,28,1.0,2.0,28.4481051064625,43.13453986750136,147.2818736268639,596.5929555017244,,,,
v3-full,T1,roto,4,balanced,36,2.0,2.0,46.950747914685955,123.85506317020551,199.176802983499,642.0218463747954,,,,
v3-full,T1,roto,4,lower_heavy,17,3.0,1.0,55.31213058609123,156.57529750548957,195.6209077842517,621.0226512678776,,,,
v3-full,T1,roto,4,upper_heavy,17,1.0,3.0,38.246852661872,55.268436069379,178.43434541253438,624.1672018790086,,,,
v3-full,T1,static,7,lower_heavy,4,1.0,0.0,,,,,71.70800685882568,74.11949291229249,47.68724536895752,80.11929988861084
v3-full,T1,static,7,upper_heavy,4,0.0,1.0,,,,,67.22978591918945,71.70294017791748,49.283711433410645,81.18487930297852
v3-full,T1,static,6,balanced,16,1.0,1.0,,,,,77.28422546386719,91.47272968292236,51.24275588989258,70.57622146606445
v3-full,T1,static,6,lower_heavy,6,2.0,0.0,,,,,85.96719741821289,92.86031818389891,60.94438362121582,73.88749504089355
v3-full,T1,static,6,upper_heavy,6,0.0,2.0,,,,,66.88895606994629,76.36681747436523,44.89482879638672,76.47489166259766
v3-full,T1,static,5,lower_heavy,28,2.0,1.0,,,,,104.01425361633301,136.72285575866698,71.81064796447754,60.2063627243042
v3-full,T1,static,5,upper_heavy,28,1.0,2.0,,,,,75.62347984313965,105.36768608093261,48.481390953063965,60.440792083740234
v3-full,T1,static,4,balanced,36,2.0,2.0,,,,,116.17733001708984,164.9426975250244,70.33350563049316,35.08096218109131
v3-full,T1,static,4,lower_heavy,17,3.0,1.0,,,,,124.12621307373048,176.84831848144532,88.51630401611328,32.160489082336426
v3-full,T1,static,4,upper_heavy,17,1.0,3.0,,,,,63.77725601196289,107.8767120361328,40.078914642333984,32.882062911987305
v3-full,T2,roto,7,lower_heavy,4,1.0,0.0,17.449602120256813,18.370426687192957,102.97176753716019,585.71933061339,,,,
v3-full,T2,roto,7,upper_heavy,4,0.0,1.0,16.876784795053744,18.906172031184646,98.40653137202054,586.9579804289228,,,,
v3-full,T2,roto,6,balanced,16,1.0,1.0,22.83346372221634,26.072385571198588,124.31703997382526,588.245050784098,,,,
v3-full,T2,roto,6,lower_heavy,6,2.0,0.0,26.93430097361892,28.513886159249378,122.41735214367752,572.2871572920553,,,,
v3-full,T2,roto,6,upper_heavy,6,0.0,2.0,22.670914066615712,26.645620477496887,116.06610438640865,589.1229331605728,,,,
v3-full,T2,roto,5,lower_heavy,28,2.0,1.0,34.82265357344447,46.16152080743896,148.45295769399274,601.3187472185185,,,,
v3-full,T2,roto,5,upper_heavy,28,1.0,2.0,28.57305686212589,43.22494123676651,147.0173631983736,596.9659578519311,,,,
v3-full,T2,roto,4,balanced,36,2.0,2.0,47.08894538856454,173.81949145064937,197.5527909190017,642.5438065069989,,,,
v3-full,T2,roto,4,lower_heavy,17,3.0,1.0,54.324253721257705,154.573976538073,195.07133174325588,620.6900617453437,,,,
v3-full,T2,roto,4,upper_heavy,17,1.0,3.0,38.69234872283405,56.40804985407629,178.3428277573417,624.1332543426793,,,,
v3-full,T2,static,7,lower_heavy,4,1.0,0.0,,,,,72.1476879119873,74.52577705383301,48.01593780517578,79.91700744628906
v3-full,T2,static,7,upper_heavy,4,0.0,1.0,,,,,68.14279556274414,72.51974678039551,49.821754455566406,81.13991737365723
v3-full,T2,static,6,balanced,16,1.0,1.0,,,,,77.14285278320312,92.73739624023438,51.09316158294678,70.4917984008789
v3-full,T2,static,6,lower_heavy,6,2.0,0.0,,,,,86.34299850463867,93.4727087020874,60.89407253265381,73.97743606567383
v3-full,T2,static,6,upper_heavy,6,0.0,2.0,,,,,67.41605949401855,76.15136814117432,45.082247734069824,76.274489402771
v3-full,T2,static,5,lower_heavy,28,2.0,1.0,,,,,105.43572425842285,136.6246341705322,72.26847839355469,60.14147329330444
v3-full,T2,static,5,upper_heavy,28,1.0,2.0,,,,,75.23496627807617,104.99305114746093,47.934919357299805,60.390376567840576
v3-full,T2,static,4,balanced,36,2.0,2.0,,,,,116.28290557861328,162.63714218139648,70.89188957214355,36.23426961898804
v3-full,T2,static,4,lower_heavy,17,3.0,1.0,,,,,125.33214569091795,175.53842468261718,87.74612045288086,32.23159885406494
v3-full,T2,static,4,upper_heavy,17,1.0,3.0,,,,,63.75797271728516,112.03199157714843,41.27288246154785,32.46372413635254
v3-full,T3,roto,7,lower_heavy,4,1.0,0.0,20.48987497555433,23.622696454086963,103.89719752333127,581.8159309690801,,,,
v3-full,T3,roto,7,upper_heavy,4,0.0,1.0,18.63017894431367,19.949022747276697,98.14414899499144,578.2926524110367,,,,
v3-full,T3,roto,6,balanced,16,1.0,1.0,25.932069738757363,29.59338925405974,122.4580120352104,584.6558951316761,,,,
v3-full,T3,roto,6,lower_heavy,6,2.0,0.0,28.10645220270748,31.356391175503713,123.64810812776335,564.6201046018197,,,,
v3-full,T3,roto,6,upper_heavy,6,0.0,2.0,23.088932533973924,28.641586697780223,115.49220968884784,577.5946480294618,,,,
v3-full,T3,roto,5,lower_heavy,28,2.0,1.0,36.05050277198623,53.74686635892012,143.8502336620272,597.4399075775957,,,,
v3-full,T3,roto,5,upper_heavy,28,1.0,2.0,31.631532149722666,45.11525098043694,144.06967020677803,592.3031111705011,,,,
v3-full,T3,roto,4,balanced,36,2.0,2.0,43.494702568412194,95.55889685611648,175.81664297368064,595.9727110620572,,,,
v3-full,T3,roto,4,lower_heavy,17,3.0,1.0,56.20296571443405,89.61320196363074,178.51989571326658,598.8089125994982,,,,
v3-full,T3,roto,4,upper_heavy,17,1.0,3.0,37.75386134048178,58.37361742424814,171.63851088054622,617.2431513615577,,,,
v3-full,T3,static,7,lower_heavy,4,1.0,0.0,,,,,68.36519145965576,70.93473396301269,46.08913040161133,82.58651924133301
v3-full,T3,static,7,upper_heavy,4,0.0,1.0,,,,,64.29740524291992,70.17091970443725,46.322251319885254,83.85891532897949
v3-full,T3,static,6,balanced,16,1.0,1.0,,,,,72.88502311706543,90.80415058135986,47.74115753173828,72.15649223327637
