version,eval_set,method,n_tags,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,range_median_min_mm,range_median_max_mm,range_p95_min_mm,range_p95_max_mm,det,scale,note
v3-full,all8,C_anchor_locked_OFFICIAL,24,123.14943261216375,280.07350104562715,160.72304101521414,52.303651242551744,109.95413969362468,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-full,noG,A_tag_cloud_fit_WRONG_circular,24,116.76711877528265,267.58968374915935,156.487404339377,45.86552917592733,114.09665333851868,,,,,-1.0000000000000007,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-full,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,280.86812519711555,1579.7748724839698,615.2949515821695,2238.1273220144426,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-full,noG,C_anchor_locked_OFFICIAL,24,123.79109214688988,290.3576587721954,161.33300931314506,46.8366549613848,113.70715882443719,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-lite,all8,A_tag_cloud_fit_WRONG_circular,24,78.29513962969938,225.79337583876412,131.78191728225988,47.05932873109565,58.47589084951301,,,,,-0.9999999999999992,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-lite,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,255.3367217641117,1563.097027059326,556.7500391216404,2188.0674867263783,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-lite,all8,C_anchor_locked_OFFICIAL,24,81.69195758364086,233.52603084957047,134.15942229161587,45.12422712208475,68.7795729784018,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v3-lite,noG,A_tag_cloud_fit_WRONG_circular,24,78.29513962969938,225.79337583876412,131.78191728225988,47.05932873109565,58.47589084951301,,,,,-0.9999999999999992,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v3-lite,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,255.3367217641117,1563.097027059326,556.7500391216404,2188.0674867263783,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v3-lite,noG,C_anchor_locked_OFFICIAL,24,81.05486502037172,243.16956277216732,136.09600650390718,48.396324081000444,70.1547124287614,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v4-io,all8,A_tag_cloud_fit_WRONG_circular,24,80.80489627178719,263.8685956800395,135.62355755824566,44.11277190645758,62.96552783902359,,,,,-1.0,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v4-io,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,241.06880791327518,1569.661000167593,554.8961231763009,2202.4741916651346,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v4-io,all8,C_anchor_locked_OFFICIAL,24,77.38103805352323,270.2552828594085,138.25022123614812,43.830696817704755,63.12141492353817,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v4-io,noG,A_tag_cloud_fit_WRONG_circular,24,80.80489627178719,263.8685956800395,135.62355755824566,44.11277190645758,62.96552783902359,,,,,-1.0,1.0,WRONG for accuracy: transform fitted to tag truth; included only to show circular optimism.
v4-io,noG,B_centroid_only_WRONG_underdetermined,24,,,,,,241.06880791327518,1569.661000167593,554.8961231763009,2202.4741916651346,,1.0,"WRONG for accuracy: centroid fixes translation only; rotation/reflection remain free, so error is a range."
v4-io,noG,C_anchor_locked_OFFICIAL,24,81.26715583122163,278.60151085532175,141.12478883614094,46.874989963989805,63.511665128956565,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
