row_spec,seed_id,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I4:T8,S01,cpu_golden,19.926232714991784,,,,,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0003_cuda1
R2:L0:I4:T8,S01,torch_gpu,2.11246886299341,0.0,1.0,2.11246886299341,2.11246886299341,partial_raw_0003,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0003_cuda1
R2:L0:I7:T6,S01,simulate_imu_prior,0.1042881849862169,,,,,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0004_cuda1
R2:L0:I7:T6,S01,cpu_golden,31.143620482005645,,,,,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0004_cuda1
R2:L0:I7:T6,S01,torch_gpu,2.1135840830102097,0.0,1.0,2.1135840830102097,2.1135840830102097,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0004_cuda1
R2:L0:I7:T8,S01,simulate_imu_prior,0.1007894789800047,,,,,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0004_cuda1
R2:L0:I7:T8,S01,cpu_golden,28.525886490009725,,,,,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0004_cuda1
R2:L0:I7:T8,S01,torch_gpu,2.30612880300032,0.0,1.0,2.30612880300032,2.30612880300032,partial_raw_0004,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0004_cuda1
R2:L0:I8:T6,S01,simulate_imu_prior,0.1308151920093223,,,,,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0005_cuda1
R2:L0:I8:T6,S01,cpu_golden,19.17922747298144,,,,,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0005_cuda1
R2:L0:I8:T6,S01,torch_gpu,2.104289658018388,0.0,1.0,2.104289658018388,2.104289658018388,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0005_cuda1
R2:L0:I8:T8,S01,simulate_imu_prior,0.1194264639925677,,,,,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0005_cuda1
R2:L0:I8:T8,S01,cpu_golden,22.72431906798738,,,,,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0005_cuda1
R2:L0:I8:T8,S01,torch_gpu,3.0680057299905457,0.0,1.0,3.0680057299905457,3.0680057299905457,partial_raw_0005,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0005_cuda1
R2:L0:I1+I3+I7:T6,S01,simulate_imu_prior,0.1392785029893275,,,,,partial_raw_0006,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0006_cuda0
R2:L0:I1+I3+I7:T6,S01,cpu_golden,21.59632506401977,,,,,partial_raw_0006,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0006_cuda0
R2:L0:I1+I3+I7:T6,S01,torch_gpu,3.0442873889987823,0.0,1.0,3.0442873889987823,3.0442873889987823,partial_raw_0006,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0006_cuda0
R2:L0:I1+I3+I7:T8,S01,simulate_imu_prior,0.0970615230035036,,,,,partial_raw_0006,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0006_cuda0
R2:L0:I1+I3+I7:T8,S01,cpu_golden,27.22053993100417,,,,,partial_raw_0006,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0006_cuda0
R2:L0:I1+I3+I7:T8,S01,torch_gpu,2.187311982997926,0.0,1.0,2.187311982997926,2.187311982997926,partial_raw_0006,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0006_cuda0
R2:L0:I1+I2+I3+I8:T6,S01,simulate_imu_prior,0.109161127009429,,,,,partial_raw_0007,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0007_cuda0
R2:L0:I1+I2+I3+I8:T6,S01,cpu_golden,30.995694034994813,,,,,partial_raw_0007,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0007_cuda0
R2:L0:I1+I2+I3+I8:T6,S01,torch_gpu,2.9202927080041263,0.0,1.0,2.9202927080041263,2.9202927080041263,partial_raw_0007,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0007_cuda0
R2:L0:I1+I2+I3+I8:T8,S01,simulate_imu_prior,0.1526133440202102,,,,,partial_raw_0007,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0007_cuda0
R2:L0:I1+I2+I3+I8:T8,S01,cpu_golden,25.27682621299755,,,,,partial_raw_0007,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0007_cuda0
R2:L0:I1+I2+I3+I8:T8,S01,torch_gpu,2.6511991559818853,0.0,1.0,2.6511991559818853,2.6511991559818853,partial_raw_0007,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0007_cuda0
R2:L1:I0:T6,S01,simulate_imu_prior,1.0139063649985474,,,,,partial_raw_0008,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0008_cuda1
R2:L1:I0:T6,S01,cpu_golden,28.47361007297877,,,,,partial_raw_0008,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0008_cuda1
R2:L1:I0:T6,S01,torch_gpu,2.444487803004449,0.0,1.0,2.444487803004449,2.444487803004449,partial_raw_0008,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0008_cuda1
R2:L1:I0:T8,S01,simulate_imu_prior,0.6007842579856515,,,,,partial_raw_0008,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0008_cuda1
R2:L1:I0:T8,S01,cpu_golden,21.15070803198614,,,,,partial_raw_0008,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0008_cuda1
R2:L1:I0:T8,S01,torch_gpu,1.9693963210156653,0.0,1.0,1.9693963210156653,1.9693963210156653,partial_raw_0008,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0008_cuda1
R2:L1:I1:T6,S01,simulate_imu_prior,0.7982320960145444,,,,,partial_raw_0009,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0009_cuda1
R2:L1:I1:T6,S01,cpu_golden,22.063748643005965,,,,,partial_raw_0009,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0009_cuda1
R2:L1:I1:T6,S01,torch_gpu,3.1216272639867384,0.0,1.0,3.1216272639867384,3.1216272639867384,partial_raw_0009,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0009_cuda1
R2:L1:I1:T8,S01,simulate_imu_prior,0.9924901219783352,,,,,partial_raw_0009,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0009_cuda1
R2:L1:I1:T8,S01,cpu_golden,27.53387391800061,,,,,partial_raw_0009,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0009_cuda1
R2:L1:I1:T8,S01,torch_gpu,3.07726636499865,0.0,1.0,3.07726636499865,3.07726636499865,partial_raw_0009,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0009_cuda1
R2:L1:I3:T6,S01,simulate_imu_prior,0.5470201519783586,,,,,partial_raw_0010,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0010_cuda0
R2:L1:I3:T6,S01,cpu_golden,25.74941146699712,,,,,partial_raw_0010,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0010_cuda0
R2:L1:I3:T6,S01,torch_gpu,2.5206103539967444,0.0,1.0,2.5206103539967444,2.5206103539967444,partial_raw_0010,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0010_cuda0
R2:L1:I3:T8,S01,simulate_imu_prior,0.9620043360046112,,,,,partial_raw_0010,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0010_cuda0
R2:L1:I3:T8,S01,cpu_golden,23.949115349998465,,,,,partial_raw_0010,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0010_cuda0
R2:L1:I3:T8,S01,torch_gpu,2.039882557000965,0.0,1.0,2.039882557000965,2.039882557000965,partial_raw_0010,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0010_cuda0
R2:L1:I4:T6,S01,simulate_imu_prior,0.6219637669855729,,,,,partial_raw_0011,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0011_cuda0
R2:L1:I4:T6,S01,cpu_golden,26.728732618008507,,,,,partial_raw_0011,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0011_cuda0
R2:L1:I4:T6,S01,torch_gpu,2.071773702977225,0.0,1.0,2.071773702977225,2.071773702977225,partial_raw_0011,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0011_cuda0
R2:L1:I4:T8,S01,simulate_imu_prior,0.5553470159939025,,,,,partial_raw_0011,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0011_cuda0
R2:L1:I4:T8,S01,cpu_golden,28.81869912799448,,,,,partial_raw_0011,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0011_cuda0
R2:L1:I4:T8,S01,torch_gpu,2.8950383859919384,0.0,1.0,2.8950383859919384,2.8950383859919384,partial_raw_0011,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0011_cuda0
R2:L1:I7:T6,S01,simulate_imu_prior,0.6556110470264684,,,,,partial_raw_0012,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0012_cuda1
R2:L1:I7:T6,S01,cpu_golden,26.63554106702213,,,,,partial_raw_0012,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0012_cuda1
R2:L1:I7:T6,S01,torch_gpu,3.084106960974168,0.0,1.0,3.084106960974168,3.084106960974168,partial_raw_0012,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0012_cuda1
R2:L1:I7:T8,S01,simulate_imu_prior,0.987741207005456,,,,,partial_raw_0012,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0012_cuda1
R2:L1:I7:T8,S01,cpu_golden,23.35490076802671,,,,,partial_raw_0012,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0012_cuda1
R2:L1:I7:T8,S01,torch_gpu,2.9718445489997976,0.0,1.0,2.9718445489997976,2.9718445489997976,partial_raw_0012,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0012_cuda1
R2:L1:I8:T6,S01,simulate_imu_prior,0.5724504169775173,,,,,partial_raw_0013,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0013_cuda1
R2:L1:I8:T6,S01,cpu_golden,19.575034326000605,,,,,partial_raw_0013,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0013_cuda1
R2:L1:I8:T6,S01,torch_gpu,2.955694912991021,0.0,1.0,2.955694912991021,2.955694912991021,partial_raw_0013,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0013_cuda1
R2:L1:I8:T8,S01,simulate_imu_prior,0.9615738989959935,,,,,partial_raw_0013,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0013_cuda1
R2:L1:I8:T8,S01,cpu_golden,27.253258101001848,,,,,partial_raw_0013,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0013_cuda1
R2:L1:I8:T8,S01,torch_gpu,2.513812107994454,0.0,1.0,2.513812107994454,2.513812107994454,partial_raw_0013,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0013_cuda1
R2:L1:I1+I3+I7:T6,S01,simulate_imu_prior,0.5594856749812607,,,,,partial_raw_0014,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0014_cuda0
R2:L1:I1+I3+I7:T6,S01,cpu_golden,18.91721448898897,,,,,partial_raw_0014,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0014_cuda0
R2:L1:I1+I3+I7:T6,S01,torch_gpu,2.106998916977318,0.0,1.0,2.106998916977318,2.106998916977318,partial_raw_0014,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0014_cuda0
R2:L1:I1+I3+I7:T8,S01,simulate_imu_prior,0.6126030689920299,,,,,partial_raw_0014,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0014_cuda0
R2:L1:I1+I3+I7:T8,S01,cpu_golden,21.95363749799435,,,,,partial_raw_0014,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0014_cuda0
R2:L1:I1+I3+I7:T8,S01,torch_gpu,2.502676481002709,0.0,1.0,2.502676481002709,2.502676481002709,partial_raw_0014,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0014_cuda0
R2:L1:I1+I2+I3+I8:T6,S01,simulate_imu_prior,1.0006043979956305,,,,,partial_raw_0015,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0015_cuda0
R2:L1:I1+I2+I3+I8:T6,S01,cpu_golden,23.44130072000553,,,,,partial_raw_0015,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0015_cuda0
R2:L1:I1+I2+I3+I8:T6,S01,torch_gpu,3.0293261720216837,0.0,1.0,3.0293261720216837,3.0293261720216837,partial_raw_0015,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0015_cuda0
R2:L1:I1+I2+I3+I8:T8,S01,simulate_imu_prior,1.0236846059851814,,,,,partial_raw_0015,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0015_cuda0
R2:L1:I1+I2+I3+I8:T8,S01,cpu_golden,23.054443019005703,,,,,partial_raw_0015,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0015_cuda0
R2:L1:I1+I2+I3+I8:T8,S01,torch_gpu,2.616727214975981,0.0,1.0,2.616727214975981,2.616727214975981,partial_raw_0015,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0015_cuda0
R2:L2:I0:T6,S01,simulate_imu_prior,0.7912175909732468,,,,,partial_raw_0016,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0016_cuda1
R2:L2:I0:T6,S01,cpu_golden,25.318079306016443,,,,,partial_raw_0016,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0016_cuda1
R2:L2:I0:T6,S01,torch_gpu,2.943325641012052,0.0,1.0,2.943325641012052,2.943325641012052,partial_raw_0016,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0016_cuda1
R2:L2:I0:T8,S01,simulate_imu_prior,1.0122075999970548,,,,,partial_raw_0016,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0016_cuda1
R2:L2:I0:T8,S01,cpu_golden,31.835959379008276,,,,,partial_raw_0016,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0016_cuda1
R2:L2:I0:T8,S01,torch_gpu,3.20597396499943,0.0,1.0,3.20597396499943,3.20597396499943,partial_raw_0016,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0016_cuda1
R2:L2:I1:T6,S01,simulate_imu_prior,0.7957539350027218,,,,,partial_raw_0017,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0017_cuda0
R2:L2:I1:T6,S01,cpu_golden,24.378980137989856,,,,,partial_raw_0017,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0017_cuda0
R2:L2:I1:T6,S01,torch_gpu,3.0570899489976,0.0,1.0,3.0570899489976,3.0570899489976,partial_raw_0017,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0017_cuda0
R2:L2:I1:T8,S01,simulate_imu_prior,0.9797344730177427,,,,,partial_raw_0017,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0017_cuda0
R2:L2:I1:T8,S01,cpu_golden,19.900271038000938,,,,,partial_raw_0017,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0017_cuda0
R2:L2:I1:T8,S01,torch_gpu,2.113772873999551,0.0,1.0,2.113772873999551,2.113772873999551,partial_raw_0017,cuda:0,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0017_cuda0
R2:L2:I3:T6,S01,simulate_imu_prior,0.7085194649989717,,,,,partial_raw_0018,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0018_cuda1
R2:L2:I3:T6,S01,cpu_golden,21.300479536002968,,,,,partial_raw_0018,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0018_cuda1
R2:L2:I3:T6,S01,torch_gpu,2.05945600400446,0.0,1.0,2.05945600400446,2.05945600400446,partial_raw_0018,cuda:1,phase4_GPUCPU_FULLFACTORY_S01_2x1080ti_20260605T122945Z_partial_raw_0018_cuda1
