sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-05T12:37:47.655553+00:00,0,0.0,374.0,11264.0,48.0,60.49
2026-06-05T12:37:47.655572+00:00,1,0.0,10.0,11264.0,47.0,19.52
2026-06-05T12:38:02.684838+00:00,0,15.0,822.0,11264.0,50.0,63.54
2026-06-05T12:38:02.684859+00:00,1,21.0,234.0,11264.0,46.0,59.04
2026-06-05T12:38:17.715580+00:00,0,0.0,1046.0,11264.0,50.0,60.95
2026-06-05T12:38:17.715601+00:00,1,0.0,682.0,11264.0,48.0,57.78
2026-06-05T12:38:32.747578+00:00,0,0.0,1046.0,11264.0,50.0,55.12
2026-06-05T12:38:32.747598+00:00,1,0.0,906.0,11264.0,49.0,57.79
2026-06-05T12:38:47.781830+00:00,0,0.0,374.0,11264.0,53.0,80.28
2026-06-05T12:38:47.781851+00:00,1,3.0,458.0,11264.0,51.0,73.21
2026-06-05T12:39:02.813773+00:00,0,0.0,150.0,11264.0,54.0,80.67
2026-06-05T12:39:02.813795+00:00,1,21.0,458.0,11264.0,48.0,59.33
2026-06-05T12:39:17.842159+00:00,0,0.0,150.0,11264.0,55.0,80.98
2026-06-05T12:39:17.842180+00:00,1,0.0,234.0,11264.0,44.0,9.04
2026-06-05T12:39:32.880653+00:00,0,0.0,822.0,11264.0,54.0,67.09
2026-06-05T12:39:32.880673+00:00,1,10.0,242.0,11264.0,48.0,57.72
2026-06-05T12:39:47.913601+00:00,0,0.0,1046.0,11264.0,53.0,67.09
2026-06-05T12:39:47.913625+00:00,1,30.0,682.0,11264.0,49.0,60.09
2026-06-05T12:40:02.952554+00:00,0,0.0,1046.0,11264.0,53.0,66.8
2026-06-05T12:40:02.952575+00:00,1,0.0,682.0,11264.0,49.0,57.91
2026-06-05T12:40:17.980848+00:00,0,20.0,598.0,11264.0,52.0,62.79
2026-06-05T12:40:17.980870+00:00,1,0.0,458.0,11264.0,51.0,73.22
2026-06-05T12:40:33.012587+00:00,0,0.0,150.0,11264.0,48.0,11.06
2026-06-05T12:40:33.012608+00:00,1,0.0,234.0,11264.0,50.0,13.37
2026-06-05T12:40:48.044571+00:00,0,0.0,150.0,11264.0,45.0,10.88
