version,anchor,delta_x,delta_y,delta_z,delta_xy,delta_3d,delta_delay
v4-io-wand,A,0.7585523620252843,6.1453835307765985,2.5494960479901465,6.192022321202855,6.696347551090204,0.0
v4-io-wand,B,6.611021692782288,2.1079840144311675,-4.797622991843241,6.938962777500347,8.436017472682131,-3.1874841456019194
v4-io-wand,C,-3.5624185617934927,-2.648884717569672,5.228088256308865,4.439303577858241,6.858594832189729,0.0
v4-io-wand,D,-3.0640334829048186,-1.245071015297981,-0.4657803710813937,3.3073407773462016,3.339978199267429,-4.669751662365954
v4-io-wand,E,-2.0860436748874633,1.2600391323482967,8.221264598296102,2.437063156462516,8.574874251193647,-0.4733979615724113
v4-io-wand,F,-1.939958241250224,-1.4252368276234897,-7.620031509465207,2.4072262030413616,7.991221320790179,-2.1512449874407054
v4-io-wand,G,0.6774228988278992,-2.8803700135349573,6.704632611573061,2.958958127234612,7.328542259883392,0.15384092358115842
v4-io-wand,H,2.605457007201945,-1.3138441035298456,-9.820046641779754,2.917977475025786,10.244408650160715,0.2652549139728553
v5,A,1.5504034067014345,4.875884247348949,4.388601100514165,5.116443874123613,6.740757934868392,0.0
v5,B,7.101797509751123,2.00086488241368,-6.657222055577108,7.378278128885055,9.937685527548446,-2.7221373458857165
v5,C,-4.344359931270901,-3.3161177183246764,6.591940439566429,5.465354511302901,8.562930496798991,-0.21024064427867728
v5,D,-3.496462033894062,-3.438284924694017,-2.865151114063579,4.903779152637356,5.679448994775859,-4.05925803153189
v5,E,-2.4488542362460777,6.786063865943504,10.743902965076131,7.214398787358823,12.941367809702966,0.2272391123459716
v5,F,-2.336983484038683,-2.441218858109437,-8.824183643568858,3.379503117006807,9.449193526078663,-2.2835166366343316
v5,G,1.3686363049664578,-1.8384858537856417,8.352080451447137,2.2919850719064816,8.66085696898913,0.40953525992494955
v5,H,2.6058224640293375,-2.6287056407909404,-11.729968143394672,3.7014056870283802,12.30010393065928,-0.13843663135735218
