sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
1013,,BSF66F,,3,ok,3149,3149,92,235,14
1014,,BSF66F,,4,ok,3241,3241,100,260,1
1014,,BSF66F,,5,ok,2429,2429,90,232,29
1014,,BSF66F,,6,ok,2452,2452,95,237,23
1015,,BSF66F,,0,ok,3218,3218,100,260,1
1015,,BSF66F,,1,ok,2618,2618,85,226,35
1016,,BSF66F,,4,ok,3257,3257,100,261,1
1016,,BSF66F,,5,ok,2449,2449,90,233,29
1016,,BSF66F,,6,ok,2479,2479,95,238,23
1016,,BSF66F,,7,ok,3187,3187,94,242,16
1017,,BSF66F,,0,ok,3226,3226,100,261,1
1017,,BSF66F,,1,ok,2669,2669,86,227,35
1017,,BSF66F,,2,timeout,0,2381,90,242,20
1018,,BSF66F,,4,ok,3368,3368,100,262,1
1018,,BSF66F,,5,ok,2428,2428,91,234,29
1019,,BSF66F,,0,ok,3220,3220,100,262,1
1019,,BSF66F,,1,ok,2655,2655,86,228,35
1019,,BSF66F,,2,ok,2445,2445,91,243,20
1019,,BSF66F,,3,ok,3136,3136,92,238,14
1020,,BSF66F,,4,ok,3275,3275,100,263,1
1020,,BSF66F,,5,ok,2410,2410,91,235,29
1020,,BSF66F,,6,ok,2475,2475,95,240,23
1021,,BSF66F,,0,ok,3192,3192,100,263,1
1021,,BSF66F,,1,timeout,0,2655,83,228,36
1022,,BSF66F,,4,ok,3234,3234,100,264,1
1022,,BSF66F,,5,ok,2395,2395,92,236,29
1022,,BSF66F,,6,ok,2448,2448,95,241,23
1022,,BSF66F,,7,ok,3222,3222,95,245,16
1023,,BSF66F,,0,ok,3172,3172,100,264,1
1023,,BSF66F,,1,ok,2683,2683,84,229,36
1023,,BSF66F,,2,ok,2430,2430,92,245,20
1024,,BSF66F,,4,ok,3241,3241,100,265,1
1024,,BSF66F,,5,ok,2435,2435,92,237,29
1025,,BSF66F,,0,ok,3179,3179,100,265,1
1025,,BSF66F,,1,ok,2683,2683,84,230,36
1025,,BSF66F,,2,ok,2456,2456,92,246,20
1025,,BSF66F,,3,ok,3134,3134,93,241,14
1026,,BSF66F,,4,ok,3209,3209,100,266,1
